Sentence	Label	Comparative	Comment
The only reason OBJECT_A is used over OBJECT_B, is because of libraries...	BETTER	True	
And now that MS has support for OBJECT_A and OBJECT_B, they are as evil as before but also stupid, because that means they don't have any direction to give to the community.	NO_COMP	False	
a sequence reserve can be simply: s.reverse etc. if you use databases: OBJECT_A database binding API is arguably better than OBJECT_B.	BETTER	True	
It comes with an updated XML stack and lets dynamic languages like OBJECT_A, Groovy, OBJECT_B and JavaScript get better performance running on JVMs.	NO_COMP	False	
We will just be a little more conscious," because I don't see OBJECT_A or OBJECT_B as being inevitably slower.	NO_COMP	False	
The problem is OBJECT_A and OBJECT_B are not seen as enterprise ready or fit for anything better than simple applications.	NO_COMP	False	
OBJECT_A and OBJECT_B perform significantly better.	NO_COMP	False	
Yes, I keep on bitchin' on collectors because I should probably spend my free time learning OBJECT_A or OBJECT_B or something.	NO_COMP	False	
The even better news is that it is actually possible to use a variety of tools: OBJECT_A, OBJECT_B, shell scripts and R to perform distributed fault tolerant processing of your data on a Hadoop cluster....	NO_COMP	False	
That hurts because for a company to want a telecommuter bad enough, they'd better bring some serious talent to the table which usually consists of front-end, backend, OBJECT_A and OBJECT_B experience.	NO_COMP	False	
So in OBJECT_A, a good programmer will want to take a different route to solving the problem than he would in OBJECT_B, just because it actually is the better way to do it.	NO_COMP	False	
He also thinks that "SOAP never caught on because many popular languages were left out such as OBJECT_A and OBJECT_B."	NO_COMP	False	
I mention all that because I think you've missed an important way in which OBJECT_A blocks are more powerful than anything in OBJECT_B: a block executes fully within the defining context.	BETTER	True	
For better or worse, OBJECT_A, OBJECT_B, JavaScript and so on have changed how people see programming.	NO_COMP	False	
People fight over principles like "OBJECT_A is better than OBJECT_B" or "you shouldn't write unit test," all of which are absolutely absurd.	NO_COMP	False	tricky one
Node is a good fit for CouchDB because Couch encourages asynchronous background processes, but people also use OBJECT_A / OBJECT_B / Java for the same purposes.	NO_COMP	False	
It is a lot easier to do text parsing in Perl/OBJECT_A/OBJECT_B than it is in Java or C# (partially because it is a lot easier to use regular expressions).	UNCLEAR	True	
Wanting to learn more about Google Wave, I ported the Wave Robot OBJECT_A Client library to OBJECT_B, mainly because I wanted to understand the protocol.	NO_COMP	False	
for json: i also think its better to just use OBJECT_A, OBJECT_B, perl and transform it.	NO_COMP	False	
Sitting down with another programming language for a while can open your mind up to other ways of solving problems, and I think I became a better OBJECT_A programmer after spending time in OBJECT_B land.	NO_COMP	False	
I think this is very accurate because I see most people that complain against PHP, they are usually somebody that has an agenda to favor some other language... can be OBJECT_A or OBJECT_B.	NO_COMP	False	
OBJECT_A is like perl and OBJECT_B, only better, and it is required to run this software.	NO_COMP	False	
OBJECT_A and OBJECT_B are even worse than Java performance wise.	UNCLEAR	True	
I wonder if they didn't compare themselves to OBJECT_A or OBJECT_B because they couldn't contrive examples that produce huge LOC differences?	NO_COMP	False	
For this reason alone, OBJECT_A is clearly better than OBJECT_B or Perl.	BETTER	True	
Anyway, for this book, geany has been used, mainly because it handles both OBJECT_A and OBJECT_B (amongst many others), and is rather lightweight.	NO_COMP	False	
I love the language but I'm considering getting better at OBJECT_A just because OBJECT_B is so slow I feel bad using it for anything serious.	BETTER	True	
Modern languages like scala, OBJECT_A and maybe OBJECT_B are much better at this.	NO_COMP	False	
I usually recommend OBJECT_A over OBJECT_B, as I prefer it, but in this case it may be better, due to everything inherently being an object.	WORSE	True	
It's why I mention OBJECT_A and OBJECT_B, because they've at least heard of them.	NO_COMP	False	
And so you have many programmers choosing to use OBJECT_A or OBJECT_B because good libraries exist there for solving modern problems.	NO_COMP	False	
OBJECT_A or OBJECT_B may actually help promote better programming practices, but they aren't as accessible as PHP in terms of examples, online docs and tutorials, and hosting is not as easy.	UNCLEAR	True	
OBJECT_A would have also been a good choice but IMO it is an inferior language compared to OBJECT_B.	WORSE	True	
Got a good job writing C++? Hopefully you also know some Java, or better yet some OBJECT_A, OBJECT_B or some other higher level scripting language.	NO_COMP	False	
I'd been kind of hoping Apple would dump AppleScript and switch over to OBJECT_A or (even better) OBJECT_B as the official AppleEvent scripting language [1].	WORSE	True	tricky one
I'd go so far as to say OBJECT_A and OBJECT_B aren't either, though both are very powerful and are better suited to some tasks than Java.	NO_COMP	False	
Proves Superior to OBJECT_A, OBJECT_B, Perl and Other Dynamic Programming Languages	NO_COMP	False	
I'm a huge OBJECT_A/Django & OBJECT_B/Rails fan, but I will never stop using PHP because it is so broadly accepted and supported.	NO_COMP	False	
OBJECT_A and OBJECT_B support features of orthogonality, maintainability, etc. even better, in many respects.	NO_COMP	False	
Your argument of awk being the "underlanguage" and not suitable for the job because you think that only Perl/OBJECT_A/OBJECT_B can do the job is flawed and weak.	UNCLEAR	True	
OBJECT_A has RDoc , and it looks better than anything I've seen in OBJECT_B.	BETTER	True	
You might be better served learning a language like Objective-C, OBJECT_A, OBJECT_B or even Unix shell-scripting, which are more useful for creating useful code on modern computer systems.	NO_COMP	False	
Any sources that discuss the pros and cons of each or why it would be better to do X in OBJECT_A rather than OBJECT_B?	UNCLEAR	True	
Perl isn't dying because the competition, namely OBJECT_A and OBJECT_B, is itself idiosyncratic, Hyperlogos blogger Martin Espinoza opined.	NO_COMP	False	
Today? You'll build a better app in less time and with fewer people using OBJECT_A with Django or OBJECT_B on Rails.	NO_COMP	False	
One of them ( Jan rather than Andrzej ) was of the opinion that OBJECT_A was more object oriented than OBJECT_B because you are able tack methods onto the built-in classes.	BETTER	True	
OBJECT_A, OBJECT_B, WordPress, and the old standard OpenOffice (in a freshly minted version 4) are better and stronger than ever.	NO_COMP	False	
OBJECT_A has better support for such declarative styles and I am glad the core OBJECT_B language is not going down that route.	BETTER	True	
Mainly because OBJECT_A is used in considerably more non-web applications than OBJECT_B, which makes your skills more portable (and you more employable).	BETTER	True	
This is one area where MySQL Cookbook really shines, because it contains a large amount of sample code in Perl, PHP, OBJECT_A, Java, and even OBJECT_B.	NO_COMP	False	
I use OBJECT_A and OBJECT_B heavily because it's easy for other people to understand and I can quickly do a task in them.	NO_COMP	False	
I take your word that Perl/OBJECT_A/OBJECT_B/LISP/whatever is much superior.	NO_COMP	False	
OBJECT_A and OBJECT_B only.	NO_COMP	False	
OBJECT_A, iPad, and OBJECT_B Compatible!	NO_COMP	False	
(See OBJECT_A Dethrones the OBJECT_B .)	BETTER	True	
OBJECT_A, OBJECT_B, BlackBerry, Windows	NO_COMP	False	
, free for OBJECT_A and OBJECT_B).	NO_COMP	False	
Download our OBJECT_A & OBJECT_B Apps	NO_COMP	False	
OBJECT_A/iPad and OBJECT_B Apps	NO_COMP	False	
...developer for OBJECT_A AND OBJECT_B.	NO_COMP	False	
(OBJECT_A, OBJECT_B).	NO_COMP	False	
Apps for OBJECT_A and OBJECT_B	NO_COMP	False	
(OBJECT_A, OBJECT_B; free)	NO_COMP	False	
( OBJECT_A , OBJECT_B , Metal Slug X )	NO_COMP	False	
OBJECT_A, OBJECT_B & web app developer	NO_COMP	False	
OBJECT_A and OBJECT_B editions (£2.39),	NO_COMP	False	
OBJECT_A and OBJECT_B apps	NO_COMP	False	
OBJECT_A  and  OBJECT_B .	NO_COMP	False	
OBJECT_A & OBJECT_B Development	NO_COMP	False	
OBJECT_A, OBJECT_B, Windows phone, etc).	NO_COMP	False	
RetailMeNot for OBJECT_A or OBJECT_B .	NO_COMP	False	
OBJECT_A], OBJECT_B, Windows and Linux)	NO_COMP	False	
( OBJECT_A , Crush , iPad , OBJECT_B )	NO_COMP	False	
OBJECT_A and OBJECT_B app.	NO_COMP	False	
OBJECT_A, iPad & OBJECT_B Devices Supported	NO_COMP	False	
Flowd (OBJECT_A/OBJECT_B/Nokia)	NO_COMP	False	
OBJECT_A / BlackBerry / OBJECT_B / Symbian	NO_COMP	False	
OBJECT_A is much better, economically speaking, than OBJECT_B.	BETTER	True	
Probably because of this they would find OBJECT_A more simple and straightforward than OBJECT_B.	BETTER	True	
If you're a fed-up OBJECT_A user looking to switch to an OBJECT_B device, there are better options.	NO_COMP	False	
I'm actually quite disappointed with how much better are the photos than from my OBJECT_A, which easily matched OBJECT_B 4S.	BETTER	True	
why accept an inferior phone running Google's OBJECT_A when you can have Apple's superior OBJECT_B for a hundred dollars more? That is a matter of opinion.	WORSE	True	
It multitasks even better than OBJECT_A, its as responsive as an OBJECT_B, and its hardware is better than most blackberries.	NO_COMP	False	
People do not necessarily switch from an OBJECT_A to an OBJECT_B or vice versa because they think one is better than the other.	NO_COMP	False	
This is significant if you consider there are a number of OBJECT_A phones available for a similar price which are technologically superior to the OBJECT_B 3GS .	BETTER	True	
How hard is it to accept the fact OBJECT_A is doing better then the OBJECT_B these days?	BETTER	True	
However, with Apple's switch, Google's superior mapping app gives OBJECT_A phones a clear advantage over the OBJECT_B in this important function.	BETTER	True	
There was no port to OBJECT_A, iPad, or OBJECT_B because that would require rewriting the program.	NO_COMP	False	
(Seriously this page works worse on an OBJECT_A using chrome than it did on the OBJECT_B using safari.)	WORSE	True	
Unsure if the ole OBJECT_A has this app, because OBJECT_B is so much better..lol..but the SLEEP APNEA 2.0 SLEEP ANALYZER works great.	WORSE	True	
See what OBJECT_A or OBJECT_B has to offer " better smartphones than BlackBerries!	NO_COMP	False	
must have been reading our site because they finally ported their popular OBJECT_A application to OBJECT_B.	NO_COMP	False	
Yawn... OBJECT_A phones are rapidly becoming better spec'd out than the OBJECT_B.	BETTER	True	
These great apps will help you get better photos on your OBJECT_A or OBJECT_B smart phone.	NO_COMP	False	
From an end user perspective, the OBJECT_A , OBJECT_B and even the Windows Phone are providing better functionality than the BlackBerry.	UNCLEAR	True	
iHater muck-raking is useless because a 90% working OBJECT_A 4 is still better than a 95% working OBJECT_B or Symbian or RIM crapphone.	NO_COMP	False	
Make it a unique one a better one than OBJECT_A and OBJECT_B.	NO_COMP	False	
While we find this better in implementation that the OBJECT_A, it's still more limited than OBJECT_B.	NO_COMP	False	
There is nothing the OBJECT_A can do that an equally powerful OBJECT_B device can't do and more and better.	WORSE	True	
I went GS3 over OBJECT_A simply because I prefer the OBJECT_B operating system.	WORSE	True	
OBJECT_A didn't out pace the OBJECT_B this year, it just sold slightly better in America.	BETTER	True	
Not to mention that the OBJECT_A and OBJECT_B phones deliver a far superior user experience overall.	NO_COMP	False	
The reason is simple: Apple's OBJECT_A is perceived by customers to be a better device than any OBJECT_B handset.	BETTER	True	
10 Things OBJECT_A Does Better Than OBJECT_B OS	BETTER	True	
OBJECT_A phones have better processing power than OBJECT_B	BETTER	True	
Just another step towards showing that OBJECT_A is ultimately better than the OBJECT_B.	BETTER	True	
The OBJECT_A OS Google Maps app is better integrated than the OBJECT_B app.	BETTER	True	
The version for the OBJECT_A was pathetic , and the OBJECT_B version is no better.	UNCLEAR	True	
OBJECT_A phones may have eclipsed the OBJECT_B in specs, and the UI is only getting better.	BETTER	True	
The OBJECT_A may just blow us away again, regardless of how many of you think OBJECT_B is so superior.	NO_COMP	False	
It's better than any OBJECT_A or OBJECT_B phone I've tested thus far.	NO_COMP	False	
EVERYONE that bothers to do research knows OBJECT_A can do more and is better than the OBJECT_B.	BETTER	True	
That's because certain products or services do better on certain carriers or devices, and it's possible to target ads at that level on OBJECT_A by not OBJECT_B.	NO_COMP	False	
In reply to Only a hill: "The OBJECT_A has a notoriously inaccurate internal compass, but most OBJECT_B handsets are better".	WORSE	True	
Its better specs will make it more competitive against the OBJECT_A 4S and OBJECT_B superphones.	NO_COMP	False	
OBJECT_A provides better Utility to us than an equivalent OBJECT_B.	BETTER	True	
I think Apple is doing this because better apps is pretty much the only thing that's better about the OBJECT_A than OBJECT_B.	BETTER	True	
The OBJECT_A is older and has a broader and better range of applications available than in the OBJECT_B Market.	BETTER	True	
Owning an OBJECT_A or OBJECT_B smartphone just got even better with Pebble , the first watch designed for the 21st century.	NO_COMP	False	
It's all down to personal preference just because your happier with OBJECT_A doesn't mean OBJECT_B users are using an inferior device.	UNCLEAR	True	
Google shouldn't have mandated an inferior map app on the OBJECT_A (as opposed to OBJECT_B).	WORSE	True	
I can say, hands down, the OBJECT_A/iPod touch UI is much better implemented than OBJECT_B is on the Droid.	BETTER	True	
Microsoft Windows Phone 8 review: Better than OBJECT_A or OBJECT_B?	UNCLEAR	True	
I, and millions of others, like my OBJECT_A better than the equivalent OBJECT_B.	BETTER	True	
The apps for the OBJECT_A are generally better than those for OBJECT_B (for example, consider The Weather Network apps).	BETTER	True	
There are a dozen OBJECT_A phones for which the hardware is superior to the OBJECT_B.	BETTER	True	
Overall, this is a great phone and definitely better than the OBJECT_A 5 because of its speed, screen size, screen quality, hardware, and OBJECT_B 4.0.4	NO_COMP	False	
I'm in the minority because I am using an OBJECT_A and not an OBJECT_B.	NO_COMP	False	
To me it is much better than OBJECT_A and OBJECT_B.	NO_COMP	False	
For web even good smart phone (OBJECT_A, OBJECT_B, etc.) is way better than ereader.	UNCLEAR	True	
There are OBJECT_A devices which have vastly superior battery life and screens than an OBJECT_B.	BETTER	True	
The OBJECT_A has a superior number of good apps, though OBJECT_B phones counter with good alternatives.	BETTER	True	
OBJECT_A seems to be better at offering a wider selection of models than OBJECT_B.	BETTER	True	
Otherwise, the hardware platform looks to be very competitive with OBJECT_A handsets, with many models having specs superior to those of the Apple OBJECT_B 4.	BETTER	True	
I love OBJECT_A because the OBJECT_B might be coming to Verizon and I could care less.	BETTER	True	
In my opinion its superior when compared to the built in email clients on OBJECT_A or  OBJECT_B.	NO_COMP	False	
This really better be good, because BlackBerry apps aren't that great compared to OBJECT_A or potentially OBJECT_B.	NO_COMP	False	
I am a family medicine physician , and for me OBJECT_A is still superior to the OBJECT_B ( i am talking about the personal use )	BETTER	True	
OBJECT_A is Robot Jesus because it breaks through that wall, but OBJECT_B will be even bigger.	WORSE	True	
I say this with sadness, because so far I like the OBJECT_A OS much better than OBJECT_B.	BETTER	True	
I sold off my OBJECT_A 4 thinking I would like the features of the OBJECT_B phone better.	NO_COMP	False	
Lots of people buy an OBJECT_A phone because it is cheaper than OBJECT_B.	BETTER	True	
If you happen to like OBJECT_A better, why make it a point to bash OBJECT_B constantly?	NO_COMP	False	
The OBJECT_A is cool, I think the SDK for OBJECT_B is a tick better and a bit...	WORSE	True	
that is why you consider your OBJECT_A better then OBJECT_B.	BETTER	True	
5 Ways The OBJECT_A Is Better Than OBJECT_B	BETTER	True	
Even better, it supports multiple book readers: OBJECT_A, OBJECT_B, Nook, Web.	NO_COMP	False	
We can't let him walk away thinking that his precious OBJECT_A is that  much better than OBJECT_B now can we?	NO_COMP	False	
SO is not a place for questions like which is better, OBJECT_A and OBJECT_B?	NO_COMP	False	
OBJECT_A getting worse battery life than an OBJECT_B???	WORSE	True	
If you look at the OBJECT_A or OBJECT_B devices, their graphics look a lot better than the Wii.	NO_COMP	False	
Any modern OBJECT_A phone today has the same level or better build quality than any OBJECT_B.	UNCLEAR	True	
Choose OBJECT_A or OBJECT_B.	NO_COMP	False	
OBJECT_A ok, OBJECT_B negotiable.	NO_COMP	False	
OBJECT_A & OBJECT_B Travel	NO_COMP	False	
OBJECT_A & OBJECT_B Antibiotics	NO_COMP	False	
Entertain your OBJECT_A or OBJECT_B.	NO_COMP	False	
OBJECT_A pillow OBJECT_B bed	NO_COMP	False	
OBJECT_A / OBJECT_B Exams $20.00	NO_COMP	False	
Pets: 1 OBJECT_A, 1 OBJECT_B	NO_COMP	False	
OBJECT_A And OBJECT_B Toys & Supplies .	NO_COMP	False	
or a OBJECT_A or OBJECT_B?	NO_COMP	False	
Two settings: OBJECT_A or OBJECT_B.	NO_COMP	False	
OBJECT_A scared of OBJECT_B	NO_COMP	False	
3.) OBJECT_A or OBJECT_B?	NO_COMP	False	
OBJECT_A/OBJECT_B issues slowly resolving	NO_COMP	False	
OBJECT_A OBJECT_B bird horse . . . .	NO_COMP	False	
Lost OBJECT_A/OBJECT_B reports?	NO_COMP	False	
THAT OBJECT_A SCRATCHES MY OBJECT_B!!	NO_COMP	False	
Lost a OBJECT_A or OBJECT_B?	NO_COMP	False	
OBJECT_A Policy: OBJECT_B Policy:	NO_COMP	False	
OBJECT_A Food & OBJECT_B Food	NO_COMP	False	
One OBJECT_A OBJECT_B per room.	NO_COMP	False	
(Your family OBJECT_A or OBJECT_B!)	NO_COMP	False	
Original OBJECT_A and OBJECT_B Paintings	NO_COMP	False	
OBJECT_A, OBJECT_B, and Mts.	NO_COMP	False	
OBJECT_A-boys, OBJECT_B-girls...	NO_COMP	False	
I care not for a man's religion whose OBJECT_A or OBJECT_B are not the better for it."	NO_COMP	False	
Your OBJECT_A or OBJECT_B has a much better sense of hearing than you do, so loud, unfamiliar sounds can be especially unsettling.	NO_COMP	False	
@Rogelio - I have been to OBJECT_A & OBJECT_B several times because my house is a few steps from theirs, Animal House Jupiter, and VIP.	NO_COMP	False	
But IMO they are better than trading your OBJECT_A for somebody else's OBJECT_B.	NO_COMP	False	
It is better to re-phrase this and say, "The OBJECT_A and OBJECT_B are sleeping peacefully on the mat."	NO_COMP	False	
I expected them to say the carpet needed replaced because OBJECT_A urine is much worse then OBJECT_B.	WORSE	True	
Many OBJECT_A and OBJECT_B lovers simply do without because of their allergies.	NO_COMP	False	
It's funny, because this sort of thing is completely out of favor in OBJECT_A training and behaviour, but is still 'acceptable' in OBJECT_B training.	NO_COMP	False	
// Class cast exception because "molly" will return a OBJECT_A object not a OBJECT_B	NO_COMP	False	
Thousands of OBJECT_A and OBJECT_B are put to death every year because owners do spay or neuter their pet.	NO_COMP	False	
Q: To a OBJECT_A..."What would you like the family to do about the OBJECT_B to make you feel better?	NO_COMP	False	
If a quarantine cannot be imposed because the OBJECT_A or OBJECT_B cannot be captured, the officer may kill the animal.	NO_COMP	False	
Protein and fat are much better energy sources for your OBJECT_A or OBJECT_B.	UNCLEAR	True	
Archetype is a superior raw OBJECT_A and OBJECT_B diet suitable for all life stages and sizes.	NO_COMP	False	
SHE'S SUCH A LITTLE PIGGY AND SHE LIKES OBJECT_A FOOD BETTER THAN HER OBJECT_B FOOD.	BETTER	True	
You have a OBJECT_A and a OBJECT_B and you can't keep them anymore because you're pregnant?	NO_COMP	False	
So i beat my OBJECT_A to death because the guy down the road beat his OBJECT_B to death.	NO_COMP	False	
With a play area, and a shop for all your fish, bird, OBJECT_A and OBJECT_B needs, The Parrot Place is like a pet shop, only better.	NO_COMP	False	
Tomorrow I won't make it to the gym because I have to take our OBJECT_A and OBJECT_B to my parents house about an hour away.	NO_COMP	False	
So for kids, looking for a robotic pet, what could be better than a robot OBJECT_A or OBJECT_B ?	NO_COMP	False	
I've had one full black OBJECT_A named XTC also known as "baby" or "Puppy" because he was the size of a OBJECT_B.	NO_COMP	False	
It's tough to treat them like a OBJECT_A or a OBJECT_B because they're so close to you.	NO_COMP	False	
We use only superior products and "Cutting Edge" tools to assure that your OBJECT_A or OBJECT_B remains happy and healthy.	NO_COMP	False	
Often because of their advanced age an animal shelter may deny the elderly the possibility of adopting a young OBJECT_A or OBJECT_B.	NO_COMP	False	
This was my favorite of this series, because I love Halloween and haunted castles, and was touched by the affection the OBJECT_A-OBJECT_B has for Jerry.	NO_COMP	False	
A OBJECT_A and OBJECT_B food store would have much better options and even then, the big chain ones tend to have crap too.:rolleyes:	NO_COMP	False	
They rage at me because I won't validate their belief in an afterlife where they will be rejoined with mommy, daddy and their beloved OBJECT_A or OBJECT_B.	NO_COMP	False	
We sacrifice a lot for our pets, but realize it is worth it when the OBJECT_A or OBJECT_B puts us in a better mood or relieves workday stress.	NO_COMP	False	
I bought it because my older male OBJECT_A was carrying around a stuffed OBJECT_B toy and I thought he might like the ""tail"" on this thing.	NO_COMP	False	
In this case, more is better so let the mixture soak overnight, and sponge it on your OBJECT_A or OBJECT_B to kill fleas instantly.	NO_COMP	False	
Jonson's knight doesn't just have a OBJECT_A - he totes around a OBJECT_B as well, though we never see her because she isn't let out of her bag.	NO_COMP	False	
I think this is because most people don't believe that their OBJECT_A or OBJECT_B will eat a pill.	NO_COMP	False	
4. A man that hath learned sympathy is better learned than the philosopher that will kick a OBJECT_A or a OBJECT_B.	NO_COMP	False	
The world is divided into "OBJECT_A people" and "OBJECT_B people," each passionately believing that their preferred pet is superior.	NO_COMP	False	
You're adding them, I assume, because in OBJECT_A, OBJECT_B, and Horse meat are all taboo from your perspective.	NO_COMP	False	
Now you can see the many powerful ways technology is far better than the do-it-yourself approach to finding a lost OBJECT_A or OBJECT_B.	NO_COMP	False	
He's the best pet that you can get, Better than a OBJECT_A or OBJECT_B.	NO_COMP	False	
I love these things because they keep OBJECT_A and OBJECT_B food fresh.	NO_COMP	False	
My question is because she is so small can we use OBJECT_A clippers on her for the first time and then go out to purchase OBJECT_B nail clippers.	NO_COMP	False	
Everything that the OBJECT_A command does, OBJECT_B does it better.	WORSE	True	
You can't keep 'em outdoors because some passing OBJECT_A or OBJECT_B will provoke them to spray.	NO_COMP	False	
So I decided to try this OBJECT_A toothpaste because I have searched everywhere and no one has the four paws OBJECT_B (white) toothpaste.	NO_COMP	False	
So when these poor babes see a friendly OBJECT_A or OBJECT_B approach, they scream, throw stones or worse.	NO_COMP	False	
Malia and Sasha named the OBJECT_A "Bo" because they had a cousin with a OBJECT_B of the same name, and because their grandfather's nickname was "Diddley."	NO_COMP	False	
As a matter of fact Mrs. Persis, the housekeeper at Halkin Street, and Hignett fight OBJECT_A and OBJECT_B--it will be much better to part them.	NO_COMP	False	
This reminds me of the arguments that I hear from people who don't accept evolution because they have never seen a OBJECT_A give birth to a OBJECT_B.	NO_COMP	False	
If your OBJECT_A or OBJECT_B has pustules causing bald spots or staph infections from itching, there is nothing better.	NO_COMP	False	
I used to put my OBJECT_A food in the bathroom because my OBJECT_B won't go in because he is afraid of the bathtub.	NO_COMP	False	
How many times have you grabbed a bag of OBJECT_A or OBJECT_B food because it's the same brand your parents used to [...]	NO_COMP	False	
The Bonny Blog deserves a bunch of follows-the posts will make you feel better, and often there's a OBJECT_A or a OBJECT_B.	NO_COMP	False	
All of our OBJECT_A and OBJECT_B treat recipes contain no wheat, no corn and no soy which means better digestion and a healthier and happier pet.	NO_COMP	False	
And either a OBJECT_A or a OBJECT_B is a way better choice than any other possible pet.	UNCLEAR	True	
I am sure his OBJECT_A brother will thank me when he comes home a much better OBJECT_B.	NO_COMP	False	
Egypt - Not all place names should be turned into a name for your child... maybe this would be better on your OBJECT_A or OBJECT_B?	NO_COMP	False	
Modify the OBJECT_A class to include a new instance variable weight (double) and the OBJECT_B... better.	NO_COMP	False	
Should you or your OBJECT_A-OBJECT_B drink a pyrethoids you would experience dry mouth because it will close the saliva glans temporary.	NO_COMP	False	
It's impossible to determine whether a OBJECT_A is behaving in an unusual manner because it smells an earthquake coming or a OBJECT_B across the street.	NO_COMP	False	
Collars are great because they visually mark your OBJECT_A or OBJECT_B as being part of a family.	NO_COMP	False	
Actually, we're pretty sure he doesn't know he's a OBJECT_A because he acts more like a OBJECT_B.	NO_COMP	False	
This might mean they don't have Sprocket around, but mabye this new Family could have another Muppet OBJECT_A or better yet, a Muppet OBJECT_B, who hates the Fraggles.	WORSE	True	tricky
The recall by Natura because of salmonella contamination has now expanded to include all Natura dry OBJECT_A and OBJECT_B foods with a range of expiration dates.	NO_COMP	False	
