id	text_html	text_readable	gold_label	a	b	marker	raw_text
I1250153644	Indeed, this has nothing in particular to do with <span style="color: #9A14B2; font-weight: bold">Windows XP:[OBJECT_A]</span>, however <span style="color: #6CB219; font-weight: bold">Windows Vista:[OBJECT_B]</span> is becoming worse with respect to integrating DRM into the OS.	Indeed, this has nothing in particular to do with *Windows XP*, however §Windows Vista$ is becoming worse with respect to integrating DRM into the OS.	B	Windows XP	Windows Vista	TRUE	Indeed, this has nothing in particular to do with Windows XP, however Windows Vista is becoming worse with respect to integrating DRM into the OS.
B258332174	And if you are really wondering why WE think that <span style="color: #9A14B2; font-weight: bold">OpenGL:[OBJECT_A]</span> is better than D3D, you can search the forum with the keyword "<span style="color: #6CB219; font-weight: bold">Direct3D:[OBJECT_B]</span>".	And if you are really wondering why WE think that *OpenGL* is better than D3D, you can search the forum with the keyword "§Direct3D$".	B	OpenGL	Direct3D	TRUE	And if you are really wondering why WE think that OpenGL is better than D3D, you can search the forum with the keyword "Direct3D".
R2815318259	This can skew expectations because an implementation may perform very well on <span style="color: #9A14B2; font-weight: bold">Integer:[OBJECT_A]</span> math and considerably worse on <span style="color: #6CB219; font-weight: bold">Floating-point:[OBJECT_B]</span> math due to the objects created (and collected).	This can skew expectations because an implementation may perform very well on *Integer* math and considerably worse on §Floating-point$ math due to the objects created (and collected).	B	Integer	Floating-point	TRUE	This can skew expectations because an implementation may perform very well on integer math and considerably worse on floating-point math due to the objects created (and collected).
L1880797495	O.k. there is that part about <span style="color: #9A14B2; font-weight: bold">Python:[OBJECT_A]</span> being nicer than <span style="color: #6CB219; font-weight: bold">Lisp:[OBJECT_B]</span>.	O.k. there is that part about *Python* being nicer than §Lisp$.	B	Python	Lisp	TRUE	O.k. there is that part about Python being nicer than Lisp.
B218885239	Also the entire menu system is being rewritten (again) for the Debian base (using sysvinit rather than upstart), but this time it'll be in <span style="color: #9A14B2; font-weight: bold">Python:[OBJECT_A]</span> rather than in <span style="color: #6CB219; font-weight: bold">Bash:[OBJECT_B]</span> (which should make it quite a bit faster as well).	Also the entire menu system is being rewritten (again) for the Debian base (using sysvinit rather than upstart), but this time it'll be in *Python* rather than in §Bash$ (which should make it quite a bit faster as well).	B	Python	Bash	TRUE	Also the entire menu system is being rewritten (again) for the Debian base (using sysvinit rather than upstart), but this time it'll be in Python rather than in Bash (which should make it quite a bit faster as well).
P2447016108	The consensus seems to be that <span style="color: #9A14B2; font-weight: bold">Java:[OBJECT_A]</span> killed <span style="color: #6CB219; font-weight: bold">Smalltalk:[OBJECT_B]</span>.	The consensus seems to be that *Java* killed §Smalltalk$.	B	Java	Smalltalk	FALSE	The consensus seems to be that Java killed Smalltalk.
T3224820173	Yes, <span style="color: #9A14B2; font-weight: bold">CUDA:[OBJECT_A]</span> has been around longer, receives more support, and is a better product in almost all ways then <span style="color: #6CB219; font-weight: bold">OpenCL:[OBJECT_B]</span>.	Yes, *CUDA* has been around longer, receives more support, and is a better product in almost all ways then §OpenCL$.	B	CUDA	OpenCL	TRUE	Yes, CUDA has been around longer, receives more support, and is a better product in almost all ways then OpenCL.
I1262972660	In FPGAs, <span style="color: #9A14B2; font-weight: bold">Integer:[OBJECT_A]</span> or fixed-point math can often run 10 to 100 times faster than <span style="color: #6CB219; font-weight: bold">Floating-point:[OBJECT_B]</span> computations.	In FPGAs, *Integer* or fixed-point math can often run 10 to 100 times faster than §Floating-point$ computations.	B	Integer	Floating-point	TRUE	In FPGAs, integer or fixed-point math can often run 10 to 100 times faster than floating-point computations.
I1405475570	It is easier to install and seems to work well with <span style="color: #9A14B2; font-weight: bold">Windows XP:[OBJECT_A]</span> but crashed a lot on <span style="color: #6CB219; font-weight: bold">Windows 98:[OBJECT_B]</span> (at least when I tested it).	It is easier to install and seems to work well with *Windows XP* but crashed a lot on §Windows 98$ (at least when I tested it).	B	Windows XP	Windows 98	TRUE	It is easier to install and seems to work well with Windows XP but crashed a lot on Windows 98 (at least when I tested it).
K1676248405	Many processors can do <span style="color: #9A14B2; font-weight: bold">Integer:[OBJECT_A]</span> calculations much faster than similar <span style="color: #6CB219; font-weight: bold">Floating-point:[OBJECT_B]</span> operations.	Many processors can do *Integer* calculations much faster than similar §Floating-point$ operations.	B	Integer	Floating-point	TRUE	Many processors can do integer calculations much faster than similar floating-point operations.
J1532423700	I would do it via <span style="color: #9A14B2; font-weight: bold">USB:[OBJECT_A]</span> (assuming that's much faster than <span style="color: #6CB219; font-weight: bold">Bluetooth:[OBJECT_B]</span>).	I would do it via *USB* (assuming that's much faster than §Bluetooth$).	B	USB	Bluetooth	TRUE	I would do it via USB (assuming that's much faster than bluetooth).
H1195869632	I'm asking about <span style="color: #9A14B2; font-weight: bold">Perl:[OBJECT_A]</span> because I believe it is more stable, more secure and faster than <span style="color: #6CB219; font-weight: bold">PHP:[OBJECT_B]</span>.	I'm asking about *Perl* because I believe it is more stable, more secure and faster than §PHP$.	B	PHP	Perl	TRUE	I'm asking about Perl because I believe it is more stable, more secure and faster than PHP.
B173597317	A further advantage of perl or <span style="color: #9A14B2; font-weight: bold">Python:[OBJECT_A]</span> (or ruby) would be that these should all have libraries for interfacing with matlab, and much better data structures than <span style="color: #6CB219; font-weight: bold">Bash:[OBJECT_B]</span> for tables.	A further advantage of perl or *Python* (or ruby) would be that these should all have libraries for interfacing with matlab, and much better data structures than §Bash$ for tables.	B	Python	Bash	TRUE	A further advantage of perl or python (or ruby) would be that these should all have libraries for interfacing with matlab, and much better data structures than bash for tables.
P2480914915	The fact <span style="color: #9A14B2; font-weight: bold">OpenCL:[OBJECT_A]</span> works better than <span style="color: #6CB219; font-weight: bold">CUDA:[OBJECT_B]</span>-accel and is being adopted more and works better on AMD, for productivity this matters.	The fact *OpenCL* works better than §CUDA$-accel and is being adopted more and works better on AMD, for productivity this matters.	B	CUDA	OpenCL	TRUE	The fact OpenCL works better than CUDA-accel and is being adopted more and works better on AMD, for productivity this matters.
Q2762613615	The <span style="color: #9A14B2; font-weight: bold">Windows 8:[OBJECT_A]</span> Desktop is essentially a much, much faster and cleaner version of <span style="color: #6CB219; font-weight: bold">Windows 7:[OBJECT_B]</span>. People are morons.	The *Windows 8* Desktop is essentially a much, much faster and cleaner version of §Windows 7$. People are morons.	B	Windows 7	Windows 8	TRUE	The Windows 8 Desktop is essentially a much, much faster and cleaner version of Windows 7. People are morons.
E689714843	Extended desktop in <span style="color: #9A14B2; font-weight: bold">Windows 8:[OBJECT_A]</span> works so much better than <span style="color: #6CB219; font-weight: bold">Windows 7:[OBJECT_B]</span>, it's not even funny.	Extended desktop in *Windows 8* works so much better than §Windows 7$, it's not even funny.	B	Windows 7	Windows 8	TRUE	Extended desktop in Windows 8 works so much better than Windows 7, it's not even funny.
T3158247725	While <span style="color: #9A14B2; font-weight: bold">Haskell:[OBJECT_A]</span>, Scala, Clojure, etc. are much better than <span style="color: #6CB219; font-weight: bold">Java:[OBJECT_B]</span> or C#, they are still more complex than necessary for many applications.	While *Haskell*, Scala, Clojure, etc. are much better than §Java$ or C#, they are still more complex than necessary for many applications.	B	Java	Haskell	TRUE	While Haskell, Scala, Clojure, etc. are much better than Java or C#, they are still more complex than necessary for many applications.
F737934514	For a performance-critical Pig UDF, <span style="color: #9A14B2; font-weight: bold">Java:[OBJECT_A]</span> is much faster than either <span style="color: #6CB219; font-weight: bold">Python:[OBJECT_B]</span> or Jython.	For a performance-critical Pig UDF, *Java* is much faster than either §Python$ or Jython.	B	Java	Python	TRUE	For a performance-critical Pig UDF, Java is much faster than either Python or Jython.
J1537175243	I would state the same reason C/<span style="color: #9A14B2; font-weight: bold">Java:[OBJECT_A]</span> is better than <span style="color: #6CB219; font-weight: bold">Python:[OBJECT_B]</span> for enterprise-size solutions.	I would state the same reason C/*Java* is better than §Python$ for enterprise-size solutions.	B	Java	Python	TRUE	I would state the same reason C/Java is better than Python for enterprise-size solutions.
T3246978946	you can write serious programs in <span style="color: #9A14B2; font-weight: bold">Lisp:[OBJECT_A]</span> faster than in <span style="color: #6CB219; font-weight: bold">Python:[OBJECT_B]</span>... ;-)	you can write serious programs in *Lisp* faster than in §Python$... ;-)	B	Python	Lisp	TRUE	you can write serious programs in Lisp faster than in Python... ;-)
P2476512001	The <span style="color: #9A14B2; font-weight: bold">Ethernet:[OBJECT_A]</span> bridge tends to be slightly faster than a <span style="color: #6CB219; font-weight: bold">USB:[OBJECT_B]</span> adapter.	The *Ethernet* bridge tends to be slightly faster than a §USB$ adapter.	B	USB	Ethernet	TRUE	The ethernet bridge tends to be slightly faster than a USB adapter.
A62646829	2. <span style="color: #9A14B2; font-weight: bold">PHP:[OBJECT_A]</span> is much faster than <span style="color: #6CB219; font-weight: bold">Java:[OBJECT_B]</span> and can replace C or any shell scripting language on a command line interface.	2. *PHP* is much faster than §Java$ and can replace C or any shell scripting language on a command line interface.	B	Java	PHP	TRUE	2. PHP is much faster than JAVA and can replace C or any shell scripting language on a command line interface.
N2221112246	@Slava: FUD! Shameless FUD! <span style="color: #9A14B2; font-weight: bold">Groovy:[OBJECT_A]</span> is definitely not thousands times slower than <span style="color: #6CB219; font-weight: bold">Java:[OBJECT_B]</span>!	@Slava: FUD! Shameless FUD! *Groovy* is definitely not thousands times slower than §Java$!	B	Java	Groovy	TRUE	@Slava: FUD! Shameless FUD! Groovy is definitely not thousands times slower than Java!
J1415204459	It is still fascinating to see an <span style="color: #9A14B2; font-weight: bold">OpenGL:[OBJECT_A]</span> version of L4D2 run faster than the <span style="color: #6CB219; font-weight: bold">Direct3D:[OBJECT_B]</span> version for Windows, but that begs the question of how is that possible?	It is still fascinating to see an *OpenGL* version of L4D2 run faster than the §Direct3D$ version for Windows, but that begs the question of how is that possible?	B	OpenGL	Direct3D	TRUE	It is still fascinating to see an OpenGL version of L4D2 run faster than the Direct3D version for Windows, but that begs the question of how is that possible?
I1273454584	In my opinion, <span style="color: #9A14B2; font-weight: bold">Windows 7:[OBJECT_A]</span> is far superior to <span style="color: #6CB219; font-weight: bold">Windows 8:[OBJECT_B]</span>, for standard laptops and desktop PCs.	In my opinion, *Windows 7* is far superior to §Windows 8$, for standard laptops and desktop PCs.	B	Windows 7	Windows 8	TRUE	In my opinion, Windows 7 is far superior to Windows 8, for standard laptops and desktop PCs.
J1456301572	It's much faster to write an application in <span style="color: #9A14B2; font-weight: bold">Perl:[OBJECT_A]</span> than in C or <span style="color: #6CB219; font-weight: bold">Java:[OBJECT_B]</span>.	It's much faster to write an application in *Perl* than in C or §Java$.	B	Java	Perl	TRUE	It's much faster to write an application in Perl than in C or Java.
J1448752061	It's funny--I love it when doing <span style="color: #9A14B2; font-weight: bold">Smalltalk:[OBJECT_A]</span>, not so much when coding <span style="color: #6CB219; font-weight: bold">Java:[OBJECT_B]</span> .	It's funny--I love it when doing *Smalltalk*, not so much when coding §Java$ .	B	Java	Smalltalk	FALSE	It's funny--I love it when doing Smalltalk, not so much when coding Java .
M2054183869	<span style="color: #9A14B2; font-weight: bold">Python:[OBJECT_A]</span>, in my informal tests, is a bit faster than <span style="color: #6CB219; font-weight: bold">Ruby:[OBJECT_B]</span> -- anywhere from 10% to 40%.	*Python*, in my informal tests, is a bit faster than §Ruby$ -- anywhere from 10% to 40%.	B	Ruby	Python	TRUE	Python, in my informal tests, is a bit faster than Ruby -- anywhere from 10% to 40%.
I1388099075	I think languages like <span style="color: #9A14B2; font-weight: bold">Haskell:[OBJECT_A]</span>, ML and Scheme are actually easier to learn than languages like C/C++, VB, C# and <span style="color: #6CB219; font-weight: bold">Java:[OBJECT_B]</span>.	I think languages like *Haskell*, ML and Scheme are actually easier to learn than languages like C/C++, VB, C# and §Java$.	B	Java	Haskell	TRUE	I think languages like Haskell, ML and Scheme are actually easier to learn than languages like C/C++, VB, C# and Java.
G976657289	However, I think <span style="color: #9A14B2; font-weight: bold">Scala:[OBJECT_A]</span> makes it easier to build and test JBoss AS extensions/subsystems compared to <span style="color: #6CB219; font-weight: bold">Java:[OBJECT_B]</span> .	However, I think *Scala* makes it easier to build and test JBoss AS extensions/subsystems compared to §Java$ .	B	Java	Scala	TRUE	However, I think Scala makes it easier to build and test JBoss AS extensions/subsystems compared to Java .
S3113709366	What <span style="color: #9A14B2; font-weight: bold">PHP:[OBJECT_A]</span> does better than <span style="color: #6CB219; font-weight: bold">Perl:[OBJECT_B]</span> is packaging.	What *PHP* does better than §Perl$ is packaging.	B	PHP	Perl	TRUE	What PHP does better than Perl is packaging.
S3061179901	We'll begin by discussing functional programming styles, how we use functional programming today in <span style="color: #9A14B2; font-weight: bold">Groovy:[OBJECT_A]</span>, and how the constructs of <span style="color: #6CB219; font-weight: bold">Java:[OBJECT_B]</span> 8 offer a better functional programming style.	We'll begin by discussing functional programming styles, how we use functional programming today in *Groovy*, and how the constructs of §Java$ 8 offer a better functional programming style.	N	Java	Groovy	TRUE	We'll begin by discussing functional programming styles, how we use functional programming today in Groovy, and how the constructs of Java 8 offer a better functional programming style.
J1510168377	I want it to become a way to interface to <span style="color: #9A14B2; font-weight: bold">Java:[OBJECT_A]</span> easily and the <span style="color: #6CB219; font-weight: bold">Smalltalk:[OBJECT_B]</span> way.	I want it to become a way to interface to *Java* easily and the §Smalltalk$ way.	N	Java	Smalltalk	FALSE	I want it to become a way to interface to Java easily and the Smalltalk way.
P2439208129	The code was written in a metalanguage I implemented to make porting between <span style="color: #9A14B2; font-weight: bold">Objective-C:[OBJECT_A]</span>, <span style="color: #6CB219; font-weight: bold">Java:[OBJECT_B]</span>, C++ and C# easier.	The code was written in a metalanguage I implemented to make porting between *Objective-C*, §Java$, C++ and C# easier.	N	Java	Objective-C	TRUE	The code was written in a metalanguage I implemented to make porting between Objective-C, Java, C++ and C# easier.
E688265261	Expert C developer; solid Java, C++, <span style="color: #9A14B2; font-weight: bold">Python:[OBJECT_A]</span>, <span style="color: #6CB219; font-weight: bold">JavaScript:[OBJECT_B]</span>, HTML, JSP, CSS skills among others	Expert C developer; solid Java, C++, *Python*, §JavaScript$, HTML, JSP, CSS skills among others	N	Python	JavaScript	TRUE	Expert C developer; solid Java, C++, Python, JavaScript, HTML, JSP, CSS skills among others
L1792005773	Network connectivity is restricted to slower 10/100 'Fast' <span style="color: #9A14B2; font-weight: bold">Ethernet:[OBJECT_A]</span> and Wireless-G Wi-Fi, as opposed to the Gigabit and Wireless-N Wi-Fi oft demanded these days, though <span style="color: #6CB219; font-weight: bold">Bluetooth:[OBJECT_B]</span> is at least included.	Network connectivity is restricted to slower 10/100 'Fast' *Ethernet* and Wireless-G Wi-Fi, as opposed to the Gigabit and Wireless-N Wi-Fi oft demanded these days, though §Bluetooth$ is at least included.	N	Ethernet	Bluetooth	TRUE	Network connectivity is restricted to slower 10/100 'Fast' Ethernet and Wireless-G Wi-Fi, as opposed to the Gigabit and Wireless-N Wi-Fi oft demanded these days, though Bluetooth is at least included.
S3053834733	We have superior knowledge in all of the following categories; SEO, SEM, flash , html, <span style="color: #9A14B2; font-weight: bold">PHP:[OBJECT_A]</span>, aspx, css, <span style="color: #6CB219; font-weight: bold">JavaScript:[OBJECT_B]</span>, mysql, shopping carts and more.	We have superior knowledge in all of the following categories; SEO, SEM, flash , html, *PHP*, aspx, css, §JavaScript$, mysql, shopping carts and more.	N	PHP	JavaScript	TRUE	We have superior knowledge in all of the following categories; SEO, SEM, flash , html, php, aspx, css, javascript, mysql, shopping carts and more.
T3258524302	You'll learn How to call <span style="color: #9A14B2; font-weight: bold">Swift:[OBJECT_A]</span> from <span style="color: #6CB219; font-weight: bold">Objective-C:[OBJECT_B]</span> from the Automatically Generated Header.	You'll learn How to call *Swift* from §Objective-C$ from the Automatically Generated Header.	N	Swift	Objective-C	FALSE	You'll learn How to call Swift from Objective-C from the Automatically Generated Header.
I1350817982	Is <span style="color: #9A14B2; font-weight: bold">NetBeans:[OBJECT_A]</span> very different from <span style="color: #6CB219; font-weight: bold">Eclipse:[OBJECT_B]</span>?	Is *NetBeans* very different from §Eclipse$?	N	Eclipse	NetBeans	FALSE	Is netbeans very different from eclipse?
F738920391	For better or worse, <span style="color: #9A14B2; font-weight: bold">Ruby:[OBJECT_A]</span>, <span style="color: #6CB219; font-weight: bold">Python:[OBJECT_B]</span>, JavaScript and so on have changed how people see programming.	For better or worse, *Ruby*, §Python$, JavaScript and so on have changed how people see programming.	N	Ruby	Python	TRUE	For better or worse, Ruby, Python, JavaScript and so on have changed how people see programming.
H1112689265	If you enjoy Windows 64bit operating system, such as <span style="color: #9A14B2; font-weight: bold">Windows XP:[OBJECT_A]</span> or <span style="color: #6CB219; font-weight: bold">Windows Vista:[OBJECT_B]</span> 64-bit editions, now you can make better use of that "extra power".	If you enjoy Windows 64bit operating system, such as *Windows XP* or §Windows Vista$ 64-bit editions, now you can make better use of that "extra power".	N	Windows XP	Windows Vista	TRUE	If you enjoy Windows 64bit operating system, such as Windows XP or Windows Vista 64-bit editions, now you can make better use of that "extra power".
D395506928	But is it better than <span style="color: #9A14B2; font-weight: bold">Windows 7:[OBJECT_A]</span>? Is it worth upgrading to <span style="color: #6CB219; font-weight: bold">Windows 8:[OBJECT_B]</span>?	But is it better than *Windows 7*? Is it worth upgrading to §Windows 8$?	N	Windows 7	Windows 8	TRUE	But is it better than Windows 7? Is it worth upgrading to Windows 8?
K1730547029	more acquainted with Common Lisp, <span style="color: #9A14B2; font-weight: bold">Java:[OBJECT_A]</span> and <span style="color: #6CB219; font-weight: bold">Smalltalk:[OBJECT_B]</span>.	more acquainted with Common Lisp, *Java* and §Smalltalk$.	N	Java	Smalltalk	FALSE	more acquainted with Common Lisp, Java and Smalltalk.
I1279011583	In other words migrating from <span style="color: #9A14B2; font-weight: bold">Windows XP:[OBJECT_A]</span> or Windows 7 should be made easier by going the <span style="color: #6CB219; font-weight: bold">Windows 8:[OBJECT_B]</span> route.	In other words migrating from *Windows XP* or Windows 7 should be made easier by going the §Windows 8$ route.	N	Windows XP	Windows 8	TRUE	In other words migrating from Windows XP or Windows 7 should be made easier by going the Windows 8 route.
N2217340515	sirrobert: I wrote a lot of <span style="color: #9A14B2; font-weight: bold">Perl:[OBJECT_A]</span> 5 [that generates C] last week, a ton of NQP the several weeks before that, a bunch of C the weeks before that, a bunch of Java at $dayjob before that, a ton of <span style="color: #6CB219; font-weight: bold">JavaScript:[OBJECT_B]</span> before that, a decent amount of C# before that, and I don't remember more than 6 months ago.	sirrobert: I wrote a lot of *Perl* 5 [that generates C] last week, a ton of NQP the several weeks before that, a bunch of C the weeks before that, a bunch of Java at $dayjob before that, a ton of §JavaScript$ before that, a decent amount of C# before that, and I don't remember more than 6 months ago.	N	Perl	JavaScript	TRUE	sirrobert: I wrote a lot of Perl 5 [that generates C] last week, a ton of NQP the several weeks before that, a bunch of C the weeks before that, a bunch of Java at $dayjob before that, a ton of JavaScript before that, a decent amount of C# before that, and I don't remember more than 6 months ago.
L1791482362	<span style="color: #9A14B2; font-weight: bold">NetBeans:[OBJECT_A]</span> guys aren't like <span style="color: #6CB219; font-weight: bold">Eclipse:[OBJECT_B]</span> developers.	*NetBeans* guys aren't like §Eclipse$ developers.	N	Eclipse	NetBeans	FALSE	Netbeans guys aren't like Eclipse developers.
L1825141526	Not a luxury ride but very decent and great features for the price (<span style="color: #9A14B2; font-weight: bold">Bluetooth:[OBJECT_A]</span>, navigation, <span style="color: #6CB219; font-weight: bold">USB:[OBJECT_B]</span> port, leather, AWD, heated front seats, moon roof, etc.).	Not a luxury ride but very decent and great features for the price (*Bluetooth*, navigation, §USB$ port, leather, AWD, heated front seats, moon roof, etc.).	N	USB	Bluetooth	TRUE	Not a luxury ride but very decent and great features for the price (bluetooth, navigation, USB port, leather, AWD, heated front seats, moon roof, etc.).
J1545132302	<span style="color: #9A14B2; font-weight: bold">Java:[OBJECT_A]</span>, <span style="color: #6CB219; font-weight: bold">Smalltalk:[OBJECT_B]</span>, and Scheme pass this test as well.	*Java*, §Smalltalk$, and Scheme pass this test as well.	N	Java	Smalltalk	FALSE	Java, Smalltalk, and Scheme pass this test as well.
N2212770281	Since text processing features in Windows were lot inferior, to make life easy, we had downloaded Unix Command line port of many of its popular utilities such as grep, <span style="color: #9A14B2; font-weight: bold">AWK:[OBJECT_A]</span>, <span style="color: #6CB219; font-weight: bold">Sed:[OBJECT_B]</span>, curl, lynx, wget, mycurl (just to name a few).	Since text processing features in Windows were lot inferior, to make life easy, we had downloaded Unix Command line port of many of its popular utilities such as grep, *AWK*, §Sed$, curl, lynx, wget, mycurl (just to name a few).	N	Sed	AWK	TRUE	Since text processing features in Windows were lot inferior, to make life easy, we had downloaded Unix Command line port of many of its popular utilities such as grep, awk, sed, curl, lynx, wget, mycurl (just to name a few).
O2306334493	Store unlimited Cocoa/<span style="color: #9A14B2; font-weight: bold">Objective-C:[OBJECT_A]</span>/<span style="color: #6CB219; font-weight: bold">Swift:[OBJECT_B]</span> snippets.	Store unlimited Cocoa/*Objective-C*/§Swift$ snippets.	N	Swift	Objective-C	FALSE	Store unlimited Cocoa/Objective-C/Swift snippets.
I1361546368	Is <span style="color: #9A14B2; font-weight: bold">Windows 8:[OBJECT_A]</span> better than <span style="color: #6CB219; font-weight: bold">Windows 7:[OBJECT_B]</span>, its predecessor?	Is *Windows 8* better than §Windows 7$, its predecessor?	N	Windows 7	Windows 8	TRUE	Is Windows 8 better than windows 7, its predecessor?
M2090903913	Re: <span style="color: #9A14B2; font-weight: bold">MySQL:[OBJECT_A]</span> to <span style="color: #6CB219; font-weight: bold">Oracle:[OBJECT_B]</span>	Re: *MySQL* to §Oracle$	N	Oracle	MySQL	FALSE	Re: mysql to oracle
M1926920044	<span style="color: #9A14B2; font-weight: bold">Oracle:[OBJECT_A]</span>, <span style="color: #6CB219; font-weight: bold">MySQL:[OBJECT_B]</span>.	*Oracle*, §MySQL$.	N	Oracle	MySQL	FALSE	Oracle, Mysql.
E635911781	<span style="color: #9A14B2; font-weight: bold">Eclipse:[OBJECT_A]</span>, <span style="color: #6CB219; font-weight: bold">NetBeans:[OBJECT_B]</span> and Lobo (the Java browser).	*Eclipse*, §NetBeans$ and Lobo (the Java browser).	N	Eclipse	NetBeans	FALSE	Eclipse, Netbeans and Lobo (the Java browser).
L1841410001	Novices and "accidental" users with strong Dos/Windows background and mainly Dos/windows-based OFM motor skills (although that does not necessary means that they do not know Unix commands on advanced or "power user" level -- for example I know Unix shell, <span style="color: #9A14B2; font-weight: bold">AWK:[OBJECT_A]</span> and <span style="color: #6CB219; font-weight: bold">Perl:[OBJECT_B]</span> on a pretty decent level).	Novices and "accidental" users with strong Dos/Windows background and mainly Dos/windows-based OFM motor skills (although that does not necessary means that they do not know Unix commands on advanced or "power user" level -- for example I know Unix shell, *AWK* and §Perl$ on a pretty decent level).	N	Perl	AWK	TRUE	Novices and "accidental" users with strong Dos/Windows background and mainly Dos/windows-based OFM motor skills (although that does not necessary means that they do not know Unix commands on advanced or "power user" level -- for example I know Unix shell, Awk and Perl on a pretty decent level).
J1562648909	JS is better than GWT? <span style="color: #9A14B2; font-weight: bold">Scala:[OBJECT_A]</span> is better for <span style="color: #6CB219; font-weight: bold">Java:[OBJECT_B]</span> in the enterprise?	JS is better than GWT? *Scala* is better for §Java$ in the enterprise?	N	Java	Scala	TRUE	JS is better than GWT? Scala is better for Java in the enterprise?
N2120533556	- <span style="color: #9A14B2; font-weight: bold">Ruby:[OBJECT_A]</span>, Python, PHP, <span style="color: #6CB219; font-weight: bold">Java:[OBJECT_B]</span>: clients updated	- *Ruby*, Python, PHP, §Java$: clients updated	N	Java	Ruby	FALSE	- Ruby, Python, PHP, Java: clients updated
