id	sentence	a	b	without_marker
74	Drawers have a center mounted metal Kenlin drawer glide system with solid pine fronts.	Metal	Glide	True
75	drawers with solid wood sides glide on metal runners with built-in safety stops.-Finger	Metal	Glide	True
76	Sturdy solid wood construction with metal enclosed ball bearings for smoother glide motion ... .	Metal	Glide	True
77	The Jenny... Solid poplar with low emission engineered wood - Smooth rolling metal drawer glide - Solid wood, 5-sided drawer boxes	Metal	Glide	True
78	Just remember how much faster were games using just dedicatwed libraries like 3dfx Glide or S3 Metal.	Metal	Glide	True
79	Featuring a sleek design, this high quality sliding shower door incorporates solid metal twin rollers for a resistance free glide.	Metal	Glide	True
80	Style: Rustic Cover: Black Cherry Drawers have a center mounted metal Kenlin drawer glide system with solid pine fronts.	Metal	Glide	True
81	Vulkan and OpenGL can, and should coexist!	OpenGL	Vulkan	False
82	How to make OpenGL usage Vulkan like	OpenGL	Vulkan	False
83	Vulkan and OpenGL are two different paths.	OpenGL	Vulkan	False
84	What is Vulkan and how does it differ from OpenGL?	OpenGL	Vulkan	False
85	AMD will now focus on DirectX 12 and Vulkan (OpenGL successor by Khronos Group).	OpenGL	Vulkan	False
86	DirectGMA, FirePro Development, GPU Developer Tools, HSA, OpenCL, OpenGL, Vulkan and Steam Linux among others.	OpenGL	Vulkan	False
87	You can think of the Vulkan API as the spiritual successor to OpenGL.	OpenGL	Vulkan	False
88	This way, to put it in 90s terms: Vulkan could be the assembly language of OpenGL.	OpenGL	Vulkan	False
89	There is a new level of complexity to Vulkan, that didn't really exist in OpenGL before.	OpenGL	Vulkan	False
90	Like OpenGL™ ES, Vulkan is an open standard for 3D graphics and rendering maintained by Khronos.	OpenGL	Vulkan	False
91	Glide is or WAS so superior to openGL or even D3D.	OpenGL	Glide	False
92	I remebr that 3Dfx did the same for OpenGL, wrapping their neat decent API, called Glide.	OpenGL	Glide	False
93	3Dfx will be dropping Glide for OpenGL and will give better Linux support.	OpenGL	Glide	False
94	It's really shame, since OpenGL and Glide are better, but what does average joe care about.	OpenGL	Glide	False
95	I also remember that in its day Glide was faster and resulted in higher quality 3d than OpenGL or DirectX.	OpenGL	Glide	False
96	The Glide mode that was present in every game I owned back then was far superior to the OpenGL or Directx counterparts.	OpenGL	Glide	False
97	The real joke is that neither DX9 nor DX10 are inherently "better" any more than the original Glide API was inherently "better" than DirectX or OpenGL.	OpenGL	Glide	False
98	Using an OpenGL wrapper would be easier and more sensible - it's not like the old games using Glide wouldn't still run at full speed.	OpenGL	Glide	False
99	Ogre and OpenGL ES	OpenGL	OGRE	False
100	DirectX, OpenGL, OGRE, ODG, Java3D, ...)	OpenGL	OGRE	False
101	The old OpenGL and the OGRE engine.	OpenGL	OGRE	False
102	For OpenGL, DirectX, OpenSceneGraph, Ogre, & more.	OpenGL	OGRE	False
103	DirectX, OpenGL... Did you think OGRE supports them?	OpenGL	OGRE	False
104	On Directx Opengl And Ogre Is An Added Advantage.basic	OpenGL	OGRE	False
105	OpenGL vs OGRE : Which is the best for beginner?	OpenGL	OGRE	False
106	Comes with reference implementations for OpenGL and the Ogre rendering engine.	OpenGL	OGRE	False
107	Double check the OGRE cmake output, and make sure OpenGL is enabled.	OpenGL	OGRE	False
108	file tells Ogre which rendering libraries are available (Direct3D9, OpenGL, etc.).	OpenGL	OGRE	False
109	I/OGRE(31822): RenderSystem Name: OpenGL ES 2.x Rendering Subsystem	OpenGL	OGRE	False
110	Here you can see a list of applications, languages, and tools I use in my daily life: Applications: Videogames, Games, 3D Editors, Medical Applications Programming languages: C/C++, Objective-C, Java, C#, Visual Basic, Javascript Frameworks/APIs: OpenGL, ARToolkit, Cocos2dx, UIKit, Qt, Ogre, VTK, ITK, OpenSceneGraph, Unity3D, WebGL, Three.js	VTK	OGRE	False
111	Here you can see a list of applications , languages, and tools I use in my daily life: Applications : Videogames, Games, 3D Editors, Medical Applications Programming languages: C/C++, Objective-C, Java, C#, Visual Basic, Javascript Frameworks/APIs: OpenGL, ARToolkit, Cocos2dx, UIKit, Qt, Ogre, VTK, ITK, OpenSceneGraph, Unity3D, WebGL, Three.js	VTK	OGRE	False
112	Ogre) since the interaction with the CogServer is quite specific and is visualizing highly dynamic data - rather than relatively static or slowly changing datasets which are more commonly used with VTK (as far as I can tell, it might not have this limitation!).	VTK	OGRE	False
113	There are a few things that make Ogre better than Crystal Space 3D:	Crystal Space	OGRE	False
114	I understand that Ogre and Crystal Space for instance can utilise the Bullet Physics engine which along with ODE are better at simulating things like soft body collision than the Unreal engine.	Crystal Space	OGRE	False
115	Target: Moderate Language: C++ Pros: - Fast Fast Fast - Easier than OGRE or OpenSceneGraph - Flexible Cons: - Not the prettiest thing, but there are many more important things - C++ and .NET	OpenSceneGraph	OGRE	False
116	How is OpenSceneGraph ?? Is it as strong as Open Inventor.	OpenSceneGraph	Open Inventor	False
117	!OpenGL and/or OpenSceneGraph and/or Open Inventor	OpenSceneGraph	Open Inventor	False
118	Although not directly related to the OpenSceneGraph, once can learn about scene graph technology from such sources as the Open Inventor Mentor , and Performer Programming Guides .	OpenSceneGraph	Open Inventor	False
119	- Standard metal surface for RenderMan Interface.	RenderMan	Metal	False
120	IMHO the metal shaders in MR looks a lot better, but the clothes in renderman are better.	RenderMan	Metal	False
121	In the standard RenderMan shaders, metal shaders multiply the color of specular highlights by the "base color" of the material.	RenderMan	Metal	False
122	We're rendering everything in RenderMan and we have our core shader library, so every metal shader is made of in-house shading components with different specular models and others."	RenderMan	Metal	False
123	Trixter, which used a combination of Maya, Nuke, Mari, RenderMan, FumeFX, 3ds Max and Photoshop, tried to make us forget that it was man in an iron suit massaging Pepper, that you imagine Stark through the metal.	RenderMan	Metal	False
124	His flirtation with CG began with The Abyss , which also employed RenderMan, in 1989, but when he brought the liquid-metal T-1000 to cinema screens he showed the real potential of computer-generated visual effects.	RenderMan	Metal	False
125	The U.S. government attempted to mitigate the privacy threat by putting a metal foil layer on the front and back cover of the passports, but the stiffness of the foil pops the passport open as much as an inch, wide enough for RFID readers to snatch the data, RenderMan said, showing a video to demonstrate this.	RenderMan	Metal	False
126	Whether you render with complex Global Illuminations, Caustics, Ray Casting, Radiosity, Ray Tracing or simple Scan-line Rendering, for high resolution still imagery or highly detailed animation sequences; no mater which software renderer you use (3dsmax, Maya, Metal Ray, Brazil, Vray, Renderman and many more....) our dedicated range of rendering workstations, render nodes / servers or render 3D workstations are a must have addition to any creative design environment.	RenderMan	Metal	False
127	hello all ..im guessing this could be my start for the challenge .. my first time using refractions (gems & metal, default maya shaders) also caustics (renderman) .. im using no gi on this beauty render but i added like occ pass and some gi passes i save in after effects.. also im using a deep focus kinda setting for the cam DoF but still looks a bit intensive is the default cam on the mb file.. no texture work yet :(	RenderMan	Metal	False
128	Irrlicht Engine - Wikipedia, the free encyclopedia Welcome to the new Ogre Wiki!	Irrlicht Engine	OGRE	False
129	Ogre has the commercial infrastructure that ClanLib lacks.	ClanLib	OGRE	False
130	Libraries can be based on OpenGL to provide to higher-level features, such as game 2D sprite management (SFML Graphics, ClanLib...), or complete 3D engines (Irrlicht, Ogre...).	ClanLib	OGRE	False
131	Anyways of the 3 engines I named, the lesser known G3D and ClanLib didn't build on my Linux box, so now I'll be focusing on what Ogre is currently capable of.	ClanLib	OGRE	False
132	For a hobby, they both have pretty good low-level support for graphics etc, and both also have pretty good higher-level libraries for games (jMonkey engine, SDL, SFML, Ogre and many more).	JMonkey Engine	OGRE	True
133	Including NTFS and ext4."	Ext4	NTFS	False
134	fat-32, ntfs, ext4.	Ext4	NTFS	False
135	NTFS, ext3, ext4.	Ext4	NTFS	False
136	NTFS, ext4, etc).	Ext4	NTFS	False
137	ext4 or ntfs?	Ext4	NTFS	False
138	Get NTFS back from ext4	Ext4	NTFS	False
139	FAT32, NTFS, ext2, ext4, etc.)	Ext4	NTFS	False
140	EXT4 supports block journaling (NTFS doesn't).	Ext4	NTFS	False
141	How is it formatted, NTFS or Ext4?	Ext4	NTFS	False
142	(Ext4 if you dont trust F2FS yet.)	Ext4	F2FS	False
143	1 f2fs 2 ext2 3 ext4	Ext4	F2FS	False
144	Tuning Btrfs vs. F2FS, EXT4, XFS File-Systems	Ext4	F2FS	False
145	Linux 3.11 File-System Performance: EXT4, Btrfs, XFS, F2FS	Ext4	F2FS	False
146	F2FS File-System Shows Hope, Runs Against Btrfs & EXT4	Ext4	F2FS	False
147	Linux 3.8 also includes EXT4 and Btrfs improvements as well as the new F2FS Flash filesystem.	Ext4	F2FS	False
148	The HDD/SSD comparison not only included Btrfs but also EXT4, XFS, and F2FS.	Ext4	F2FS	False
149	The stock mount options for EXT4 and F2FS were used throughout testing.	Ext4	F2FS	False
150	Ontopic : it's quite funny, but even on a SSD, ext4 tends to be better than F2FS.	Ext4	F2FS	False
151	Testing EXT4 and F2FS with various tunables will come in a later Phoronix article.	Ext4	F2FS	False
152	GPe uses EXT4 for it's 'userdata' filesystem, non-GPe uses f2fs.	Ext4	F2FS	False
153	Instead, F2FS fared similarly to its EXT4 counterpart in the same bencmarking apps.	Ext4	F2FS	False
154	Why ext4 File System is better than NTFS?	NTFS	Ext4	False
155	I did find that ntfs was 3 times slower than ext4 through USB.	NTFS	Ext4	False
156	though ntfs is far superior to fat, it still is a dinosaur compared to ext4.	NTFS	Ext4	False
157	Again, it seems Linux ext4 filesystem is faster than Windows NTFS file system.	NTFS	Ext4	False
158	My own experience has demonstrated that Ext4 is much faster at bulk file operations than NTFS.	NTFS	Ext4	False
159	1. Yes, EXT4 would make it A LOT faster than with ntfs-3g.	NTFS	Ext4	False
160	The effect of the file system can be noticed with small files: NTFS is slower than ext4.	NTFS	Ext4	False
161	For example, I found it build a Maven project in NTFS is 3 more times slower then ext4.	NTFS	Ext4	False
162	The 'native' implementation of NTFS on windows 7 is much much slower than my ext4 partition with Ubuntu 10.10.	NTFS	Ext4	False
163	EXT4 isn't as fast as EXT2, but it's 3-5x faster than NTFS depending on the settings you pick.	NTFS	Ext4	False
164	exFAT, NTFS and Ext4 support in recovery for external storage through kernel modules for many devices for faster write speed	NTFS	Ext4	False
165	I can't tell a difference because no matter which I choose (ntfs or EXT4) my transfer speed (writes) are slower than snot on a cold day.	NTFS	Ext4	False
166	Unfortunately when I use LUKS ntfs is used to mount the key.	NTFS	LUKS	False
167	It can also create Linux compatible volumes (Cryptoloop "losetup", dm-crypt and LUKS are supported) for FAT32/NTFS.	NTFS	LUKS	False
168	how's the performance of ntfs compared to exfat, f2fs, or ext2/3/4?	NTFS	F2FS	False
169	supports the following formats: btrfs, exfat, ext2, ext3, ext4, f2fs, fat16, fat32, hfs, hfs +, jfs, linux swap , ntfs, reiserfs, reiser4, xfs and zfs.	NTFS	F2FS	False
170	It should be able to detect the drive and format it to NTFS for HDD and something like F2FS for SSD, and then disable/enable services accordingly.	NTFS	F2FS	False
171	File Systems: Linux Ext2/Ext3/Ext4, BtrFS, F2FS, ReiserFS; Microsoft FAT/exFAT, NTFS; Apple HFS+; IBM JFS; Unix UFS, XFS, ZFS Storages: SATA / eSATA / HDD /.	NTFS	F2FS	False
172	Partclone now supports ext2, ext3, ext4, hfs+, reiserfs, reiser4, btrfs, vmfs3, vmfs5, xfs, jfs, ufs, ntfs, fat(12/16/32), exfat, f2fs, nilfs.	NTFS	F2FS	False
173	This is possible because all partitions are mounted automatically during boot so that they can be scanned by ClamAV (the supported filesystems are: btrfs, ext2, ext3, ext4, f2fs, fat16, fat32, hfs, hfs+, jfs, nilfs2, ntfs, reiser4, reiserfs, and xfs).	NTFS	F2FS	False
174	File Systems: Linux Ext2/Ext3/Ext4, BtrFS, F2FS, ReiserFS; Microsoft FAT/exFAT, NTFS; Apple HFS+; IBM JFS; Unix UFS, XFS, ZFS Storages: SATA / eSATA / HDD / SSD / IDE / SCSI / RAID / LUN / USB / Media Cards: SanDisk, MMC, CompactFlash, MemoryStick,......	NTFS	F2FS	False
175	File Systems: Linux Ext2/Ext3/Ext4, BtrFS, F2FS, ReiserFS; Microsoft FAT/exFAT, NTFS; Apple HFS+; IBM JFS; Unix UFS, XFS, ZFS Storages: SATA / eSATA / HDD / SSD / IDE / SCSI / RAID / LUN / USB / Media Cards: SanDisk, MMC, CompactFlash, MemoryStick,... Operating Systems for Backup/Restore, Repair/Recovery from: Microsoft Windows, Apple Mac OS X, Linux, Unix.	NTFS	F2FS	False
176	File Systems: Linux Ext2/Ext3/Ext4, BtrFS, F2FS, ReiserFS; Microsoft FAT/exFAT, NTFS; Apple HFS+; IBM JFS; Unix UFS, XFS, ZFS Storages: SATA / eSATA / HDD / SSD / IDE / SCSI / RAID / LUN / USB / Media Cards: SanDisk, MMC, CompactFlash, MemoryStick,... Operating Systems for Backup/Restore, Repair/Recovery...	NTFS	F2FS	False
177	ZFS was slower than ext4 initially, but after a while, it was faster.	ZFS	Ext4	False
178	ZFS does more things and is faster than EXT4 at the same time!	ZFS	Ext4	False
179	However, ZFS still was the fastest BSD file-system and faster than EXT4 on Linux.	ZFS	Ext4	False
180	When given multiple dedicated disks, ZFS is considerably faster than EXT4.	ZFS	Ext4	False
181	Convert NTFS to ZFS.	ZFS	NTFS	False
182	Internal - ZFS External - FAT32, NTFS	ZFS	NTFS	False
183	I can understand ZFS, but ntfs?	ZFS	NTFS	False
184	# genkernel --zfs --luks initramfs	ZFS	LUKS	False
185	genkernel --luks --zfs --disklabel initramfs	ZFS	LUKS	False
186	Putting LUKS underneath ZFS opens one up.	ZFS	LUKS	False
187	This guide installs a ZFS mirror on LUKs encrypted containers.	ZFS	LUKS	False
188	How do I ensure that ZFS sees these LUKS devices on reboot?	ZFS	LUKS	False
189	I love zfs and it even runs well on linux on top of luks-encrypted volumes.	ZFS	LUKS	False
190	But I'm very curious, as MN, which disadvantages you get when using LUKS below ZFS.	ZFS	LUKS	False
191	On some machines, a combination of ZFS and LUKS has caused instability and system crashes.	ZFS	LUKS	False
192	You'll need to unlock each LUKS-encrypted block device that the ZFS filesystem uses.	ZFS	LUKS	False
193	After considering the encryption layer, will GELI + ZFS be more or less reliable than LUKS + LVM + ext4 ?	ZFS	LUKS	False
194	Maybe the activation of dm-crypt devices is done such that ZFS begins importing pools before the LUKS container is properly open?	ZFS	LUKS	False
195	Many new items are supported, including new Linux file systems such as btrfs or even ZFS, and disk layout features such as LVM and LUKS encrypted devices.	ZFS	LUKS	False
196	want to get my zfs on crypted luks (sda2 + sdb2 crypted and used decrypted in a mirrored pool ) running, but the initramfs is the missing link now.	ZFS	LUKS	False
197	... partition LVM and LVM2 Linux Logical Volume Manager Mac partition map Novell Storage Services NSS ReiserFS 3.5, 3.6 and 4 Sun Solaris i386 disklabel Unix File System UFS and UFS2 (Sun/BSD/...) XFS SGI's Journaled File System Wii WBFS Sun ZFS BeFS ( BeOS ) BSD disklabel ( FreeBSD/OpenBSD/NetBSD ) CramFS .... Free download of BYclouder Partition Recovery Enterprise for Mac 7.1.0.0	Novell Storage Services	ZFS	False
198	... partition LVM and LVM2 Linux Logical Volume Manager Mac partition map Novell Storage Services NSS ReiserFS 3.5, 3.6 and 4 Sun Solaris i386 disklabel Unix File System UFS and UFS2 (Sun/BSD/...) XFS SGI's Journaled File System Wii WBFS Sun ZFS BeFS ( BeOS ) BSD disklabel ( FreeBSD/OpenBSD/NetBSD ) CramFS .... Free download of BYclouder Partition Recovery Ultimate for Mac 7.1.0.0	Novell Storage Services	ZFS	False
199	afs atfs aufs btrfs cramfs curlftpfs dosfs ecryptfs ext2fs ext3fs gnomevfs gvfs jfs isofs nfs nilfs ntfs obexfs procfs reiserfs smbfs squashfs sshfs stegfs sysfs udf unionfs vfat wikipediafs xfs zfs	StegFS	ZFS	False
200	It doesn't have ZFS/AdvFS-style snapshots.	AdvFS	ZFS	False
201	Sincerely i don't understand because you adopted ZFS until AdvFS	AdvFS	ZFS	False
202	AdvFS is a good solid filesystem and cluster aware too, but it's no ZFS.	AdvFS	ZFS	False
203	And their filesystem AdvFS did just about everything ZFS does approximately 12 years earlier!	AdvFS	ZFS	False
204	Apparently, advfs has a ZFS-like concept of "storage pool" and snapshots.	AdvFS	ZFS	False
205	about AdvFS this is one good alternative to ZFS or is possible to use	AdvFS	ZFS	False
206	Having run both AdvFS and ZFS, I _vastly_ prefer the layered approach of ext3/LVM/md/etc.	AdvFS	ZFS	False
207	We do know that the latest stable version of FreeBSD has experimental support for Sun Microsystems Zone File system (ZFS), which is similar to AdvFS.	AdvFS	ZFS	False
208	Ecryptfs is slower than LUKS too.	eCryptfs	LUKS	False
209	Why is eCryptfs so slow (or alternatively LUKS faster)?	eCryptfs	LUKS	False
210	They used Ubuntu 13.10 (latest available at that time) and they obtained better results encrypting the whole disk using LUKS than encrypting just the user home using eCryptfs."	eCryptfs	LUKS	False
211	Note, though that from rendering perspective table based formatting is slower than using CSS.	Perspective	Rendering	False
212	We will create a new perspective view and adjust our settings so our rendering is faster.	Perspective	Rendering	False
213	The new version is also faster in software-only rendering, particularly when handling perspective-correct textures.	Perspective	Rendering	False
214	However, working with perspective rendering in 3D worlds requires a solid knowledge of math.	Perspective	Rendering	False
215	The perspective of the mountains, I like better in Reckless' rendering.	Perspective	Rendering	False
216	Can you explain better what you mean by rendering from the light perspective?	Perspective	Rendering	False
217	The perspective view is similar, but more of a 3-D rendering to give a better depiction of the shoot.	Perspective	Rendering	False
218	The image with the blue background is a rendering of the model to give a better perspective on the shape.	Perspective	Rendering	False
219	"This will allow me to better understand an educator's perspective, thereby rendering me a more informed policymaker."	Perspective	Rendering	False
220	A conventional undersampling method provides an upper bound on the runtime for rendering, but the image quality may become much worse than the ER-Perspective approach.	Perspective	Rendering	False
221	Diaz's art is solid, though there are occasionally problems in his rendering of the characters' faces, especially in close-ups or certain angles when the perspective seems off.	Perspective	Rendering	False
222	Overall the structure is solid; you've got the perspective going good and overall the rendering and color is working pretty well!	Perspective	Rendering	False
223	Added perspective view, HMMD color space 2004/09/27 (v1.4):	Perspective	Color space	False
224	FIG. 2 is a perspective view of theoretical color space;	Perspective	Color space	False
225	As a result, different perspective views of the mapped three-dimensional color space model are provided.	Perspective	Color space	False
226	7 illustrates a cut-away perspective view of an exemplary color space model.	Perspective	Color space	False
227	Referring now to FIG. 15, there is shown a perspective representation of the HLS color space.	Perspective	Color space	False
228	FIG. 11 is a cut-away perspective view of an input RGB color space segmented into three subsets.	Perspective	Color space	False
