,_golden,_last_judgment_at,_trusted_judgments,_unit_id,_unit_state,a,also_acceptable,b,expected_label,gold_label,id,label,label:confidence,label_gold,marker,raw_text,text_html,text_readable,type
103,False,1/5/2018 17:14:12,3,1532714482,finalized,Nokia,,Motorola,N,,J1502726439,NONE,1.0,,False,"I've had Ericsson, Motorola and Nokia phones.","I've had Ericsson, <span style=""color: #9A14B2; font-weight: bold"">Motorola:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Nokia:[OBJECT_B]</span> phones.","I've had Ericsson, *Motorola* and §Nokia$ phones.",brands
450,False,1/12/2018 18:47:24,3,1543286964,finalized,amazon,,hulu,,,I1258224104,NONE,0.6729,,True,"In fact, in many ways it is worse than other connected-TV offerings because it does not have a hulu Plus app or a dedicated amazon video app.","In fact, in many ways it is worse than other connected-TV offerings because it does not have a <span style=""color: #9A14B2; font-weight: bold"">hulu:[OBJECT_A]</span> Plus app or a dedicated <span style=""color: #6CB219; font-weight: bold"">amazon:[OBJECT_B]</span> video app.","In fact, in many ways it is worse than other connected-TV offerings because it does not have a *hulu* Plus app or a dedicated §amazon$ video app.",jbt
95,False,1/5/2018 17:16:10,3,1532714474,finalized,Honda,,Nissan,N,,G958989891,NONE,0.691,,False,"Honda , 13.7%; and Nissan , 11.9%.","<span style=""color: #9A14B2; font-weight: bold"">Honda:[OBJECT_A]</span> , 13.7%; and <span style=""color: #6CB219; font-weight: bold"">Nissan:[OBJECT_B]</span> , 11.9%.","*Honda* , 13.7%; and §Nissan$ , 11.9%.",brands
285,False,1/11/2018 19:28:20,3,1534177117,finalized,USB,,Ethernet,,,E617936342,NONE,1.0,,True,"Dubbed the ""One"", we can confirm that it will have Wi-Fi connectivity, Ethernet networking, a solid-state hard drive, at least two USB ports and audio jacks.","Dubbed the ""One"", we can confirm that it will have Wi-Fi connectivity, <span style=""color: #9A14B2; font-weight: bold"">Ethernet:[OBJECT_A]</span> networking, a solid-state hard drive, at least two <span style=""color: #6CB219; font-weight: bold"">USB:[OBJECT_B]</span> ports and audio jacks.","Dubbed the ""One"", we can confirm that it will have Wi-Fi connectivity, *Ethernet* networking, a solid-state hard drive, at least two §USB$ ports and audio jacks.",compsci
27,False,1/11/2018 13:03:12,3,1534176857,finalized,Ruby,,Perl,W,,D506840209,WORSE,1.0,,True,Compared to Perl - Ruby is much much nicer.,"Compared to <span style=""color: #9A14B2; font-weight: bold"">Perl:[OBJECT_A]</span> - <span style=""color: #6CB219; font-weight: bold"">Ruby:[OBJECT_B]</span> is much much nicer.",Compared to *Perl* - §Ruby$ is much much nicer.,compsci
52,False,1/11/2018 12:33:34,3,1534176882,finalized,Python,,Bash,O,,R2818448158,NONE,0.6626,,True,"This could better be integrated to your application than some Python script (or Perl script, or Bash script using the system's mailx application, or whatever other external method you find).","This could better be integrated to your application than some <span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span> script (or Perl script, or <span style=""color: #6CB219; font-weight: bold"">Bash:[OBJECT_B]</span> script using the system's mailx application, or whatever other external method you find).","This could better be integrated to your application than some *Python* script (or Perl script, or §Bash$ script using the system's mailx application, or whatever other external method you find).",compsci
121,False,1/5/2018 17:10:49,3,1532714500,finalized,Microsoft,,Sony,B,,L1805844629,BETTER,1.0,,True,"Nintendo, Microsoft, Sony from best to worse in that exact order.","Nintendo, <span style=""color: #9A14B2; font-weight: bold"">Microsoft:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">Sony:[OBJECT_B]</span> from best to worse in that exact order.","Nintendo, *Microsoft*, §Sony$ from best to worse in that exact order.",brands
32,False,1/11/2018 12:34:57,3,1534176862,finalized,Ruby,,Perl,O,,J1456299194,OTHER,0.6,,True,"It's much easier to use than its Perl, Python or Ruby friends because it doesn't require SVN language bindings, which are close to impossible to compile from scratch.","It's much easier to use than its <span style=""color: #9A14B2; font-weight: bold"">Perl:[OBJECT_A]</span>, Python or <span style=""color: #6CB219; font-weight: bold"">Ruby:[OBJECT_B]</span> friends because it doesn't require SVN language bindings, which are close to impossible to compile from scratch.","It's much easier to use than its *Perl*, Python or §Ruby$ friends because it doesn't require SVN language bindings, which are close to impossible to compile from scratch.",compsci
478,False,1/12/2018 18:14:33,3,1543286992,finalized,baseball,,basketball,,,T3184007551,BETTER,1.0,,True,"Wilson was better at baseball than basketball, if not football.","Wilson was better at <span style=""color: #9A14B2; font-weight: bold"">baseball:[OBJECT_A]</span> than <span style=""color: #6CB219; font-weight: bold"">basketball:[OBJECT_B]</span>, if not football.","Wilson was better at *baseball* than §basketball$, if not football.",jbt
233,False,1/5/2018 17:17:59,3,1532714614,finalized,Toyota,,Chevrolet,,,R2934555772,BETTER,0.6757,,True,"To that I say crap, America does is better then any other country on the planet, America always has done it better, and we always will, so if you want to help your country, buy American products, buy the LG TV rather then the Samsung, buy the Chevrolet rather then the Toyota.","To that I say crap, America does is better then any other country on the planet, America always has done it better, and we always will, so if you want to help your country, buy American products, buy the LG TV rather then the Samsung, buy the <span style=""color: #9A14B2; font-weight: bold"">Chevrolet:[OBJECT_A]</span> rather then the <span style=""color: #6CB219; font-weight: bold"">Toyota:[OBJECT_B]</span>.","To that I say crap, America does is better then any other country on the planet, America always has done it better, and we always will, so if you want to help your country, buy American products, buy the LG TV rather then the Samsung, buy the *Chevrolet* rather then the §Toyota$.",brands
324,False,1/12/2018 17:49:52,3,1543286835,finalized,psp,,ps3,,,T3174040315,BETTER,1.0,,True,Why does the psp game look so much superior to the ps3 game?,"Why does the <span style=""color: #9A14B2; font-weight: bold"">psp:[OBJECT_A]</span> game look so much superior to the <span style=""color: #6CB219; font-weight: bold"">ps3:[OBJECT_B]</span> game?",Why does the *psp* game look so much superior to the §ps3$ game?,jbt
107,False,1/11/2018 17:43:18,3,1534176938,finalized,Java,,Ruby,N,,N2120515907,NONE,1.0,,False,"Ruby, Java, Magic, rs232, whatever.","<span style=""color: #9A14B2; font-weight: bold"">Ruby:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span>, Magic, rs232, whatever.","*Ruby*, §Java$, Magic, rs232, whatever.",compsci
117,False,1/11/2018 17:41:08,3,1534176948,finalized,Java,,Groovy,N,,E618802557,NONE,1.0,,True,"Due to solid and stable growth, aligned with an exciting new corporate merger, we are seeking a highly skilled Java/Groovy/Grails developer for a contract opportunity of at least 6 months.","Due to solid and stable growth, aligned with an exciting new corporate merger, we are seeking a highly skilled <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span>/<span style=""color: #6CB219; font-weight: bold"">Groovy:[OBJECT_B]</span>/Grails developer for a contract opportunity of at least 6 months.","Due to solid and stable growth, aligned with an exciting new corporate merger, we are seeking a highly skilled *Java*/§Groovy$/Grails developer for a contract opportunity of at least 6 months.",compsci
435,False,1/12/2018 18:12:09,3,1543286949,finalized,harvard,,dartmouth,,,T3215789325,NONE,1.0,,True,"Writing in the harvard Business Review and the Washington Post , two U.S. business professors, Vijay Govindarajan from dartmouth and Ravi Ramammurti from Northeastern University tell the story of how Indian hospitals deliver better care for much less.","Writing in the <span style=""color: #9A14B2; font-weight: bold"">harvard:[OBJECT_A]</span> Business Review and the Washington Post , two U.S. business professors, Vijay Govindarajan from <span style=""color: #6CB219; font-weight: bold"">dartmouth:[OBJECT_B]</span> and Ravi Ramammurti from Northeastern University tell the story of how Indian hospitals deliver better care for much less.","Writing in the *harvard* Business Review and the Washington Post , two U.S. business professors, Vijay Govindarajan from §dartmouth$ and Ravi Ramammurti from Northeastern University tell the story of how Indian hospitals deliver better care for much less.",jbt
62,False,1/11/2018 12:33:41,3,1534176892,finalized,USB,,Bluetooth,O,,F819063073,NONE,0.6452,,True,Going cordless is good and going Bluetooth is even better since it frees up a USB port.,"Going cordless is good and going <span style=""color: #9A14B2; font-weight: bold"">Bluetooth:[OBJECT_A]</span> is even better since it frees up a <span style=""color: #6CB219; font-weight: bold"">USB:[OBJECT_B]</span> port.",Going cordless is good and going *Bluetooth* is even better since it frees up a §USB$ port.,compsci
460,False,1/12/2018 18:47:15,3,1543286974,finalized,facebook,,youtube,,,J1460383866,NONE,0.6557,,True,It's obviously easier in a post-youtube/facebook/Twitter world to quantify buzz.,"It's obviously easier in a post-<span style=""color: #9A14B2; font-weight: bold"">youtube:[OBJECT_A]</span>/<span style=""color: #6CB219; font-weight: bold"">facebook:[OBJECT_B]</span>/Twitter world to quantify buzz.",It's obviously easier in a post-*youtube*/§facebook$/Twitter world to quantify buzz.,jbt
317,False,1/12/2018 17:13:54,3,1543286828,finalized,sandwich,,steak,,,P2547300676,OTHER,0.6816,,True,"The Lobel's steak sandwich was very good, though for $15 it had better be.","The Lobel's <span style=""color: #9A14B2; font-weight: bold"">steak:[OBJECT_A]</span> <span style=""color: #6CB219; font-weight: bold"">sandwich:[OBJECT_B]</span> was very good, though for $15 it had better be.","The Lobel's *steak* §sandwich$ was very good, though for $15 it had better be.",jbt
55,False,1/5/2018 17:29:37,3,1532714434,finalized,Ford,,Toyota,N,,N2213354292,NONE,1.0,,True,"Since the examples proffered were Toyota and Ford, they would have been a much better choice for providing reference.","Since the examples proffered were <span style=""color: #9A14B2; font-weight: bold"">Toyota:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Ford:[OBJECT_B]</span>, they would have been a much better choice for providing reference.","Since the examples proffered were *Toyota* and §Ford$, they would have been a much better choice for providing reference.",brands
250,False,1/12/2018 19:01:43,3,1543286760,finalized,amazon,,itunes,,,B318254249,OTHER,0.6844,,True,"Anyway, I'm wagering that because itunes, amazon, etc. have decent delivery mechanisms, UHD will be delivered digitally.","Anyway, I'm wagering that because <span style=""color: #9A14B2; font-weight: bold"">itunes:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">amazon:[OBJECT_B]</span>, etc. have decent delivery mechanisms, UHD will be delivered digitally.","Anyway, I'm wagering that because *itunes*, §amazon$, etc. have decent delivery mechanisms, UHD will be delivered digitally.",jbt
378,False,1/12/2018 17:49:13,3,1543286889,finalized,metal,,concrete,,,L1756546487,NONE,1.0,,True,- Municipal Solid Waste (MSW) - Construction and Demolition Debris (CDD) - metal - concrete - Boats - Trailers,"- Municipal Solid Waste (MSW) - Construction and Demolition Debris (CDD) - <span style=""color: #9A14B2; font-weight: bold"">metal:[OBJECT_A]</span> - <span style=""color: #6CB219; font-weight: bold"">concrete:[OBJECT_B]</span> - Boats - Trailers",- Municipal Solid Waste (MSW) - Construction and Demolition Debris (CDD) - *metal* - §concrete$ - Boats - Trailers,jbt
106,False,,1,1530058791,canceled,Nissan,,Renault,,,D546110814,NONE,1.0,,True,"Daimler and Renault-Nissan have worked together since 2010 to better compete with the likes of Volkswagen AG, which can spread costs across a stable of 12 brands.","Daimler and <span style=""color: #9A14B2; font-weight: bold"">Renault:[OBJECT_A]</span>-<span style=""color: #6CB219; font-weight: bold"">Nissan:[OBJECT_B]</span> have worked together since 2010 to better compete with the likes of Volkswagen AG, which can spread costs across a stable of 12 brands.","Daimler and *Renault*-§Nissan$ have worked together since 2010 to better compete with the likes of Volkswagen AG, which can spread costs across a stable of 12 brands.",brands
309,False,1/12/2018 17:18:56,3,1543286820,finalized,sandwich,,steak,,,A117370052,NONE,1.0,,True,About £10 for a mediocre steak sandwich and chips.,"About £10 for a mediocre <span style=""color: #9A14B2; font-weight: bold"">steak:[OBJECT_A]</span> <span style=""color: #6CB219; font-weight: bold"">sandwich:[OBJECT_B]</span> and chips.",About £10 for a mediocre *steak* §sandwich$ and chips.,jbt
277,False,1/12/2018 16:41:09,3,1543286787,finalized,suv,,jeep,,,P2533562981,NONE,0.6885,,True,The jeep Grand Cherokee: A solid choice for a suv,"The <span style=""color: #9A14B2; font-weight: bold"">jeep:[OBJECT_A]</span> Grand Cherokee: A solid choice for a <span style=""color: #6CB219; font-weight: bold"">suv:[OBJECT_B]</span>",The *jeep* Grand Cherokee: A solid choice for a §suv$,jbt
166,False,1/11/2018 17:45:54,3,1534176997,finalized,MySQL,,SQLite,N,,J1413384229,WORSE,0.6522,,True,"It is powered (OTS) by SQLite, but for larger systems can use MySQL (obviously quite capable), supports multiple playlists, global hotkeys, a decent search (no support for regex tho, AFAIK), etc.","It is powered (OTS) by <span style=""color: #9A14B2; font-weight: bold"">SQLite:[OBJECT_A]</span>, but for larger systems can use <span style=""color: #6CB219; font-weight: bold"">MySQL:[OBJECT_B]</span> (obviously quite capable), supports multiple playlists, global hotkeys, a decent search (no support for regex tho, AFAIK), etc.","It is powered (OTS) by *SQLite*, but for larger systems can use §MySQL$ (obviously quite capable), supports multiple playlists, global hotkeys, a decent search (no support for regex tho, AFAIK), etc.",compsci
50,False,1/11/2018 12:36:51,3,1534176880,finalized,Windows XP,,Windows 8,O,,A137884310,NONE,1.0,,True,Actually for many Windows XP users it is easier to migrate to Linux Mint than to Windows 8.,"Actually for many <span style=""color: #9A14B2; font-weight: bold"">Windows XP:[OBJECT_A]</span> users it is easier to migrate to Linux Mint than to <span style=""color: #6CB219; font-weight: bold"">Windows 8:[OBJECT_B]</span>.",Actually for many *Windows XP* users it is easier to migrate to Linux Mint than to §Windows 8$.,compsci
336,False,1/11/2018 19:27:18,3,1534177172,finalized,USB,,Bluetooth,,,A41793532,OTHER,0.6611,,True,"1. Since it already has wifi, why hasn't nokia used this interface instead Bluetooth/USB since its much faster?","1. Since it already has wifi, why hasn't nokia used this interface instead <span style=""color: #9A14B2; font-weight: bold"">Bluetooth:[OBJECT_A]</span>/<span style=""color: #6CB219; font-weight: bold"">USB:[OBJECT_B]</span> since its much faster?","1. Since it already has wifi, why hasn't nokia used this interface instead *Bluetooth*/§USB$ since its much faster?",compsci
315,False,1/11/2018 19:29:05,4,1534177151,finalized,Windows 7,,Windows 8,,,I1335809216,WORSE,1.0,,True,i really loved Windows 8 but i think Windows 7 is better....,"i really loved <span style=""color: #9A14B2; font-weight: bold"">Windows 8:[OBJECT_A]</span> but i think <span style=""color: #6CB219; font-weight: bold"">Windows 7:[OBJECT_B]</span> is better....",i really loved *Windows 8* but i think §Windows 7$ is better....,compsci
376,False,1/5/2018 17:22:58,3,1532714758,finalized,Cadillac,,Buick,,,N2155322514,NONE,1.0,,True,Select ABAR AC ACCE ADLY ADMI AIE AIXAM AJS ALFA ROMEO ALL ALPH ALPI AMC AMS APAC APPL APRI APRILIA ARCT ARMSTRONG ASCA ASHO ASTA ASTON MARTIN ASTR AUDI AUSTIN B & BAIMO BAJA BAJAJ BANH BAOTIAN BARO BARON BASHAN BB C BCC2 BEELINE BELLA BEND BENELLI BENTLEY BETTER BIKE BIMOTA BMW BMW' BOAT BOMBARDIER BOOM BOX BRANSON BRIL BRIS BRITISH TRACKSTAR BSA BTM BUELL Buick BUNTING BYD Cadillac CAGIVA CAMC CAN-AM CARAVAN (1980)?,"Select ABAR AC ACCE ADLY ADMI AIE AIXAM AJS ALFA ROMEO ALL ALPH ALPI AMC AMS APAC APPL APRI APRILIA ARCT ARMSTRONG ASCA ASHO ASTA ASTON MARTIN ASTR AUDI AUSTIN B & BAIMO BAJA BAJAJ BANH BAOTIAN BARO BARON BASHAN BB C BCC2 BEELINE BELLA BEND BENELLI BENTLEY BETTER BIKE BIMOTA BMW BMW' BOAT BOMBARDIER BOOM BOX BRANSON BRIL BRIS BRITISH TRACKSTAR BSA BTM BUELL <span style=""color: #9A14B2; font-weight: bold"">Buick:[OBJECT_A]</span> BUNTING BYD <span style=""color: #6CB219; font-weight: bold"">Cadillac:[OBJECT_B]</span> CAGIVA CAMC CAN-AM CARAVAN (1980)?",Select ABAR AC ACCE ADLY ADMI AIE AIXAM AJS ALFA ROMEO ALL ALPH ALPI AMC AMS APAC APPL APRI APRILIA ARCT ARMSTRONG ASCA ASHO ASTA ASTON MARTIN ASTR AUDI AUSTIN B & BAIMO BAJA BAJAJ BANH BAOTIAN BARO BARON BASHAN BB C BCC2 BEELINE BELLA BEND BENELLI BENTLEY BETTER BIKE BIMOTA BMW BMW' BOAT BOMBARDIER BOOM BOX BRANSON BRIL BRIS BRITISH TRACKSTAR BSA BTM BUELL *Buick* BUNTING BYD §Cadillac$ CAGIVA CAMC CAN-AM CARAVAN (1980)?,brands
91,False,1/12/2018 13:39:21,3,1543286599,finalized,phone,,laptop,,N,K1600743955,NONE,1.0,,True,"laptop, Solid State Media player, Tablet or Smart phone.","<span style=""color: #9A14B2; font-weight: bold"">laptop:[OBJECT_A]</span>, Solid State Media player, Tablet or Smart <span style=""color: #6CB219; font-weight: bold"">phone:[OBJECT_B]</span>.","*laptop*, Solid State Media player, Tablet or Smart §phone$.",jbt
307,False,1/12/2018 17:14:50,3,1543286818,finalized,amazon,,hulu,,,O2268898028,NONE,0.6923,,True,"So the Kindle Fire HD WiFi should, in theory, make Netflix, amazon Instant Video, hulu, etc. much better.","So the Kindle Fire HD WiFi should, in theory, make Netflix, <span style=""color: #9A14B2; font-weight: bold"">amazon:[OBJECT_A]</span> Instant Video, <span style=""color: #6CB219; font-weight: bold"">hulu:[OBJECT_B]</span>, etc. much better.","So the Kindle Fire HD WiFi should, in theory, make Netflix, *amazon* Instant Video, §hulu$, etc. much better.",jbt
451,False,1/11/2018 19:29:18,3,1534177287,finalized,Java,,Python,,,Q2659513762,NONE,0.66,,True,There is one case where Python and Java do better than OCaml: OCaml strings are mutable!,"There is one case where <span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span> do better than OCaml: OCaml strings are mutable!",There is one case where *Python* and §Java$ do better than OCaml: OCaml strings are mutable!,compsci
491,False,1/12/2018 18:14:05,3,1543287005,finalized,plastic,,cement,,,K1731228967,OTHER,0.6493,,True,More Durable and much safer than those made by plastic cement.,"More Durable and much safer than those made by <span style=""color: #9A14B2; font-weight: bold"">plastic:[OBJECT_A]</span> <span style=""color: #6CB219; font-weight: bold"">cement:[OBJECT_B]</span>.",More Durable and much safer than those made by *plastic* §cement$.,jbt
100,False,1/5/2018 17:20:48,3,1532714479,finalized,Google,,IBM,N,,M2078805398,NONE,0.6798,,True,"Record orders for Intel's PC chips raised hopes of solid second-quarter earnings news from Google, IBM, and Microsoft","Record orders for Intel's PC chips raised hopes of solid second-quarter earnings news from <span style=""color: #9A14B2; font-weight: bold"">Google:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">IBM:[OBJECT_B]</span>, and Microsoft","Record orders for Intel's PC chips raised hopes of solid second-quarter earnings news from *Google*, §IBM$, and Microsoft",brands
294,False,1/11/2018 19:30:41,4,1534177126,finalized,Java,,Smalltalk,,,K1629250594,NONE,1.0,,False,"like Eiffel, O'Caml, Ada, ML, Smalltalk, etc. (I'm not lumping Java in","like Eiffel, O'Caml, Ada, ML, <span style=""color: #9A14B2; font-weight: bold"">Smalltalk:[OBJECT_A]</span>, etc. (I'm not lumping <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span> in","like Eiffel, O'Caml, Ada, ML, *Smalltalk*, etc. (I'm not lumping §Java$ in",compsci
184,False,1/12/2018 14:53:44,3,1543286694,finalized,youtube,,itunes,,N,M2012318379,BETTER,0.6947,,True,Plus the quality is usually better for the mp3's through itunes vs youtube videos.,"Plus the quality is usually better for the mp3's through <span style=""color: #9A14B2; font-weight: bold"">itunes:[OBJECT_A]</span> vs <span style=""color: #6CB219; font-weight: bold"">youtube:[OBJECT_B]</span> videos.",Plus the quality is usually better for the mp3's through *itunes* vs §youtube$ videos.,jbt
108,False,1/11/2018 17:39:12,3,1534176939,finalized,Java,,Scala,N,,G986970277,BETTER,0.6779,,True,"How, in your view, does Scala have any better modularity than Java or C++ ?","How, in your view, does <span style=""color: #9A14B2; font-weight: bold"">Scala:[OBJECT_A]</span> have any better modularity than <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span> or C++ ?","How, in your view, does *Scala* have any better modularity than §Java$ or C++ ?",compsci
391,False,1/11/2018 19:27:01,3,1534177227,finalized,Java,,Smalltalk,,,B246331387,NONE,0.6398,,False,"And anyway, how is Smalltalk any more or less similar to English than Java?","And anyway, how is <span style=""color: #9A14B2; font-weight: bold"">Smalltalk:[OBJECT_A]</span> any more or less similar to English than <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span>?","And anyway, how is *Smalltalk* any more or less similar to English than §Java$?",compsci
206,False,1/5/2018 17:50:04,3,1532714586,finalized,Ferrari,,BMW,,,L1803809450,NONE,1.0,,False,Nick Heidfeld Germany BMW Sauber-Ferrari 1m 19.899s 17.,"Nick Heidfeld Germany <span style=""color: #9A14B2; font-weight: bold"">BMW:[OBJECT_A]</span> Sauber-<span style=""color: #6CB219; font-weight: bold"">Ferrari:[OBJECT_B]</span> 1m 19.899s 17.",Nick Heidfeld Germany *BMW* Sauber-§Ferrari$ 1m 19.899s 17.,brands
