,_golden,_last_judgment_at,_trusted_judgments,_unit_id,_unit_state,a,also_acceptable,b,expected_label,gold_label,id,label,label:confidence,label_gold,label_gold_reason,marker,orig__golden,raw_text,text_html,text_readable,type,better_count,worse_count,none_count,judgements,label_winner_count,most_frequent_class,most_frequent_count,ratio
694,False,2/5/2018 16:41:30,3,1576122188,finalized,golf,,hockey,,,M1942770690,NONE,1.0,,,True,,"Otherwise, golf could become like hockey: a minor niche sport looking back nostalgically at better, halcyon days, and wondering where it all went wrong.","Otherwise, <span style=""color: #9A14B2; font-weight: bold"">golf:[OBJECT_A]</span> could become like <span style=""color: #6CB219; font-weight: bold"">hockey:[OBJECT_B]</span>: a minor niche sport looking back nostalgically at better, halcyon days, and wondering where it all went wrong.","Otherwise, *golf* could become like §hockey$: a minor niche sport looking back nostalgically at better, halcyon days, and wondering where it all went wrong.",jbt,0,0,3,3,0,NONE,3.0,1.0
1627,False,2/17/2018 15:32:29,3,1576062513,finalized,OpenGL,,Direct3D,,,P2596541142,WORSE,0.7059,,,True,,The only thing left is ditching their Direct3D stuff for OpenGL/OpenCL support to make porting games easier (which will admittedly probably never happen).,"The only thing left is ditching their <span style=""color: #9A14B2; font-weight: bold"">Direct3D:[OBJECT_A]</span> stuff for <span style=""color: #6CB219; font-weight: bold"">OpenGL:[OBJECT_B]</span>/OpenCL support to make porting games easier (which will admittedly probably never happen).",The only thing left is ditching their *Direct3D* stuff for §OpenGL$/OpenCL support to make porting games easier (which will admittedly probably never happen).,compsci,0,2,1,3,0,WORSE,2.0,0.6666666666666666
115,False,2/2/2018 18:12:25,3,1572198025,finalized,Toyota,,Chevrolet,,,H1106018863,NONE,1.0,,,True,,If you are better off hiring a well established rivals like Toyota Fortuner Chevrolet Captiva Mitsubishi Outlander Tata Aria etc. Ruling in their lives and added expenses which is used in the task.,"If you are better off hiring a well established rivals like <span style=""color: #9A14B2; font-weight: bold"">Toyota:[OBJECT_A]</span> Fortuner <span style=""color: #6CB219; font-weight: bold"">Chevrolet:[OBJECT_B]</span> Captiva Mitsubishi Outlander Tata Aria etc. Ruling in their lives and added expenses which is used in the task.",If you are better off hiring a well established rivals like *Toyota* Fortuner §Chevrolet$ Captiva Mitsubishi Outlander Tata Aria etc. Ruling in their lives and added expenses which is used in the task.,brands,0,0,5,5,0,NONE,5.0,1.0
1316,False,2/15/2018 11:27:05,3,1576123272,finalized,pizza,,sausage,,,G1034347102,NONE,1.0,,,True,,"I chose the buffet, some decent pizza and sausage.","I chose the buffet, some decent <span style=""color: #9A14B2; font-weight: bold"">pizza:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">sausage:[OBJECT_B]</span>.","I chose the buffet, some decent *pizza* and §sausage$.",jbt,0,0,3,3,0,NONE,3.0,1.0
1594,False,2/18/2018 15:37:12,3,1572199549,finalized,Google,,Kingston,,,D508851959,NONE,1.0,,,False,,Complex directions (adapted from Google): 1. Turn left on PA-315 S toward Motorworld Dr 2. Turn right to merge onto PA-309 N - 2.7 mi 3. Take exit 4 toward US-11/Kingston/Forty Fort - 0.3 mi 4. Turn right onto Rutter Ave - 256 ft 5. Keep left at the fork - 92 ft 6. Continue onto Welles St - 0.4 mi 7. Turn right onto Wyoming Ave - Destination will be on the left - 2.1 mi,"Complex directions (adapted from <span style=""color: #9A14B2; font-weight: bold"">Google:[OBJECT_A]</span>): 1. Turn left on PA-315 S toward Motorworld Dr 2. Turn right to merge onto PA-309 N - 2.7 mi 3. Take exit 4 toward US-11/<span style=""color: #6CB219; font-weight: bold"">Kingston:[OBJECT_B]</span>/Forty Fort - 0.3 mi 4. Turn right onto Rutter Ave - 256 ft 5. Keep left at the fork - 92 ft 6. Continue onto Welles St - 0.4 mi 7. Turn right onto Wyoming Ave - Destination will be on the left - 2.1 mi",Complex directions (adapted from *Google*): 1. Turn left on PA-315 S toward Motorworld Dr 2. Turn right to merge onto PA-309 N - 2.7 mi 3. Take exit 4 toward US-11/§Kingston$/Forty Fort - 0.3 mi 4. Turn right onto Rutter Ave - 256 ft 5. Keep left at the fork - 92 ft 6. Continue onto Welles St - 0.4 mi 7. Turn right onto Wyoming Ave - Destination will be on the left - 2.1 mi,brands,0,0,5,5,0,NONE,5.0,1.0
707,False,2/5/2018 18:15:12,3,1576061589,finalized,Python,,Perl,,,J1456030841,WORSE,0.6792,,,True,,It's more explicit and faster (especially since regex in Python is not super optimized like Perl).,"It's more explicit and faster (especially since regex in <span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span> is not super optimized like <span style=""color: #6CB219; font-weight: bold"">Perl:[OBJECT_B]</span>).",It's more explicit and faster (especially since regex in *Python* is not super optimized like §Perl$).,compsci,0,2,1,3,0,WORSE,2.0,0.6666666666666666
718,False,1/27/2018 17:53:03,3,1543287239,finalized,pizza,,sausage,,,J1566490019,NONE,0.6597,,,True,,"Jupiterimages/Stockbyte/Getty Images ""It was worse than when my pizza guy got burns delivering an 'extra-large sausage.'""","Jupiterimages/Stockbyte/Getty Images ""It was worse than when my <span style=""color: #9A14B2; font-weight: bold"">pizza:[OBJECT_A]</span> guy got burns delivering an 'extra-large <span style=""color: #6CB219; font-weight: bold"">sausage:[OBJECT_B]</span>.'""","Jupiterimages/Stockbyte/Getty Images ""It was worse than when my *pizza* guy got burns delivering an 'extra-large §sausage$.'""",jbt,0,0,3,3,0,NONE,3.0,1.0
895,False,2/12/2018 18:53:58,3,1576122391,finalized,pizza,,sausage,,,E564128791,BETTER,1.0,,,True,,De Lorenzo's clam pizza may be better than its sausage.,"De Lorenzo's clam <span style=""color: #9A14B2; font-weight: bold"">pizza:[OBJECT_A]</span> may be better than its <span style=""color: #6CB219; font-weight: bold"">sausage:[OBJECT_B]</span>.",De Lorenzo's clam *pizza* may be better than its §sausage$.,jbt,3,0,0,3,0,BETTER,3.0,1.0
1241,False,2/16/2018 10:05:57,3,1576062125,finalized,Python,,Bash,,,Q2629319305,BETTER,1.0,,,True,,"The Python version is certainly more verbose than its Bash counterpart, but much easier to read (and, I hope, to maintain in future).","The <span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span> version is certainly more verbose than its <span style=""color: #6CB219; font-weight: bold"">Bash:[OBJECT_B]</span> counterpart, but much easier to read (and, I hope, to maintain in future).","The *Python* version is certainly more verbose than its §Bash$ counterpart, but much easier to read (and, I hope, to maintain in future).",compsci,3,0,0,3,0,BETTER,3.0,1.0
497,False,2/5/2018 16:39:57,3,1576121988,finalized,phone,,ipod,,,L1754038049,NONE,0.6857,,,True,,Much better marketing: getting a SLVR means getting a cool looking phone with decent features that also happens to replace an ipod Shuffle.,"Much better marketing: getting a SLVR means getting a cool looking <span style=""color: #9A14B2; font-weight: bold"">phone:[OBJECT_A]</span> with decent features that also happens to replace an <span style=""color: #6CB219; font-weight: bold"">ipod:[OBJECT_B]</span> Shuffle.",Much better marketing: getting a SLVR means getting a cool looking *phone* with decent features that also happens to replace an §ipod$ Shuffle.,jbt,1,0,2,3,0,NONE,2.0,0.6666666666666666
1374,False,2/18/2018 15:30:46,3,1572199322,finalized,Gigabyte,,Asus,,,K1622304690,NONE,1.0,,,False,,"Let's take Asus, or Gigabyte or AsRock for example.","Let's take <span style=""color: #9A14B2; font-weight: bold"">Asus:[OBJECT_A]</span>, or <span style=""color: #6CB219; font-weight: bold"">Gigabyte:[OBJECT_B]</span> or AsRock for example.","Let's take *Asus*, or §Gigabyte$ or AsRock for example.",brands,0,0,5,5,0,NONE,5.0,1.0
802,False,2/18/2018 14:05:20,3,1572198734,finalized,Ford,,Chevrolet,,,I1291172821,NONE,0.6674,,,True,,"Instead of debating whether a Ford is better than Chevrolet, however, they'd debate whether a Mercedes is better than a BMW.","Instead of debating whether a <span style=""color: #9A14B2; font-weight: bold"">Ford:[OBJECT_A]</span> is better than <span style=""color: #6CB219; font-weight: bold"">Chevrolet:[OBJECT_B]</span>, however, they'd debate whether a Mercedes is better than a BMW.","Instead of debating whether a *Ford* is better than §Chevrolet$, however, they'd debate whether a Mercedes is better than a BMW.",brands,3,0,2,5,0,BETTER,3.0,0.6
310,False,2/5/2018 15:53:46,3,1576061188,finalized,Windows 7,,Windows 8,,,I1257064847,BETTER,1.0,,,True,,"In fact, according to Microsoft, Windows 8 will be 11 times faster than Windows 7.","In fact, according to Microsoft, <span style=""color: #9A14B2; font-weight: bold"">Windows 8:[OBJECT_A]</span> will be 11 times faster than <span style=""color: #6CB219; font-weight: bold"">Windows 7:[OBJECT_B]</span>.","In fact, according to Microsoft, *Windows 8* will be 11 times faster than §Windows 7$.",compsci,3,0,0,3,0,BETTER,3.0,1.0
993,False,2/18/2018 14:07:04,4,1572198925,finalized,Google,,Intel,,,I1295241199,NONE,1.0,,,True,,"Intel and Google have been working together on making Chrome OS more x86-friendly , and the Core M processor could mean faster, thinner, lighter, and cooler (temperature-wise) Chromebooks.","<span style=""color: #9A14B2; font-weight: bold"">Intel:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Google:[OBJECT_B]</span> have been working together on making Chrome OS more x86-friendly , and the Core M processor could mean faster, thinner, lighter, and cooler (temperature-wise) Chromebooks.","*Intel* and §Google$ have been working together on making Chrome OS more x86-friendly , and the Core M processor could mean faster, thinner, lighter, and cooler (temperature-wise) Chromebooks.",brands,0,0,6,6,0,NONE,6.0,1.0
572,False,1/27/2018 19:02:25,3,1534177409,finalized,Java,,Python,,,N2207930205,NONE,1.0,,,True,,Simple languages like Java or Python can be learned a lot faster compared to trying to teach yourself c++.,"Simple languages like <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span> can be learned a lot faster compared to trying to teach yourself c++.",Simple languages like *Java* or §Python$ can be learned a lot faster compared to trying to teach yourself c++.,compsci,0,0,3,3,0,NONE,3.0,1.0
1369,False,2/15/2018 12:01:04,3,1576123325,finalized,california,,michigan,,,K1668899902,NONE,1.0,,,True,,"Malls in Utah are no safer than malls in Virginia, Kentucky, california, michigan, or any other state.","Malls in Utah are no safer than malls in Virginia, Kentucky, <span style=""color: #9A14B2; font-weight: bold"">california:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">michigan:[OBJECT_B]</span>, or any other state.","Malls in Utah are no safer than malls in Virginia, Kentucky, *california*, §michigan$, or any other state.",jbt,0,0,3,3,0,NONE,3.0,1.0
349,False,1/12/2018 17:51:27,3,1543286860,finalized,tea,,soda,,,D496477066,NONE,1.0,,,False,,Coffee/tea/diet soda,"Coffee/<span style=""color: #9A14B2; font-weight: bold"">tea:[OBJECT_A]</span>/diet <span style=""color: #6CB219; font-weight: bold"">soda:[OBJECT_B]</span>",Coffee/*tea*/diet §soda$,jbt,0,0,3,3,0,NONE,3.0,1.0
336,False,2/5/2018 15:53:26,3,1576061214,finalized,iOS,,Apple TV,,,Q2702310051,NONE,1.0,,,True,,These next generation devices will also have dual faster graphics cores that will be capable of supporting a Retina Display iPad and this could also potentially bring 1080p HD support to all iOS devices including Apple TV.,"These next generation devices will also have dual faster graphics cores that will be capable of supporting a Retina Display iPad and this could also potentially bring 1080p HD support to all <span style=""color: #9A14B2; font-weight: bold"">iOS:[OBJECT_A]</span> devices including <span style=""color: #6CB219; font-weight: bold"">Apple TV:[OBJECT_B]</span>.",These next generation devices will also have dual faster graphics cores that will be capable of supporting a Retina Display iPad and this could also potentially bring 1080p HD support to all *iOS* devices including §Apple TV$.,compsci,0,0,3,3,0,NONE,3.0,1.0
767,False,2/12/2018 18:53:36,3,1576122263,finalized,harvard,,dartmouth,,,M1948181429,NONE,1.0,,,True,,"Our graduates have gone on to top colleges and universities around the nation (Stanford, harvard, West Point, Loyola and dartmouth to name a few), after completing a full high school experience that affords them a solid foundation for future success.","Our graduates have gone on to top colleges and universities around the nation (Stanford, <span style=""color: #9A14B2; font-weight: bold"">harvard:[OBJECT_A]</span>, West Point, Loyola and <span style=""color: #6CB219; font-weight: bold"">dartmouth:[OBJECT_B]</span> to name a few), after completing a full high school experience that affords them a solid foundation for future success.","Our graduates have gone on to top colleges and universities around the nation (Stanford, *harvard*, West Point, Loyola and §dartmouth$ to name a few), after completing a full high school experience that affords them a solid foundation for future success.",jbt,0,0,3,3,0,NONE,3.0,1.0
543,False,2/5/2018 18:15:27,3,1576061423,finalized,Java,,Smalltalk,,,J1545131417,NONE,1.0,,,False,,Java should be introduced after Smalltalk or something to show,"<span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span> should be introduced after <span style=""color: #6CB219; font-weight: bold"">Smalltalk:[OBJECT_B]</span> or something to show",*Java* should be introduced after §Smalltalk$ or something to show,compsci,0,0,3,3,0,NONE,3.0,1.0
258,False,2/2/2018 19:10:05,3,1572198172,finalized,Google,,Kingston,,,M2006117577,NONE,1.0,,,False,,"Please do a Google Search for ""Places of Worship in Kingston, RI"" for complete listings, or contact one of the chaplains for recommendations.","Please do a <span style=""color: #9A14B2; font-weight: bold"">Google:[OBJECT_A]</span> Search for ""Places of Worship in <span style=""color: #6CB219; font-weight: bold"">Kingston:[OBJECT_B]</span>, RI"" for complete listings, or contact one of the chaplains for recommendations.","Please do a *Google* Search for ""Places of Worship in §Kingston$, RI"" for complete listings, or contact one of the chaplains for recommendations.",brands,0,0,5,5,0,NONE,5.0,1.0
232,False,2/5/2018 15:55:58,3,1576061108,finalized,Java,,PHP,,,A111175915,BETTER,1.0,,,True,,"9 thoughts on "" Is PHP better than Java, .net","9 thoughts on "" Is <span style=""color: #9A14B2; font-weight: bold"">PHP:[OBJECT_A]</span> better than <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span>, .net","9 thoughts on "" Is *PHP* better than §Java$, .net",compsci,3,0,0,3,0,BETTER,3.0,1.0
1602,False,2/15/2018 12:00:40,3,1576123568,finalized,ps2,,gamecube,,,P2501601025,BETTER,1.0,,,True,,The gamecube has superior texturing abilities than the ps2.,"The <span style=""color: #9A14B2; font-weight: bold"">gamecube:[OBJECT_A]</span> has superior texturing abilities than the <span style=""color: #6CB219; font-weight: bold"">ps2:[OBJECT_B]</span>.",The *gamecube* has superior texturing abilities than the §ps2$.,jbt,3,0,0,3,0,BETTER,3.0,1.0
627,False,2/3/2018 13:18:15,3,1572198557,finalized,Google,,IBM,,,F824527377,NONE,1.0,,,True,,"Google is ""excited to partner with IBM to provide resources which will better equip students and researchers to address today's developing computational challenges,"" said the company's CEO Eric Schmidt.","<span style=""color: #9A14B2; font-weight: bold"">Google:[OBJECT_A]</span> is ""excited to partner with <span style=""color: #6CB219; font-weight: bold"">IBM:[OBJECT_B]</span> to provide resources which will better equip students and researchers to address today's developing computational challenges,"" said the company's CEO Eric Schmidt.","*Google* is ""excited to partner with §IBM$ to provide resources which will better equip students and researchers to address today's developing computational challenges,"" said the company's CEO Eric Schmidt.",brands,0,0,5,5,0,NONE,5.0,1.0
285,False,2/5/2018 15:25:40,3,1576121774,finalized,google,,amazon,,,E596211407,NONE,0.6571,,,True,,Do I think google will score better than amazon?,"Do I think <span style=""color: #9A14B2; font-weight: bold"">google:[OBJECT_A]</span> will score better than <span style=""color: #6CB219; font-weight: bold"">amazon:[OBJECT_B]</span>?",Do I think *google* will score better than §amazon$?,jbt,1,0,2,3,0,NONE,2.0,0.6666666666666666
514,False,1/27/2018 19:00:32,3,1534177351,finalized,Oracle,,PostgreSQL,,,S2984281529,NONE,1.0,,,True,,"Uses a SQL database back end instead of an inverted index; supports MySQL, PostgreSQL, miniSQL, Solid, InterBase, Oracle, Sybase and MS SQL using CT-Lib, EasySoft ODBC, iODBC, and unixODBC.","Uses a SQL database back end instead of an inverted index; supports MySQL, <span style=""color: #9A14B2; font-weight: bold"">PostgreSQL:[OBJECT_A]</span>, miniSQL, Solid, InterBase, <span style=""color: #6CB219; font-weight: bold"">Oracle:[OBJECT_B]</span>, Sybase and MS SQL using CT-Lib, EasySoft ODBC, iODBC, and unixODBC.","Uses a SQL database back end instead of an inverted index; supports MySQL, *PostgreSQL*, miniSQL, Solid, InterBase, §Oracle$, Sybase and MS SQL using CT-Lib, EasySoft ODBC, iODBC, and unixODBC.",compsci,0,0,3,3,0,NONE,3.0,1.0
576,False,1/28/2018 09:49:57,3,1532714963,finalized,Microsoft,,IBM,,,K1666033763,NONE,0.6325,,,True,,"Makes it easier to integrate IBM ECM products into existing installations of Microsoft SharePoint, SAP, and other participating vendors","Makes it easier to integrate <span style=""color: #9A14B2; font-weight: bold"">IBM:[OBJECT_A]</span> ECM products into existing installations of <span style=""color: #6CB219; font-weight: bold"">Microsoft:[OBJECT_B]</span> SharePoint, SAP, and other participating vendors","Makes it easier to integrate *IBM* ECM products into existing installations of §Microsoft$ SharePoint, SAP, and other participating vendors",brands,1,0,4,5,0,NONE,4.0,0.8
1266,False,2/16/2018 09:59:50,3,1576062150,finalized,Oracle,,PostgreSQL,,,L1899274089,NONE,1.0,,,True,,One of the goals of the company is aimed specifically at making life easier for Oracle people on PostgreSQL.,"One of the goals of the company is aimed specifically at making life easier for <span style=""color: #9A14B2; font-weight: bold"">Oracle:[OBJECT_A]</span> people on <span style=""color: #6CB219; font-weight: bold"">PostgreSQL:[OBJECT_B]</span>.",One of the goals of the company is aimed specifically at making life easier for *Oracle* people on §PostgreSQL$.,compsci,0,0,3,3,0,NONE,3.0,1.0
264,False,1/12/2018 19:15:03,4,1543286774,finalized,fox,,espn,,,F738918155,NONE,1.0,,,True,,"For better or worse, like it or not, cliché upon cliché from the fox, espn & TNT booths, the sport has evolved into an entertainment business.","For better or worse, like it or not, cliché upon cliché from the <span style=""color: #9A14B2; font-weight: bold"">fox:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">espn:[OBJECT_B]</span> & TNT booths, the sport has evolved into an entertainment business.","For better or worse, like it or not, cliché upon cliché from the *fox*, §espn$ & TNT booths, the sport has evolved into an entertainment business.",jbt,0,0,4,4,0,NONE,4.0,1.0
445,False,2/5/2018 15:50:41,3,1576061325,finalized,Java,,Scala,,,E642873245,NONE,0.6970000000000001,,,True,,"Either way, I doubt there was any news to anyone that C++ was faster than Java, Scala and Go.","Either way, I doubt there was any news to anyone that C++ was faster than <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">Scala:[OBJECT_B]</span> and Go.","Either way, I doubt there was any news to anyone that C++ was faster than *Java*, §Scala$ and Go.",compsci,1,0,2,3,0,NONE,2.0,0.6666666666666666
1515,False,2/15/2018 11:37:52,3,1576123475,finalized,knife,,pistol,,,P2504238528,BETTER,1.0,,,True,,The Ginsu Home Surgical knife Set ™ will cut through it faster than Plaxico Burress goes through an ammo clip with his 9mm pistol.,"The Ginsu Home Surgical <span style=""color: #9A14B2; font-weight: bold"">knife:[OBJECT_A]</span> Set ™ will cut through it faster than Plaxico Burress goes through an ammo clip with his 9mm <span style=""color: #6CB219; font-weight: bold"">pistol:[OBJECT_B]</span>.",The Ginsu Home Surgical *knife* Set ™ will cut through it faster than Plaxico Burress goes through an ammo clip with his 9mm §pistol$.,jbt,3,0,0,3,0,BETTER,3.0,1.0
1246,False,2/15/2018 08:53:07,3,1576123155,finalized,google,,youtube,,,S3001251244,NONE,1.0,,,True,,Viacom's case against google and youtube looks worse and worse each passing day.,"Viacom's case against <span style=""color: #9A14B2; font-weight: bold"">google:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">youtube:[OBJECT_B]</span> looks worse and worse each passing day.",Viacom's case against *google* and §youtube$ looks worse and worse each passing day.,jbt,0,0,3,3,0,NONE,3.0,1.0
500,False,2/3/2018 11:38:51,3,1572198424,finalized,IBM,,Intel,,,B257805484,NONE,1.0,,,True,,"And if Steve Jobs thinks he can manage chip design and manufacturing better than IBM or Intel, he's a fool.","And if Steve Jobs thinks he can manage chip design and manufacturing better than <span style=""color: #9A14B2; font-weight: bold"">IBM:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">Intel:[OBJECT_B]</span>, he's a fool.","And if Steve Jobs thinks he can manage chip design and manufacturing better than *IBM* or §Intel$, he's a fool.",brands,0,0,5,5,0,NONE,5.0,1.0
1403,False,2/15/2018 12:06:53,3,1576123360,finalized,harvard,,stanford,,,R2836663423,NONE,1.0,,,True,,"This is better than last year's 43%, but far worse than harvard or stanford.","This is better than last year's 43%, but far worse than <span style=""color: #9A14B2; font-weight: bold"">harvard:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">stanford:[OBJECT_B]</span>.","This is better than last year's 43%, but far worse than *harvard* or §stanford$.",jbt,0,0,3,3,0,NONE,3.0,1.0
325,False,1/11/2018 19:17:00,3,1534177161,finalized,Windows XP,,Windows 8,,,B326290804,NONE,0.6511,,,True,,"Apple iMac, MacBook Pro, Air all run Microsoft Windows, all versions from Windows XP to Windows 8. Apple and Microsoft are partners in bed, in fact, Microsoft Windows run best on a Apple iMac or MacBook better than any other PC.","Apple iMac, MacBook Pro, Air all run Microsoft Windows, all versions from <span style=""color: #9A14B2; font-weight: bold"">Windows XP:[OBJECT_A]</span> to <span style=""color: #6CB219; font-weight: bold"">Windows 8:[OBJECT_B]</span>. Apple and Microsoft are partners in bed, in fact, Microsoft Windows run best on a Apple iMac or MacBook better than any other PC.","Apple iMac, MacBook Pro, Air all run Microsoft Windows, all versions from *Windows XP* to §Windows 8$. Apple and Microsoft are partners in bed, in fact, Microsoft Windows run best on a Apple iMac or MacBook better than any other PC.",compsci,0,0,3,3,0,NONE,3.0,1.0
