id,text_readable,label:confidence,label
J1456299194,"It's much easier to use than its *Perl*, Python or §Ruby$ friends because it doesn't require SVN language bindings, which are close to impossible to compile from scratch.",0.6,OTHER
J1444918727,"It's easier to learn than C, *Python*, §Java$, and most other programming languages used in web development, for that matter.",0.6723,NONE
O2402956848,"The app is two to 10 times faster on the client side than its predecessor, and on the server side, it's using a fraction of the resources, thanks to a switch from *Ruby* on Rails to Node.js, a server-side §JavaScript$ development technology that's barely a year old but already rapidly gaining traction.",0.6346,NONE
K1694141643,"Maybe we're going to use *Python* (simpler but slower) , or §Java$ (much complexer compared to a ""pure"" scripting one, but faster - as fast as C/Cpp).",0.7055,OTHER
K1635496226,Linux is inferior to *Windows XP* or §Windows Vista$.,0.6719,OTHER
E672330312,"Even today , lanuages like *Ruby* and §Python$ are still an order of magnitude slower than some of their static counterparts.",0.6811,OTHER
B305352903,"Another db, *SQLite* or §MySQL$ (that are faster and lighter with simple db structures) used to store just the documents ID and timestamps.",0.6719,NONE
H1101595768,If this is for a personal project then there's a lot easier ways of doing this such as using *PHP* or another server side language like §Python$.,0.6719,NONE
J1544989266,*Java* does not support Lambdas like Python or Code Blocks like §Smalltalk$.,0.6735,WORSE
K1724300191,Mobile developers were finding Symbian C++ much harder to learn and develop for that Google's *Java*-based SDK or Apple's §Objective-C$ based SDK.,0.6805,OTHER
J1491454868,It would be a virtuous cycle for *PHP*(things get better because the status quo is better) and a vicious cycle for §Java$(things get worse because the status quo is worse).,0.6945,BETTER
N2120484794,*Ruby* and §PHP$ are easier for designers to learn and give them their first successes quickly.,0.6519,OTHER
M2054168668,"*Python* and §Perl$ both work better than Java on Linux, they're faster to develop with, they start faster, easier to debug, more useful libraries, more code developed by other people that you can leverage, etc. etc.",0.6786,NONE
J1468913329,"It's tiny (about 300kB), it's simple (no messing about with starting servers), it's blazing fast (for some tasks, it's up to an order of magnitude faster than *PostgreSQL* or §MySQL$ --- for others, it's slower, though: benchmarks [sqlite.org]).",0.7546,OTHER
L1911146553,Only recommendation would be to move to *Python* (or something better than §Bash$/perl) in order to increase library support and adoption.,0.6386,BETTER
I1332732696,I ran it myself and found PHP to be faster than *Python* and §Ruby$.,0.6519,OTHER
M2054193706,"*Python* or §JavaScript$ might be a little easier for learning, since you no longer worry about type safety, you just let things crash at runtime if you use them wrong.",0.6423,NONE
A137884310,Actually for many *Windows XP* users it is easier to migrate to Linux Mint than to §Windows 8$.,1.0,NONE
P2528133264,Their aim is to make *Windows 8* run faster than §Windows 7$ on the same machine.,1.0,NONE
R2818448158,"This could better be integrated to your application than some *Python* script (or Perl script, or §Bash$ script using the system's mailx application, or whatever other external method you find).",0.6626,NONE
M1926847048,*Oracle* and §PostgreSQL$ both have good log-shipping mechanisms to make this easier.,1.0,NONE
O2391155907,The 480 Mb *USB* interface and v2.1 enhanced §Bluetooth$ make sharing of data faster.,1.0,NONE
T3268030790,"You're better off getting something like a Parrot MKi9200 (will do *Bluetooth* audio & handsfree, §USB$, aux, SD cards etc)",1.0,NONE
S2987441450,"Using the techniques of today, it looks like the best one can do is essentially to construct a Turing machine that explicitly enumerates the theorems of PA or ZFC-in which case the numerical bounds would be absolutely terrible, since one would need to code up the axiom schema, the inference rules of first-order logic, etc. (Probably the situation is somewhat better in a programming language like *Lisp* or §Python$.)",0.6786,OTHER
F749318296,"For instance embedded Java databases like H2 and HSQLDB are demonstrably faster than MySQL and *PostgreSQL* or §Oracle$ on small to average sized disk-based databases, and they were written by a single guy.",1.0,OTHER
L1777176928,"*MySQL*, §PostgreSQL$, Oracle, etc., are all superior choices.",0.6505,OTHER
D496067859,"CODE:NEO can enhance existing *Java*, §Perl$, or ASP programs to execute and run at least ten times faster on a web server.",1.0,NONE
F819063073,Going cordless is good and going *Bluetooth* is even better since it frees up a §USB$ port.,0.6452,NONE
I1344274849,is better supported than the *MySQL*/§SQLite$ one).,0.6633,OTHER
D404375057,But now version 2.7.6 is over two times faster than *MySQL* and over twenty times faster than §PostgreSQL$.,0.6429,BETTER
M1939369812,"Other languages that might be easier on you: *Ruby*, Lua, C#, §JavaScript$/Coffeescript.",1.0,NONE
O2373817823,"That's all going to change now that LESS is being rewritten in *JavaScript*, is about forty times faster than the §Ruby$ version, and can be used by any of us!",1.0,BETTER
J1444391122,It's definitely faster than using *MySQL* or §PostgreSQL$ for what you want to do though... -  Aaron Aug 18 '11 at 18:56,0.6923,OTHER
J1545153273,"*Java* was pitched as a ""good enough"" §Smalltalk$.",0.6633,OTHER
M1988309762,*Perl* is slower and faster than §Java$,0.6723,OTHER
A115608686,A better design would be to move the firewire port inbetween the second *USB* port and the §Ethernet$ port.,1.0,NONE
L1859752334,Objective C is more like *Smalltalk* than C++/§Java$/etc.,1.0,NONE
S3061179901,"We'll begin by discussing functional programming styles, how we use functional programming today in *Groovy*, and how the constructs of §Java$ 8 offer a better functional programming style.",0.6786,NONE
J1510168377,I want it to become a way to interface to *Java* easily and the §Smalltalk$ way.,0.6154,NONE
P2439208129,"The code was written in a metalanguage I implemented to make porting between *Objective-C*, §Java$, C++ and C# easier.",1.0,NONE
E688265261,"Expert C developer; solid Java, C++, *Python*, §JavaScript$, HTML, JSP, CSS skills among others",0.6811,NONE
L1792005773,"Network connectivity is restricted to slower 10/100 'Fast' *Ethernet* and Wireless-G Wi-Fi, as opposed to the Gigabit and Wireless-N Wi-Fi oft demanded these days, though §Bluetooth$ is at least included.",0.6935,NONE
S3053834733,"We have superior knowledge in all of the following categories; SEO, SEM, flash , html, *PHP*, aspx, css, §JavaScript$, mysql, shopping carts and more.",1.0,NONE
T3258524302,You'll learn How to call *Swift* from §Objective-C$ from the Automatically Generated Header.,1.0,NONE
I1350817982,Is *NetBeans* very different from §Eclipse$?,0.6698,NONE
F738920391,"For better or worse, *Ruby*, §Python$, JavaScript and so on have changed how people see programming.",0.68,NONE
H1112689265,"If you enjoy Windows 64bit operating system, such as *Windows XP* or §Windows Vista$ 64-bit editions, now you can make better use of that ""extra power"".",1.0,NONE
K1730547029,"more acquainted with Common Lisp, *Java* and §Smalltalk$.",1.0,NONE
N2217340515,"sirrobert: I wrote a lot of *Perl* 5 [that generates C] last week, a ton of NQP the several weeks before that, a bunch of C the weeks before that, a bunch of Java at $dayjob before that, a ton of §JavaScript$ before that, a decent amount of C# before that, and I don't remember more than 6 months ago.",1.0,NONE
L1791482362,*NetBeans* guys aren't like §Eclipse$ developers.,0.6792,NONE
L1825141526,"Not a luxury ride but very decent and great features for the price (*Bluetooth*, navigation, §USB$ port, leather, AWD, heated front seats, moon roof, etc.).",1.0,NONE
J1545132302,"*Java*, §Smalltalk$, and Scheme pass this test as well.",1.0,NONE
N2212770281,"Since text processing features in Windows were lot inferior, to make life easy, we had downloaded Unix Command line port of many of its popular utilities such as grep, *AWK*, §Sed$, curl, lynx, wget, mycurl (just to name a few).",1.0,NONE
O2306334493,Store unlimited Cocoa/*Objective-C*/§Swift$ snippets.,1.0,NONE
I1361546368,"Is *Windows 8* better than §Windows 7$, its predecessor?",0.6463,OTHER
M2090903913,Re: *MySQL* to §Oracle$,1.0,NONE
M1926920044,"*Oracle*, §MySQL$.",1.0,NONE
E635911781,"*Eclipse*, §NetBeans$ and Lobo (the Java browser).",1.0,NONE
L1841410001,"Novices and ""accidental"" users with strong Dos/Windows background and mainly Dos/windows-based OFM motor skills (although that does not necessary means that they do not know Unix commands on advanced or ""power user"" level -- for example I know Unix shell, *AWK* and §Perl$ on a pretty decent level).",1.0,NONE
J1562648909,JS is better than GWT? *Scala* is better for §Java$ in the enterprise?,0.7055,NONE
N2120533556,"- *Ruby*, Python, PHP, §Java$: clients updated",1.0,NONE
G1025401201,"I bought the *USB* §Ethernet$ adapter for the Wii, hoping a faster connection over hard-line would help.",1.0,NONE
M2041287470,"- Proficiency in *PHP*, .NET, HTML5, §Java$, JQUERY, MYSQL, CSS3 (The more you know the better!) - Team player.",1.0,NONE
E683200389,+%%EXAMPLESDIR%%/%%PORTVERSION%%/*Ruby*/§Java$/example.i,1.0,NONE
S2983216090,Use of *Bluetooth* & §USB$-connected phone is annoying; I think it should have been better-designed.,1.0,NONE
O2284784669,SpeedItup - Make pc 302% faster for free - Utilities/System Utilities ... SpeedItUp Free will speed up any computer system running *Windows XP* or Microsoft §Windows Vista$.,1.0,NONE
L1865039878,"Of course, for better AND worse, *PHP* is not §Ruby$, but the principles of both framework looks rather similar.",0.7063,OTHER
T3237912814,"You can also host a *Bluetooth* network on your laptop (a little harder to set up, but shorter range) or simply use §USB$ pass-through.",0.6914,NONE
N2264142975,"So perhaps the ""Better remote protocol"" needs to be split into subcategories based on LAN/WAN and then also which specific categories they assist with (Bitmap acceleration (*OpenGL*/§Direct3D$), Flash Acceleration, Multimedia redirection, Multimedia tossing/compression, Image compression, etc).",1.0,NONE
T3120156253,"What You Will Need to Run MEET MANAGER MEET MANAGER for Swimming requires a Pentium, Celeron, or AMD computer of at least 500 MHz (preferably 1 GHz or faster) with at least 500 MB of RAM (preferably 1 GB of RAM or more) and either *Windows 98*, Windows NT, Windows 2000, §Windows XP$, Windows Vista, or Windows 7.",1.0,NONE
N2120515907,"*Ruby*, §Java$, Magic, rs232, whatever.",1.0,NONE
G986970277,"How, in your view, does *Scala* have any better modularity than §Java$ or C++ ?",0.6779,BETTER
J1412024283,It is obvious off-the-shelf *MySQL* (and §PostgreSQL$ too) are already very good and continuing to get better.,0.6622,NONE
N2243695144,"Solid programming skills in at least one compiled and interpreted language, preferably *Python* and/or §Java$.",1.0,NONE
M1937579605,OS: *Windows XP* / §Windows Vista$ / Windows 7 (Latest Service Packs) with DirectX 9.0c or better,0.6940000000000001,NONE
T3186601197,Wiser acts as an SMTP server on your system and makes the messages it receives directly available to your *Groovy* (or §Java$) program.,1.0,NONE
S3090626058,"We've been using HTML5 technologies extended by a PhoneGap/Cordova container, but are starting to look at more ""native"" app development - using *Objective-C* for iOS and §Java$ for Android - for better performance, easier system integration, and better compatibility with older versions of Android out in the wild.",0.6617,NONE
I1352826147,":) Is *Python* ""better"" than §Perl$?",0.6765,BETTER
B271039073,and *Oracle* §MySQL$ 5.1.69,1.0,NONE
E618802557,"Due to solid and stable growth, aligned with an exciting new corporate merger, we are seeking a highly skilled *Java*/§Groovy$/Grails developer for a contract opportunity of at least 6 months.",1.0,NONE
R2922233975,"To make connections easier, the Blu-Ray Disc player has HDMI 1.3 and *USB* and §Ethernet$ ports.",1.0,NONE
K1715211574,"migration tool and an editor of your choice Experience with traditional RDBMS such as MySQL, *PostgreSQL*, §Oracle$, MS SQL Server, etc. Working in a team-based environment building CRM products that aid internal end-users perform their job Writing ""honest"" and effective unit tests with appropriate use of mocking and tracking of code coverage Solid written and verbal communication skills, and not letting ego get in the way of discussing solutions and helping others Where possible, never working in the absence of version control.",1.0,NONE
F750437745,"for json: i also think its better to just use *Python*, §Ruby$, perl and transform it.",1.0,NONE
E570442513,"Designed to offer easy connectivity and make it easier to access and share documents in the classroom, the TravelMate B113 offers a choice of options: 802.11 a/b/g/n Wi-Fi CERTIFIED for wireless connectivity, Gigabit *Ethernet* for reliable cable connection and §Bluetooth$ ® 4.0, for high-speed sharing of media files or documents.",1.0,NONE
S3090673216,"We've been  hitting hard with evidence for the past few months  that suggest a new *Apple TV* is in development, and what better time to launch it than alongside the latest and greatest mobile §iOS$ device?",0.6459999999999999,NONE
T3173179520,Why can't *Java* and §Ruby$ co-exists?,0.7241,NONE
E697356712,"Faster debugging (local and remote), integrated *PHP* and §JavaScript$ debugging, profiling, code inspection & quick fix, test generation & reporting",0.6726,NONE
F757584085,"For red-eye flights, there's a light at the top of the screen bezel which illuminates the keyboard nicely, and *Bluetooth*, wireless-n and Gigabit §Ethernet$ will keep you connected at decent speed wherever you find yourself.",1.0,NONE
I1290776144,"Instead, jailbreakers have stuck to the (assuming) easier to hack device, the *Apple TV* 2. The ATV2 has been jailbroken on all major §iOS$ software versions, and has become a great device for multimedia consumption.",0.6617,NONE
S2978266352,Upgrades are being made harder now that you have OEMs like Dell still selling *Windows XP* and making §Windows Vista$ available as an upgrade option.,1.0,NONE
N2243745740,"- Solid web development experience using OOP, *PHP*, AJAX, MySQL, WEB SERVICES, §JavaScript$, XML, HTML",1.0,NONE
E635922712,*Eclipse* Vs §NetBeans$ again (on ubuntu),0.6793,NONE
G1022990967,I believe that if a SysAdmin knows what they are doing in shell/*Bash*/perl/§Python$ nothing can do things better as we can be it the automation or ensuring you have a stable server to serve millions of users .,1.0,NONE
N2120527559,"*Ruby* on Rails, §Java$) ?",1.0,NONE
D402033767,"But merely posting ""*Python* is way more popular"" isn't constructive toward making §Ruby$ better.",0.6777,BETTER
J1566396518,"JUnit is, in turn, a *Java* version of Kent's §Smalltalk$ testing framework.",1.0,NONE
N2137843465,*Scala* can also be written across a wide range of styles from the Typelevel to the Better §Java$.,0.6855,NONE
I1330091234,"IP Phone 1150E leverages the IP Phone 1100 Series design and includes a high-resolution, backlit, graphical, grayscale pixel-based display, an integrated USB port for enhanced navigation and entry, integrated *Bluetooth* agent headset support and integrated Gigabit §Ethernet$ to deliver superior performance and user experience.",0.6842,NONE
J1491502075,It would be better to have an Micro B *USB* plug on the §Bluetooth$ speaker to charge (connect).,1.0,NONE
K1705710656,Member Thom Thom will present his solution of much easier apps using mostly HTML5 instead of *Java*/§Objective-C$.,1.0,NONE
K1631167709,Like *Ruby* or §Java$.,0.7345,NONE
D488278581,"Clean interface, instant startup, superb ... to create and edit HTML, CSS, *JavaScript*, §PHP$, Perl , Ruby, Python, ASP, ASP.Net, SSI code faster and ...",1.0,NONE
F779151934,From (1) and (2) follows this question: Is it possible at all to write a web framework in *Ruby* that's faster than §PHP$?,0.7011,BETTER
N2120534637,"*Ruby*, React, Backbone, core §Java$, PHP, Cordova.",1.0,NONE
O2265216154,Sorry but if you claim you are an IT tech and you can't figure out how to make *Windows 8* work better for you than windows 7 or §Windows XP$ then I do believe you are just a self proclaimed IT tech.,1.0,NONE
H1192487147,"I'm a functional (Haskell, *Lisp*) programmer as well as being well versed in OO (C++ & §Java$ mainly) and I've just started my first AJAX project and I've hopped from IDE TO ide including plain vim, Eclipse with ADT & WDT, Mozilla with Venkman debugger and (gasp horror) Visual Studio 2005 and I still find it harder than anything else I've done in terms of code-navigation and debugging",1.0,NONE
P2449052262,"The Coolest Cooler has built-in blender, *Bluetooth* speaker, and §USB$ charger.",1.0,NONE
H1171749012,"I know basic C++ and some C, I am fairly decent at *PHP* and can program pretty well in C#, and also know the basics of §Python$.",1.0,NONE
L1859926605,Object-Oriented (Eiffel/*Smalltalk*/§Java$/C++) -- 1c.,1.0,NONE
M1937579131,"OS: *Windows XP* Sp3, Windows Vista Sp2, Windows 7, §Windows 8$ Processor: Intel Core 2 duo 2.4Ghz or higher Memory: 2 GB RAM Graphics: Shader 3.0 or better, NVIDIA 9800 GT 512MB RAM or better, ATI 4850HD 512MB RAM or better DirectX®: DirectX 9.0c Hard Drive: 2 GB Space Free Sound: 100% DirectX 9 Compatible Other Requirements: Broadband Internet Connection",1.0,NONE
C356569878,"As for learning, *JavaScript* is good, I'd do python before §Ruby$, mainly because the culture of python seems better in line with education: there's one good, and preferably obvious way do do things.",0.6694,OTHER
G1015632418,"I am skilled in C/C++, Java, VB, Objective C (iOS development for both iPad and iPhone), *Python*,Ruby also got decent experience in web developement using html, css, §JavaScript$, ajax, jsp and php.",1.0,NONE
O2279429078,"SO, you can see *Smalltalk* objects as a §Java$ object!",1.0,NONE
F785133054,"From the specs on Apple site, it will run only on Safari 4 running Mac OS X 10.6 or better, Safari on *iOS* 4.2 or better and 2 nd gen §Apple TV$ or later running 5.2.",1.0,NONE
I1327250082,iOS PRO *Objective-C* / §Swift$ ( iPhone / iPad / Apple Watch),1.0,NONE
L1810869600,"No, don't try *Ruby* and §Java$.",1.0,NONE
N2208173634,"Simplistic like [[*Smalltalk*]] (methods are public, members are private) or complex like [[§Java$]]?",0.6867,OTHER
F797523368,Garbage collection predates *Java* through such languages as §Smalltalk$ and self.,1.0,NONE
E635895165,"*Eclipse*: 637, §NetBeans$: 7",1.0,NONE
R2853655818,This means Better Together over *Ethernet* should work like §USB$ Better Together from UI perspective,1.0,NONE
S3037949032,"We could go on, but to be honest, there aren't any tricks for the aluminum wand that will make it better than Apple's excellent-and free-Remote app for the iPhone, iPod touch, and iPad, so if you have an *iOS* device around the house, be sure to download and install Remote to take full advantage of your §Apple TV$.",1.0,NONE
O2286346335,"Splunk Java SDK (beta) , Splunk *JavaScript* SDK (beta) , Splunk §Python$ SDK (beta), and Splunk PHP SDK (public preview) Splunk makes it easier for developers to quickly build custom applications to search, manage, and visualize Splunk data by delivering Software Development Kits with sample code, documentation, and other tools for popular languages.",1.0,NONE
L1874825591,"Oh, do I like *Ruby* or §Python$ better?",0.7011,OTHER
L1903224768,One reason Racket goes slower is that it use big ints while *Perl* and §JavaScript$ will both operate mod 2^32.,1.0,NONE
O2288684021,- SQL (*MySQL* und/oder §Oracle$),0.6434,NONE
E635911772,"*Eclipse*, §NetBeans$) 46% Databases (e.g.",1.0,NONE
J1413384229,"It is powered (OTS) by *SQLite*, but for larger systems can use §MySQL$ (obviously quite capable), supports multiple playlists, global hotkeys, a decent search (no support for regex tho, AFAIK), etc.",0.6522,WORSE
A144062346,"Additionally, the Samsung MZ-7PC128B solid state drive is compatible with *Windows XP*, §Windows Vista$...",1.0,NONE
H1099979558,"if they could have worked out a system where you could buy it once, perhaps with the iTunes Extras features AND unlock an *iOS* version of the same thing for the iPad, iPhone, §Apple TV$ they could have had better success.",1.0,NONE
F744849489,"For example, particular uses of nested classes in C++, interfaces in *Java*, cascaded calls in §Smalltalk$,...",1.0,NONE
N2251713097,"Some of the things you might find missing on PC hardware include lighted keys, newer/better version of *Bluetooth*, WiFi N, LED screen, multitouch trackpad, remote receiver, gigabit §Ethernet$, magnetic power connector, sudden motion sensor, ambient light sensor, web cam, metal housing, light weight and thin, compact power charger, etc. ... Most PC laptops will have some of that, few will have it all--especially if they're on the cheap end.",1.0,NONE
D524536323,"core 2 quad q9650, LGA775 mobo, 8gb ram, gtx 760, 3tb hdd, compatible wifi card, 2 compatible *USB* §Bluetooth$ dongles, a cpu cooler for $799.98",1.0,NONE
P2576169638,"The new version of the *Groovy* programming language aims to make life easier for programmers who work with §Java$ and SQL, the language's developers note.",0.67,BETTER
J1490983641,"It works passably on Ruby, PHP, VB, and *AWK* and a decent subset of §Perl$ and Ruby, but, because of commenting conventions, doesn't work on Smalltalk, or CAML-like languages.",1.0,NONE
F847715656,- Harder adaptation for pre *Windows Vista* users i.e.) §Windows XP$/2000.,0.6649,NONE
B294414254,"And you're an admitted *Perl* novice, what if you decide you like §Ruby$ better in 6 months?",0.639,NONE
N2223379078,"*Smalltalk* (and §Java$)"".",1.0,NONE
L1775165547,My question may sound naive but what I am trying to ask does object oriented scripting language like RoR and *Groovy* Grails complement §Java$ j2ee development or provide a superior alternative.,1.0,NONE
S2972994464,Unless you are confusing *Java* with §Smalltalk$.,1.0,NONE
I1289350976,"Installation couldn't be easier - just connect the coaxial cable to the SB5101, then connect the cable modem to your computer via either *Ethernet* or §USB$.",1.0,NONE
M1938830866,"Other features of *iOS* 5 include Mail and Safari improvements, a new camera button in the Lock Screen, AirPlay Mirroring to an §Apple TV$ and a systemwide split keyboard to make it easier to type on the iPad.",1.0,NONE
M1979929361,"Pentium III 800MHz or faster PC with USB port 512 MB RAM or more Windows 2000, *Windows XP*, Windows Vista, Windows 7, §Windows 8$ Mac OS 10.4 or later Linux 2.6.31 or later",1.0,NONE
O2281090942,"Spark allows the developers to write in Scala and *Python*, in addition to §Java$, which makes the coding much faster and easier to read the more succinct code.",1.0,NONE
K1647730788,"Looking back I'd say *Perl* is more general than §AWK$, but not necessarily better .",0.6434,OTHER
N2223380970,*Smalltalk*/§Java$: imperative/object-oriented,0.6726,NONE
N2257094663,"Sometimes for a better result, adding codes by using *PHP* and §Java$ script is needed.",1.0,NONE
C376947732,"As standard, the Captur comes with a decent amount of kit, including *Bluetooth*, aux-in and §USB$ connectivity, front and rear electric windows and alloy wheels.",1.0,NONE
G926689903,"He used Oracle, DB2, *Smalltalk*, COBOL, §Java$, CGI/Perl, C.",1.0,NONE
L1777202670,*MySQL* with §Oracle$.,1.0,NONE
M2041831570,"Programming Languages: Ruby, Python, Java, JavaScript, *Swift*, §Objective-C$.",1.0,NONE
A137916339,"Actually having used *Eclipse*, Intellij and §NetBeans$.",1.0,NONE
T3212533557,Would *Oracle* Harm §MySQL$?,1.0,NONE
J1545111115,"*JavaScript* isn't the only example that meets those criteria; you could make decent arguments for §Python$ or Ruby, and those are good choices as well.",0.7285,OTHER
E635905496,*Eclipse* instead of §NetBeans$,0.6905,BETTER
M1937579132,"OS: *Windows XP* (SP3), Windows Vista (SP2), Windows 7, §Windows 8$  Processor: Intel Core 2 Duo, AMD Athlon X2, or equal at 1.6GHz or better  Memory: 2 GB RAM  Graphics: DirectX 9.0c-compatible, SM 3.0-compatible  DirectX: Version 9.0c  Hard Drive: 2 GB available space  Sound Card: DirectX 9.0c-compatible, 16-bit",1.0,NONE
F794858766,fyi - *MySQL*/§Oracle$,1.0,NONE
N2243644637,"Solid experience in HTML,*JavaScript*, CSS, §PHP$, MySQL, and adhering to accessibility standards.",1.0,NONE
K1732093111,"More is better. 2 years of web development with *Python*, Ruby, §PHP$, HTML, CSS.",1.0,NONE
E570470483,"Designed to work with an existing backend GPS Tracking...Tracking server/engine (built on *PHP* /§Java$/mysql), or if easier create new app/backend?.",1.0,NONE
D538987468,"*CUDA* has much better support than AMD or §OpenCL$, try to get AMD to help you to debug your code, and you will see what happen!",0.6684,BETTER
A62740058,2. *PostgreSQL* can do many things faster than §Oracle$.,1.0,BETTER
O2332684839,Systems like *PHP* and (here comes the -1 Flamebait mod) ASP are faster and more efficient than §Perl$ CGI.,1.0,BETTER
J1501044800,I've concluded that it is better to use *Python* on Windows (for all the scripting) rather than §Bash$.,1.0,BETTER
R2839991108,"This is most likely done to optimize for *Integer* calculations, rather than slower §Floating-point$ math.",0.6397,BETTER
E567228296,"Depending on your processor, *Floating-point* multiplies may be faster than §Integer$ (but not a lot).",1.0,BETTER
B225637482,Although *OpenGL* is a little behind §Direct3D$ in terms of standard features I still find that it's not only easier to use but generally much faster.,1.0,WORSE
M1996477634,*PHP* is much easier than §Perl$ to get started in.,0.8009,BETTER
B254026967,and heck i just like *Perl* better than §Java$! as well its good to have choices!!,1.0,BETTER
I1250153644,"Indeed, this has nothing in particular to do with *Windows XP*, however §Windows Vista$ is becoming worse with respect to integrating DRM into the OS.",1.0,BETTER
B258332174,"And if you are really wondering why WE think that *OpenGL* is better than D3D, you can search the forum with the keyword ""§Direct3D$"".",0.6961,BETTER
R2815318259,This can skew expectations because an implementation may perform very well on *Integer* math and considerably worse on §Floating-point$ math due to the objects created (and collected).,0.7298,BETTER
L1880797495,O.k. there is that part about *Python* being nicer than §Lisp$.,1.0,BETTER
B218885239,"Also the entire menu system is being rewritten (again) for the Debian base (using sysvinit rather than upstart), but this time it'll be in *Python* rather than in §Bash$ (which should make it quite a bit faster as well).",1.0,BETTER
P2447016108,The consensus seems to be that *Java* killed §Smalltalk$.,1.0,BETTER
T3224820173,"Yes, *CUDA* has been around longer, receives more support, and is a better product in almost all ways then §OpenCL$.",1.0,BETTER
I1262972660,"In FPGAs, *Integer* or fixed-point math can often run 10 to 100 times faster than §Floating-point$ computations.",1.0,BETTER
I1405475570,It is easier to install and seems to work well with *Windows XP* but crashed a lot on §Windows 98$ (at least when I tested it).,0.6602,BETTER
K1676248405,Many processors can do *Integer* calculations much faster than similar §Floating-point$ operations.,0.6708,BETTER
J1532423700,I would do it via *USB* (assuming that's much faster than §Bluetooth$).,1.0,BETTER
H1195869632,"I'm asking about *Perl* because I believe it is more stable, more secure and faster than §PHP$.",1.0,BETTER
B173597317,"A further advantage of perl or *Python* (or ruby) would be that these should all have libraries for interfacing with matlab, and much better data structures than §Bash$ for tables.",1.0,BETTER
