caption,sentence,object_a,object_b,predicted,gold
"unigrams ('full sentence', ExtractRawSentence(processing=None))",I found the JS and PHP lib easier to work with than the Java ones.,Java,PHP,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))",We've found that downloads are generally slower in Windows Vista and 7 compared to Windows XP.,Windows XP,Windows Vista,NONE,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))",They are very nice - with solid wood backs (not the cheap cardboard back type).,wood,cardboard,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))",iOS is easier to play with plus Apple TV is better than Chrome (for now).,iOS,Apple TV,BETTER,NONE
"unigrams ('full sentence', ExtractRawSentence(processing=None))","Yes, even though Scala is primarily a JVM language and often touted as a ""better Java"", it doesn't have interfaces.",Java,Scala,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))","Also, softball is weak, basketball is a much better sport, luckily I kept my cardio because I don't smoke spice.",basketball,softball,NONE,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))",I am very skeptical that Swift is faster than Objective-C.,Swift,Objective-C,BETTER,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))","Rails is definitely much better than PHP, if only because Ruby isn't painful from a syntax POV.",Ruby,PHP,BETTER,NONE
"unigrams ('full sentence', ExtractRawSentence(processing=None))","JavaScript reminds me of Perl 4 with a slightly better syntax and a couple of additional features (basic lexical scoping, higher order functions, and method dispatch, not to mention competing implementations with a lot of effort spent on optimizing away efficiencies inherent in some of the poorest misfeatures of the language's design).",Perl,JavaScript,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))","And until Chevrolet can make a better vehicle than Kia or Toyota, I will be driving an inferior vehcile because I buy American when I can.I for one abhor the idea of a global economy and a global government but with the forces pushing us in that direction, I am still looking for ways to fend it off.",Toyota,Chevrolet,NONE,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))","With Groovy you can accomplish many task faster than in Java ( see how easy is to work with List, Maps ) or how fast is to create POGOs.",Java,Groovy,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))",Can't do that any easier than in Perl/Python/tcl.,Python,Perl,BETTER,NONE
"unigrams ('full sentence', ExtractRawSentence(processing=None))",The pizza use to be better and the Crazy bread was definately better.,bread,pizza,NONE,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))","Is a BMW 3 series $15,000 better than a Ford Focus?",Ford,BMW,BETTER,NONE
"unigrams ('full sentence', ExtractRawSentence(processing=None))",Men's basketball finds itself somewhere between North carolina (very good) and missouri (decent) when it comes to it's national ranking entering the 2011 season.,carolina,missouri,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))",the football team is decent but getting better! the basketball teams are awesome!the,football,basketball,NONE,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))",This is one where a company like Dell can dominate a company like Apple that makes a better product.,Apple,Dell,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))","pizza cooks faster and is more tender, bread crusts as it's never crusted before.",bread,pizza,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))",And I think Microsoft will have more money to make better games than Sony.,Microsoft,Sony,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))","And at this point, Python (or Ruby) may be a better choice, because Hackage still lags behind PyPI in many areas (and say, how many days you need to teach a novice to manipulate an image, or to plot charts in Haskell?).",Python,Haskell,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))",This is easier for some languages who have more syntactic sugar (like Ruby or Scala) and much more difficult for others (like Java).,Java,Scala,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))",Alonso/Renault got the better of Michael/Ferrari in 2006.,Ferrari,Renault,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))","Downloading the media yourself, installing, and then using the ""phone Microsoft to activate"" option might be faster than waiting for the media from Dell.",Microsoft,Dell,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))","Final note: Without the transfers last year, missouri likely is worse than South carolina and Miss.",carolina,missouri,NONE,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))",You won't find a better suv than this outstanding 2013 jeep Patriot.,suv,jeep,BETTER,NONE
"unigrams ('full sentence', ExtractRawSentence(processing=None))","Nike is definitely not my favorite, also Adidas aren't better than Converse either.",Nike,Adidas,BETTER,NONE
"unigrams ('full sentence', ExtractRawSentence(processing=None))","Surfing the web on an iphone is far superior, surfing the web on my laptop is far superior still.",laptop,iphone,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))",Is murder worse in missouri than michigan?,michigan,missouri,NONE,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))","Also, the quality and resale value of Toyota has generally been better than Nissan.",Toyota,Nissan,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))",There is no obvious reason as to why Lisp should have better performance than Python.,Python,Lisp,BETTER,NONE
"unigrams ('full sentence', ExtractRawSentence(processing=None))",It's easier to maneuver than chalk paint for those small details.,paint,chalk,BETTER,NONE
"unigrams ('full sentence', ExtractRawSentence(processing=None))","States with 10 percent unemployment or worse included Nevada, 14.2; Rhode Island, 11.3; michigan 10.7; South carolina, 10.5; Oregon, 10.4; Kentucky, 10.4; Georgia, 10.4; and Mississippi 10.1.",carolina,michigan,NONE,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))","Mediocre TN panels are usually the best we get on laptops (i.e., anything Apple, or some of the higher resolution upgrade options on Dell, etc).",Apple,Dell,NONE,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))",I have tried using Perl (slow) and AWK (faster but still slow) - does anyone have any suggestions or pointers toward alternative approaches?,Perl,AWK,NONE,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))",They just couldn't understand that hockey was significantly cooler than tennis.,tennis,hockey,BETTER,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))","Getting an X2 HP system, though, would of course make it faster than almost any Intel Pentium D configuration from Dell.",Intel,Dell,BETTER,NONE
"unigrams ('full sentence', ExtractRawSentence(processing=None))","Its a bouncy, poorly riding, poorly handling live axled truck, while the ML has an independent suspension, smooth and solid modern suv.",truck,suv,NONE,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))","There are many things that I can do faster in Perl than in Java, C, C++, or various other languages.",Java,Perl,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))",Motorola was king before Nokia came in.,Nokia,Motorola,NONE,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))","Also while you're at it, make a ps2 guide, the compatability is better than psp, and games are easier to Rip.",psp,ps2,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))","With my (not so cheap) Sony UX and 2.5G internet, I can run AGWTracker with Google Maps connected to APRS-IS in the car (sadly, I have better connectivity across much of the country than I do via rf.)",Google,Sony,BETTER,NONE
"unigrams ('full sentence', ExtractRawSentence(processing=None))",I'm not saying Windows 8 is worse than Windows 7 - I believe it has better features and so on.,Windows 7,Windows 8,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))",Natural stone pool coping has a superior advantage over pre-cast concrete and tile.,stone,concrete,NONE,BETTER
"unigrams ('full sentence', ExtractRawSentence(processing=None))","For all of Google TV's faults as a platform, Sony has done a decent enough job with the WiFi-endowed NSZ-GS7, though it does run on the ageing Android 3.2 Honeycomb OS.",Google,Sony,NONE,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))","after tons of failures from Kingston (i know sandisk is better), i stick to Intel or Samsung only - data loss is worth more than a few hundred to me",Intel,Kingston,NONE,WORSE
"unigrams ('full sentence', ExtractRawSentence(processing=None))","Is Windows 8 better than Windows 7, its predecessor?",Windows 7,Windows 8,BETTER,NONE
"unigrams ('full sentence', ExtractRawSentence(processing=None))",The pasta is mediocre BUT the pizza is very good.,pizza,pasta,NONE,WORSE
