,id,domain,object_a,object_b,sentence,it_1_confidence,it_2_confidence,better_count,worse_count,none_count,most_frequent_label,most_frequent_count,it_1_judgments,it_2_judgments,sentence_html,judgments,confidence,most_frequent_percentage
176,K1647730788,compsci,Perl,AWK,"Looking back I'd say Perl is more general than AWK, but not necessarily better .",0.6615,1.0,0,1,4,NONE,4,3,2,"Looking back I'd say <span style=""color: #9A14B2; font-weight: bold"">Perl:[OBJECT_A]</span> is more general than <span style=""color: #6CB219; font-weight: bold"">AWK:[OBJECT_B]</span>, but not necessarily better .",5,0.7968999999999999,0.8
1901,F812358749,compsci,Oracle,PostgreSQL,"given that I spend so much time writing about mssql, sybase, informix, Oracle, mysql, sqlite, i really should have known better and make sure to say that this particular post is related to PostgreSQL only.",0.6712,1.0,1,0,4,NONE,4,3,2,"given that I spend so much time writing about mssql, sybase, informix, <span style=""color: #9A14B2; font-weight: bold"">Oracle:[OBJECT_A]</span>, mysql, sqlite, i really should have known better and make sure to say that this particular post is related to <span style=""color: #6CB219; font-weight: bold"">PostgreSQL:[OBJECT_B]</span> only.",5,0.8027200000000001,0.8
456,Q2732651559,brands,IBM,Dell,"The team also invented the solid quality control manufacturing process approved by companies of Dell, HPQ, IBM, etc.",1.0,1.0,0,0,5,NONE,5,3,2,"The team also invented the solid quality control manufacturing process approved by companies of <span style=""color: #9A14B2; font-weight: bold"">Dell:[OBJECT_A]</span>, HPQ, <span style=""color: #6CB219; font-weight: bold"">IBM:[OBJECT_B]</span>, etc.",5,1.0,1.0
1629,H1173590712,brands,Toyota,Chrysler,"I know my 2000 Chrysler charges my phone faster than I can drain it, yet a friend's 20010 Toyota Matrix can't output enough power to charge the phone while using navigation.",0.6379,1.0,4,0,1,BETTER,4,3,2,"I know my 2000 <span style=""color: #9A14B2; font-weight: bold"">Chrysler:[OBJECT_A]</span> charges my phone faster than I can drain it, yet a friend's 20010 <span style=""color: #6CB219; font-weight: bold"">Toyota:[OBJECT_B]</span> Matrix can't output enough power to charge the phone while using navigation.",5,0.78274,0.8
2304,Q2687158116,brands,Samsung,Toshiba,"The Samsung BD-P1000 is far from perfect, but it works a heck of a lot better than the two Toshiba offerings.",1.0,1.0,5,0,0,BETTER,5,3,2,"The <span style=""color: #9A14B2; font-weight: bold"">Samsung:[OBJECT_A]</span> BD-P1000 is far from perfect, but it works a heck of a lot better than the two <span style=""color: #6CB219; font-weight: bold"">Toshiba:[OBJECT_B]</span> offerings.",5,1.0,1.0
711,G1028106980,brands,Coca-Cola,Pepsi,"I can live with commercials that say that Pepsi is better then Coca-Cola, I can live with a commercial that says buy Hyper-V instead of VMware but I always have problems with seeing how Microsoft is constantly spreading this kind of commercials that are plain wrong.",1.0,1.0,5,0,0,BETTER,5,3,2,"I can live with commercials that say that <span style=""color: #9A14B2; font-weight: bold"">Pepsi:[OBJECT_A]</span> is better then <span style=""color: #6CB219; font-weight: bold"">Coca-Cola:[OBJECT_B]</span>, I can live with a commercial that says buy Hyper-V instead of VMware but I always have problems with seeing how Microsoft is constantly spreading this kind of commercials that are plain wrong.",5,1.0,1.0
1890,E665867157,compsci,Ruby,Python,"Even assuming Ruby is better than Python, it doesn't matter.",1.0,1.0,5,0,0,BETTER,5,3,2,"Even assuming <span style=""color: #9A14B2; font-weight: bold"">Ruby:[OBJECT_A]</span> is better than <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span>, it doesn't matter.",5,1.0,1.0
1556,A15581820,jbt,football,lacrosse,10. Marcus Davis - Midfield - Victoria - Uncommitted - Davis is a superb lacrosse player who might be even better at football!,0.6897,0.5154,0,2,3,NONE,3,3,2,"10. Marcus Davis - Midfield - Victoria - Uncommitted - Davis is a superb <span style=""color: #9A14B2; font-weight: bold"">lacrosse:[OBJECT_A]</span> player who might be even better at <span style=""color: #6CB219; font-weight: bold"">football:[OBJECT_B]</span>!",5,0.61998,0.6
759,T3243285103,compsci,Sed,AWK,"You can probably talk it into being multi line, but it would be easier to start the job with AWK or perl rather than trying to do it in Sed.",1.0,0.5079,4,0,1,BETTER,4,3,2,"You can probably talk it into being multi line, but it would be easier to start the job with <span style=""color: #9A14B2; font-weight: bold"">AWK:[OBJECT_A]</span> or perl rather than trying to do it in <span style=""color: #6CB219; font-weight: bold"">Sed:[OBJECT_B]</span>.",5,0.80316,0.8
1889,O2420871364,compsci,PHP,JavaScript,The book assumes you have a solid understanding of PHP programming and at least a dash of JavaScript/jQuery experience.,1.0,1.0,0,0,5,NONE,5,3,2,"The book assumes you have a solid understanding of <span style=""color: #9A14B2; font-weight: bold"">PHP:[OBJECT_A]</span> programming and at least a dash of <span style=""color: #6CB219; font-weight: bold"">JavaScript:[OBJECT_B]</span>/jQuery experience.",5,1.0,1.0
1309,F781773821,jbt,soup,pasta,"From Mexican by Better Homes and Gardens, this Mexican meatball soup comes with a surprise: pasta.",1.0,1.0,0,0,5,NONE,5,3,2,"From Mexican by Better Homes and Gardens, this Mexican meatball <span style=""color: #9A14B2; font-weight: bold"">soup:[OBJECT_A]</span> comes with a surprise: <span style=""color: #6CB219; font-weight: bold"">pasta:[OBJECT_B]</span>.",5,1.0,1.0
857,M1971914320,compsci,Java,Smalltalk,"Pascal, Java, Modula-3, Python, and Smalltalk are all great.",1.0,1.0,0,0,5,NONE,5,3,2,"Pascal, <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span>, Modula-3, Python, and <span style=""color: #6CB219; font-weight: bold"">Smalltalk:[OBJECT_B]</span> are all great.",5,1.0,1.0
791,F796578344,jbt,ps2,gamecube,gamecube doesnt have better realistic graphics than the ps2? RE:4 anyone?,1.0,1.0,0,5,0,WORSE,5,3,2,"<span style=""color: #9A14B2; font-weight: bold"">gamecube:[OBJECT_A]</span> doesnt have better realistic graphics than the <span style=""color: #6CB219; font-weight: bold"">ps2:[OBJECT_B]</span>? RE:4 anyone?",5,1.0,1.0
378,G925161745,compsci,Ruby,Perl,He thought Ruby was a good name for a programming language newer (and hopefully better) than Perl.,0.6678,1.0,4,0,1,BETTER,4,3,2,"He thought <span style=""color: #9A14B2; font-weight: bold"">Ruby:[OBJECT_A]</span> was a good name for a programming language newer (and hopefully better) than <span style=""color: #6CB219; font-weight: bold"">Perl:[OBJECT_B]</span>.",5,0.8006800000000001,0.8
1697,H1073500142,brands,Ford,Honda,"If Ford wants me to buy American, then make a cheaper car that runs better than a Honda for the same price.",1.0,0.5455,0,4,1,WORSE,4,3,2,"If <span style=""color: #9A14B2; font-weight: bold"">Ford:[OBJECT_A]</span> wants me to buy American, then make a cheaper car that runs better than a <span style=""color: #6CB219; font-weight: bold"">Honda:[OBJECT_B]</span> for the same price.",5,0.8182,0.8
1525,N2243751164,jbt,lumber,plywood,"Solid wood should represent whole, uniform lumber, not a fabrication or wood composite, like particle board, MDF or even plywood.",1.0,0.5106,1,0,4,NONE,4,3,2,"Solid wood should represent whole, uniform <span style=""color: #9A14B2; font-weight: bold"">lumber:[OBJECT_A]</span>, not a fabrication or wood composite, like particle board, MDF or even <span style=""color: #6CB219; font-weight: bold"">plywood:[OBJECT_B]</span>.",5,0.8042400000000001,0.8
244,D443250786,jbt,harvard,mit,Cambridge: harvard & mit,1.0,1.0,0,0,5,NONE,5,3,2,"Cambridge: <span style=""color: #9A14B2; font-weight: bold"">harvard:[OBJECT_A]</span> & <span style=""color: #6CB219; font-weight: bold"">mit:[OBJECT_B]</span>",5,1.0,1.0
708,Q2618508829,jbt,baseball,softball,The presentations for baseball/softball and Squash both featured Australians and were the superior presentations.,1.0,1.0,0,0,5,NONE,5,3,2,"The presentations for <span style=""color: #9A14B2; font-weight: bold"">baseball:[OBJECT_A]</span>/<span style=""color: #6CB219; font-weight: bold"">softball:[OBJECT_B]</span> and Squash both featured Australians and were the superior presentations.",5,1.0,1.0
757,P2558676297,jbt,metal,plywood,"The metal is a solid quality, and the real wood isnt cheap plywood, its very good quality.",0.3408,1.0,1,1,3,NONE,3,3,2,"The <span style=""color: #9A14B2; font-weight: bold"">metal:[OBJECT_A]</span> is a solid quality, and the real wood isnt cheap <span style=""color: #6CB219; font-weight: bold"">plywood:[OBJECT_B]</span>, its very good quality.",5,0.60448,0.6
912,I1405463847,compsci,PHP,JavaScript,"It is easier, less cryptic, and more robust than using a RegEx, and it comes in JavaScript, Ruby, Python, C#, PHP, and Objective-C flavors.",1.0,1.0,0,0,5,NONE,5,3,2,"It is easier, less cryptic, and more robust than using a RegEx, and it comes in <span style=""color: #9A14B2; font-weight: bold"">JavaScript:[OBJECT_A]</span>, Ruby, Python, C#, <span style=""color: #6CB219; font-weight: bold"">PHP:[OBJECT_B]</span>, and Objective-C flavors.",5,1.0,1.0
1156,R2943361150,brands,Toyota,Honda,Trek: Honda/Toyota.,1.0,1.0,0,0,5,NONE,5,3,2,"Trek: <span style=""color: #9A14B2; font-weight: bold"">Honda:[OBJECT_A]</span>/<span style=""color: #6CB219; font-weight: bold"">Toyota:[OBJECT_B]</span>.",5,1.0,1.0
1018,C384502473,brands,Gigabyte,Asus,"Asus or Gigabyte get my ""main-rig"" business these days.",1.0,1.0,0,0,5,NONE,5,3,2,"<span style=""color: #9A14B2; font-weight: bold"">Asus:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">Gigabyte:[OBJECT_B]</span> get my ""main-rig"" business these days.",5,1.0,1.0
1948,G1005231774,compsci,Java,Smalltalk,I always knew that one day Smalltalk would replace Java.,1.0,0.5385,4,0,1,BETTER,4,3,2,"I always knew that one day <span style=""color: #9A14B2; font-weight: bold"">Smalltalk:[OBJECT_A]</span> would replace <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span>.",5,0.8154,0.8
1890,T3228993829,jbt,laptop,iphone,"Yes, this is a stretch, but a desktop + iphone may be better than an expensive laptop.",1.0,1.0,5,0,0,BETTER,5,3,2,"Yes, this is a stretch, but a desktop + <span style=""color: #9A14B2; font-weight: bold"">iphone:[OBJECT_A]</span> may be better than an expensive <span style=""color: #6CB219; font-weight: bold"">laptop:[OBJECT_B]</span>.",5,1.0,1.0
1388,A166799191,compsci,Java,Lisp,"After reading the comments, I revisited the indexing and search tools that I have used over the years: Ferret (a Lucene clone) is my favorite library for several reasons: it uses the Lucene API (which I have used for years), it is very fast, and coding in Ruby is faster for me than Java (Lucene) or Common Lisp (Montezuma).",1.0,1.0,0,0,5,NONE,5,3,2,"After reading the comments, I revisited the indexing and search tools that I have used over the years: Ferret (a Lucene clone) is my favorite library for several reasons: it uses the Lucene API (which I have used for years), it is very fast, and coding in Ruby is faster for me than <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span> (Lucene) or Common <span style=""color: #6CB219; font-weight: bold"">Lisp:[OBJECT_B]</span> (Montezuma).",5,1.0,1.0
58,D496067859,compsci,Java,Perl,"CODE:NEO can enhance existing Java, Perl, or ASP programs to execute and run at least ten times faster on a web server.",1.0,1.0,0,0,5,NONE,5,3,2,"CODE:NEO can enhance existing <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">Perl:[OBJECT_B]</span>, or ASP programs to execute and run at least ten times faster on a web server.",5,1.0,1.0
1365,I1372320286,compsci,USB,Bluetooth,It does however look better than most USB Bluetooth adapters and the build quality is very good.,1.0,0.5217,0,1,4,NONE,4,3,2,"It does however look better than most <span style=""color: #9A14B2; font-weight: bold"">USB:[OBJECT_A]</span> <span style=""color: #6CB219; font-weight: bold"">Bluetooth:[OBJECT_B]</span> adapters and the build quality is very good.",5,0.8086800000000001,0.8
1051,L1798919013,jbt,california,michigan,"New York, california, Florida and michigan all have better track records and are working towards getting better themselves.",1.0,1.0,0,0,5,NONE,5,3,2,"New York, <span style=""color: #9A14B2; font-weight: bold"">california:[OBJECT_A]</span>, Florida and <span style=""color: #6CB219; font-weight: bold"">michigan:[OBJECT_B]</span> all have better track records and are working towards getting better themselves.",5,1.0,1.0
1145,N2262509379,brands,Sony,Dell,"Sony, Dell, HP/Compaq amongst others use proprietary parts where possible (notebooks are even worse) so if a part fails, you have to buy from them at outrageous cost.",1.0,1.0,0,0,5,NONE,5,3,2,"<span style=""color: #9A14B2; font-weight: bold"">Sony:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">Dell:[OBJECT_B]</span>, HP/Compaq amongst others use proprietary parts where possible (notebooks are even worse) so if a part fails, you have to buy from them at outrageous cost.",5,1.0,1.0
392,G942220028,jbt,fishing,swimming,"Hiking, camping, fishing, swimming...",1.0,1.0,0,0,5,NONE,5,3,2,"Hiking, camping, <span style=""color: #9A14B2; font-weight: bold"">fishing:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">swimming:[OBJECT_B]</span>...",5,1.0,1.0
937,R2835108356,jbt,california,michigan,"This is as fast as, or faster than, most UPS deliveries from california to michigan.",1.0,1.0,0,0,5,NONE,5,3,2,"This is as fast as, or faster than, most UPS deliveries from <span style=""color: #9A14B2; font-weight: bold"">california:[OBJECT_A]</span> to <span style=""color: #6CB219; font-weight: bold"">michigan:[OBJECT_B]</span>.",5,1.0,1.0
1674,E669195712,brands,Nike,Adidas,Even Nike-ized individuality is way better than say Adidas coming out with new uniforms for March Madness which besides changing the school colors were exactly the same for all teams.,1.0,1.0,5,0,0,BETTER,5,3,2,"Even <span style=""color: #9A14B2; font-weight: bold"">Nike:[OBJECT_A]</span>-ized individuality is way better than say <span style=""color: #6CB219; font-weight: bold"">Adidas:[OBJECT_B]</span> coming out with new uniforms for March Madness which besides changing the school colors were exactly the same for all teams.",5,1.0,1.0
490,F836078317,brands,Nokia,Siemens,Gross Margin The increase in Nokia Siemens Networks non-IFRS gross margin in 2012 was primarily due to the better gross margin in both infrastructure equipment and services.,1.0,1.0,0,0,5,NONE,5,3,2,"Gross Margin The increase in <span style=""color: #9A14B2; font-weight: bold"">Nokia:[OBJECT_A]</span> <span style=""color: #6CB219; font-weight: bold"">Siemens:[OBJECT_B]</span> Networks non-IFRS gross margin in 2012 was primarily due to the better gross margin in both infrastructure equipment and services.",5,1.0,1.0
1459,R2852443474,compsci,Ruby,Python,This makes Ruby almost as slow as Python was made faster.,0.4784,0.5238,1,3,2,WORSE,3,4,2,"This makes <span style=""color: #9A14B2; font-weight: bold"">Ruby:[OBJECT_A]</span> almost as slow as <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span> was made faster.",6,0.49353333333333327,0.5
1040,K1647456150,compsci,Oracle,MySQL,Looking at MySQL and Oracle,1.0,1.0,0,0,5,NONE,5,3,2,"Looking at <span style=""color: #9A14B2; font-weight: bold"">MySQL:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Oracle:[OBJECT_B]</span>",5,1.0,1.0
1501,M2006505766,brands,Nissan,Renault,"Please, DV8, will you all enlighten us as to how much money has been invested in Better Place by Deutsch Bank, and how many Better Place compatible EV's will be coming off the Renault-Nissan lines, and when they are plugged in on average 22 hours a day, what that will do for Blees accusation that there is 'no demand for wind when it blows'.",1.0,1.0,0,0,5,NONE,5,3,2,"Please, DV8, will you all enlighten us as to how much money has been invested in Better Place by Deutsch Bank, and how many Better Place compatible EV's will be coming off the <span style=""color: #9A14B2; font-weight: bold"">Renault:[OBJECT_A]</span>-<span style=""color: #6CB219; font-weight: bold"">Nissan:[OBJECT_B]</span> lines, and when they are plugged in on average 22 hours a day, what that will do for Blees accusation that there is 'no demand for wind when it blows'.",5,1.0,1.0
1903,I1345876075,brands,Apple,IBM,"I see the G4 getting worked on a bit - maybe by Apple/Moto/IBM putting their heads together, allowing them to make a much better consumer level chip.",1.0,1.0,0,0,5,NONE,5,3,2,"I see the G4 getting worked on a bit - maybe by <span style=""color: #9A14B2; font-weight: bold"">Apple:[OBJECT_A]</span>/Moto/<span style=""color: #6CB219; font-weight: bold"">IBM:[OBJECT_B]</span> putting their heads together, allowing them to make a much better consumer level chip.",5,1.0,1.0
103,O2416119526,jbt,michigan,pennsylvania,"The better states are mostly in New England and the upper Midwest: Connecticut, Massachusetts, pennsylvania, michigan and Utah.",0.7286,1.0,0,0,6,NONE,6,4,2,"The better states are mostly in New England and the upper Midwest: Connecticut, Massachusetts, <span style=""color: #9A14B2; font-weight: bold"">pennsylvania:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">michigan:[OBJECT_B]</span> and Utah.",6,0.8190666666666666,1.0
1496,O2267959206,jbt,georgia,michigan,"So that's at least six teams on our schedule playing decent opponents today: michigan, Wisconsin, Minnesota, georgia Tech, Gonzaga, and Missouri.",1.0,1.0,0,0,5,NONE,5,3,2,"So that's at least six teams on our schedule playing decent opponents today: <span style=""color: #9A14B2; font-weight: bold"">michigan:[OBJECT_A]</span>, Wisconsin, Minnesota, <span style=""color: #6CB219; font-weight: bold"">georgia:[OBJECT_B]</span> Tech, Gonzaga, and Missouri.",5,1.0,1.0
1161,Q2744932917,brands,Microsoft,Sony,The truth is that Nintendo's business model has been far superior to that of Sony and Microsoft in this generation.,1.0,1.0,0,0,5,NONE,5,3,2,"The truth is that Nintendo's business model has been far superior to that of <span style=""color: #9A14B2; font-weight: bold"">Sony:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Microsoft:[OBJECT_B]</span> in this generation.",5,1.0,1.0
1238,D515788514,brands,Apple,Sony,"Considering the fact that Nintendo's main competition these days isn't the likes of Sony, but Apple, they really can't afford such a mediocre launch.",0.3428,1.0,1,1,3,NONE,3,3,2,"Considering the fact that Nintendo's main competition these days isn't the likes of <span style=""color: #9A14B2; font-weight: bold"">Sony:[OBJECT_A]</span>, but <span style=""color: #6CB219; font-weight: bold"">Apple:[OBJECT_B]</span>, they really can't afford such a mediocre launch.",5,0.60568,0.6
1014,K1714031176,brands,Microsoft,Intel,Microsoft wanted a low-cost tablet and that's impossible to do with decent performance and battery life on current Intel components; thus Windows RT.,1.0,1.0,2,0,3,NONE,3,3,2,"<span style=""color: #9A14B2; font-weight: bold"">Microsoft:[OBJECT_A]</span> wanted a low-cost tablet and that's impossible to do with decent performance and battery life on current <span style=""color: #6CB219; font-weight: bold"">Intel:[OBJECT_B]</span> components; thus Windows RT.",5,1.0,0.6
217,B211201052,jbt,baseball,tennis,"Also a bit of a bust is baseball, though, it's better than tennis.",1.0,1.0,5,0,0,BETTER,5,3,2,"Also a bit of a bust is <span style=""color: #9A14B2; font-weight: bold"">baseball:[OBJECT_A]</span>, though, it's better than <span style=""color: #6CB219; font-weight: bold"">tennis:[OBJECT_B]</span>.",5,1.0,1.0
849,F888831558,compsci,Python,PHP,"Hell, even a Python/Psyco combo would be infinitely better in that area than PHP.",1.0,1.0,5,0,0,BETTER,5,3,2,"Hell, even a <span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span>/Psyco combo would be infinitely better in that area than <span style=""color: #6CB219; font-weight: bold"">PHP:[OBJECT_B]</span>.",5,1.0,1.0
510,H1183593796,jbt,baseball,golf,"I'll most likely give it a better score once golf, baseball, and boxing comes out.",0.6962,1.0,0,0,5,NONE,5,3,2,"I'll most likely give it a better score once <span style=""color: #9A14B2; font-weight: bold"">golf:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">baseball:[OBJECT_B]</span>, and boxing comes out.",5,0.81772,1.0
2380,T3250753508,compsci,MySQL,PostgreSQL,"You'd probably be better off with SQLite, PostgreSQL, or MySQL as a backend.",1.0,1.0,0,0,5,NONE,5,3,2,"You'd probably be better off with SQLite, <span style=""color: #9A14B2; font-weight: bold"">PostgreSQL:[OBJECT_A]</span>, or <span style=""color: #6CB219; font-weight: bold"">MySQL:[OBJECT_B]</span> as a backend.",5,1.0,1.0
2160,R2799772062,jbt,psp,ps3,They've rated Metal Gear Solid for the psp and ps3.,1.0,1.0,0,0,5,NONE,5,3,2,"They've rated Metal Gear Solid for the <span style=""color: #9A14B2; font-weight: bold"">psp:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">ps3:[OBJECT_B]</span>.",5,1.0,1.0
1593,O2309312554,compsci,Java,Scala,"Strong Java experience or, even better, experience and/or interest in Scala",0.662,0.5,0,3,2,WORSE,3,3,2,"Strong <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span> experience or, even better, experience and/or interest in <span style=""color: #6CB219; font-weight: bold"">Scala:[OBJECT_B]</span>",5,0.5972,0.6
1195,E581688763,jbt,tea,soda,diet soda and tea),1.0,1.0,0,0,5,NONE,5,3,2,"diet <span style=""color: #9A14B2; font-weight: bold"">soda:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">tea:[OBJECT_B]</span>)",5,1.0,1.0
1265,A92433937,brands,Microsoft,Google,5 Reasons Microsoft SkyDrive is Better Than Google Drive,1.0,0.5116,4,0,1,BETTER,4,3,2,"5 Reasons <span style=""color: #9A14B2; font-weight: bold"">Microsoft:[OBJECT_A]</span> SkyDrive is Better Than <span style=""color: #6CB219; font-weight: bold"">Google:[OBJECT_B]</span> Drive",5,0.80464,0.8
588,M1938553840,brands,Cadillac,Buick,"Other drawings preview future designs for the center stack of GM's Lambda-based crossovers , better known as the GMC Acadia , Saturn Outlook and Buick Enclave , as well as a new design for its Chevy Malibu and Saturn Aura models and an upcoming SUV from Cadillac .",0.6707,1.0,0,0,5,NONE,5,3,2,"Other drawings preview future designs for the center stack of GM's Lambda-based crossovers , better known as the GMC Acadia , Saturn Outlook and <span style=""color: #9A14B2; font-weight: bold"">Buick:[OBJECT_A]</span> Enclave , as well as a new design for its Chevy Malibu and Saturn Aura models and an upcoming SUV from <span style=""color: #6CB219; font-weight: bold"">Cadillac:[OBJECT_B]</span> .",5,0.8024199999999999,1.0
1796,M1946038011,jbt,paint,pen,"Our C series pen point attachments produce an even, consistent, solid stroke of wax paint.",1.0,1.0,0,0,5,NONE,5,3,2,"Our C series <span style=""color: #9A14B2; font-weight: bold"">pen:[OBJECT_A]</span> point attachments produce an even, consistent, solid stroke of wax <span style=""color: #6CB219; font-weight: bold"">paint:[OBJECT_B]</span>.",5,1.0,1.0
1612,M2054180897,compsci,Python,Perl,"Python grew out of the need for a ""better"" Perl.",0.6667,1.0,3,2,0,BETTER,3,3,2,"<span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span> grew out of the need for a ""better"" <span style=""color: #6CB219; font-weight: bold"">Perl:[OBJECT_B]</span>.",5,0.80002,0.6
452,I1306287895,brands,Nokia,Samsung,"In the future expect a far superior one from one of or all of Samsung, Sony, Nokia.",1.0,1.0,0,0,5,NONE,5,3,2,"In the future expect a far superior one from one of or all of <span style=""color: #9A14B2; font-weight: bold"">Samsung:[OBJECT_A]</span>, Sony, <span style=""color: #6CB219; font-weight: bold"">Nokia:[OBJECT_B]</span>.",5,1.0,1.0
