A_GREATER_B,A_LESSER_B,NO_COMP,Sentence
7.22,1.16,91.62,for tips on how to write to OBJECT_B files from OBJECT_A and how to reprogram the Mac keyboard to work better in OBJECT_B
3.62,9.02,87.36,"""in terms of the price, i don't believe it will be very high by the time the new FF fuji comes out - only because OBJECT_B OBJECT_A are already offering """"consumer"""" FF which are around $2100."""
2.34,3.54,94.12,"It was likely chosen not only because of Unity's sophisticated 3D engine, but because a Unity web player plugin is available for all major browsers on OBJECT_B and Mac OBJECT_A meaning the game doesn't have to go through a lengthy install process."
8.71,7.71,83.59,"For me, ofcourse its not enough that's why I also know ASP & JSP & am learning OBJECT_A then will look at OBJECT_B & maybe perhaps .NET as well!! 4) Perhaps OBJECT_A can answer this better as to what she needs!! 5) Yes, OBJECT_A can run on apache but the recommended server is Lighttpd."
5.14,6.38,88.47,"""OBJECT_B uses %r because their equivalent of """"inspect"""" is """"repr"""" -- for OBJECT_A a different letter might be better."""
6.81,5.83,87.36,Operating Systems like Linux discriminate against women because of a built in difficulty compared with OBJECT_B and Apple's OBJECT_A
40.96,1.61,57.43,"So you don't like an application, Launchpad, that is bundled with OBJECT_A that's like saying OBJECT_B 7 sucks because OBJECT_B Media Player is pointless."
21.95,8.33,69.72,"Despite the better image quality of the OBJECT_B system, I decided to go with the OBJECT_A"
5.98,4.46,89.56,"All of it basically boils down to much better software (OBJECT_B 8, Mac OBJECT_A Mountain Loin) and hardware being released in the coming months."
5.36,74.67,19.97,"If you're not sold on the D3300, you could look to other options like the OBJECT_B D5300 for the next step up, the Pentax K-50 for weather sealing and better controls, or the OBJECT_A SL1 if you just don't want to buy into a OBJECT_B system."
18.31,19.82,61.87,"I can't speak for OBJECT_B because I've never handled one myself, but many photographers prefer the dynamic range from OBJECT_B than OBJECT_A"
2.33,4.48,93.18,"""While Japan 50 years ago was noted as only making """"junky"""" products, we can all attest to the high quality automobiles, the fine OBJECT_B and OBJECT_A digital cameras, the excellent Sony and Nippondenso games, the superior machine tools, their extraordinary electronic products, and many other high quality items manufactured in Japan."""
22.01,1.67,76.32,"Those 50+ OBJECT_B based video games won't go to waste because the new iMacs have Intel-based processors, allowing the intrepid user to run both Apple OBJECT_A and OBJECT_B XP, which we already have on the Dell."
5.16,8.39,86.45,Erlang syntax is not OBJECT_A s or OBJECT_B s because Erlang is not OBJECT_B or OBJECT_A
6.30,6.81,86.89,However what you have written concerning highlight recovery/shadow lifting in post pretty much reminds me of my experience with the Pentax 645D and it would require further testing to demonstrate that this - at least at base ISO - is superior over a OBJECT_B D8X0 or OBJECT_A 5DS/R.
3.08,6.35,90.56,"And on a GNU system, your chance of having the GNU objc stuff and GCC installed actually seems a bit better than writing it in OBJECT_A or maybe even OBJECT_B"
3.93,0.77,95.31,(Whether that makes OBJECT_A and OBJECT_B better than Java is subjective.)
4.07,2.41,93.52,I'm focusing in Linux distros rather than Mac OBJECT_A or other BSD/Unix distros because the Linux world has the greatest number of POS alternatives to OBJECT_B
4.92,1.44,93.64,for years OBJECT_A was raising MP and OBJECT_B was saying less MP are better.
18.74,53.71,27.55,"I think it is interesting that in several usability aspects, Linux distributions are already far ahead OBJECT_B comparable or even better than OBJECT_A Mainly hardware and software installation, system transparency."
3.47,4.55,91.98,"Thats almost never the case, pro line doesn't mean better iq a pro camera have different feature, take a look at OBJECT_A or OBJECT_B you will see that the best performer (iq) cameras are the d800e and 5dm3, and those are NOT pro line for those manufacturer,"
6.07,3.87,90.06,Either complacency got the better of OBJECT_A engineers or perhaps their OBJECT_B counterparts are just more hungry to regain the top spot.
2.11,2.75,95.14,You don't write in OBJECT_B OBJECT_A Tcl/etc because you're not good enough to write in C or C++.
2.30,0.69,97.01,I find that OBJECT_B OBJECT_A Javascript and SQL are much more productive than compiled languages such as Java because those languages have a very quick feedback loop.
8.31,11.10,80.59,That is not OBJECT_B way in most of the cases The statement OBJECT_A is a Camera made for Enginners is true because sometime they have leading technoilogies but OBJECT_B is a camera made for Photographer because OBJECT_B have a solution for the peoples who love take pictures.
5.78,2.15,92.08,"id say the main reason most orgs arent doing OBJECT_A (some are), is because the OBJECT_B guys know OBJECT_B"
6.29,5.93,87.78,"It's also OS dependant, because I could control de audio of my DAC on both OBJECT_B and Ubuntu, but not on OBJECT_A"
6.79,9.42,83.80,I switched to OBJECT_A because now OBJECT_B is getting into mega pixel race OBJECT_A was in.
17.57,50.25,32.19,"""Acting like this is some kind of """"OBJECT_B is better than OBJECT_A "" thing is silly."""
32.57,0.33,67.10,For OBJECT_A and OBJECT_B respectives you're probably looking at the better part of $2000+ for 24-70 and 70-200 f2.8
5.73,3.59,90.68,"And then, to fully emulate the Mac netbook experience - because I'm not interested in a tiny laptop if it's running OBJECT_B - I installed Mac OBJECT_A on the thing."
16.00,66.74,17.26,I know OBJECT_B better than OBJECT_A but I still work much faster with OBJECT_A
11.14,1.73,87.12,"Well that's for OBJECT_B because the way it writes files it breaks them all up, OBJECT_A doesn't do that on small files, so it eliminates the need for MOST users to require a regular defrag."
4.36,1.22,94.43,"Anyway, the magic lantern ppl could make all this raw 2k stuff because the OBJECT_A actually was having that data stream for LV, if you compare the Live View stream between a OBJECT_A mkIII and a OBJECT_B d800 you will see that even if there were some talented team hacking OBJECT_B they couldn't achieve the same."
3.11,12.84,84.05,Me: People who aren't buying OBJECT_B because of the 5D Me: OBJECT_A 5D owners Me: So wedding photography will be the big one Me: I wonder what the frame rate will be?
6.98,7.31,85.72,"All other computer users, and we are the majority, are better served by OBJECT_B or OBJECT_A"
1.58,4.25,94.17,However both OBJECT_B and OBJECT_A have cheap 50mm prime lenses (£80) that will produce photos better than what your compact can even on an older cheap 2nd hand body.
5.98,28.62,65.40,"OBJECT_B user wanting to make the switch Well, a better solution would be to use MS Office for Mac OBJECT_A"
45.82,12.88,41.31,The advantages of OBJECT_A Server are completely seperate from that of an Xserve and what it can do better/worse than OBJECT_B Server 200x entirely depends on what you want the server to do.
4.09,5.20,90.71,"I've used it to write single-page programs that perform better than what would take three days and 13 third-party libraries in C or C++, and wouldn't even be possible in OBJECT_B C#, OBJECT_A etc."
19.69,28.12,52.19,Default Folder X makes OBJECT_A Better It's no secret that OBJECT_A Finder OBJECT_B have serious flaws.
6.91,8.15,84.94,"This was how the Austin Gypsy was found to be a better buy than a Land Rover, and how (as I recall) Pentax came out as the top SLR, trouncing OBJECT_B and OBJECT_A"
2.43,3.09,94.48,"""Their roadmap (PDF file) doesn't promise any more """"D FA"""" lenses but I'm not sure whether that's because there are already enough, together with the """"FA"""" lenses or whether they have decided to abandon the full-frame market to OBJECT_A OBJECT_B and Sony."""
1.96,52.68,45.36,"People writing OBJECT_A or OBJECT_B will still be better off using proper OBJECT_A or OBJECT_B libraries than the .NET BCL, even if they are hosting their OBJECT_A or OBJECT_B in the .NET Runtime."
1.20,1.80,97.00,OBJECT_B and OBJECT_A lenses hold their value much better than third-party lenses.
0.50,63.71,35.79,"Regardless of whether we are using OBJECT_B OBJECT_A or Groovy, we better be writing idiomatic OBJECT_B OBJECT_A or Groovy code and not writing idiomatic Java code in said language."
5.96,1.27,92.77,If you like the OBJECT_A OBJECT_B you should expect they make better products for you.
14.97,3.32,81.72,"Raw images (after conversion to TIFF) have a better signal-to-noise ratio than even the OBJECT_B D800, and almost match the OBJECT_B D4 and OBJECT_A EOS 5D Mark III."
5.49,1.23,93.28,"Xpress DV ships with both the OBJECT_A and the OBJECT_B XP software, although you can run only one version at a time because the program requires a USB dongle."
3.18,5.91,90.91,"is obvius that no newcomer is nuts enough to learn perl when there are faar better alternatives like OBJECT_B php,OBJECT_A"
3.31,9.49,87.20,"@Sam Brown: Next time you're buying a new machine, consider a Mac Pro because it can run OBJECT_B Linux, and OBJECT_A"
2.74,8.82,88.43,"This is one area where MySQL Cookbook really shines, because it contains a large amount of sample code in Perl, PHP, OBJECT_B Java, and even OBJECT_A"
5.98,6.91,87.10,That's mainly because OBJECT_B and OBJECT_A don't have corresponding Apache
2.10,28.48,69.41,"""Just days after getting wind of D3 rumors galore , a """"photo editor at a major newspaper"""" has tipped us on a phone call he received from OBJECT_B in which his presence was requested at a meeting where a """"new professional camera that is leaps and bounds better than anything OBJECT_A is offering"""" would be showcased."""
2.50,1.60,95.89,One thing I don't think you mentioned in this series is that because OBJECT_A has a physically wider mount than OBJECT_B with an adapter you can use OBJECT_B lenses.
21.31,0.30,78.39,"OBJECT_A (and any other respectable OS, like OBJECT_B Linux) know way better how to manage your RAM than this app does."
12.75,5.73,81.52,"The fact is that DOSBox is so well written is that it runs WordPerfect under 64-bit OBJECT_B or OBJECT_A far better than anything else does, and that's why I'm asking for help with it."
21.84,0.70,77.46,Many are using OBJECT_A and OBJECT_B DSLR cameras because the video quality is much better than standard video news camcorders.
31.10,26.15,42.75,"Right now what's hindering OBJECT_B is their legacy and prime lenses price, while some may argue they perform better than OBJECT_A lenses in reality they don't perform much better than the price difference you see which in turn makes things hard for OBJECT_B"
4.54,3.41,92.05,"I don't welcome these impressions, because I much preferred my previous opinion that OBJECT_B had delivered a breakthrough that opened up new possibilities for my own landscape work, and that would push OBJECT_A hard."
6.19,6.76,87.05,It would cost the same to go with a brand new D800 and their OBJECT_B 600mm as only the OBJECT_A lens because of the big difference in cost.
5.38,2.62,91.99,"In practice I always finish up with C#/Java, OBJECT_A Javascript, OBJECT_B and SQL because that's where the communities are."
9.97,0.85,89.18,There are plenty of existing tools for OBJECT_A / perl / OBJECT_B that do what you want - far better to install them on the appserver and have PeopleTools call them and do what you need.
0.53,13.90,85.57,As well as the OS difference for OBJECT_A OBJECT_B vs Sony/Pentax all of the older OBJECT_B lenses have no AF switch because all old OBJECT_B s have the AF switch on the camera.
6.46,4.45,89.10,"The new release features more convenient and precise placement of OBJECT_B moving of open OBJECT_B between monitors, Mac OBJECT_A style task switching and other functions for better comfort in everyday work."
14.11,42.98,42.92,"""People are saying, """"Dude, OBJECT_B better come out with higher megapixel camera, man, so like, they can be the leader of OBJECT_A and Kodak."""""""
29.31,46.06,24.63,The OBJECT_B D800 video quality is nothing short of stunning for its price point (better than the OBJECT_A 5D MKII) as yet Ive not shot with the 5D MKIII
20.22,47.74,32.05,Observe that even though Mac OBJECT_A has a better image than OBJECT_B nobody calls iPhone OBJECT_A or even iPhone iOS in marketing.
12.89,2.34,84.77,"For what tasks is OBJECT_A better suited than say Bash, Perl, OBJECT_B or Java?"
9.51,0.77,89.72,I don't want to upgrade to a better OBJECT_A camera because I plan to purchase a OBJECT_B and I probably won't be able to sell my equipment.
4.85,2.61,92.55,"I have learned many more languages, Java, OBJECT_A OBJECT_B to name a few, because it's a job requirement."
2.41,3.61,93.99,"Thanks Si for this belated release news on TrueCrypt, a week old but better late than never eh? TrueCrypt is a free open-source disk encryption software for OBJECT_B Vista/XP, Mac OBJECT_A and Linux."
1.54,11.23,87.23,I found that because of the high volume of malware directed to OBJECT_B environments [in general] and the significantly lower stream of malware targeted to OBJECT_A they [OBJECT_A administrators] had an easier time detecting malware.
9.06,6.15,84.79,And because OBJECT_A (and later iOS) were not as ubiquitous as something like OBJECT_B there was a large barrier to entry in people buying their first Apple product.
3.45,3.94,92.62,I would argue however that Linux is better positioned to win the enterprise business away from OBJECT_B than Mac OBJECT_A because this is all about business.
41.53,28.23,30.25,"As far as OBJECT_A and OBJECT_B are concerned, people who know both still disagree about which one is superior at language level (i.e."
4.21,9.56,86.22,"""Maybe we should stop using languages like OBJECT_B OBJECT_A and Perl because they're """"slow""""."""
11.06,5.66,83.29,People buy Macs simply because they are stylish--so buying one and putting OBJECT_B on it or putting OBJECT_A on a PC is utterly defeats the purpose of the OS-es.
1.41,2.54,96.05,"The question is why would you use PHP, when there are languages out there, like OBJECT_B or OBJECT_A or even JavaScript, which are just plain better than PHP."
10.39,2.90,86.71,"With dynamically typed languages, like PHP, OBJECT_B OBJECT_A your development will be much faster, but you will have to test your code much better."
3.51,3.35,93.14,(Don't tell me about how much better OBJECT_B and OBJECT_A are than Java.
11.46,13.83,74.71,"So if it's better than the OBJECT_A 20D, and the OBJECT_A 5D isn't really a direct competitor, what is the OBJECT_B D200's closest rival?"
4.44,2.70,92.86,This is caused because OBJECT_A is saved in the SSD part of Fusion Drive and OBJECT_B is installer in the HDD part of Fusion Drive.
10.76,1.82,87.42,"Of course it would be much better if OBJECT_A was bright enough to provide several of these (C1, C2, C3, etc.) for the other positions on the dial, but oh well, OBJECT_B provides none of these."
29.63,8.46,61.91,"com/en/ download/) brought out a beta of its Workstation, which runs OBJECT_B inside Mac OBJECT_A Expect to hear, through the wailing and gnashing of teeth, Mac people repeating Apple's assertion about 'superior hardware'."
5.62,3.56,90.82,"A few years ago I had a series of blog posts asking people to describe their actual pain points for Java, OBJECT_A C#, and OBJECT_B and I realized that it might help me explain ScalaTest better if I could gain a better idea of what people actually find painful using JUnit today."
8.82,3.89,87.29,The OBJECT_A 500D is the most expensive of the trio because OBJECT_A and OBJECT_B avoid competing head-to-head by interleaving price and features in models.
6.30,7.24,86.46,"I disagree with this, no doubt because C++ OBJECT_B OBJECT_A do not do"
17.63,13.75,68.61,Does this mean that Linux users will now be in a better position to video chat/conference with their OBJECT_B OBJECT_A using friends ?
2.10,1.78,96.11,"""This is strange because over the years I have easily slipped into """"Buy Mode"""" when the latest and greatest cameras were announced by OBJECT_A OBJECT_B Panasonic, Leica, Fuji, Etc."""
5.87,2.77,91.36,"Some solutions offer WebDAV access, which is nice because both OBJECT_B and OBJECT_A can mount WebDAV volumes on the desktop just like other disks."
10.54,9.66,79.80,"Funny because he shoots OBJECT_B DSLR and I shoot OBJECT_A DSLR, we need to trade point and shoots for consistency."
1.05,33.07,65.88,"The sensors are up to OBJECT_B quality, some OBJECT_B use Sony sensors, but because of SLT technology the light hitting the senor is only 70% of the one gathered by the lens their high ISO is at par with OBJECT_A sensors that are lagging behind for years."
11.03,50.05,38.91,"I forgot to mention in my review that the OBJECT_B zoom ring feels pretty good, the focusing ring not so, too loose for my taste, better then the OBJECT_A but not as good as the Sigma."
12.34,56.44,31.22,"There is no harm in using FX lenses on DX bodies and if 18-200 DX and 70-300 VR can't satisfy you then good luck with the 100-400 :) ,grass always looks greener on the other side :) I've used both, in film ,it doesn't matter but OBJECT_B in digital is far better than OBJECT_A"
7.70,69.83,22.48,Now the truth is that the OBJECT_B D800 is better than the OBJECT_A 5Dmark3.
6.47,13.82,79.71,"""Certain aspects of Apple's Mac OBJECT_A are """"complete and utter crap"""" and """"worse than OBJECT_B "", according to Linux kernel creator Linus Torvalds."""
31.89,27.54,40.57,"Now that OBJECT_B has a huge bucket of competing solutions, some arguably superior, especially in ORMs, the draw of OBJECT_A vs OBJECT_B seems to have been drastically reduced."
19.40,12.66,67.94,"OBJECT_B has been around significantly longer than OBJECT_A & with Google's embrace of the language, OBJECT_B s documentation has gotten noticeably better during the last few years."
82.50,2.87,14.63,"I find OBJECT_A better suited for interactive usage (irb), but like wise that OBJECT_B has considerably better documentation on how to use stuff - that's why I prefer OBJECT_B"
0.45,9.32,90.23,That said now that OBJECT_A has come out with their new system I'm sure OBJECT_B will have a new AF system for the D5 that will be just as good if not better.
8.52,63.97,27.51,Will OBJECT_B survive their decision better than OBJECT_A
9.27,12.51,78.21,OBJECT_B is really a great system and about 25 yrs or so ago when it was the OBJECT_B or OBJECT_A option I saw OBJECT_B as a superior make vs OBJECT_A at that time.
3.97,5.43,90.60,Mythbusters - OBJECT_A 6D's AF is rebel-grade and certainly inferior to OBJECT_B D6x0
