,_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,label,label:confidence,a,also_acceptable,b,expected_label,id,label_gold,marker,raw_text,text_html,text_readable,type
936,1576061819,False,finalized,3,2/16/2018 08:42:44,BETTER,1.0,Swift,,Objective-C,,L1859756015,,False,Objective-C undoubtedly makes some things easier than Swift.,"<span style=""color: #9A14B2; font-weight: bold"">Objective-C:[OBJECT_A]</span> undoubtedly makes some things easier than <span style=""color: #6CB219; font-weight: bold"">Swift:[OBJECT_B]</span>.",*Objective-C* undoubtedly makes some things easier than §Swift$.,compsci
1692,1576062578,False,finalized,3,2/17/2018 15:29:49,NONE,1.0,Windows XP,,Windows 98,,K1622039567,,True,Let's see... Wine can give overlay support for: Windows 2.0 Windows 3.0 Windows 3.1 Windows NT 3.51 Windows NT 4.0 not many games up there... but then... Windows 95 Windows 98 Windows Me Windows 2000 Windows XP Now... the list it's nicer... isn't?,"Let's see... Wine can give overlay support for: Windows 2.0 Windows 3.0 Windows 3.1 Windows NT 3.51 Windows NT 4.0 not many games up there... but then... Windows 95 <span style=""color: #9A14B2; font-weight: bold"">Windows 98:[OBJECT_A]</span> Windows Me Windows 2000 <span style=""color: #6CB219; font-weight: bold"">Windows XP:[OBJECT_B]</span> Now... the list it's nicer... isn't?",Let's see... Wine can give overlay support for: Windows 2.0 Windows 3.0 Windows 3.1 Windows NT 3.51 Windows NT 4.0 not many games up there... but then... Windows 95 *Windows 98* Windows Me Windows 2000 §Windows XP$ Now... the list it's nicer... isn't?,compsci
34,1576060908,False,finalized,3,2/5/2018 12:29:05,NONE,1.0,Java,,Ruby,,K1632825362,,False,like you can in Ruby or Java.,"like you can in <span style=""color: #9A14B2; font-weight: bold"">Ruby:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span>.",like you can in *Ruby* or §Java$.,compsci
1260,1576062144,False,finalized,3,2/16/2018 10:01:27,BETTER,1.0,Java,,Python,,E594402076,,True,Does this have anything to do with Java programs being slighly faster than Python?,"Does this have anything to do with <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span> programs being slighly faster than <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span>?",Does this have anything to do with *Java* programs being slighly faster than §Python$?,compsci
1004,1576061888,False,finalized,3,2/16/2018 08:38:03,NONE,0.6662,Java,,Lisp,,O2326596277,,True,"Sure there have been poorly written Lisp programs, in particular as the style of programming has to be a bit different in a language with automatic storage reclamation, especially if based on garbage collection; even if many Java programmers haven't been taking much notice of that though.","Sure there have been poorly written <span style=""color: #9A14B2; font-weight: bold"">Lisp:[OBJECT_A]</span> programs, in particular as the style of programming has to be a bit different in a language with automatic storage reclamation, especially if based on garbage collection; even if many <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span> programmers haven't been taking much notice of that though.","Sure there have been poorly written *Lisp* programs, in particular as the style of programming has to be a bit different in a language with automatic storage reclamation, especially if based on garbage collection; even if many §Java$ programmers haven't been taking much notice of that though.",compsci
204,1534177036,False,finalized,3,1/11/2018 19:24:41,BETTER,1.0,Python,,Bash,B,J1501044800,,True,I've concluded that it is better to use Python on Windows (for all the scripting) rather than Bash.,"I've concluded that it is better to use <span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span> on Windows (for all the scripting) rather than <span style=""color: #6CB219; font-weight: bold"">Bash:[OBJECT_B]</span>.",I've concluded that it is better to use *Python* on Windows (for all the scripting) rather than §Bash$.,compsci
1463,1576062348,False,finalized,3,2/17/2018 15:30:48,WORSE,1.0,Java,,Lisp,,H1203579210,,True,"IMHO Lisp is way too heavy on the parenthesis, a Java program is easier to read.","IMHO <span style=""color: #9A14B2; font-weight: bold"">Lisp:[OBJECT_A]</span> is way too heavy on the parenthesis, a <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span> program is easier to read.","IMHO *Lisp* is way too heavy on the parenthesis, a §Java$ program is easier to read.",compsci
173,1576061048,False,finalized,3,2/5/2018 13:46:06,NONE,1.0,Java,,Python,,L1908025413,,True,"On January 20, Java and Python developers got an easier way to tap VMware cloud services.","On January 20, <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span> developers got an easier way to tap VMware cloud services.","On January 20, *Java* and §Python$ developers got an easier way to tap VMware cloud services.",compsci
326,1576061204,False,finalized,3,2/5/2018 15:53:18,NONE,0.6756,Ruby,,JavaScript,,I1261581319,,True,"infinite loop in BASIC is certainly a lot easier to grasp than the JavaScript Happy Birthday function that used arrays and 0-based-indexing, or the object-oriented Ruby/Facebook API example!","infinite loop in BASIC is certainly a lot easier to grasp than the <span style=""color: #9A14B2; font-weight: bold"">JavaScript:[OBJECT_A]</span> Happy Birthday function that used arrays and 0-based-indexing, or the object-oriented <span style=""color: #6CB219; font-weight: bold"">Ruby:[OBJECT_B]</span>/Facebook API example!","infinite loop in BASIC is certainly a lot easier to grasp than the *JavaScript* Happy Birthday function that used arrays and 0-based-indexing, or the object-oriented §Ruby$/Facebook API example!",compsci
675,1534177512,False,finalized,3,1/27/2018 20:11:53,NONE,1.0,Python,,Lisp,,J1507989975,,True,"I've worked in a lot of languages, from mainframe assembler to Ada, to COBOL, C/C++ to FORTH, to Lisp, Python and on through the alphabet, and I don't know any of them that couldn't support a decent location API if it wanted to.","I've worked in a lot of languages, from mainframe assembler to Ada, to COBOL, C/C++ to FORTH, to <span style=""color: #9A14B2; font-weight: bold"">Lisp:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span> and on through the alphabet, and I don't know any of them that couldn't support a decent location API if it wanted to.","I've worked in a lot of languages, from mainframe assembler to Ada, to COBOL, C/C++ to FORTH, to *Lisp*, §Python$ and on through the alphabet, and I don't know any of them that couldn't support a decent location API if it wanted to.",compsci
930,1576061813,False,finalized,3,2/16/2018 08:43:50,NONE,1.0,Python,,Bash,,S2983227886,,True,"Use of continuous integration tools including (Jenkins) Solid understanding of Scripting languages (Shell, Bash, Python) Configuration...","Use of continuous integration tools including (Jenkins) Solid understanding of Scripting languages (Shell, <span style=""color: #9A14B2; font-weight: bold"">Bash:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span>) Configuration...","Use of continuous integration tools including (Jenkins) Solid understanding of Scripting languages (Shell, *Bash*, §Python$) Configuration...",compsci
127,1576061002,False,finalized,3,2/5/2018 13:46:06,NONE,1.0,Eclipse,,NetBeans,,B312938979,,False,Any comparison between NetBeans and Eclipse ?,"Any comparison between <span style=""color: #9A14B2; font-weight: bold"">NetBeans:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Eclipse:[OBJECT_B]</span> ?",Any comparison between *NetBeans* and §Eclipse$ ?,compsci
1435,1576062320,False,finalized,3,2/17/2018 15:28:19,NONE,1.0,Java,,Scala,,J1544950551,,True,"Java and Scala both make this sort of large scale code base much easier to create and maintain.""","<span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Scala:[OBJECT_B]</span> both make this sort of large scale code base much easier to create and maintain.","*Java* and §Scala$ both make this sort of large scale code base much easier to create and maintain.""",compsci
1185,1576062069,False,finalized,3,2/16/2018 10:37:43,NONE,1.0,Java,,Smalltalk,,H1133051946,,False,"I guess for Java, Cincom Smalltalk would use the JNI.","I guess for <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span>, Cincom <span style=""color: #6CB219; font-weight: bold"">Smalltalk:[OBJECT_B]</span> would use the JNI.","I guess for *Java*, Cincom §Smalltalk$ would use the JNI.",compsci
652,1576061534,False,finalized,3,2/5/2018 18:15:00,NONE,1.0,MySQL,,PostgreSQL,,J1568612332,,True,Just because Mysql or PostgreSQL are easier to install (not really) and you can 'forget' about them doesn't mean thats a good thing.,"Just because <span style=""color: #9A14B2; font-weight: bold"">MySQL:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">PostgreSQL:[OBJECT_B]</span> are easier to install (not really) and you can 'forget' about them doesn't mean thats a good thing.",Just because *MySQL* or §PostgreSQL$ are easier to install (not really) and you can 'forget' about them doesn't mean thats a good thing.,compsci
1323,1576062207,False,finalized,3,2/16/2018 10:07:26,NONE,1.0,Java,,Smalltalk,,R2852585939,,False,"This ""management briefing"" compares C++, Smalltalk and Java.","This ""management briefing"" compares C++, <span style=""color: #9A14B2; font-weight: bold"">Smalltalk:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span>.","This ""management briefing"" compares C++, *Smalltalk* and §Java$.",compsci
434,1534177270,False,finalized,4,1/11/2018 19:25:49,NONE,0.755,CUDA,,OpenCL,,M2039199176,,True,Processing with CUDA/OpenCL doesn't just mean that things are faster.,"Processing with <span style=""color: #9A14B2; font-weight: bold"">CUDA:[OBJECT_A]</span>/<span style=""color: #6CB219; font-weight: bold"">OpenCL:[OBJECT_B]</span> doesn't just mean that things are faster.",Processing with *CUDA*/§OpenCL$ doesn't just mean that things are faster.,compsci
593,1576061473,False,finalized,3,2/5/2018 18:13:07,NONE,1.0,PHP,,Perl,,M1996450114,,True,"php and perl have a harder time since there's no one company (read authority w/ money, consultants and professionals) saying, ""yes, it's good.","<span style=""color: #9A14B2; font-weight: bold"">PHP:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Perl:[OBJECT_B]</span> have a harder time since there's no one company (read authority w/ money, consultants and professionals) saying, ""yes, it's good.","*PHP* and §Perl$ have a harder time since there's no one company (read authority w/ money, consultants and professionals) saying, ""yes, it's good.",compsci
900,1576061783,False,finalized,3,2/16/2018 08:44:58,NONE,1.0,Windows XP,,Windows Vista,,D531942017,,True,CPU :  Intel Core2Duo @ 2.4Ghz on Windows XP / Windows Vista / Windows 7.  Dual core processor (Core duo 2 or better),"CPU :  Intel Core2Duo @ 2.4Ghz on <span style=""color: #9A14B2; font-weight: bold"">Windows XP:[OBJECT_A]</span> / <span style=""color: #6CB219; font-weight: bold"">Windows Vista:[OBJECT_B]</span> / Windows 7.  Dual core processor (Core duo 2 or better)",CPU :  Intel Core2Duo @ 2.4Ghz on *Windows XP* / §Windows Vista$ / Windows 7.  Dual core processor (Core duo 2 or better),compsci
47,1534176877,False,finalized,3,1/11/2018 13:06:49,BETTER,0.6386,Python,,Bash,O,L1911146553,,True,Only recommendation would be to move to python (or something better than bash/perl) in order to increase library support and adoption.,"Only recommendation would be to move to <span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span> (or something better than <span style=""color: #6CB219; font-weight: bold"">Bash:[OBJECT_B]</span>/perl) in order to increase library support and adoption.",Only recommendation would be to move to *Python* (or something better than §Bash$/perl) in order to increase library support and adoption.,compsci
732,1534177570,False,finalized,3,1/27/2018 20:18:45,NONE,0.6824,Python,,JavaScript,,G1009837938,,True,"I am flexible and learn things quickly, with solid experience with Ruby, Python, C, Java and Javascript, as well as common software design paradigms like Model View Controller and Event Driven programming.","I am flexible and learn things quickly, with solid experience with Ruby, <span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span>, C, Java and <span style=""color: #6CB219; font-weight: bold"">JavaScript:[OBJECT_B]</span>, as well as common software design paradigms like Model View Controller and Event Driven programming.","I am flexible and learn things quickly, with solid experience with Ruby, *Python*, C, Java and §JavaScript$, as well as common software design paradigms like Model View Controller and Event Driven programming.",compsci
1214,1576062098,False,finalized,3,2/16/2018 09:57:11,WORSE,1.0,Ruby,,PHP,,R2867148264,,True,"This seems to be the real weakness of RoR; Ruby in itself seems OK performance-wise, slower than PHP for example but not catastrophically so.","This seems to be the real weakness of RoR; <span style=""color: #9A14B2; font-weight: bold"">Ruby:[OBJECT_A]</span> in itself seems OK performance-wise, slower than <span style=""color: #6CB219; font-weight: bold"">PHP:[OBJECT_B]</span> for example but not catastrophically so.","This seems to be the real weakness of RoR; *Ruby* in itself seems OK performance-wise, slower than §PHP$ for example but not catastrophically so.",compsci
162,1576061037,False,finalized,3,2/5/2018 15:54:18,BETTER,0.6839,Java,,Perl,,M1988335981,,True,"Perl tries harder than Java by offering a taint mode, but you can still shoot yourself in the foot.","<span style=""color: #9A14B2; font-weight: bold"">Perl:[OBJECT_A]</span> tries harder than <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span> by offering a taint mode, but you can still shoot yourself in the foot.","*Perl* tries harder than §Java$ by offering a taint mode, but you can still shoot yourself in the foot.",compsci
489,1534177325,False,finalized,3,1/11/2018 19:17:14,BETTER,1.0,OpenGL,,Direct3D,,L1856354064,,True,"Number One: In the absolute (and implausible) worst case scenario that MS really scales back their Direct3D support to a minimum, that situation is still better than OpenGL.","Number One: In the absolute (and implausible) worst case scenario that MS really scales back their <span style=""color: #9A14B2; font-weight: bold"">Direct3D:[OBJECT_A]</span> support to a minimum, that situation is still better than <span style=""color: #6CB219; font-weight: bold"">OpenGL:[OBJECT_B]</span>.","Number One: In the absolute (and implausible) worst case scenario that MS really scales back their *Direct3D* support to a minimum, that situation is still better than §OpenGL$.",compsci
156,1576061031,False,finalized,3,2/5/2018 13:47:52,NONE,0.6681,USB,,Bluetooth,,A40116035,,True,1) Laptop or netbook with bluetooth means that I don't have to plug anything into a USB port in order to use a decent mouse with the computer.,"1) Laptop or netbook with <span style=""color: #9A14B2; font-weight: bold"">Bluetooth:[OBJECT_A]</span> means that I don't have to plug anything into a <span style=""color: #6CB219; font-weight: bold"">USB:[OBJECT_B]</span> port in order to use a decent mouse with the computer.",1) Laptop or netbook with *Bluetooth* means that I don't have to plug anything into a §USB$ port in order to use a decent mouse with the computer.,compsci
972,1576061855,False,finalized,3,2/16/2018 08:38:33,NONE,1.0,Windows XP,,Windows 8,,N2102271420,,True,"Reviewed by: Cary Levitt , October 2012 Published by: MAGIX Software Requires: Windows XP through Windows 8 or later (32-bit or 64-bit), Intel or Intel-equivalent multicore processor running at 1.5GHz or faster, at least 4GB RAM MSRP: US$99.99,","Reviewed by: Cary Levitt , October 2012 Published by: MAGIX Software Requires: <span style=""color: #9A14B2; font-weight: bold"">Windows XP:[OBJECT_A]</span> through <span style=""color: #6CB219; font-weight: bold"">Windows 8:[OBJECT_B]</span> or later (32-bit or 64-bit), Intel or Intel-equivalent multicore processor running at 1.5GHz or faster, at least 4GB RAM MSRP: US$99.99,","Reviewed by: Cary Levitt , October 2012 Published by: MAGIX Software Requires: *Windows XP* through §Windows 8$ or later (32-bit or 64-bit), Intel or Intel-equivalent multicore processor running at 1.5GHz or faster, at least 4GB RAM MSRP: US$99.99,",compsci
1443,1576062328,False,finalized,3,2/17/2018 15:27:59,NONE,1.0,Oracle,,PostgreSQL,,R2789202748,,True,"They might have existed a few years ago, but now we have MySQL, PostgreSQL for free or Sybase, Oracle and a slew of other databases that can contain more data better and for automation we have PHP, Java, Python and Ruby.","They might have existed a few years ago, but now we have MySQL, <span style=""color: #9A14B2; font-weight: bold"">PostgreSQL:[OBJECT_A]</span> for free or Sybase, <span style=""color: #6CB219; font-weight: bold"">Oracle:[OBJECT_B]</span> and a slew of other databases that can contain more data better and for automation we have PHP, Java, Python and Ruby.","They might have existed a few years ago, but now we have MySQL, *PostgreSQL* for free or Sybase, §Oracle$ and a slew of other databases that can contain more data better and for automation we have PHP, Java, Python and Ruby.",compsci
649,1576061531,False,finalized,3,2/5/2018 18:14:03,NONE,0.6765,Java,,Groovy,,I1346813638,,True,Is Groovy a Better Choice Than Java for Creating Internal DSLs?,"Is <span style=""color: #9A14B2; font-weight: bold"">Groovy:[OBJECT_A]</span> a Better Choice Than <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span> for Creating Internal DSLs?",Is *Groovy* a Better Choice Than §Java$ for Creating Internal DSLs?,compsci
877,1576061759,False,finalized,3,2/16/2018 08:42:20,WORSE,1.0,Java,,Groovy,,T3190503368,,True,With @CompileStatic the performance of Groovy is about 1-2 times slower than Java and without about 3-5 times slower.,"With @CompileStatic the performance of <span style=""color: #9A14B2; font-weight: bold"">Groovy:[OBJECT_A]</span> is about 1-2 times slower than <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span> and without about 3-5 times slower.",With @CompileStatic the performance of *Groovy* is about 1-2 times slower than §Java$ and without about 3-5 times slower.,compsci
554,1576061434,False,finalized,3,2/5/2018 18:18:18,NONE,1.0,Ruby,,PHP,,K1637611196,,True,LiteSpeed's native SAPI for PHP and Ruby allows external applications written in these languages to run up to 50% faster.,"LiteSpeed's native SAPI for <span style=""color: #9A14B2; font-weight: bold"">PHP:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Ruby:[OBJECT_B]</span> allows external applications written in these languages to run up to 50% faster.",LiteSpeed's native SAPI for *PHP* and §Ruby$ allows external applications written in these languages to run up to 50% faster.,compsci
218,1534177050,False,finalized,3,1/11/2018 19:26:26,BETTER,0.6536,Windows XP,,Windows 98,B,I1405475570,,True,It is easier to install and seems to work well with Windows XP but crashed a lot on Windows 98 (at least when I tested it).,"It is easier to install and seems to work well with <span style=""color: #9A14B2; font-weight: bold"">Windows XP:[OBJECT_A]</span> but crashed a lot on <span style=""color: #6CB219; font-weight: bold"">Windows 98:[OBJECT_B]</span> (at least when I tested it).",It is easier to install and seems to work well with *Windows XP* but crashed a lot on §Windows 98$ (at least when I tested it).,compsci
