a,also_acceptable,b,id,marker,raw_text,text_html,text_readable
bread,,steak,F821976162,True,"Good house-made bread, an interesting warm steelhead trout and crisp potato salad; then a solid, if not exciting version of steak diane.","Good house-made <span style=""color: #9A14B2; font-weight: bold"">bread:[OBJECT_A]</span>, an interesting warm steelhead trout and crisp potato salad; then a solid, if not exciting version of <span style=""color: #6CB219; font-weight: bold"">steak:[OBJECT_B]</span> diane.","Good house-made *bread*, an interesting warm steelhead trout and crisp potato salad; then a solid, if not exciting version of §steak$ diane."
tennis,,volleyball,O2348716278,False,"Tennis courts, volleyball courts.","<span style=""color: #9A14B2; font-weight: bold"">tennis:[OBJECT_A]</span> courts, <span style=""color: #6CB219; font-weight: bold"">volleyball:[OBJECT_B]</span> courts.","*tennis* courts, §volleyball$ courts."
ds,,psp,M2047776375,False,"(PSP, DS.)","(<span style=""color: #9A14B2; font-weight: bold"">psp:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">ds:[OBJECT_B]</span>.)","(*psp*, §ds$.)"
golf,,hockey,O2370016138,True,That means no more reckless nonsense on the golf course during the off-season and dedicating himself to hockey even harder.,"That means no more reckless nonsense on the <span style=""color: #9A14B2; font-weight: bold"">golf:[OBJECT_A]</span> course during the off-season and dedicating himself to <span style=""color: #6CB219; font-weight: bold"">hockey:[OBJECT_B]</span> even harder.",That means no more reckless nonsense on the *golf* course during the off-season and dedicating himself to §hockey$ even harder.
virginia,,michigan,N2214129687,True,Since then State scored solid wins over Central Michigan Oct. 8 and at Virginia Oct. 22.,"Since then State scored solid wins over Central <span style=""color: #9A14B2; font-weight: bold"">michigan:[OBJECT_A]</span> Oct. 8 and at <span style=""color: #6CB219; font-weight: bold"">virginia:[OBJECT_B]</span> Oct. 22.",Since then State scored solid wins over Central *michigan* Oct. 8 and at §virginia$ Oct. 22.
psp,,ps3,N2138637775,True,SCE sent along two fillies and - presumably - a far uglier sand-building expert to model a to-scale giant PS3 and PSP.,"SCE sent along two fillies and - presumably - a far uglier sand-building expert to model a to-scale giant <span style=""color: #9A14B2; font-weight: bold"">ps3:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">psp:[OBJECT_B]</span>.",SCE sent along two fillies and - presumably - a far uglier sand-building expert to model a to-scale giant *ps3* and §psp$.
basketball,,hockey,D388184534,True,"But, hockey and basketball are our better sports.","But, <span style=""color: #9A14B2; font-weight: bold"">hockey:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">basketball:[OBJECT_B]</span> are our better sports.","But, *hockey* and §basketball$ are our better sports."
ds,,ps2,R2826089234,True,"This growth is ""driven by incremental sales of next-generation software (Xbox 360, Wii and PS3) and ongoing solid Sony PS2 and Nintendo DS game sales.""","This growth is ""driven by incremental sales of next-generation software (Xbox 360, Wii and PS3) and ongoing solid Sony <span style=""color: #9A14B2; font-weight: bold"">ps2:[OBJECT_A]</span> and Nintendo <span style=""color: #6CB219; font-weight: bold"">ds:[OBJECT_B]</span> game sales.""","This growth is ""driven by incremental sales of next-generation software (Xbox 360, Wii and PS3) and ongoing solid Sony *ps2* and Nintendo §ds$ game sales."""
wii,,ps3,T3153807526,True,"Which console has the superior lineup, PS3 or Wii?","Which console has the superior lineup, <span style=""color: #9A14B2; font-weight: bold"">ps3:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">wii:[OBJECT_B]</span>?","Which console has the superior lineup, *ps3* or §wii$?"
georgia,,missouri,H1229147843,True,"In addition, A&M may open up Texas to Alabama, Auburn, Georgia, etc., making it harder for Missouri in Texas.","In addition, A&M may open up Texas to Alabama, Auburn, <span style=""color: #9A14B2; font-weight: bold"">georgia:[OBJECT_A]</span>, etc., making it harder for <span style=""color: #6CB219; font-weight: bold"">missouri:[OBJECT_B]</span> in Texas.","In addition, A&M may open up Texas to Alabama, Auburn, *georgia*, etc., making it harder for §missouri$ in Texas."
baseball,,tennis,O2340161832,True,"@tanasten Bowling is WAY better, baseball is WAY better, golf is WAY better, tennis is the same and boxing is the drizzlin' poopiedoodoocacapoopledoopledoggiepoopledoops!!!!!","@tanasten Bowling is WAY better, <span style=""color: #9A14B2; font-weight: bold"">baseball:[OBJECT_A]</span> is WAY better, golf is WAY better, <span style=""color: #6CB219; font-weight: bold"">tennis:[OBJECT_B]</span> is the same and boxing is the drizzlin' poopiedoodoocacapoopledoopledoggiepoopledoops!!!!!","@tanasten Bowling is WAY better, *baseball* is WAY better, golf is WAY better, §tennis$ is the same and boxing is the drizzlin' poopiedoodoocacapoopledoopledoggiepoopledoops!!!!!"
metal,,plywood,P2558676297,True,"The metal is a solid quality, and the real wood isnt cheap plywood, its very good quality.","The <span style=""color: #9A14B2; font-weight: bold"">metal:[OBJECT_A]</span> is a solid quality, and the real wood isnt cheap <span style=""color: #6CB219; font-weight: bold"">plywood:[OBJECT_B]</span>, its very good quality.","The *metal* is a solid quality, and the real wood isnt cheap §plywood$, its very good quality."
playstation,,wii,P2523466148,True,"The ""inferior"" Playstation 2/Wii version (by Dimps of ''[[VideoGame/SonicRushSeries Sonic Rush]]'' fame), however, averaged 7.1.","The ""inferior"" <span style=""color: #9A14B2; font-weight: bold"">playstation:[OBJECT_A]</span> 2/<span style=""color: #6CB219; font-weight: bold"">wii:[OBJECT_B]</span> version (by Dimps of ''[[VideoGame/SonicRushSeries Sonic Rush]]'' fame), however, averaged 7.1.","The ""inferior"" *playstation* 2/§wii$ version (by Dimps of ''[[VideoGame/SonicRushSeries Sonic Rush]]'' fame), however, averaged 7.1."
golf,,hockey,A133575763,True,"A comparison of personality traits of superior skilled women athletes in basketball, bowling, field hockey, and golf: Research Quarterly Vol 43(4) Dec 1972, 409-415.","A comparison of personality traits of superior skilled women athletes in basketball, bowling, field <span style=""color: #9A14B2; font-weight: bold"">hockey:[OBJECT_A]</span>, and <span style=""color: #6CB219; font-weight: bold"">golf:[OBJECT_B]</span>: Research Quarterly Vol 43(4) Dec 1972, 409-415.","A comparison of personality traits of superior skilled women athletes in basketball, bowling, field *hockey*, and §golf$: Research Quarterly Vol 43(4) Dec 1972, 409-415."
beer,,tea,N2198305041,True,"Shmaltz He'Brew Genesis Ale is a decent beer, like spiked Icy Tea.","Shmaltz He'Brew Genesis Ale is a decent <span style=""color: #9A14B2; font-weight: bold"">beer:[OBJECT_A]</span>, like spiked Icy <span style=""color: #6CB219; font-weight: bold"">tea:[OBJECT_B]</span>.","Shmaltz He'Brew Genesis Ale is a decent *beer*, like spiked Icy §tea$."
california,,georgia,G963656679,True,"Host Georgia Tech took the second-round lead at 12-under 548, a shot better than top-ranked California in second.","Host <span style=""color: #9A14B2; font-weight: bold"">georgia:[OBJECT_A]</span> Tech took the second-round lead at 12-under 548, a shot better than top-ranked <span style=""color: #6CB219; font-weight: bold"">california:[OBJECT_B]</span> in second.","Host *georgia* Tech took the second-round lead at 12-under 548, a shot better than top-ranked §california$ in second."
metal,,aluminum,B228996230,True,Aluminum is considered a cooler metal by comaprison to Brass and Bronze and is easier to melt and pour.,"<span style=""color: #9A14B2; font-weight: bold"">aluminum:[OBJECT_A]</span> is considered a cooler <span style=""color: #6CB219; font-weight: bold"">metal:[OBJECT_B]</span> by comaprison to Brass and Bronze and is easier to melt and pour.",*aluminum* is considered a cooler §metal$ by comaprison to Brass and Bronze and is easier to melt and pour.
football,,baseball,F734924216,True,Football and Basketball are far easier to project than baseball .,"<span style=""color: #9A14B2; font-weight: bold"">football:[OBJECT_A]</span> and Basketball are far easier to project than <span style=""color: #6CB219; font-weight: bold"">baseball:[OBJECT_B]</span> .",*football* and Basketball are far easier to project than §baseball$ .
steel,,aluminum,O2297499894,True,Steel is 3 times harder than aluminum.,"<span style=""color: #9A14B2; font-weight: bold"">steel:[OBJECT_A]</span> is 3 times harder than <span style=""color: #6CB219; font-weight: bold"">aluminum:[OBJECT_B]</span>.",*steel* is 3 times harder than §aluminum$.
virginia,,michigan,A129281079,True,"According to the NOAA report , ""Eight states - Illinois, Indiana, Kentucky, Michigan, Wisconsin, Ohio, Pennsylvania, and West Virginia - had average April temperatures cooler than their March temperatures.","According to the NOAA report , ""Eight states - Illinois, Indiana, Kentucky, <span style=""color: #9A14B2; font-weight: bold"">michigan:[OBJECT_A]</span>, Wisconsin, Ohio, Pennsylvania, and West <span style=""color: #6CB219; font-weight: bold"">virginia:[OBJECT_B]</span> - had average April temperatures cooler than their March temperatures.","According to the NOAA report , ""Eight states - Illinois, Indiana, Kentucky, *michigan*, Wisconsin, Ohio, Pennsylvania, and West §virginia$ - had average April temperatures cooler than their March temperatures."
baseball,,tennis,B208952274,True,Alot easier on the feet and comfortable for indoor baseball practices than your typical tennis shoe.,"Alot easier on the feet and comfortable for indoor <span style=""color: #9A14B2; font-weight: bold"">baseball:[OBJECT_A]</span> practices than your typical <span style=""color: #6CB219; font-weight: bold"">tennis:[OBJECT_B]</span> shoe.",Alot easier on the feet and comfortable for indoor *baseball* practices than your typical §tennis$ shoe.
pizza,,sausage,R2926024663,True,"Tony's homemade Italian sausage is wonderful on a bun, and even better on a pizza.","Tony's homemade Italian <span style=""color: #9A14B2; font-weight: bold"">sausage:[OBJECT_A]</span> is wonderful on a bun, and even better on a <span style=""color: #6CB219; font-weight: bold"">pizza:[OBJECT_B]</span>.","Tony's homemade Italian *sausage* is wonderful on a bun, and even better on a §pizza$."
wii,,ds,K1730082797,True,Moore: We must do better on Wii and DS,"Moore: We must do better on <span style=""color: #9A14B2; font-weight: bold"">wii:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">ds:[OBJECT_B]</span>",Moore: We must do better on *wii* and §ds$
football,,hockey,G956002544,True,Hockey and football players are known to hit harder now that they have more and better armour.,"<span style=""color: #9A14B2; font-weight: bold"">hockey:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">football:[OBJECT_B]</span> players are known to hit harder now that they have more and better armour.",*hockey* and §football$ players are known to hit harder now that they have more and better armour.
beer,,juice,S3047196792,True,"We had a cooler of juice boxes alongside a cooler of beer for the parents, and big pitchers of fresh squeezed mint lemonade.","We had a cooler of <span style=""color: #9A14B2; font-weight: bold"">juice:[OBJECT_A]</span> boxes alongside a cooler of <span style=""color: #6CB219; font-weight: bold"">beer:[OBJECT_B]</span> for the parents, and big pitchers of fresh squeezed mint lemonade.","We had a cooler of *juice* boxes alongside a cooler of §beer$ for the parents, and big pitchers of fresh squeezed mint lemonade."
steel,,timber,I1381621630,True,"It has superior adhesion even without sanding especially on aged and glossy enamels, timber and galvanized steel.","It has superior adhesion even without sanding especially on aged and glossy enamels, <span style=""color: #9A14B2; font-weight: bold"">timber:[OBJECT_A]</span> and galvanized <span style=""color: #6CB219; font-weight: bold"">steel:[OBJECT_B]</span>.","It has superior adhesion even without sanding especially on aged and glossy enamels, *timber* and galvanized §steel$."
california,,georgia,D497929952,True,"Collection contains correspondence, clippings, speech files, and scrapbooks relating to the legal career of Georgia Phillips Morgan Bullock, attorney and first woman judge of the California Superior Court.","Collection contains correspondence, clippings, speech files, and scrapbooks relating to the legal career of <span style=""color: #9A14B2; font-weight: bold"">georgia:[OBJECT_A]</span> Phillips Morgan Bullock, attorney and first woman judge of the <span style=""color: #6CB219; font-weight: bold"">california:[OBJECT_B]</span> Superior Court.","Collection contains correspondence, clippings, speech files, and scrapbooks relating to the legal career of *georgia* Phillips Morgan Bullock, attorney and first woman judge of the §california$ Superior Court."
california,,missouri,D440885680,False,"California, Missouri, USA), 1942.","<span style=""color: #9A14B2; font-weight: bold"">california:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">missouri:[OBJECT_B]</span>, USA), 1942.","*california*, §missouri$, USA), 1942."
virginia,,georgia,I1313109965,True,"In these races, the balance is held by quintessential swing and ticket-splitting voters; a Georgia-style Republican may run poorly in, say, West Virginia.","In these races, the balance is held by quintessential swing and ticket-splitting voters; a <span style=""color: #9A14B2; font-weight: bold"">georgia:[OBJECT_A]</span>-style Republican may run poorly in, say, West <span style=""color: #6CB219; font-weight: bold"">virginia:[OBJECT_B]</span>.","In these races, the balance is held by quintessential swing and ticket-splitting voters; a *georgia*-style Republican may run poorly in, say, West §virginia$."
juice,,cider,K1722970200,True,"Mix the expressed juice with cider for internal use if preferred, it probably tastes better.","Mix the expressed <span style=""color: #9A14B2; font-weight: bold"">juice:[OBJECT_A]</span> with <span style=""color: #6CB219; font-weight: bold"">cider:[OBJECT_B]</span> for internal use if preferred, it probably tastes better.","Mix the expressed *juice* with §cider$ for internal use if preferred, it probably tastes better."
ds,,ps2,Q2627770948,True,"The PSP does support a few thing that DS can't, They are DLC, better sound, PS2-like Graphics.","The PSP does support a few thing that <span style=""color: #9A14B2; font-weight: bold"">ds:[OBJECT_A]</span> can't, They are DLC, better sound, <span style=""color: #6CB219; font-weight: bold"">ps2:[OBJECT_B]</span>-like Graphics.","The PSP does support a few thing that *ds* can't, They are DLC, better sound, §ps2$-like Graphics."
pizza,,steak,L1921177493,True,"On this cruise, I would prefer to eat pizza at every meal if that is what I truly want rather than eat a mediocre steak because I'm on a cruise in the MDR and that's what I SHOULD do.","On this cruise, I would prefer to eat <span style=""color: #9A14B2; font-weight: bold"">pizza:[OBJECT_A]</span> at every meal if that is what I truly want rather than eat a mediocre <span style=""color: #6CB219; font-weight: bold"">steak:[OBJECT_B]</span> because I'm on a cruise in the MDR and that's what I SHOULD do.","On this cruise, I would prefer to eat *pizza* at every meal if that is what I truly want rather than eat a mediocre §steak$ because I'm on a cruise in the MDR and that's what I SHOULD do."
paint,,chalk,G937764912,True,"Hey Suzanne, yep, the chalk paint is easier, no sanding or priming.","Hey Suzanne, yep, the <span style=""color: #9A14B2; font-weight: bold"">chalk:[OBJECT_A]</span> <span style=""color: #6CB219; font-weight: bold"">paint:[OBJECT_B]</span> is easier, no sanding or priming.","Hey Suzanne, yep, the *chalk* §paint$ is easier, no sanding or priming."
football,,hockey,G998297861,True,I actually like Hockey - it's easier to understand than football.. ;c),"I actually like <span style=""color: #9A14B2; font-weight: bold"">hockey:[OBJECT_A]</span> - it's easier to understand than <span style=""color: #6CB219; font-weight: bold"">football:[OBJECT_B]</span>.. ;c)",I actually like *hockey* - it's easier to understand than §football$.. ;c)
metal,,aluminum,K1662985797,True,Magnesium is a light weight harder metal than aluminum.,"Magnesium is a light weight harder <span style=""color: #9A14B2; font-weight: bold"">metal:[OBJECT_A]</span> than <span style=""color: #6CB219; font-weight: bold"">aluminum:[OBJECT_B]</span>.",Magnesium is a light weight harder *metal* than §aluminum$.
youtube,,hulu,T3167737390,True,"While YouTube has faced difficulties in monetizing its ads, a site like Hulu has grown faster than expected, balancing things out, he said.","While <span style=""color: #9A14B2; font-weight: bold"">youtube:[OBJECT_A]</span> has faced difficulties in monetizing its ads, a site like <span style=""color: #6CB219; font-weight: bold"">hulu:[OBJECT_B]</span> has grown faster than expected, balancing things out, he said.","While *youtube* has faced difficulties in monetizing its ads, a site like §hulu$ has grown faster than expected, balancing things out, he said."
harvard,,cornell,D548250447,True,"Danielle Kerr finished second (2:04.51) in the 200-yard butterfly to a Harvard competitor, but finished five seconds faster than any Cornell swimmer.","Danielle Kerr finished second (2:04.51) in the 200-yard butterfly to a <span style=""color: #9A14B2; font-weight: bold"">harvard:[OBJECT_A]</span> competitor, but finished five seconds faster than any <span style=""color: #6CB219; font-weight: bold"">cornell:[OBJECT_B]</span> swimmer.","Danielle Kerr finished second (2:04.51) in the 200-yard butterfly to a *harvard* competitor, but finished five seconds faster than any §cornell$ swimmer."
georgia,,oregon,G1032889652,True,"I can understand some voters putting Oregon fourth, based on their dominance -- they're 11 points a game better than Georgia against a tougher schedule.","I can understand some voters putting <span style=""color: #9A14B2; font-weight: bold"">oregon:[OBJECT_A]</span> fourth, based on their dominance -- they're 11 points a game better than <span style=""color: #6CB219; font-weight: bold"">georgia:[OBJECT_B]</span> against a tougher schedule.","I can understand some voters putting *oregon* fourth, based on their dominance -- they're 11 points a game better than §georgia$ against a tougher schedule."
milk,,beer,B339147551,True,A rich solid foam rises above the beer the color of milk chocolate.,"A rich solid foam rises above the <span style=""color: #9A14B2; font-weight: bold"">beer:[OBJECT_A]</span> the color of <span style=""color: #6CB219; font-weight: bold"">milk:[OBJECT_B]</span> chocolate.",A rich solid foam rises above the *beer* the color of §milk$ chocolate.
mouse,,rat,M1944850629,True,Our Bellingham/ Seattle rodent (rat and mouse) control is superior to other pest management companies.,"Our Bellingham/ Seattle rodent (<span style=""color: #9A14B2; font-weight: bold"">rat:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">mouse:[OBJECT_B]</span>) control is superior to other pest management companies.",Our Bellingham/ Seattle rodent (*rat* and §mouse$) control is superior to other pest management companies.
georgia,,carolina,Q2710466470,True,"The shift north is better news for Florida, as chances are going down for a landfall there, worse news for South Carolina/Georgia though.","The shift north is better news for Florida, as chances are going down for a landfall there, worse news for South <span style=""color: #9A14B2; font-weight: bold"">carolina:[OBJECT_A]</span>/<span style=""color: #6CB219; font-weight: bold"">georgia:[OBJECT_B]</span> though.","The shift north is better news for Florida, as chances are going down for a landfall there, worse news for South *carolina*/§georgia$ though."
amazon,,itunes,A38410851,True,1) Do a better job of making ebooks work than Amazon and iTunes will do (unlikely.),"1) Do a better job of making ebooks work than <span style=""color: #9A14B2; font-weight: bold"">amazon:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">itunes:[OBJECT_B]</span> will do (unlikely.)",1) Do a better job of making ebooks work than *amazon* and §itunes$ will do (unlikely.)
beer,,soda,D488695991,True,"Clearly, beer is better than soda.","Clearly, <span style=""color: #9A14B2; font-weight: bold"">beer:[OBJECT_A]</span> is better than <span style=""color: #6CB219; font-weight: bold"">soda:[OBJECT_B]</span>.","Clearly, *beer* is better than §soda$."
harvard,,princeton,T3220098085,True,Yale on the whole has held out against that better than Harvard and Princeton have.,"Yale on the whole has held out against that better than <span style=""color: #9A14B2; font-weight: bold"">harvard:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">princeton:[OBJECT_B]</span> have.",Yale on the whole has held out against that better than *harvard* and §princeton$ have.
carolina,,missouri,K1721800388,True,"Missouri is a decent team and I expect them to give Florida, Tennessee, and South Carolina all they can handle and win 2 of those games.","<span style=""color: #9A14B2; font-weight: bold"">missouri:[OBJECT_A]</span> is a decent team and I expect them to give Florida, Tennessee, and South <span style=""color: #6CB219; font-weight: bold"">carolina:[OBJECT_B]</span> all they can handle and win 2 of those games.","*missouri* is a decent team and I expect them to give Florida, Tennessee, and South §carolina$ all they can handle and win 2 of those games."
ps2,,gamecube,F796578344,True,Gamecube doesnt have better realistic graphics than the PS2? RE:4 anyone?,"<span style=""color: #9A14B2; font-weight: bold"">gamecube:[OBJECT_A]</span> doesnt have better realistic graphics than the <span style=""color: #6CB219; font-weight: bold"">ps2:[OBJECT_B]</span>? RE:4 anyone?",*gamecube* doesnt have better realistic graphics than the §ps2$? RE:4 anyone?
virginia,,michigan,D396821943,True,"But I think worse than Alabama playing LSU instead of Oklahoma State, is that Virginia Tech and Michigan got in at all.","But I think worse than Alabama playing LSU instead of Oklahoma State, is that <span style=""color: #9A14B2; font-weight: bold"">virginia:[OBJECT_A]</span> Tech and <span style=""color: #6CB219; font-weight: bold"">michigan:[OBJECT_B]</span> got in at all.","But I think worse than Alabama playing LSU instead of Oklahoma State, is that *virginia* Tech and §michigan$ got in at all."
forest,,timber,R2922607953,True,"To make things worse, the Punan tribe's 22,000 hectares of traditional forest are now threatened by timber concessions.","To make things worse, the Punan tribe's 22,000 hectares of traditional <span style=""color: #9A14B2; font-weight: bold"">forest:[OBJECT_A]</span> are now threatened by <span style=""color: #6CB219; font-weight: bold"">timber:[OBJECT_B]</span> concessions.","To make things worse, the Punan tribe's 22,000 hectares of traditional *forest* are now threatened by §timber$ concessions."
harvard,,stanford,F849914735,True,Harvard vs. Stanford: Which Builds a Better Entrepreneur?,"<span style=""color: #9A14B2; font-weight: bold"">harvard:[OBJECT_A]</span> vs. <span style=""color: #6CB219; font-weight: bold"">stanford:[OBJECT_B]</span>: Which Builds a Better Entrepreneur?",*harvard* vs. §stanford$: Which Builds a Better Entrepreneur?
laptop,,ipod,P2527855540,True,"The iPad, much like the iPhone and iPod Touch, is never really ""off"" so the iPad has this instant on feature that is even faster than a laptop.","The iPad, much like the iPhone and <span style=""color: #9A14B2; font-weight: bold"">ipod:[OBJECT_A]</span> Touch, is never really ""off"" so the iPad has this instant on feature that is even faster than a <span style=""color: #6CB219; font-weight: bold"">laptop:[OBJECT_B]</span>.","The iPad, much like the iPhone and *ipod* Touch, is never really ""off"" so the iPad has this instant on feature that is even faster than a §laptop$."
concrete,,timber,R2903554448,False,Timber Flooring Or Faux Concrete Overlay?,"<span style=""color: #9A14B2; font-weight: bold"">timber:[OBJECT_A]</span> Flooring Or Faux <span style=""color: #6CB219; font-weight: bold"">concrete:[OBJECT_B]</span> Overlay?",*timber* Flooring Or Faux §concrete$ Overlay?
lumber,,plywood,I1282376470,True,"In practice, plywood (but not OSB, particleboard, or solid lumber) moves very little with humidity changes.","In practice, <span style=""color: #9A14B2; font-weight: bold"">plywood:[OBJECT_A]</span> (but not OSB, particleboard, or solid <span style=""color: #6CB219; font-weight: bold"">lumber:[OBJECT_B]</span>) moves very little with humidity changes.","In practice, *plywood* (but not OSB, particleboard, or solid §lumber$) moves very little with humidity changes."
paint,,chalk,P2545253133,True,The lighter color works so much better in the room instead of the Chalk Paint® Antibes.,"The lighter color works so much better in the room instead of the <span style=""color: #9A14B2; font-weight: bold"">chalk:[OBJECT_A]</span> <span style=""color: #6CB219; font-weight: bold"">paint:[OBJECT_B]</span>® Antibes.",The lighter color works so much better in the room instead of the *chalk* §paint$® Antibes.
fishing,,camping,E659153752,True,"Ernest enjoyed fishing, camping, horse trading (better at buying than selling).","Ernest enjoyed <span style=""color: #9A14B2; font-weight: bold"">fishing:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">camping:[OBJECT_B]</span>, horse trading (better at buying than selling).","Ernest enjoyed *fishing*, §camping$, horse trading (better at buying than selling)."
fishing,,swimming,E726216941,False,"fishing , swimming,","<span style=""color: #9A14B2; font-weight: bold"">fishing:[OBJECT_A]</span> , <span style=""color: #6CB219; font-weight: bold"">swimming:[OBJECT_B]</span>,","*fishing* , §swimming$,"
baseball,,golf,J1458341877,True,"It's not golf or baseball, football is a lot harder on the body.","It's not <span style=""color: #9A14B2; font-weight: bold"">golf:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">baseball:[OBJECT_B]</span>, football is a lot harder on the body.","It's not *golf* or §baseball$, football is a lot harder on the body."
california,,virginia,Q2632031903,True,"Therapists from California State University, Northridge and Virginia Tech say accepting these problems is better than striving for perfection.","Therapists from <span style=""color: #9A14B2; font-weight: bold"">california:[OBJECT_A]</span> State University, Northridge and <span style=""color: #6CB219; font-weight: bold"">virginia:[OBJECT_B]</span> Tech say accepting these problems is better than striving for perfection.","Therapists from *california* State University, Northridge and §virginia$ Tech say accepting these problems is better than striving for perfection."
football,,lacrosse,P2563816916,True,The more Ohio NCAA Division II (with football) colleges spend the better quality you can expect from their Lacrosse programs.,"The more Ohio NCAA Division II (with <span style=""color: #9A14B2; font-weight: bold"">football:[OBJECT_A]</span>) colleges spend the better quality you can expect from their <span style=""color: #6CB219; font-weight: bold"">lacrosse:[OBJECT_B]</span> programs.",The more Ohio NCAA Division II (with *football*) colleges spend the better quality you can expect from their §lacrosse$ programs.
