id	sentence	a	b	without_marker
A128921699	According to the indictment act, during 2011 - 2012 the defendants formed an organized criminal group in view of doing crimes of tax evasion by avoiding the payment of fiscal obligations pertaining to transactions with approximately 90,000 tons of diesel fuel sold under the appearance of inferior oil products.	evasion	payment	False
I1404010042	"It is better to be flamboyant failure than mediocre success."	success	failure	False
B232544284	A mediocre failure is as insufferable as a mediocre success.	success	failure	False
N2103627938	'Reward Excellent Failure, Punish Mediocre Success'	success	failure	False
A85042957	4. Quick failure, faster success.	success	failure	False
I1351155773	Isn't success worse than failure?	success	failure	False
E693321891	Failing your exams ... or, even worse, Almost Passing	passing	failing	False
M1968129647	Parents use the passing, failing, or mediocre grades to decide whether their child's school is adequate.	passing	failing	False
D450914091	CAPTCHA works very poorly though; regularly failing when it should be passing.	passing	failing	False
M1972236961	Passing an exam doesn't mean you're superior, failing the exam doesn't mean you're not good.	passing	failing	False
E693311200	Failing to pass anything may be marginally worse than passing an unpopular bill, analysts say.	passing	failing	False
T3140731817	When they combine, weight gain goes faster and weight loss slower.	loss	gain	False
E604702783	Do they get better or worse with weight loss/gain?	loss	gain	False
R2881533253	This will make weight gain easier, and adversely weight loss harder, or even impossible.	loss	gain	False
F795842136	gain of function is harder than loss.	loss	gain	False
L1821551947	Normally, mid-cap stocks rise faster than large-caps during a bull run and fall harder in a bear market.	bull	bear	False
N2247694863	Some funds do well during bull markets and lousy during bear markets.	bull	bear	False
T3209804900	Works great in a bull cycle, and lousy in a bear cycle.	bull	bear	False
D546143175	Dairy cows fed nutritious diets bear more bull calves than cows with poorer nutrition.	bull	bear	False
N2239994761	So I suppose their growth in bull markets should be similarly slower during bear markets.	bull	bear	False
E626171640	dynamic delta velocity allows a call option to increase in value faster than the put option decreases in value.	call option	put option	False
M1955236728	out-of-the-money and at. it is said to be out-of-the-money when the underlying exchange rate is inferior to the exercise price (in case of call Option) and superior to exercise price (in case of put option).	call option	put option	False
N2206416422	Similarly, faster processing and acceptance or rejection from	acceptance	rejection	False
A123594559	Acceptance is so much better than rejection.	acceptance	rejection	False
E694066487	Fake acceptance is better than real rejection.	acceptance	rejection	False
A123612446	"Acceptance, under someone else's terms, is worse than rejection."	acceptance	rejection	False
E565160578	Demonstrate the application and benefits of a promising new approach for Multiscale data integration for high-resolution reservoir characterization to address better management of CO2 EOR floods and carbon sequestration projects.	sequestration	integration	False
A84545338	4) Modernize Federal programs, investments, and delivery of services to build resilience and enhance sequestration of biological carbon - While agencies have made great strides in the past several years, particularly in accounting for and reducing greenhouse gas emissions in their operations, there is still room for better integration of climate resilience into their programs and activities.	sequestration	integration	False
G1035159773	I conclude that the global framing of forests as offsets requires better integration of local relationships to forests and their management and more effective institutions at multiple levels to link the very local to the very large scale when dealing with carbon sequestration in the CDM.	sequestration	integration	False
M2042382398	Project Goal The goal of this project is to demonstrate the application and benefits of data-driven modeling for multi-scale data integration and high-resolution reservoir characterization for better management of Carbon Dioxide Enhanced Oil Recovery floods and carbon sequestration projects.	sequestration	integration	False
J1567594836	Just as an Oceanographer understands deep sea carbon sequestration and an Educator understands Piaget's conservation of mass experiment and a Mathematician understands how to calculate the volume of a solid with rotational symmetry using disk integration and a Psychologist understands that there actually is no such thing as multi-tasking and a Philosopher can tell you that this list is actually an attempt at a logical statement... a Public Ally understands community.	sequestration	integration	False
N2167061840	Sewing in a straight line takes focus and sewing a curve is worse.	curve	straight line	False
H1174732726	I KNOW THAT THE CONCEPT OF STRAIGHT LINE CUTTING AGAINST CURVE CUTTING WILL BE EASIER.	curve	straight line	False
J1440039292	Its a simple straight line -- cheaper & easier to build than a curve.	curve	straight line	False
R2807615444	Thin solid curve, straight-line transfer function; heavy solid curve, a more-realistic transfer function, which necessarily has greater small-signal gain.	curve	straight line	False
O2308214952	Strength is superior to elation or depression."	depression	elation	False
F750568364	For lack of better terminology, we call most inner perceptions "feelings" -- pleasure, pain, tension, relaxation, temperature, visceral reactions (gut feelings), emotional reactions of all sorts, elation, depression, mood.	depression	elation	False
P2575046086	The new name is used as it better describes the extreme mood swings - from depression and sadness to elation and excitement - that people with this illness experience.	depression	elation	False
I1292018218	Instead of wavering from phases of elation and depression it is better to adopt a calm and philosophical attitude to do good work in the long run.	depression	elation	False
M1988420688	Permanent torn-ness between the diametrically opposed sentiments of elation and depression, as evoked in the Dickensian conundrum, is a safer emotional and psychological refuge for the student of Africa.	depression	elation	False
J1453428271	It's just another mediocre addition -- worse than the best sitcoms, better than the worst.	best	worst	False
E683190193	Examples: better - best worse - worst	best	worst	False
K1732459616	More often than not, Hoke's defenses have been mediocre at best and lousy at worst.	best	worst	False
K1649037567	Looks at worst pretty decent, at best a solid player.	best	worst	False
F821065973	good, better, best or bad, worse, worst	best	worst	False
K1731213005	More divergence or better convergence?	convergence	divergence	False
R2836303401	This is because a faster rate of divergence of the above quantity implies a slower rate of convergence of	convergence	divergence	False
D521645421	Convergence is much easier for most people than divergence.	convergence	divergence	False
E604785888	Do they not realize that convergence is better than divergence?	convergence	divergence	False
K1645255690	-Long handle makes tightening and loosening easier.	loosening	tightening	False
N2142940739	Screwdrivers are wonderful, useful things for tightening and loosening screws, but they make lousy frying pans.	loosening	tightening	False
K1731161946	More Details The Craftsman® Extreme GRIP™ platform is designed to offer a better fit and grip with fastener, making loosening, tightening, and starting faster and easier.	loosening	tightening	False
P2452838380	The Craftsman® Extreme GRIP™ platform is designed to offer a better fit and grip with fastener, making loosening, tightening, and starting faster and easier.	loosening	tightening	False
O2292241824	Star design allows better finger grip for tightening or loosening.	loosening	tightening	False
A123679509	Accepting profound irresoluteness is harder than finding more superficial resolution; hence the interest in incompleteness that I mentioned above.	resolution	irresoluteness	False
D536745466	Cross-pollination is better than self-pollination because it produces stronger plants.	cross-pollination	self-pollination	False
S3085634135	Western white  pine seedlings that result from self-pollination are typically slower  growing than seedlings resulting from cross-pollination (3).	cross-pollination	self-pollination	False
S3057844323	We know from bitter experience that even a bad decision usually ends better than indecisiveness in combat.	decision	indecisiveness	False
L1759176133	My 2 years of indecisiveness on that decision is done, so you all better say you like them.	decision	indecisiveness	False
H1143184724	I have always believed that it's better to make a decision (even if it is the wrong one) rather than flounder in indecisiveness.	decision	indecisiveness	False
P2446994630	The consensus around the league is that a decision on this has to be made this week and Rivers is looking worse by the day because of his indecisiveness.	decision	indecisiveness	False
P2454700281	The curious thing is, Howard's reputation for clowning and indecisiveness might improve by what flows from The Dwightmare, whereas James' reputation - pretty solid and, if not liked, at least appreciated - went south overnight for so many with The Decision.	decision	indecisiveness	False
O2384640979	That was in the days of true "straight party" voting, when it was easier to pull either the D or the R lever and truly vote straight ticket, than to vote "split ticket" for candidates of more than one party.	split ticket	straight ticket	False
N2126531451	Safer Schools Programme Teaches about Fire, Safety & Danger of Drugs	safety	danger	False
E633738934	Easier - Safety is freedom from danger or harm.	safety	danger	False
I1248719485	"In danger or safety, for the better or the worse, in health and sickness, I'll always be by your side."	safety	danger	False
J1464311068	It's safer than "white trash" but I'll pluck safety out of the nettle danger.	safety	danger	False
A76953533	3. "The superior man, when resting in safety, does not forget that danger may come.	safety	danger	False
M1961754265	Ozerdem OR, Anlatici R, Maral T, Demiralay A (2002) Modified free nipple graft reduction mammaplasty to increase breast projection with superior and inferior dermoglandular flaps.	reduction	increase	False
T3176044948	Why making faster delivery, better quality, and cost reduction top priorities will increase the success of BI and analytics	reduction	increase	False
F762622919	For the oral delivery, particle size reduction of solid drug substance offers a means to increase the dissolution rate and improve oral bioavailability of poorly soluble compounds.	reduction	increase	False
I1248065751	Increase IFS capacity in counselling for behaviour change (safer sex and harm reduction)	reduction	increase	False
H1170299031	I kept hearing how much better the Canadian side of Niagara was, but wildness tamed into commercial domestication doesn't translate to better.	domestication	wildness	False
Q2657434982	There is no gene for wildness, domestication is simply a synonym for human-parenting, and a hand-raised wolf is no more likely to grow up and bite us than Lassie-actually less likely now that we just learned wolves can read our facial expressions better."	domestication	wildness	False
B274703663	And since "wildness" has begun to have more and more ideological constructions attached to it, perhaps it is better to simply speak of uniqueness as the tool through which each of us can negate the processes of domestication civilization has imposed upon us.	domestication	wildness	False
T3224920237	Yes, even for DeJesus, the promotion is still better than the demotion of any kind.	promotion	demotion	False
T3140797498	When they do they are rewarded with promotion and when they are not they are punished with demotion or worse.	promotion	demotion	False
B292282973	And, worse, I think the promotion/demotion concept does not work in Auto Racing versus other Sports.	promotion	demotion	False
B260230697	And Impact Factors are certainly discussed in appraisal and performance reviews of individual academics when assessing promotion or, worse, demotion and restructuring of academic endeavour.	promotion	demotion	False
P2536899354	The king of the promotion/demotion game, Colin Balester, pitched three solid innings of relief, just allowing one unearned run and one hit while striking out three.	promotion	demotion	False
M2073951673	Real tough beginning and harder finish than I remembered.	finish	beginning	False
D505444507	Communication from beginning of transaction to finish was superior.	finish	beginning	False
K1694255626	Maybe wiser minds than mine can finish it (or do it right from the beginning).	finish	beginning	False
Q2632490542	The Ravens got off to a solid start, beginning the season 9-2 before dropping 4 of their last 5 to finish a mediocre 10-6.	finish	beginning	False
B299261393	A nice beginning and nicer finish makes for an enjoyable glass.	finish	beginning	False
L1781539213	Name of Superior (Birth-Death)	death	birth	False
E557799099	Death is better than birth.	death	birth	False
K1626768551	Life, birth, is generally in a superior measure to death.	death	birth	False
A116360058	A birth is in no way superior to a death.	death	birth	False
L1810142106	No. Clarck and Chua noted that: "Those (pregnant women with breast cancer) undergoing a therapeutic abortion had a poorer prognosis compared to a live birth and even a spontaneous abortion."	spontaneous abortion	live birth	False
H1176019207	I know what you mean about not being considered a birth if born before 24 weeks well that is so wrong cause Daniel was 100% fully formed and perfect just too small inside to survive but to make matters worse on the paperwork the hospital gave me away they put "spontaneous ABORTION" of twin one and "live birth" of twin two now I'm sure you will all understand why I'm so upset and hurt with those harsh words.	spontaneous abortion	live birth	False
I1303232861	In the current review, the researchers identified studies of diagnostic tests, therapies (medical and procedural), and health system changes and rated the findings as superior to current standard of care, not superior to standard of care, affirmation of current standard, or a reversal of current standard.	reversal	affirmation	False
J1436454011	"It's a lot easier to kick it in the end zone," said kicker Jarod Brown on the new kickoff rules.	kickoff	end	False
R2919671354	To get to the end, we need to have a solid kickoff, a little something called lead generation.	kickoff	end	False
C348937327	As a result, it seems clear that the safer bet is almost always to kneel on the ball if it reaches the end zone on a kickoff.	kickoff	end	False
Q2676189929	There was little doubt in my mind that the kickoff toward the end of the first half was a poorly executed onside kick.	kickoff	end	False
L1812586161	No improvement on last year, but no decline either - a solid 14 out of 24:	improvement	decline	False
Q2714824410	The slower pace of bank failures and decline in problem banks indicates continued improvement in the sector.	improvement	decline	False
M1990053037	Personally, I would agree with Trigger, a slower rate of decline is an improvement and a sign of recovery.	improvement	decline	False
N2099598869	Results showed improvement and a slower decline during the treatment phases (A) as compared to the no-treatment phases (B).	improvement	decline	False
P2462866258	The devolution of development	development	devolution	True
P2448107765	The continuing development of devolution	development	devolution	True
L1810650601	No democratisation, no development, no devolution.	development	devolution	True
L1891339003	On Constitutional Development, Devolution and Intergovernmental Relations	development	devolution	True
E575922008	Development, devolution dominate at Dene National Assembly	development	devolution	True
Q2760423647	The well-screened and poorly screened core-hole states cause narrowing and broadening of the core-electron spec- tra, respectively, as seen in Fig. 1.	broadening	narrowing	False
K1733720363	Moreover, the query engine 81 may form a query with additional search criteria for broadening or narrowing the search, to better effectuate the search request of the client.	broadening	narrowing	False
K1733720368	Moreover, the query may be formed with additional search criteria for broadening or narrowing the search, to better effectuate the search request of the client.	broadening	narrowing	False
L1782827219	Narrowing Reissue Applications Seem to Fare No Better than Regular ApplicationsLast week I explained the disappointing state of broadening reissue application pendency over the first 5 years.	broadening	narrowing	False
P2483258097	The faster propagation of the longer wavelength components produces temporal narrowing of the pre-chirped optical pulses thereby counteracting the broadening effect chromatic dispersion would otherwise produce in the absence of chirping.	broadening	narrowing	False
Q2767787681	They also argue trade and normal relations provide a better leverage point than non-engagement.	engagement	non-engagement	False
K1651821796	LOTS of decent changes but, man, it's muuuuch slower opening and closing.	closing	opening	False
E595870442	Doing it faster or slower and opening closing folder/app does not solve the problem.	closing	opening	False
E697368599	Faster opening and closing	closing	opening	False
K1718832902	Minimise opening and closing the cooler.	closing	opening	False
J1448175474	It's faster opening and closing.	closing	opening	False
T3235420174	You are looking upward from the foot (inferior) end toward the head (superior) end!	foot	head	False
N2243709976	Solid silver head, body & foot.	foot	head	False
B196042458	All I stated was faster racquet head speed and foot speed was better.	foot	head	False
N2203814208	Side of foot & head solid black.	foot	head	False
T3272902052	Your sitting trot is actually better than your rising trot.	rising trot	sitting trot	False
P2467217327	The domestic flight to the capital of China is MUCH nicer than the international flight (go figure).	domestic flight	international flight	False
R2942197227	Travelers who book flights through Better World pay a tax-deductible $11 per domestic flight, or $22 per international flight, for the offsets.	domestic flight	international flight	False
N2245632273	Some argue getting on an international flight is better than a domestic flight, because the fuel use is that much less per person on a long trip.	domestic flight	international flight	False
S2972848427	Unless the ticket price on expedia is over $500 for a domestic flight or $1000 for an international flight, this point system allows you to get free travel much faster.	domestic flight	international flight	False
N2254721540	Some rise faster, some slower, and some actually fall.	rise	fall	False
P2483270551	The faster you rise, the harder you fall.	rise	fall	False
L1785247168	Naturally, the faster they rise, the harder they fall.	rise	fall	False
O2270628779	So things fall and rise "harder" [faster acceleration].	rise	fall	False
P2483270550	The faster you rise, the harder you fall	rise	fall	False
T3145006244	When you get more experienced you will not only get faster and stronger, you also get bonus skills and equipment after reaching a certain level, such as special bumpers for escape saltos with your car, rocket boosters for high jumps or even gravitation belts for levitation.	levitation	gravitation	False
I1251532936	Indian Loop has a decent climb and descent to it.	climb	descent	False
P2437816723	The climb was much easier than the descent.	climb	descent	False
M1946395957	Our descent was very slow --- slower than the climb --- but steady and safe.	climb	descent	False
E697347358	Faster acceleration/deceleration	acceleration	deceleration	False
O2393553403	The acceleration rate is slower than the deceleration rate.	acceleration	deceleration	False
R2784303343	They have faster acceleration and deceleration rates so they can also offer passengers better journey times.	acceleration	deceleration	False
K1655114942	Low Inertia: Allows faster acceleration and deceleration with lower torque	acceleration	deceleration	False
P2471797222	The effects of faster acceleration and deceleration are immediately apparent.	acceleration	deceleration	False
M2043179558	Pronation/supination is key to being able to swing faster.	pronation	supination	False
H1158483515	I have very little supination and a little better pronation.	pronation	supination	False
K1693479964	Maybe these arguments on supination & pronation are made worse by the seriously different definitions of terms.	pronation	supination	False
H1157946880	I have tried the forearm pronation/supination exercise and it made my elbows worse.	pronation	supination	False
O2323359820	Superior impact cushioning and motion control help reduce pronation and supination--common problems associated with flat, slab-style sandals.	pronation	supination	False
N2110505364	RL: right-left, AP: IS: inferior-superior.	right	left	False
I1306073936	In the following, the terms "better and worse" performance will be used to cover both maximization and minimization problems.	minimization	maximization	False
B208472264	Along with revenue maximization and operational cost minimization, risk management has moved to center stage in defining superior performance.	minimization	maximization	False
H1196263631	I'm aware of many applications that, for better or worse, include a shortcut for full screen mode, but none that include shortcuts for minimization and maximization.	minimization	maximization	False
O2338127396	Taking a harm minimization/benefit maximization approach, rather than a rigid rationality or nothing approach, will get a better result.	minimization	maximization	False
M1945910414	Our core committment to our clients is superior service, maximization of cash flow and minimization of expenses and the stress associated with owning an investment property.	minimization	maximization	False
M1941579772	"Others, with better moderation, do either entertain the vulgar history of Jurgen as a fabulous addition unto the true and authentic story of St. Iurgenius of Poictesme, or else we conceive the literal acception to be a misconstruction of the symbolical expression: apprehending a veritable history, in an emblem or piece of Christian poesy.	expression	misconstruction	False
M1941579771	Others with better moderation, doe either entertain the same as a fabulous addition unto the true and authentick story of St. George ; or else conceive the literal acception to be a misconstruction of the symbolical expression; apprehending a veritable history, in an Emblem or piece of Christian Poesie.	expression	misconstruction	False
I1405471302	It is easier to do the addition than the subtraction, though the latter is much harder.	subtraction	addition	False
L1858681570	Obama Consoles Student: Subtraction Harder than Addition	subtraction	addition	False
A144700810	Addition is easier than subtraction or multiplication.	subtraction	addition	False
A144700809	Addition is easier than subtraction for me.	subtraction	addition	False
I1357632231	Is this solid addition by subtraction?	subtraction	addition	False
I1344946921	Is disinflation or, worse, deflation, on the horizon?	deflation	disinflation	False
T3157572339	While deflation represents a decrease in the prices of goods and services throughout the economy, disinflation represents a situation where inflation increases at a slower rate.	deflation	disinflation	False
B261603995	And I only say that because I think the Fed knows inflation is a lot easier to fight with monetary policy than disinflation or deflation."	deflation	disinflation	False
M2073786303	Real overvaluation of a currency is much harder to reverse via deflation or disinflation than it is to reverse via devaluation, and populations do not tolerate the choice of the former if they can avoid it.	deflation	disinflation	False
M2058344685	Quickly rising prices would stoke fears of inflation, but we could actually use a healthy dose of inflation to stave off disinflation, what's happening now, or the much worse deflation.	deflation	disinflation	False
P2449048032	The cooler subsurface temperatures are strengthening while the warm subsurface temps are weakening.	weakening	strengthening	False
O2308181072	Strengthening Pashtuns will make life much easier for others than weakening them.	weakening	strengthening	False
N2255134052	SOME SLIGHT STRENGTHENING IS POSSIBLE TODAY...FOLLOWED BY GRADUAL WEAKENING ON THURSDAY AS DORIAN MOVES OVER COOLER WATER.	weakening	strengthening	False
Q2658664666	There is nothing better than strengthening your team while weakening another team.	weakening	strengthening	False
S3042414389	We don't let on down in the town, but we're weakening faster than our wall is strengthening.	weakening	strengthening	False
N2243683242	Solid oleum can then be converted into liquid at the destination through steam heating or dilution or concentration.	dilution	concentration	False
J1437403663	It's always better to have concentrated one, that dilution is easy but concentration is VERY hard :D	dilution	concentration	False
E716177540	Finally, the endpoint titration method was used because it is independent of the IgG concentration and it is considered superior to the single-dilution method.	dilution	concentration	False
J1412001784	It is observed that the pace of depreciation has been faster than that of appreciation.	appreciation	depreciation	False
B328132888	Appreciation or depreciation in that foreign currency over the time they've held the stock might affect returns--sometimes for the better, sometimes for the worse.	appreciation	depreciation	False
T3151348635	whether, in technical language, a depreciation in the purchasing power of gold is better than appreciation or the	appreciation	depreciation	False
A155971468	A flatter slope allows slower appreciation - or even depreciation - over time, but that's not what the MAS has decided it will do going forward.	appreciation	depreciation	False
H1229994395	In addition, inflation tends to be higher, and growth tends to be slower during periods of depreciation than during periods of appreciation or tranquility.	appreciation	depreciation	False
D415449203	But there are cooler combinations such as adding a dot after each note or change to triplets, these also can be done with augmentation or diminution.	augmentation	diminution	False
S2959815571	Typical pattern transformations include adding or removing notes to the pattern, making the pattern play slower or faster ( augmentation , diminution ), playing the pattern backwards ( retrograde ), turning it upside down (instead of pitches going up, they go down and vice-versa, called inversion ), or dicing up the pattern into small pieces ( fragmentation , or, if you want to be cool and up-to-date, ' liquefying ').	augmentation	diminution	False
L1919292624	On the other hand, there comes a point when the mechanical strictness of treatment crowds out the proper development of musical ideas; and the 7th fugue (which is one solid mass of stretto in augmentation, diminution and inversion) and the 12th and 13th (which are invertible bodily) are academic exercises outside the range of free artistic work.	augmentation	diminution	False
B323958750	A positive reading shows faster expansion and a negative reading either slower growth or outright contraction.	contraction	expansion	False
R2822999938	This expansion & contraction causes it crack faster.	contraction	expansion	False
E687061510	Expansion is better than contraction.	contraction	expansion	False
H1214503394	Improving operating flexibility to allow for easier expansion or contraction.	contraction	expansion	False
M2018297956	Population expansion occurred during warmer periods and population contraction occurred during cooler periods.	contraction	expansion	False
D491973101	Clinical terminology - e.g., knowing flexion versus extension, superior versus inferior, and anterior versus posterior	extension	flexion	False
T3210930099	Worse with extension Better with flexion No radicular pattern	extension	flexion	False
C379974008	As the knee moves in flexion and extension the patella tracks in a superior and inferior direction.	extension	flexion	False
O2323332708	Superior and inferior glides are used for joint play and patellar motion necessary for extension and flexion, respectively.	extension	flexion	False
I1261298934	Inferior-extension displacements are infrequent in comparison to superior-flexion subluxations and take much greater force to correct.	extension	flexion	False
E588135032	Distinctions between worthless and wise, superior and inferior, do not determine exclusion or inclusion" (93).	inclusion	exclusion	False
A56433411	27. Inclusion is harder than exclusion.	inclusion	exclusion	False
I1246159978	Inclusion is better than exclusion.	inclusion	exclusion	False
M2047596457	P.S. inclusion is way better than exclusion.	inclusion	exclusion	False
G999399916	I agree, inclusion is better than exclusion.	inclusion	exclusion	False
H1078748205	I find that honset roughness is better than fake smoothness.	roughness	smoothness	False
T3239571932	You can control how solid the colors are, and the roughness or smoothness of the cloud texture	roughness	smoothness	False
O2327046904	Surface roughness (Ra) of the NBT thin-film was, by measuring in the same way as example 1, 0.6 nm that was superior in surface smoothness property.	roughness	smoothness	False
P2558658693	The metal coating has small surface roughness, and superior smoothness and denseness, and has excellent properties for etching and adhesion to a base material.	roughness	smoothness	False
F746727486	For example, where blends of metals are present (e.g., tungsten and copper), high speed lapping will tend to cut off both metals by impact fracture at the same level or height, providing a superior surface finish (less roughness, more smoothness).	roughness	smoothness	False
C352401408	As darkness is better than light, as death is better than life, so may you find separation better than union."	union	separation	False
O2383887046	That union and "at oneness" is superior to division and variety, is superior to a vivid sense of separation and identity, is unproved.	union	separation	False
F780397828	From confederation, there results less strength, than intimate union, but it is better than entire separation.	union	separation	False
Q2748793212	The union was impossible; the speedier their separation, therefore, clearly the better.	union	separation	False
S2962340214	Ultimately cooperation is superior to pure competition.	cooperation	competition	False
I1344811961	Is cooperation better than competition?	cooperation	competition	False
D507896158	Competition is better than cooperation.	cooperation	competition	False
D507896936	Competition is evil (cooperation better)	cooperation	competition	False
D523161918	Cooperation is better than competition	cooperation	competition	False
M2011020506	Pluralism and chaos are harder to grasp - harder, perhaps, to understand and certainly to accept - than monism and order.	pluralism	monism	False
A129980176	According to this article, doctrinal methods forged in the molds of legal centralism and monism are outdated and respond poorly to the present day European legal pluralism.	pluralism	monism	False
R2822451746	This essay discusses monism and pluralism about two related evaluative notions: welfare, or what makes people better off, and value simpliciter, or what makes the world better.	pluralism	monism	False
P2578242098	then found night game much easier than day game.	day game	night game	False
B328196982	Approaching gets harder; bitch shields go up in public, day game becomes night game.	day game	night game	False
P2596262394	The only thing better than a day game in Tiger Stadium is a night game.	day game	night game	False
T3275548470	You should have a solid foundation of day game and night game and you can try the following spots:	day game	night game	False
D463264018	Cervelli's a far better defensive catcher than Posada is now anyway, and it's a day game after a night game.	day game	night game	False
P2596878451	The only thing worse than a night away game is a night home game.	away game	home game	False
K1737646688	Moss has been a monster in every home game this year and then just mediocre in every away game.	away game	home game	False
E691431285	f5alcon :i think tv would be better if more games were on ksbi and not on FSO, i wonder what away game vs home game difference is.	away game	home game	False
S3043094530	We drew our home game in the Semi final vs Porto 1-1, and again, our away game was a lot better with a whopping 1-5 win!	away game	home game	False
T3160300525	"While it was a home game, it was really an away game, and it just lets those fans know that, 'Hey, we're better than them.'"	away game	home game	False
O2374805272	That's baseball-as in hardball-not the easier, slower and, yes, safer game of softball.	hardball	softball	False
F870239139	He describes the sport as "faster than regular softball or hardball.	hardball	softball	False
I1389450974	I think softball is better than hardball (but only in metaphor: I root for the Yankees), and that NPR is superior to looking the other way.	hardball	softball	False
J1433714603	It's a combination of softball (giving them a solid, perhaps slightly high offer) and hardball (forbidding them from using the offer as leverage in the marketplace).	hardball	softball	False
F734153177	Folly of Market Wisdom	folly	wisdom	True
F734152480	Folly for wisdom.	folly	wisdom	True
K1598137394	Lady Wisdom & Lady Folly	folly	wisdom	True
T3186529623	Wisdom--folly governs us.	folly	wisdom	True
D554246442	Davis 1995), and that figure-ground discrimination is poorer in older individuals (Roper et al .	figure	ground	False
H1076852978	I figure there is a lot worse then ground hogs.	figure	ground	False
N2209863011	Since becoming a national figure, Mr. Paul has generally stayed on safer ground.	figure	ground	False
L1757340796	Mushy mushy detail (worse on obverse) and convexed reverse.	reverse	obverse	False
