id	sentence	a	b	without_marker
E584184941	Direct3D is much inferior to the capabilities of OpenGL and M$ must not be allowed to dictate their own standard to replace a superior one.	OpenGL	Direct3D	False
H1086596820	If OpenGL was as superior as you make out, why do you think people use Direct3D?	OpenGL	Direct3D	False
G978306106	However, most decent game company also provide support for OpenGL or Direct3D.	OpenGL	Direct3D	False
I1241333163	In a stunning demonstration Microsoft showed GLQuake running faster using Direct3D than OpenGL.	OpenGL	Direct3D	False
B318347641	Anyway, I think OpenGL is as fast as Direct3D or faster...	OpenGL	Direct3D	False
I1338470535	I remember games using OpenGL and the game would go faster than using Direct3D.	OpenGL	Direct3D	False
B324696924	Apparently "Left 4 Dead" runs faster on Linux/OpenGL than Windows/Direct3d...	OpenGL	Direct3D	False
D499328288	Color me skeptical of any claims that OpenGL is systematically faster than Direct3D.	OpenGL	Direct3D	False
B304024550	An OpenGL version of our game run faster than Direct3D on Windows 7.	OpenGL	Direct3D	False
P2541178399	The latest news about OpenGL rendering Zombies faster than Direct3D really got the twittersphere going!	OpenGL	Direct3D	False
T3151823564	whether opengl is easier than direct3d depends on what you're trying to do.	OpenGL	Direct3D	False
J1418099681	It is up to the hardware developer to make solid Direct3D and OpenGL drivers.	OpenGL	Direct3D	False
M1923905795	OpenGL becomes much easier once you have an understanding of graphics principles you learn from Direct3D.	OpenGL	Direct3D	False
M1931997601	Originally posted by Revolver: OpenGL is literally 10 times easier that DirectDraw/Direct3D	OpenGL	Direct3D	False
O2370067142	That means solid OpenGL support and Direct3D under Windows 9x and the upcoming Windows 2000.	OpenGL	Direct3D	False
M1923911892	Opengl really should make it easier for direct3d guys to make the switch painless.	OpenGL	Direct3D	False
N2144541365	(Search for Valve for the Faster Zombies! article about Valves findings on how OpenGL seems to be faster than Direct3D.)	OpenGL	Direct3D	False
B225637482	Although OpenGL is a little behind Direct3D in terms of standard features I still find that it's not only easier to use but generally much faster.	OpenGL	Direct3D	False
G983746889	However, they don't support hardware acceleration and hence are slower in 3D games then Direct3D and OpenGl plugin.	OpenGL	Direct3D	False
B216956985	Also note that in most cases the Direct3D rendering performed much better then the OpenGL...	OpenGL	Direct3D	False
B275245318	And, some cards, like very popular NVidia, have much better OpenGL then Direct3D.	OpenGL	Direct3D	False
I1295513478	Intel's drivers tend to work better with Direct3D rather than OpenGL on Windows.	OpenGL	Direct3D	False
T3174921154	Why ext4 File System is better than NTFS?	Ext4	NTFS	False
G1042633683	I did find that ntfs was 3 times slower than ext4 through USB.	Ext4	NTFS	False
R2891517307	though ntfs is far superior to fat, it still is a dinosaur compared to ext4.	Ext4	NTFS	False
B174490887	Again, it seems Linux ext4 filesystem is faster than Windows NTFS file system.	Ext4	NTFS	False
L1773352861	My own experience has demonstrated that Ext4 is much faster at bulk file operations than NTFS.	Ext4	NTFS	False
A43584799	1. Yes, EXT4 would make it A LOT faster than with ntfs-3g.	Ext4	NTFS	False
P2471698868	The effect of the file system can be noticed with small files: NTFS is slower than ext4.	Ext4	NTFS	False
F743450142	For example, I found it build a Maven project in NTFS is 3 more times slower then ext4.	Ext4	NTFS	False
P2571162943	The 'native' implementation of NTFS on windows 7 is much much slower than my ext4 partition with Ubuntu 10.10.	Ext4	NTFS	False
E689678225	EXT4 isn't as fast as EXT2, but it's 3-5x faster than NTFS depending on the settings you pick.	Ext4	NTFS	False
E686302946	exFAT, NTFS and Ext4 support in recovery for external storage through kernel modules for many devices for faster write speed	Ext4	NTFS	False
G1032264184	I can't tell a difference because no matter which I choose (ntfs or EXT4) my transfer speed (writes) are slower than snot on a cold day.	Ext4	NTFS	False
H1119795529	If your device use FAT, RFS, or NTFS filesystem, your device might be faster by converting to ext2/ext3/ext4 filesystem.	Ext4	NTFS	False
L1864285026	Of all the machines I've worked on over the years, I've noticed that NTFS handles these tasks consistently slower than HFS on a Mac or ext3/ext4 on a Linux box.	Ext4	NTFS	False
L1793628414	Nevertheless ext4 is simply superior to ntfs imo - I mean 30-40% higher copy and read speeds, which is the bottleneck in modern computers so that's one for ubuntu.	Ext4	NTFS	False
E697388631	[ Faster with SmartCopy mode ] HDClone creates logical sector copies (SmartCopy) of FAT, NTFS, and ext2/ext3/ext4 file systems in only a fraction of the time usually needed - yielding an equivalent result.	Ext4	NTFS	False
B280824333	And then in frustration, I installed Debian(Squeeze) on an extra partition and timed transfers of big files of different types (fat32, ntfs, ext3, ext4) and found that Debian was much much much faster in all cases.	Ext4	NTFS	False
T3199746356	With the 8GB write test using a 64Kb record size, Ubuntu 10.04 with its default EXT4 file-system was 65% faster with this sequential disk writing than Windows 7 Professional with NTFS.	Ext4	NTFS	False
T3215932133	Writing wo ext3 and ext4 on my new Trusty installation is really slow, when I create an NTFS Partition on the same /dev/sda HDD it is quite normal 30MB/sec, about 100 times faster than with ext3.	Ext4	NTFS	False
R2927961008	To partition ur HDD u can use gparted, depending on whether u r using/accessing data on dual boot or Ubuntu only u can format partition to ntfs or ext4 (for faster and reliable access) resp.	Ext4	NTFS	False
S2955432753	Two eSATA ports allow for faster transfers from external storage, though the NAS device only supports ext3, ext4, NTFS and FAT32 file systems; hard drives with the HFS+ file system used by Mac OS X are not currently supported.	Ext4	NTFS	False
B213011383	Also, during Ubuntu installation, you can format that partition in Ext4 instead of NTFS, which is better for linux use, and add another small partition to use as swap.	Ext4	NTFS	False
S3067590950	Well, theoretically, an EXT4 drive performs better than an NTFS drive, and the commenters were concerned that I would judge any sub-par performance as an issue with Ubuntu rather than recognizing it as a function of the drive format.	Ext4	NTFS	False
F758135242	For serious things I do trust linux more; I trust it with my sensitive files more because it's always been more stable to me and because ext4 has better fault tolerance than NTFS.	Ext4	NTFS	False
T3184111747	Win32 apps in Wine see that ext3/ext4 perform significantly better than NTFS but because Windows and Linux test more or less the same for 3D performance, the overhead of Wine's DirectX-to-OpenGL translation layer causes a big hit.	Ext4	NTFS	False
M1989525974	Personally I don't keep my Pictures or Music there, if my wife wants to use Windows I want to be able to access stuff - and /home shouldn't be NTFS because Linux runs faster using it's own ext4 (looking forwards to BTRFS coming soon... ish).... and it's easy enough to remap system shortcuts for Pictures/Documents etc...	Ext4	NTFS	False
P2588829339	Then when I come to think of it.. you could try to use it as home, but on the other hand ntfs is rather poor choice when you have alternatives like xfs or ext4, which will be faster and more stable on linux.	Ext4	NTFS	False
S3102938518	What confuses me is that your second point initially seems like it would have the biggest effect, but my Ext4 partition has about as much used space as my NTFS partition has total -- instead of being much faster, they should be about the same speed.	Ext4	NTFS	False
T3269478467	You're saying I'd be better off to not allocate the rest of the disk to /home (ext4), but to leave some space unallocated, then after installation, create a[n] ntfs slice where I can dump files that both Linux and the Windows VM can access/manipulate.	Ext4	NTFS	False
T3269478468	You're saying I'd be better off to not allocate the rest of the disk to /home (ext4), but to leave some space unallocated, then after installation, create a ntfs slice where I can dump files that both Linux and the Windows VM can access/manipulate.	Ext4	NTFS	False
H1106007668	If you are backing up one of the many standard file system (NTFS, ext3, ext4, HFS+, FAT and a dozen or so more) it will just back up the used space on each partition, but worse case if there is an obscure file system, for instance in my case I have a couple of partitions formatted for KVM virtualization, Clonezilla automatically picks dd to back up the entire partition.	Ext4	NTFS	False
G1063182538	IEEE 1394 (FireWire) PC card storage devices Supported CD/DVD and other Storage Formats: Windows Storage Spaces 2.2TB+ hard disk drives AFD (Advanced Format Drive) Non-512B Sector Size Drives SSD (Solid State Drive) HDD CD-R/RW DVD-R/RW DVD+R/ RW DVD+/-R (DL) BD-R BD-RE Supported File Systems: NTFS (v1.2, v3.0, v3.1) FAT16 FAT32 Ext2 Ext3 Ext4 Linux Swap Apple HFS+ Other file systems ...	Ext4	NTFS	False
E689679147	EXT4 was faster at mounting than F2FS, but the Samsung file-system did mount faster than NILFS2.	F2FS	Ext4	True
L1921812184	Ontopic : it's quite funny, but even on a SSD, ext4 tends to be better than F2FS.	F2FS	Ext4	True
E691359105	F2FS should be better for flash storage than current systems like ext4 or exFAT -- it's reportedly faster and is very easy to apply.	F2FS	Ext4	True
J1501920846	I've got 180gb ssd currently using linux mint 14 with ext4 I've read that f2fs is better for ssd kind.	F2FS	Ext4	True
J1515875517	i was hoping that something could be added just to check the integrity of files a little better on NTFS, similar to ZFS.	ZFS	NTFS	False
T3284864916	ZFS does what it does because it includes its own volume manager into the FS, not because any of the FS-level bits are substantially better than your basic B+/-Tree FS like NTFS.	ZFS	NTFS	False
O2373408749	That said, I wouldn't mind more filesystems being available for Windows; NTFS is decent, but I'd like the data-safety features of ZFS, and I wouldn't mind seeing proper head-to-head benchmarks, even if synthetics don't have much to do with desktop/workstation patterns.	ZFS	NTFS	False
E636512247	Ecryptfs is slower than LUKS too.	eCryptfs	LUKS	False
T3175369853	Why is eCryptfs so slow (or alternatively LUKS faster)?	eCryptfs	LUKS	False
R2799056636	They used Ubuntu 13.10 (latest available at that time) and they obtained better results encrypting the whole disk using LUKS than encrypting just the user home using eCryptfs."	eCryptfs	LUKS	False
L1829487729	Note, though that from rendering perspective table based formatting is slower than using CSS.	Perspective	Rendering	False
S3096817422	We will create a new perspective view and adjust our settings so our rendering is faster.	Perspective	Rendering	False
P2576158257	The new version is also faster in software-only rendering, particularly when handling perspective-correct textures.	Perspective	Rendering	False
G986001313	However, working with perspective rendering in 3D worlds requires a solid knowledge of math.	Perspective	Rendering	False
Q2609766893	The perspective of the mountains, I like better in Reckless' rendering.	Perspective	Rendering	False
D449161446	Can you explain better what you mean by rendering from the light perspective?	Perspective	Rendering	False
Q2609770768	The perspective view is similar, but more of a 3-D rendering to give a better depiction of the shoot.	Perspective	Rendering	False
P2521064906	The image with the blue background is a rendering of the model to give a better perspective on the shape.	Perspective	Rendering	False
R2880432241	"This will allow me to better understand an educator's perspective, thereby rendering me a more informed policymaker."	Perspective	Rendering	False
A134499816	A conventional undersampling method provides an upper bound on the runtime for rendering, but the image quality may become much worse than the ER-Perspective approach.	Perspective	Rendering	False
E578139713	Diaz's art is solid, though there are occasionally problems in his rendering of the characters' faces, especially in close-ups or certain angles when the perspective seems off.	Perspective	Rendering	False
M1957776904	Overall the structure is solid; you've got the perspective going good and overall the rendering and color is working pretty well!	Perspective	Rendering	False
F783038710	From that perspective I can only say that the _html_ rendering engine of Konqueror, KHTML, is doing a better job than FF and IE.	Perspective	Rendering	False
R2825220015	This gave another perspective to both their characters, and I felt Brooks' rendering of Mrs March was better than that of Mr March.	Perspective	Rendering	False
F780067797	From a wider economic perspective, the new capital regulations are rendering banks moderately safer for depositors (as long as the markets don't lose faith in government debt that is), but they also contribute to their ongoing "zombification".	Perspective	Rendering	False
L1855634809	NT: not slower, it's the same speed ... we have started createing an experimental svg renderer ... missing some parts ... some new features, advanced stroking, sRGB correct rendering ... 4x4 transforms ... mixing text, 3d and paths, proper path perspective transforms	Perspective	Rendering	False
C363153162	As involved as these massive montage covers are, I find they're actually much easier than rendering figures in a cohesive environment where each element is subject to overarching rules of perspective and logic.	Perspective	Rendering	False
D521982883	Convert DXF/DWG files and take your designs further with ACIS solid modeling and NURBS, automatic perspective views and cross sections, and Lightworks photo realistic rendering with HDRI support!	Perspective	Rendering	False
S2997118300	Vendor-neutral design collaboration over the network, CAD model repair and healing, cross-platform solid model translation, model analysis and measurement, batch translation, perspective rendering - these are just a...	Perspective	Rendering	False
I1330910901	I probably should have pointed out my own perspective might be a tad skewed as I run 3d rendering apps (well poser mostly) than can easilly peg all four cores and slam my ram, so naturally I'm all for bigger,better,faster,cheaper in computers.	Perspective	Rendering	False
J1440557387	It's a tool for debugging animation frames rendered on a Canvas element and is designed to let you view the rendering calls from the perspective of the animation loop itself, giving you a much better overview of what's happening.	Perspective	Rendering	False
F783225077	From the api perspective it's not much different from JavaFX and one could argue which one is neater/better but QML allows us to almost completely get rid of the old 2D rendering model and that's why I love it!	Perspective	Rendering	False
G1042046874	I'd have made better product images if I'd known they'd be bringing one to the meeting, but I only had the RX100 which only macros at 28mm thus rendering completely the wrong perspective.	Perspective	Rendering	False
S2949004396	Try to take perspective into better account when rendering these: The curvature of the collar and the hole in the pants doesn't seem in match the implied placement of the viewer.	Perspective	Rendering	False
F764096592	For the terrain textures you may have better luck rendering out images from a top view camera, with the focal really high to remove the perspective as much as possible.	Perspective	Rendering	False
G1029508163	I can see how handy this would be in a large city where you can get a better perspective and orientation because of the 3D rendering of surrounding buildings.	Perspective	Rendering	False
L1868884793	Off-center perspective projections are used in stereo 3D rendering , since it turns out that the left and right eye views fuse better in the brain if you shear the frustums instead of rotating them to focus on an object.	Perspective	Rendering	False
T3230398962	Yet further, the technique is not limited to a real-time rendering pipeline or perspective-correction, but may also be employed as a more general approach to achieve better control over surface tessellation.	Perspective	Rendering	False
A143239099	Additionally, further techniques are considered such as rendering more static / slow moving parts of the scene at an even lower refresh rate, such as 15 fps, because some tests have shown that the predicted images are a "good enough" approximating of the slower moving data from the user's perspective.	Perspective	Rendering	False
I1280142436	In our Blender 3D rendering test, a time of 22sec is all it took to complete our workload; to put it in perspective, it's identical to the time recorded by the Toshiba Qosmio F750 , which uses a second generation Core i7-2670QM CPU that runs at a slightly faster standard speed of 2.2GHz.	Perspective	Rendering	False
R2869671688	This speeds up the overall page load, but starting to render faster may well show the important parts of the page (those that user cares about) earlier, and if the renderer is fast enough, re-rendering the page repeatedly as it is being downloaded may look "smoother" from user's perspective, and be more usable.	Perspective	Rendering	False
I1280142437	In our Blender 3D rendering test, a time of 22sec is all it took to complete our workload; to put it in perspective, it's identical to the time recorded by the Toshiba Qosmio F750, which uses a second generation Core i7-2670QM CPU that runs at a slightly faster standard speed of 2.2GHz.	Perspective	Rendering	False
S2985805853	Using a long focal length lens flattened the perspective rendering (which is also controlled through tilting and swinging the sensor plane) and allowed for a good deal of distance between the camera and the subject, which also made lighting the set easier.	Perspective	Rendering	False
F779657361	From a med chem perspective, software advances have come mainly in the form of improved 2D and 3D rendering tools (making it easier to draw, store, and visualize structures), user friendly analytical applications for extracting information from computationally complex methods such as in silico docking studies, and integration of functions within a single toolbox so chemists only have to become proficient with one interface.	Perspective	Rendering	False
P2543968986	The lens distortion/perspective adjustments offered by a real stitching program make hand-blending easier, but there's no way to compensate for parallax problems without building a 3-d model from the images and re-rendering back to a 2-d projection.	Perspective	Rendering	False
Q2630411031	The question really is: If a node is in the scene graph but not visible does it add much overhead to rendering, picking, etc? Doing something like Mac's Mission Control would be much easier if I didn't have to add/remove and could just zoom, but is this a bad idea from performance perspective?	Perspective	Rendering	False
E567002970	Depending on the rendering engine and font - when underlined as part of a link, underscores are virtually indistinguishable from spaces (eg compare a-link-with-dashes vs a_link_with_underscores (may need to hover here on ux.se) - so dashes are better from that perspective too.	Perspective	Rendering	False
R2935736050	To this end, we propose to ask the Joint Cooperation Committee to examine the inter-related issues of energy and environment from the perspective of our mutual and legitimate concerns with a view to rendering a better service to our mutual interests.	Perspective	Rendering	False
O2298870174	Stephen Carlson wrote: I have to say that I'm a little skeptical of the "declare" rendering for Rom 1:4 from a Greek perspective...I am concerned that theological issues are clouding the translation here, because using a term like "declare" permits the inference that Jesus had been the Son of God earlier than the resurrection while that is harder to do with "determine" or "ordain."	Perspective	Rendering	False
A2584936	[0035] The purposes of the messages 324 and 372 is to propagate the available bandwidth balance information to the end-user's ITFs, so that the admission control is delegated to the end-user terminals, thus not only rendering the admission decisions faster from the perspective of the end-user but also saving network resources by disallowing services at the ITF level when the required bandwidth is not available in the last mile.	Perspective	Rendering	False
A3598821	[0054] The purpose of the messages 324 and 372 is to propagate the available bandwidth balance information to the end-user's ITFs, so that the admission control is delegated to the end-user terminals, thus not only rendering the admission decisions faster from the perspective of the user but also saving network resources by disallowing services at the ITF when the required bandwidth is not available in the last mile.	Perspective	Rendering	False
A2875966	[0040] The purposes of the messages 331 and 337 is to propagate the available bandwidth balance information to the end-user's ITFs, so that the admission control is delegated to the end-user terminals, thus not only rendering the admission decisions faster from the perspective of the user but also saving network resources by disallowing services at the ITF when the required bandwidth is not available in the last mile.	Perspective	Rendering	False
Q2629149614	The purposes of the messages 324 and 372 is to propagate the available bandwidth balance information to the end-user's ITFs, so that the admission control is delegated to the end-user terminals, thus not only rendering the admission decisions faster from the perspective of the end-user but also saving network resources by disallowing services at the ITF level when the required bandwidth is not available in the last mile.	Perspective	Rendering	False
K1748197230	Mr. Edgecomb has done a fine job of outlining the problems with it, but I'll add the most infuriating from my perspective-the rendering of Daniel 7:13, which turns the crucial "son of Man passage into "I saw one like a human being coming with the clouds of heaven..." The NRSV does a better job of severing Christ from the Old Testament than Marcion.	Perspective	Rendering	False
D398139456	But it should not be forgotten that Maliki also has his own agenda and interests, that he will face major risks for signing the agreement (any agreement with the US;) and that, most importantly, it might be simply irrational - from Maliki's perspective - to sign SOFA right now: he is aware that the coming administration might sharply change course on Iraq (rendering any current promises nil,) and that he could negotiate a better deal with the new President if he simply waited a few more months.	Perspective	Rendering	False
A138731189	actually the dithering does work better on side scrolling adventures for some reason via the vnc.	Scrolling	Dithering	False
N2206992766	Similarly, web pages were crisp and easy to read, without the trouble of hunting for links that blended in with regular text on certain sites or dithering issues that appear when scrolling on some poorer displays (the background may flash).	Scrolling	Dithering	False
S3055937982	Weighing 8.6 pounds, the projector includes multiple Color-Preset modes: Standard, which produces images that closely resemble the original input source; Presentation, which increases the contrast between bright and dark areas to make it easier to see detailed diagrams and text; sRGB, which is the color space used in most digital cameras; and cinema, which is most suitable for the projection of moving images.	Projection	Color space	False
B216284376	Also, learn about dithering and Anti-Aliasing both help to make your pixel art look better.	Anti-aliasing	Dithering	False
H1231672311	In addition, the scanner introduces its own dithering and anti-aliasing routines via the software it's running, which often makes it worse.	Anti-aliasing	Dithering	False
R2928856234	Top On-Screen Quality Xara 3D Maker offers top quality on-screen display, with full anti-aliasing, and real-time solid shading with optional error-diffusion dithering.	Anti-aliasing	Dithering	False
L1914839620	On-screen Quality   Xara 3D Maker offers   quality on-screen display, with full anti-aliasing, and real-time solid shading with optional error-diffusion dithering.	Anti-aliasing	Dithering	False
Q2716501710	The solid state lighting device of claim 16, wherein the acceptable range is defined to include a circle and/or a polygon within a two-dimensional color space.	Polygon	Color space	False
E559242608	Decent Battery, bright screen.. pretty fast... but terrible display with horrible colour banding problem.... seems to be no dithering algorithm.. does not render smooth gradient but discreet band of colours... backlight bleeding is another dampener..	Colour banding	Dithering	True
S3063978307	Well, i picked up the Samsung 43" D450 today and all around I'm pretty damn dissapointed.....I've been fiddling with it for hours with the Wii and PS3, and while the colors are a bit more natural and saturated, and the motion is clearly superior(although the dithering effect is annoying, but it's still much better than LCD motion Blur, but not up to snuff with CRT)	Motion blur	Dithering	False
M1923759734	OpenDNS is a good idea, i use DynDNS it to make it easier to access my clients computers using UVNC.	DynDNS	OpenDNS	False
G927787672	He was a decenting vote on Heller - and SKG19's graph shows he has a solid liberal voting record.	Record	Graph	False
H1180246917	I like to use graph paper to record my notes; it makes drawing straight lines a lot easier!	Record	Graph	False
H1102527111	If truncating the record and producing a graph makes you feel better that's also a matter of personal choice.	Record	Graph	False
A116094451	ability advantages application became car consumption cost diagram driver easier event expenditures fairly fuel fuelling graph keeping likeminded main maintenance process record remind synchronised upcoming	Record	Graph	False
G902430651	Here is a better graph, from New Zealand's Ministry of the Environment, which shows more of the historical record, all the way back to 1870:	Record	Graph	False
H1231242476	In addition, the graph in the article shows that the EMCWF model actually has a better track record after 72 hours.	Record	Graph	False
E681770693	Evidence of the slower pace can be seen in the statistical screens, which record a graph of the previous 50 hours of play, and a reminder to save the game being set at up to one hour.	Record	Graph	False
F786434008	From: Wu Zhangjin A new option -mmcount-ra-address for gcc 4.5 have been sent by David Daney in the thread "MIPS: Add option to pass return address location to _mcount", which help to record the location of the return address(ra) for the function graph tracer of MIPS to hijack the return address easier and safer.	Record	Graph	False
T3166233587	While this difference may be relatively small and hard to see on a 1978-2010 graph, it means the 1998 record high temperature will be harder to break using V5.3	Record	Graph	False
K1731623015	More importantly, everyone in the enterprise now "gets" that people only get hired if and only if they deliver something above and beyond a decent track record and social graph.	Record	Graph	False
B334230267	A record of trends or a graph of a captured event (RMS or waveform) will help you discuss specifics, rather than general complaints, with your utility and help you resolve your problem faster.	Record	Graph	False
G971704455	However, as the value of exports grew faster than imports, the deficit in 2005-06 was less than 2004-05 when there was a record deficit of $22.6b (graph 30.16).	Record	Graph	False
O2388113586	The 15:45 "record" interval took her ahead of last year's time, and then she closed out the final 2.2km in an incredible 6:50, to run 43 seconds faster than in 2011 (not shown on graph).	Record	Graph	False
N2100126800	re the Hockey Stick, it is easier to see if the PE data is plotted on a graph of the same dimensions; of course the instrumental record only covers the last 120 or so years.	Record	Graph	False
A156150477	A focus assist bar-graph display is visible on the camera's viewfinder, and users can record proxy data to USB removable media to make transferring data easier and faster, especially in the field or on location between the camera and a PC or editing system, for example.	Record	Graph	False
J1492820926	It would make comparing data runs immensely easier as you can record, playback, and graph the data out, as well as export to CSV for side by side comparison.	Record	Graph	False
I1344002893	Is a young company with over 10 years of experience, and positioned with a solid track record and therefore its identity graph must be consistent with that personality, and that was the challenge.	Record	Graph	False
J1533757295	I would like to ask Google, this record I want to have, and then there is a graph of related resources, this resource is the blind, etc. Google could do a better job presenting links.	Record	Graph	False
O2279460664	So you can track, for example, how long a light is on/off in each room of your house, or you can record a temperature to make graph and define better how to manage energy/heating resources.	Record	Graph	False
T3199757628	With the ability to record each user login included, Duty Watch Remote also monitors all programs the user utilized or switched to designing the applications usage statstics in the form of the chart and graph for a better comprehension.	Record	Graph	False
F879056140	He has had a positive WPA in each game, and that game-by-game graph I posted comparing him to Neifi Perez's modern record for worst WPA season looks a whole lot better after Esco's hot week:	Record	Graph	False
H1123174710	If you roll your mouse over the graph, you'll see the Expos' midyear position: Their runs allowed record was relatively the same, but their average runs scored was better in the first half.	Record	Graph	False
D437654308	By transposing the above results to a graph, the reader will note that a better Won-Loss-Tie record or a more difficult schedule causes a team's overall rating to climb higher at a smooth, progressive rate.	Record	Graph	False
O2366852884	That is, the better the information about other peers and groups in the network (i.e. the more robust the graph), the greater the likelihood that a search for a particular resource or record will converge.	Record	Graph	False
Q2694816180	The second graph will compare the total domestic box office gross, by week or release.Hopefully this will give us all a better idea if or when The Phantom Menace gets the Box Office Record.	Record	Graph	False
T3159943573	While it is true that 1998, 14 years ago, was one of the warmest years on record - and that many years since have been a little cooler - drawing lines between cherry-picked point on the graph does not define global warming or cooling.	Record	Graph	False
Q2654934355	There is a problem with this claim (possibly shown in the above graph): if the instrumental record is so poorly distributed that it produces a huge error in Average T, it takes quite a leap to argue that the network can produce an acceptable assessment of the trend in Average T. I certainly don't find this convincing.	Record	Graph	False
D488986086	Clearly, the creator of the graph took great liberties in choosing the 14C proxy when it suited him, or the 10Be proxies or GSN proxy when they looked better, and even then he shifted things left, right, up and down to better match the temperature record.	Record	Graph	False
P2522699581	...... the indefatigable Anthony Watts this week launched a Tornado Reference Page On WattsUpWithThat Com WUWT Further rebutting the worse than we thought mantra of the climate doomsters , Watts posts a graph from NOAA Storm Prediction Center the figure compares the tornado count as of Dec with those of the previous mininum and maximum years in the -year record from ......	Record	Graph	False
P2519726540	The ideal candidate should have a solid background in OR and a proved track record in research in one (or more) of the following topics: - Probability and stochastic Programming - Linear and Non-Linear Programming - Combinatorial Optimisation, Network Flows, and Graph Theory.	Record	Graph	False
G979422869	However, probably even a better way to demonstrate how the trend doesn't seem to have really changed is to graph the temperature record, fit a line from, say 1975 to 1997 and then simply extend that line up to the present.	Record	Graph	False
H1103558741	If we could extend the graph back 600 years the temperatures would be higher than now, and would illustrate even better the hypothesis that either co2 has little effect on the natural variabilty, or that the co2 record is wrong and we are missing co2 peaks and troughs.	Record	Graph	False
R2871648970	This system simply focuses on using constraints to better traverse the search tree involved in resolving the integer ambiguity cycle.	Tree	Integer	False
B258393840	And if you concatenate those as a sort of multi-precision integer, then the "spanning tree message that is the numerically smaller value is better.	Tree	Integer	False
T3120125153	What you want is a CF grammar that will identify as a tree the organization of a Roman numeral so that it will be easier to compute its meaning: the associated integer.	Tree	Integer	False
D526751611	Cost of a tree is one pointer, and ipv4 search would be faster if we use	Tree	Pointer	False
H1087873932	I found that the two-pointer method was actually slower for my kd-tree class in Python than straight recursion.	Tree	Pointer	False
H1099056273	if the tree is empty, its better to set your root as a null pointer.	Tree	Pointer	False
T3258313670	You'll have an english pointer that will point with style better, a chessie will probably do better in the most absolute conditions, a walker will tree coons better.	Tree	Pointer	False
T3163696370	While the binary tree is somewhat slower than the block pointer array approach, in very sparse applications it has sufficient speed that the user should not notice the difference.	Tree	Pointer	False
B307429942	Another possible piece of metadata would be a pointer to the reference to this block in the parent block, which would make it a little faster to traverse back up the tree and adjust sizes.	Tree	Pointer	False
