id	sentence	a	b	marker
F799677779	-GB12345:ASCII-8BIT,UTF-8,US-ASCII,Big5,Big5-HKSCS,Big5-UAO,CP949,EUC-JP,EUC-KR,GB18030,GBK,ISO-8859-1,ISO-8859-2,ISO-8859-3,ISO-8859-4,ISO-8859-5,ISO-8859-6,ISO-8859-7,ISO-8859-8,ISO-8859-9,ISO-8859-10,ISO-8859-11,ISO-8859-13,ISO-8859-14,ISO-8859-15,KOI8-R,KOI8-U,Shift_JIS,UTF-16BE,UTF-16LE,UTF-32BE,UTF-32LE,Windows-1251,IBM437,IBM737,IBM775,CP850,IBM852,CP852,IBM855,CP855,IBM857,IBM860,IBM861,IBM862,IBM863,IBM865,IBM866,IBM869,macCroatian,macCyrillic,macGreek,macIceland,macRoman,macRomania,macTurkish,macUkraine,CP950,CP951,stateless-ISO-2022-JP,eucJP-ms,CP51932,GB2312,ISO-2022-JP,CP50220,CP50221,Windows-1252,Windows-1250,Windows-1256,Windows-1253,Windows-1255,Windows-1254,TIS-620,Windows-874,Windows-1257,Windows-31J,UTF8-MAC,UTF-16,UTF-32,UTF8-DoCoMo,SJIS-DoCoMo,UTF8-KDDI,SJIS-KDDI,ISO-2022-JP-KDDI,stateless-ISO-2022-JP-KDDI,UTF8-SoftBank,SJIS-SoftBank	ASCII	ISO 8859:	False
G973232771	However, for better performance and scalability, you can install the database server (MySQL, Microsoft SQL, or Oracle) on a remote server, then use the scripts that are included with the Teaming software to manually create the Teaming database in any location that you prefer.	Oracle	MySQL	True
D531551182	-CP950:ASCII-8BIT,UTF-8,US-ASCII,Big5,Big5-HKSCS,Big5-UAO,CP949,EUC-JP,EUC-KR,GB18030,GBK,ISO-8859-1,ISO-8859-2,ISO-8859-3,ISO-8859-4,ISO-8859-5,ISO-8859-6,ISO-8859-7,ISO-8859-8,ISO-8859-9,ISO-8859-10,ISO-8859-11,ISO-8859-13,ISO-8859-14,ISO-8859-15,KOI8-R,KOI8-U,Shift_JIS,UTF-16BE,UTF-16LE,UTF-32BE,UTF-32LE,Windows-1251,IBM437,IBM737,IBM775,CP850,IBM852,CP852,IBM855,CP855,IBM857,IBM860,IBM861,IBM862,IBM863,IBM865,IBM866,IBM869,macCroatian,macCyrillic,macGreek,macIceland,macRoman,macRomania,macTurkish,macUkraine,CP951,stateless-ISO-2022-JP,eucJP-ms,CP51932,GB2312,GB12345,ISO-2022-JP,CP50220,CP50221,Windows-1252,Windows-1250,Windows-1256,Windows-1253,Windows-1255,Windows-1254,TIS-620,Windows-874,Windows-1257,Windows-31J,UTF8-MAC,UTF-16,UTF-32,UTF8-DoCoMo,SJIS-DoCoMo,UTF8-KDDI,SJIS-KDDI,ISO-2022-JP-KDDI,stateless-ISO-2022-JP-KDDI,UTF8-SoftBank,SJIS-SoftBank	ASCII	ISO 8859:	False
O2389223125	The 2011 Ram HD is as tech-savvy as it is tough, with an options list that includes navigation, Bluetooth phone connectivity, Sirius Backseat TV (offering Nickelodeon, Disney Channel and Cartoon Network) , USB music connectivity, 30-gigabyte hard drive, 10-speaker Surround Sound, backup sensors and a backup camera (for easier trailer hook-ups).	USB	Bluetooth	True
T3184727287	Windows: - Windows XP 32bit (SP2 or later) - Windows Vista 32bit / 64bit (SP1 or later) - Windows 7 32bit / 64bit - Intel Pentium4 1.4GHz / AMD Athlon 64 or faster - 512MB RAM (1GB or more recommended)	Windows XP	Windows Vista	True
A77721220	3+ years programming in any of: C C++ , Ruby, Python, Java Solid working knowledge of the Objective-C language Strong knowledge with the...	Java	Ruby	True
N2232717050	Software Choices - These are the top mobile phone operating systems; Android, iOS, Windows Mobile, Blackberry.	Windows Mobile	iOS	False
I1325794041	IOGEAR's new USB Adapter with Bluetooth wireless technology + EDR (Enhanced Data Rate) delivers faster wireless data transfer speeds, improved bandwidth and draws less power than ever before!	USB	Bluetooth	True
N2107097395	Right along side acts like Miranda Lambert and Taylor Swift.	Swift	Miranda	False
O2324650690	Supports Microsoft Access, Microsoft SQL Server, Oracle, and any database with ADO or ODBC connectivity.	Oracle	Microsoft Access	False
B287349454	And, unless you are an expert, the Python/ruby parts will run faster than the Java, and nearly as fast as a C++ program.	Java	Ruby	True
P2506667639	The gore is great, you can hack off limbs or bash in heads or break bones all the while blood splatters everywhere and your weapon gets soaked in it.	Bash	Hack	False
B218475752	Also surviving are: aunts Katherine Garrett of Gallatin, Ruby Lloyd and Sadie (Robert) Majors - both of Nashville, uncles Bob (Carey) Oldham, Curry Oldham and Jim (Margaret) Oldham - all of Gallatin; George Robert Gaines and Johnny (Mary) Gaines - both of Nashville as well as numerous cousins and friends.	Curry	Ruby	False
T3225618836	Yes I have used the ones which came with clip as well as galaxy s3's earphones that I borrowed from my brother,I may buy better ones later.I the same headphones on clip and s2 to compare sound.	S2	S3	True
M1953787108	Our unique XPP technology takes advantage of wide-band USB 2.0 technology to deliver telephony, enabling an architecture, which is more reliable than Ethernet, more scalable than PCI cards, and easier to set up and maintain than either of those solutions.	USB	Ethernet	True
I1268394165	In Java and Ruby, there's too much choice, which is not really making life easier.	Java	Ruby	True
R2928179383	Top Female Vocalist Miranda Lambert 2 votes winner Reba McEntire 3 votes Taylor Swift 1 vote Carrie Underwood 2 votes Lee Ann Womack 0 votes	Swift	Miranda	False
D555661090	DBViewerPlus will enable you to syncronize, view and manage Microsoft Access, Excel, Oracle, Foxpro, dBase, Mysql or any ODBC enabled Database .	Oracle	Microsoft Access	False
H1232915840	In addition to Miranda Lambert, Swift will also be up against Kelly Clarkson for the Female Vocalist honor, which is the first time Clarkson's been nominated in that category.	Swift	Miranda	False
G959585276	Honestly youd be better off going with an aftermarket head unit, one with usb/aux in the front along with bluetooth with a2dp for audio streaming.	USB	Bluetooth	True
J1460834498	It's one of the better built-in navigation systems, with high resolution maps and seven-digit postcode support, options for iPods and USB devices, and Bluetooth connectivity.	USB	Bluetooth	True
D543978741	CVS Suite on Windows includes Visual Studio .NET SCCI integration as well as documentation for support for Eclipse and Oracle JDeveloper so you can use CVS Suite directly from your favourite IDE.	Eclipse	JDeveloper	False
O2282561483	Special characteristics: only pipe-style linking is allowed, the graph is a single queue.	Graph	Queue	False
A101579505	7 bit ASCII, ISO8859-1 to -16, UTF-8, UTF-16, EBCDIC with 80 column breaks, Windows code pages 1250-1258, Japanese Shift-JIS, custom	UTF-8	EBCDIC	False
N2209924214	Since both NETBEANS and JEDIT have Java/Swing Based GUI A lot of panel are shared between both Plugin implementation ; this make the compatibility between both plugin easier to maintain as well ; By the way let me emphasize here about the nighmare it would have been to port this to the ECLIPSE / SWT framework ... Almost every GUI stuff should have been completely rewriten ... Don't bet on SWT/SWING compatibility box there ; it's just a Marketing toy !!!!	Eclipse	NetBeans	True
E635287302	// EBCDIC to UTF-8 (ASCII Superset)	UTF-8	EBCDIC	False
A149541287	A document message arrives into the application domain, it's parsed and bound to a Java object, semantically validated as a SWIFT message, transformed to XML and then stored in a datastore.	Java	Swift	False
A149229898	Admittedly, it's an ugly setup process, but again according to the Wiki site, in the future it should be easier to use and reference Java code in your Ruby applications through project references/settings.	Java	Ruby	True
M2082239341	Refocus on writing good Java code and only post about what makes NetBeans different from Eclipse as opposed to "better".	Eclipse	NetBeans	True
L1901402907	One of the team actually rewrote the database layer to use Oracle (or PostgreSQL, or MySQL), but it was slightly slower than the original.	Oracle	MySQL	True
H1078696703	I find servlets to have quite slow response speed compared to most every other site I use with similar (actually, more) functionality... most of which being php but I've found perl scripts to be faster too.	PHP	Perl	True
H1084072248	If Miranda doesn't win, then it could still be a toss-up between Swift and Underwood.	Swift	Miranda	False
E709978868	FIG. 6 is a data flow diagram that illustrates a directed acyclic graph (DAG) using a table queue according to the present invention; and	Graph	Queue	False
K1607548470	Later, I taught software engineers to "write better software faster" (DBS basics, MySQL , Oracle , MSSQL, MS Access, Linux OS, bash and makefile scripting, multi-threaded C/C++, debugging and testing multi-threaded software, multi-threaded software/cyber security) as an Educational Specialist II at Echostar (Dishnetwork's hardware spinoff).	Oracle	MySQL	True
E700120582	Features: Interactive gameplay Intricate mini-puzzles Mysterious characters Spectacular scenerySystem Requirements: Windows XP (Home & Pro) SP3, Windows Vista SP2, Windows 7 1.6GHz processor or faster 512MB RAM 600MB free hard drive space 1024x768 minimum screen resolution, DirectX compatible video and sound card ... Less	Windows XP	Windows Vista	True
D550510815	Databases 10 - 12 may be any suitable storage devices for storing indices, content, and metadata, respectively, and may be implemented using any suitable data storage mechanisms, such as a Structured Query Language (SQL), ORACLE, or MICROSOFT ACCESS database, a disk drive, memory, or any other suitable device(s).	Oracle	Microsoft Access	False
I1369966392	It converts Unlimited Databases, including (Firebird , Interbase ,PostGre-Sql , Sybase, SqlLite, Mysql, Oracle, Microsoft Access, Microsoft SQL Server, Excel and text files or ODBC) tables to (TXT,XLS,DOC,HTML,DBF,SQL,XML,RTF,SAV,PDF,WQ1,SLK,XML,WK1,DIF)The program is very easy-to-use.	Oracle	Microsoft Access	False
S2984300805	uses either Encode , Text::Iconv or Unicode::Map8 and Unicode::String or a regexp (which works only with XML::Parser 2.27), in this order, to convert all characters to ISO-8859-15 (usually latin1 is synonym to ISO-8859-1, but in practice it seems that ISO-8859-15, which includes the euro sign, is more useful and probably what most people want).	Unicode	ISO 8859-1	False
B177415254	A goal by Swift Current Broncos (WHL) import defenseman Richard Nedomlel gave Team Zetterberg a 4-2 advantage near the midway point of the match, with Maple Ridge, BC native Willie Coetzee then pulling Team Lidstrom back to within immediate striking distance of their opponents on a great individual effort.	Swift	Maple	False
D488090181	Clean and convenient interface, quick startup, true flexibility and powerful features allow you to create and edit HTML, XHTML, CSS, JavaScript, VBScript, PHP, ASP, ASP.Net, SSI, Perl, Ruby, WML code faster and easier than ever, while integrated tools enable you to.	PHP	Perl	True
I1289745981	instances which are far easier in python/perl/php/probably any language	PHP	Perl	True
J1576578131	Kacey Musgraves The Nashville newcomer scored six nominations (five for her own music, one for co-writing Miranda Lambert's "Mama's Broken Heart"), which tied pack-leader Taylor Swift.	Swift	Miranda	False
R2894095128	Three learning curves are involved: 1) applying skills from College/Trade School into the DBA role, 2) interacting with the particular RDBMS (PostgreSQL, Oracle, MySQL, DB2, Sybase, Ingres), and 3) interacting with Developers ( a future DBA learning decent social skills straight out of school ??? Yea, right !!! ).	Oracle	MySQL	True
K1677380249	Many who insist on FOSS compromise for proprietary software and if the openwashing PR works (many thing of Oracle and VMware as 'Linux-friendly' due to marketing), then better options like PostgreSQL or MySQL (and KVM) get ignored or only scarcely explored.	Oracle	MySQL	True
H1231384377	In addition, the N8900 Infiniium offline analysis application is the first PC-based application to support protocol decode for I 2 C; SPI; RS-232; RS-422; RS-485; UART; JTAG; CAN; CAN symbolic; LIN; FlexRay; USB; PCIe® gen 1, 2 and 3; MIPI® D-PHY and M-PHY®; DigRF; 8B/10B; SATA/SAS; HDMI; DDR1, 2, 3 and 4; LPDDR 1, 2 and 3; and 64B/66B Ethernet for faster debugging of designs that include serial buses.	USB	Ethernet	True
S3007963418	Voice and fax traffic are transport independent, because IP traffic at Layer 3 can travel over any Layer 1 or Layer 2 media, including ISDN, leased lines, serial connections, Frame Relay, Ethernet, Token Ring, and Asynchronous Transfer Mode (ATM).	Frame relay	Token ring	False
J1533191788	I would have thought that Perl would be more efficient, due to PHP being easier and having more modules that are included without invocation.	PHP	Perl	True
M2025196333	Powerfully Equipped With The Latest Intel Core i5 Processor/ Intel HD Graphics 4000/ Backlit Keyboard/ Micro-HDMI/ LED HD+ Display/ 4GB Of System Memory/ 128GB Solid State Drive/ Bluetooth v4.0/ USB 3.0/ Grey Finish	USB	Bluetooth	True
M1949904113	Our mobile developers have developed several iOS apps, Android Apps, Blackberry apps and Windows Mobile Apps.	Windows Mobile	iOS	False
P2585327381	Then, the ethernet is 100MBit; USB connections won't be much faster, so the speed is inherently limited.	USB	Ethernet	True
T3184716322	Windows Vista takes all the worst features of Windows XP, and makes them worse, moves them around to new, hard to find locations, and adds a ton of new features.	Windows XP	Windows Vista	True
L1791482163	(NetBeans, Eclipse, JDeveloper, ...) Unlike IDEA which keeps it's own market, JBuilder seems to be loosing it's market share in favor of other IDEs.	Eclipse	JDeveloper	False
I1258879871	In fact Light Room 2.0 Beta loads and works fine under Windows XP 64 bit, which is far better than the bloated Windows Vista 64, which I would not recommend after having done extensive comparisions on identical hardware.	Windows XP	Windows Vista	True
O2332622591	System requires 400MHz 32-bit (x 86) or faster processor, 128MB RAM, 280MB free disk space; Microsoft Windows 2000 with Service Pack 4, Windows XP with SP2, Windows Server 2003 with SP1, Windows Vista, Internet Explorer 6.0 or later.	Windows XP	Windows Vista	True
F728148575	Flash can always be on other OS's than iOS, and getting it on Windows Mobile isn't exactly going to gain them large amounts of market share.	Windows Mobile	iOS	False
Q2624385165	The product supports a myriad of databases -- SQL Server, Microsoft Access, MySQL, Oracle, DB2 and Sybase.	Oracle	Microsoft Access	False
R2855456310	This model has a 10-way power driver's seat, a leather-wrapped steering wheel and shift knob, a reversing camera, Bluetooth and a better stereo with HD Radio, satellite radio, a USB port, an iPod connection and an auxiliary audio input jack.	USB	Bluetooth	True
L1826809498	Note: Expanding or extending partitions on Windows Vista and Windows Server 2008 is easier than on Windows Server 2003 or Windows XP, and is performed by using either the Disk Management snap-in from the Computer Management tool, or by using the DISKPART command.	Windows XP	Windows Vista	True
R2836327724	This is because built-in Bluetooth tends to be a premium feature that often costs much more and allows the Palm to gather data and sync much faster than using a USB cable.	USB	Bluetooth	True
M1973801997	Patients S1 and S2 had a broad ovoid zone of RPE loss surrounding the foveas; patient S3 showed RPE loss inferior to the fovea.	S2	S3	True
L1800522882	NEXT LINE and NO-BREAK SPACE only match \s if the source string is in UTF-8 format, or the locale or EBCDIC code page that is in effect includes them.	UTF-8	EBCDIC	False
K1591983799	Knowledge of iOS, J2ME/MIDP, Windows Mobile/Mango applications a plus.	Windows Mobile	iOS	False
L1918074394	On the off-chance (and judging by that graph of our Level 1 queue, it seems like a pretty good off-chance ) that a few of you may have noticed a little problem we had last Thursday afternoon, all the way through Friday morning, I thought I might offer something in the ways of an explanation to go along with that apology.	Graph	Queue	False
D531550528	-CP850:ASCII-8BIT,UTF-8,US-ASCII,Big5,Big5-HKSCS,Big5-UAO,CP949,EUC-JP,EUC-KR,GB18030,GBK,ISO-8859-1,ISO-8859-2,ISO-8859-3,ISO-8859-4,ISO-8859-5,ISO-8859-6,ISO-8859-7,ISO-8859-8,ISO-8859-9,ISO-8859-10,ISO-8859-11,ISO-8859-13,ISO-8859-14,ISO-8859-15,KOI8-R,KOI8-U,Shift_JIS,UTF-16BE,UTF-16LE,UTF-32BE,UTF-32LE,Windows-1251,IBM437,IBM737,IBM775,IBM852,CP852,IBM855,CP855,IBM857,IBM860,IBM861,IBM862,IBM863,IBM865,IBM866,IBM869,macCroatian,macCyrillic,macGreek,macIceland,macRoman,macRomania,macTurkish,macUkraine,CP950,CP951,stateless-ISO-2022-JP,eucJP-ms,CP51932,GB2312,GB12345,ISO-2022-JP,CP50220,CP50221,Windows-1252,Windows-1250,Windows-1256,Windows-1253,Windows-1255,Windows-1254,TIS-620,Windows-874,Windows-1257,Windows-31J,UTF8-MAC,UTF-16,UTF-32,UTF8-DoCoMo,SJIS-DoCoMo,UTF8-KDDI,SJIS-KDDI,ISO-2022-JP-KDDI,stateless-ISO-2022-JP-KDDI,UTF8-SoftBank,SJIS-SoftBank	ASCII	ISO 8859:	False
C368506260	As mentioned already, a DataSet object is primarily used to create a list, not a formal database in the strict sense of Microsoft SQL Server, Oracle, Microsoft Access, or Corel Paradox, etc.	Oracle	Microsoft Access	False
R2783720493	They have a plugin for Eclipse as well but lot of them use JDeveloper for ADF support.	Eclipse	JDeveloper	False
M1926874671	Oracle Data Integrator provides the IKM Access Incremental Update for handling Microsoft Access data.	Oracle	Microsoft Access	False
K1637025971	Listing can be in HTML, text, CSV format (for easy import to Excel) or streamed directly to a PostgreSQL, Microsoft SQL Server, MySQL,.	PostgreSQL	Microsoft SQL Server	False
O2413073459	The BCM43569 is the industry's first dual-band 2x2 MIMO combo chip with a USB 3.0 interface and advanced coexistence technology that enables superior performance by allowing smart TVs to receive both Wi-Fi and Bluetooth signals simultaneously.	USB	Bluetooth	True
R2901287771	Thus, the watermarker can watermark the executable code and then execute it to produce the stack depth graph.	Graph	Stack	False
T3184409924	Windows 2000, Microsoft Windows XP (SP2), Windows Vista (32-bit), Windows Server 2003 (32-bit), and Windows Server 2008 (32-bit) Pentium 4 (500MHz) or better processor 512MB of RAM (1Gb recommended) 800MB of available hard drive CD-ROM drive (installation only)	Windows XP	Windows Vista	True
H1092787892	If the answer to question 24-10 "Maximum Stack Height Reached" is "Yes" plus the answer to 24-12 "Maximum Page Width Reached?" is "Yes", and the answer to 24-13 "Minimum Cell Body Width Reached?" is also "Yes", then the current plotting page area for the "graph shell" has effectively run out of space for adding any new "data cells".	Graph	Stack	False
M2088826559	Remember that the commands are not yet executed, they wait in the queue until they are invoked on the scene graph in World::update() .	Graph	Queue	False
T3124288838	Whenever a reference is written to a thread stack (i.e., the Java™ "aaload," "getstatic," and "getfield" instructions), this implies a new arc from a root to a node in the graph, and the target of the reference is shaded grey to indicate that the immediate successors of the node must be marked.	Graph	Stack	False
E658457874	Eric Church leads the pack with 7 but Hunter Hayes is not far behind with 6. Miranda Lambert and Taylor Swift snagged 5 each.	Swift	Miranda	False
N2218448293	Six acts trail Aldean by one with three nominations apiece: Lady Antebellum, Rascal Flatts, Zac Brown Band, Taylor Swift, Miranda Lambert and The Band Perry.	Swift	Miranda	False
N2243667054	Solid knowledge of SQL programming (expecially oracle and mysql).	Oracle	MySQL	True
C368199258	As many large networks make use of several different networking technologies like Ethernet, WLAN, Token Ring, Fiber Distributed Data Interface (FDDI), Asynchronous Transfer Mode (ATM) LAN Emulation, Telecomunications (ISDN, DSL, DID), Frame Relay and VoIP it is important to have a firm grasp on each individual technology, and how they may interact.	Frame relay	Token ring	False
E654933434	enter DBRMMAP beside member in memberlist or enter TSO %DBRMMAP), corrects some errors, converts UTF-8 to EBCDIC for DB2 V8 or 9 members, shows contoken & converts it to a timestamp, can show long SQL statements, and shows new data types for DB2 9.	UTF-8	EBCDIC	False
N2119136690	Royal hues of curry, tobacco, ruby, peacock and fig mixed with an artesian multi color makes this collection a destination both in spirit and design.	Curry	Ruby	False
T3184420983	Windows 7: 1 GHz or faster cpu, 1 GB RAM (64 bit requires 2 GB RAM) Windows Vista (32/ 64 bit): 1 GHz or faster cpu, 512MB RAM Windows XP SP2,3: 300 MHz or faster cpu, 128 MB RAM Browser: Internet Explorer 6 or higher CD-ROM Drive Display: 1024 x 768 or better 6 7 Mac OS 10.6: Intel Processor, 1 GB RAM Mac OS 10.5: Intel or PowerPC Processor (G4, G5, 867 MHz or faster) Mac OS 10.4.11:	Windows XP	Windows Vista	True
O2268032679	So that sort of class system familiar to Ruby and Python and Java developers makes things easier.	Java	Ruby	True
M1988326308	Perl, PHP, Bash), Experience with server automation tools (Chef, Puppet) and Ruby is a plus, Experience with Virtualization is a plus, Experience with XML Telephony Markup languages (CallXML/CCXML/VoiceXML) is a plus, TCP/IP, SIP and protocol analyzers, Experience in a customer service field, Strong analytical and problem solving skills, Strong oral and written communication skills, Strong control and follow-up skills, Strong conflict resolutions skills, Solid decision making skills, Candidates should be comfortable with instant messaging as primary means of communication.	PHP	Perl	True
M1946934230	Our experience includes Swift, Objective C and Java, as well as use of a variety of Mobile Development Frameworks including, but not limited to Unity, Xamarin, Cordova and PhoneGap.	Java	Swift	False
H1078483963	I find it ridiculous how some people on here bash Elie Seckbach's unorthodox ways of reporting, label him a hack and at the same time continually roam for his daily boxing videos.	Bash	Hack	False
D437822963	By using Documents in Windows Vista and Windows XP and by using libraries in Windows 7, you will be better able to:	Windows XP	Windows Vista	True
J1496459921	I use perl daily, python when I need OO, and hack together most time-savers with bash.	Bash	Hack	False
R2926950378	... tool that can generate a full set of PHP quickly from MySQL , PostgreSQL, Microsoft Access, Microsoft SQL Server and Oracle databases.	Oracle	Microsoft Access	False
I1352725842	Is Postgresql better than MySQL?	MySQL	PostgreSQL	True
B232400623	AMD's openCL is easier to program for than CUDA as well.	CUDA	OpenCL	True
Q2704294710	The se- quence of documents in Task 1 and 2 can be mapped to the time parameter of the stack graph.	Graph	Stack	False
M1937579552	OS: Windows XP, Windows Vista and Windows 7/Snow Leopard (10.6.X)/Ubuntu 12.04 Processor: Intel Core®2 Duo E6700 @ 2.6GHz or AMD Athlon64 X2 6000+ @ 3.0Ghz or better Memory: 4 GB RAM Graphics: 512MB Video RAM(1GB Video RAM), DirectX9c Shader Model 3.0 DirectX: Version 9.0c Hard Drive: 3 GB available space Sound Card: DirectX Compatible(Recommended Surround Sound 5.1 capable)	Windows XP	Windows Vista	True
K1586081898	Keywords background, bank, banking, business, capital, cash, closeup, coin, column, commerce, concept, copper, cutout, deposit, details, development, earn, earnings, economics, economy, evolution, finance, gold, golden, goldish, graph, growth, income, invest, investment, macro, money, payment, payout, pile, profit, revenue, rich, rise, salary, share, spend, stack, treasure, upgrowth, wealth	Graph	Stack	False
F809774757	Gibson's NRM is an exact SSA that extends Gillespie's original First Reaction method by (1) updating only the minimum number of reactions through the use of a dependency graph and using absolute tentative reaction times, and (2) using an efficient data structure, the indexed priority queue, to store and sort reactions.	Graph	Queue	False
B203845778	All the stars were out and Miranda Lambert and Taylor Swift came away as the big winners.	Swift	Miranda	False
C351979867	-ASCII-8BIT:UTF-8,US-ASCII,Big5,Big5-HKSCS,Big5-UAO,CP949,EUC-JP,EUC-KR,GB18030,GBK,ISO-8859-1,ISO-8859-2,ISO-8859-3,ISO-8859-4,ISO-8859-5,ISO-8859-6,ISO-8859-7,ISO-8859-8,ISO-8859-9,ISO-8859-10,ISO-8859-11,ISO-8859-13,ISO-8859-14,ISO-8859-15,KOI8-R,KOI8-U,Shift_JIS,UTF-16BE,UTF-16LE,UTF-32BE,UTF-32LE,Windows-1251,IBM437,IBM737,IBM775,CP850,IBM852,CP852,IBM855,CP855,IBM857,IBM860,IBM861,IBM862,IBM863,IBM865,IBM866,IBM869,macCroatian,macCyrillic,macGreek,macIceland,macRoman,macRomania,macTurkish,macUkraine,CP950,CP951,stateless-ISO-2022-JP,eucJP-ms,CP51932,GB2312,GB12345,ISO-2022-JP,CP50220,CP50221,Windows-1252,Windows-1250,Windows-1256,Windows-1253,Windows-1255,Windows-1254,TIS-620,Windows-874,Windows-1257,Windows-31J,UTF8-MAC,UTF-16,UTF-32,UTF8-DoCoMo,SJIS-DoCoMo,UTF8-KDDI,SJIS-KDDI,ISO-2022-JP-KDDI,stateless-ISO-2022-JP-KDDI,UTF8-SoftBank,SJIS-SoftBank	ASCII	ISO 8859:	False
Q2737144628	The third of the PlayStation 2 Grand Theft Auto titles is coming to iOS, Android, Kindle, and Windows Mobile devices next month.	Windows Mobile	iOS	False
H1098576048	If the source string isn't in UTF-8 format, \w matches those characters that are considered word characters by the current locale or EBCDIC code page.	UTF-8	EBCDIC	False
M2032801472	Previously-announced presenters include Jason Aldean, Jewel, Josh Turner, Miranda Lambert, Reba McEntire, Rodney Carrington, Sara Evans, Taylor Swift, the Eagles' Joe Walsh and Timothy B. Schmit and actor Tim Daly (ABC's Private Practice ).	Swift	Miranda	False
C363566549	As I said, it's the ONE thing I GOTTA have, despite also "needing" Adam-12, Life As We Know It, Once & Again S2, The Ring 2, Kung Fu S3, 1st & Ten (assuming it makes it out and there's decent quality), Witness SE, Truman Show SE...	S2	S3	True
H1229173796	In addition, a new performance-tuned suspension delivers world-class ride and handling, while Uconnect Voice Command with Bluetooth(R), console-mounted USB port with iPod(R) Control and auxiliary audio input jack, SIRIUS Satellite Radio, automatic headlamps, and power fold-away heated-exterior mirrors make life easier for the Challenger's driver and passengers.	USB	Bluetooth	True
G972081829	However, Begin who has worked with both languages, said he couldn't endorse the claim that working in Rails is ten times faster than Java when interview for Is Ruby on Rails ready for enterprise SOA?	Java	Ruby	True
S3104418453	What do you lose? $300, a much slower processor, less memory upgradeability, 40 Gigs of hard drive, battery life, one of the two USB ports, the only FireWire port, and Ethernet port, an SD card slot, and a built-in CD/DVD drive.	USB	Ethernet	True
O2345249709	Technically Scala, Groovy, Ruby etc may be superior, but I feel that unless there is a big push (marketing, evanglising, support, open standards etc) by an enterprise-strength player into the enterprise, there will never be a language revolution like what we saw in the adoption of Java.	Java	Ruby	True
P2475766471	The epitome of less-is-more comes through in Kaenon's all-new SPINDLE SERIES, a highly sophisticated family of featherweight, retro-inspired, semi-rimless metal frames available in three distinctive SR-91 polarized lens shapes: The soft rounded corners of the S1 sync nicely with a conservative look; the harder edges of the S2 offer greater coverage and an edgier feel; and the S3 is Kaenon's modern reinvention of the classic aviator.	S2	S3	True
Q2720032056	The SqlDataSource control can work with any database that has an associated ADO.NET provider configured in the DbProviderFactories section of the configuration, including Microsoft SQL Server, Oracle, ODBC, or OLE DB databases such as Microsoft Access.	Oracle	Microsoft Access	False
S2973847467	Unlike Oracle, PostgreSQL does not retype NUMBER to a faster type internally (like int).	Oracle	PostgreSQL	True
E700011484	Features:Databases Supported:Microsoft Access 97/2000/2003/2007/2010, Microsoft Excel 97/2000/2003/2007/2010, Oracle, Microsoft SQL Server, Sybase, FileMaker Pro, DB2, MySQL, PostgreSQL, FoxPro, dBase, R:BASE and any ODBC Compliant DatabaseForm Designing:Supported Forms.	PostgreSQL	Microsoft SQL Server	False
Q2764315334	The woodsy, sweet notes of maple syrup were front and center when I unwrapped the foil.	Maple	FOIL	False
J1505518023	I've own the S1, S2, S3 and now the S4, i didn't get the S5 becuase it offer nothing useful over the S4 and its uglier with bigger bezels.	S2	S3	True
