id	sentence	a	b	without_marker
F788308872	Fujitsu, Genius, ITAC Systems, Jing Mold, Kensington, Key Tronic, Logitech, Maxi Switch, Inc., Microsoft, Monterey, NEC, NMB, Ortek, Philips, Qtronix, Samsung, Sejin, Silitek, Solid Year, STSL, SUH DART, SUPERGATE, SUPGERGATE, Texas Instruments, TOSHIBA	Fujitsu	NEC	False
H1123197359	If your organization is looking at converged architecture systems and is considering options offered by Dell, Egenera, Fujitsu, HP or NEC, it would be worth getting to know Egenera's PAN Manager better.	Fujitsu	NEC	False
F788312812	"Fujitsu Limited, Hitachi, Ltd., and NEC Corporation today [March 09, 2004] announced that they are making available on their respective websites sample software that implements Web Services Reliability (WS-Reliability), a messaging specification for web services designed to ensure superior reliability.	Fujitsu	NEC	False
M2078866575	Record-Shattering Performance The Intel Xeon processor 7500 series represents the largest performance leap in Xeon family history, with the chip being an average three times faster across a range of benchmarks, setting over 20 new world records including stellar results from Cisco, Dell, Fujitsu, IBM, NEC and SGI.	Fujitsu	NEC	False
D494003772	CMD Technology, Compaq, Computer Access Technology Corporation, CTX, Cypress Semiconductor Corporation, Dallas Semiconductor, EIZO, Fujitsu, Granite Microsystems, Iiyama, Intel, KC Technology, Key Tronic, Labtec, LiteOn, Lucent Technology, Microsoft, MultiVideo Labs, National Semiconductor, NEC, NMB, Nokia, Opcode, Opti, Philips, Samsung, Sand, Sejin, Silicon Integrated Systems, Silitek, Solid Year, SONY Corporation, STSL, SUPERGATE, Symbios Logic, Telex, TI, VIA Technologies, Winbond, YAMAHA, Boston	Fujitsu	NEC	False
D494003771	CMD Technology, Compaq, Computer Access Technology Corporation, CTX, Cypress Semiconductor Corporation, Dallas Semiconductor, EIZO, Fujitsu, Granite, Iiyama, Intel, KC Technology, Key Tronic, Labtec, LiteOn, Lucent Technology, MultiVideo Labs, National Semiconductor, NEC, NMB, Nokia, Opti, Philips, Samsung, Sand, Sejin, Silicon Integrated Systems, Silitek, Solid Year, SONY Corporation, STSL, SUPGERGATE, Symbios Logic, Telex, TI, VIA Technologies, Winbond, YAMAHA	Fujitsu	NEC	False
D506590727	Compaq, Computer Access Technology Corporation, CTX, Cypress Semiconductor Corporation, Dallas Semiconductor, EIZO, Fujitsu, Granite, Iiyama, Intel, KC Technology, Key Tronic, Labtec, LiteOn, Lucent Technology, MultiVideo Labs, National Semiconductor, NEC, NMB, Nokia, Opti, Philips, Samsung, Sand, Sejin, Silicon Integrated Systems, Silitek, Solid Year, SONY Corporation, STSL, SUPGERGATE, Symbios Logic, Telex, TI, VIA Technologies, Winbond, YAMAHA	Fujitsu	NEC	False
D506590726	Compaq, Computer Access Technology Corporation, CTX, Cypress Semiconductor Corporation, Dallas Semiconductor, EIZO, Fujitsu, Granite, Iiyama, Intel, KC Technology, Key Tronic, Labtec, LiteOn, Lucent Technology, Microsoft, MultiVideo Labs, National Semiconductor, NEC, NMB, Nokia, Opti, Philips, Samsung, Sand, Sejin, Silicon Integrated Systems, Silitek, Solid Year, SONY Corporation, STSL, SUPGERGATE, Symbios Logic, Telex, TI, VIA Technologies, Winbond, YAMAHA	Fujitsu	NEC	False
B308011336	Another solid quarter, and Lenovo will easily steal the top spot away from Hewlett-Packard.	Lenovo	Hewlett-Packard	False
P2543955366	The Lenovo ThinkPad, Hewlett-Packard EliteBook, and Dell Precision Mobile Workstation lines are all solid business systems.	Lenovo	Hewlett-Packard	False
D430409516	By contrast, both Hewlett-Packard, No. 2 worldwide and in the U.S., and Lenovo , ranked No. 3 in the world, grew slower than the market.	Lenovo	Hewlett-Packard	False
O2434821235	The chip is expected to provide faster performance than the Atom "Clover Trail" processors currently found in Windows 8 tablets from Acer, Dell, Hewlett-Packard, Lenovo and Samsung.	Lenovo	Hewlett-Packard	False
D509784499	Computer manufacturers supporting the Better by Design program include Acer, Dell, Gateway, HP, Lenovo, NEC, Tongfang and others.	Lenovo	NEC	False
K1616957437	Lenovo, the world's fourth-largest PC maker, is in talks to create a joint venture with NEC that would enable both businesses to better compete globally, according to published reports.	Lenovo	NEC	False
B190955808	A little less than a quarter of the market is still not driven by the top five vendors; that now includes Oracle as well as Lenovo, Dawning, Hitachi, NEC, Bull, Silicon Graphics, Cray, Super Micro, and others who do a decent amount of business.	Lenovo	NEC	False
K1707852339	Merek Selengkapnya APC Mcafee Abba rack Acer AMD AOC Apple Asrock Asus Axioo AZZA BenQ Blackberry BROTHER Byon Canon CBM Cisco Cooler Master D-link Dell Delta Rack EnGenius EPSON Fluke Network Fortuna Rack Fujitsu Gateway Gigabyte HIS Hitachi HP IBM Infocus Intel Jetway Kaspersky Lenovo LG Lite On Logitech Microsoft Mitsubishi MSI NEC Nirax Oximus Panasonic Papago Philips Printronix Prolink Razer Relion Roccat Samsung SanDisk Sapphire Scanner Plustek Seagate Sony Tenda Toshiba TP-Link Ulite Viewsonic Visipro Vivitek Wacom Wearnes Zyrex	Lenovo	NEC	False
Q2659304662	"There isn't a gaming keyboard out there that offers better value," says Min-Liang Tan, Razer co-founder and CEO.	Razer	Founder	False
P2575964794	The new switch makes the most popular gaming keyboard in the world even better," said Min-Liang Tan, Razer co-founder, CEO and creative director.	Razer	Founder	False
H1220711472	I must say that when I was given the opportunity to interview Robert Krakoff the founder of Razer it not only shocked me but I also saw this as being a great opportunity for everyone interested in learning a little about what drives corporations to produce superior gaming hardware.	Razer	Founder	False
H1220711473	I must say that when I was given the opportunity to interview Robert Krakoff, the founder of Razer, it not only shocked me but I also saw this as being a great opportunity for everyone interested in learning a little about what drives corporations to produce superior gaming hardware.	Razer	Founder	False
F770297604	Founder would have given Dell a solid No. 2 position in China.	Dell	Founder	False
I1256878998	In exchange, Icahn is allowed to talk to other shareholders about putting together a superior proposal to a $24.4 billion buyout offer backed by company founder Michael Dell.	Dell	Founder	False
I1256878996	In exchange, Icahn can talk to other shareholders about putting together a superior proposal to a $24.4 billion buyout offer backed by company founder Dell.	Dell	Founder	False
P2543954105	The lenovo kb imo was better than the acer.	Acer	Lenovo	True
D488871851	Clearly, my Acer Aspire should be loads faster than my Lenovo Thinkpad.	Acer	Lenovo	True
G1024592303	IBM/Lenovo are really solid, but my mum has an excellent Acer.	Acer	Lenovo	True
F782034832	from my xp HP and Lenovo have better build quality, especially compared to Samsung and Acer.	Acer	Lenovo	True
F796812345	Gamers are better off with the Acer 5750G or Lenovo ThinkPad E520.	Acer	Lenovo	True
D506892707	Compared to the Lenovo, the Acer has better build quality with tighter shut lines.	Acer	Lenovo	True
H1219502401	I'm told that Sony, Acer & Lenovo are better models for this touchscreen application.	Acer	Lenovo	True
L1840402453	Not yet Lenovo / Fujitsu (but close) and a lot better than say Acer or IMHO Samsung.	Acer	Lenovo	True
O2369021529	That Lenovo seems to have slightly better specs than this Acer (i5 vs i3).	Acer	Lenovo	True
P2444600658	The competition can perform better: 238.4 cd/m² (Lenovo) and 206.4 cd/m² (Acer).	Acer	Lenovo	True
I1337312024	I recently visited BestBuy, and I noticed a few decent win 8 tablets from Lenovo, Acer and Sony.	Acer	Lenovo	True
R2838041704	This is faster than the Acer AG3-605-UR39, the Cyberpower Zeus Mini , and the Lenovo X510.	Acer	Lenovo	True
B286882196	and Toshiba want to mark their product for elit, but their services is even worse than Acer and Lenovo.	Acer	Lenovo	True
D389708428	But I do have a Lenovo (Williams) laptop running on Intel (ex-BMW) instead of that epic-looking but mediocre-spec Ferrari Acer laptop.	Acer	Lenovo	True
H1148079728	I have found that quality control tends to be much better via Grundig than Degen.	VIA	Grundig	False
Q2653978846	There is also the new Omega heel cup that gives the Razer superior heel stability and allows for cooling via rear air vents.	VIA	Razer	False
I1286960162	Inside, users will find a 4th generation Intel Core processor, an unspecified SSD that Razer says offers a boot speed 4x faster than the average 5400rpm hard drive, and graphics are delivered via an NVIDIA GeForce GTX 765M GPU.	VIA	Razer	False
M2069385069	- Razer Viper Optical Gaming Mouse @ IP Konfig - Swissbit SwissMemory USB Victorinox @ Modtown - Thermaltake Pipe101 Heatsink @ Project-Rhino - Quadro FX Comparison @ CG Networks - eVGA e-GeForce 5700 Ultra w/NVIDIA Personal Cinema @ NVNews - Voodoo Envy M:860 Gaming Notebook @ Trusted Reviews - VIA EPIA MII10000 Mini-ITX Motherboard @ Tweak News - 3RSystem Poseidon WCL-03 CPU Water Cooler @ Big Bruin - NB Cool Swing @ Exclaim ( Translated ) - Silverstone SST-TJ03 aluminium case @ Planet3DNow ( Translated )	VIA	Razer	False
G1065362391	I expect too much, I have Razer Carcharias for 80 euros a year ago, and I think that they are better then these G35's... Maybe I'm mad or something I don't know, but please, if there is anyone who knows anything about equalizer modification and preamp stuff, please write it down in the comments and if you want to help we can go via team viewer if you want to do it by yourself.	VIA	Razer	False
N2097063838	Residents of very far-flung areas of Europe (like southern Portugal and Spain and in Scandinavia) may also do better with a Panasonic model 30, Sony model 750 and Grundig model 310/2 than with the other brands as the tuners on these are a more sensitive model.	Panasonic	Grundig	False
H1217122267	I m still trying to find a decent PVR, the only top brand left is the Panasonic but that has only a 250G HD and can only recordfor 37H HD or 105H SD, I see that all other brands have dropped out, and from seaches on the net every one is having problems with the chinese type boxes even one with the Grundig name on it, that also has a NZ 800 phone number in the manual	Panasonic	Grundig	False
D477028178	Choose a Brand AKG Altec Lansing ASUS Audio Technica Beyerdynamic Bose Cooler Master Creative Crossroads Denon Harman Kardon iFrogz Klipsch Logitech Monster Motorola Nokia Panasonic Philips Plantronics Razer Sennheiser Shure Sony SteelSeries Sunrise Audio	Panasonic	Razer	True
D477028177	Choose a Brand AKG Altec Lansing ASUS Audio Technica Beyerdynamic Bose Cooler Master Creative Crossroads Denon Fischer Audio Harman Kardon iFrogz KEF Klipsch Logitech Monster Motorola Nokia Panasonic Philips Plantronics Razer Sennheiser Shure Signeo Sony SteelSeries Sunrise Audio Urbanears	Panasonic	Razer	True
A117283515	a botched effort by Panasonic and a Korean piece of junk, Nvidia and Razer stepped in to show the world what handheld PC gaming could be: not much better.	Panasonic	Razer	True
B192421396	All Brands AC Ryan Acer Adobe Altec Lansing Apple MacIntosh Asus AVLabs Belkin BitDefender BlueLounge Buffalo Canon Cooler Master Corsair D-Link DELL Dicota EgoV Fuji Xerox Garmin Gigabyte Glieks GrandStream Griffin GrowV HP HTC HuntKey iKlear Intel Juicy Electronics Kanvus KATA KGuard Security Lenovo LG Electronics Linksys Logitech Microsoft OCZ Technology Panasonic PogoPlug Promise Technology QNAP Rapoo Razer Samsung SanDisk Shuttle SilverStone Targus Team Thecus Toshiba TP-Link TuneUp Viewsonic Zyxel	Panasonic	Razer	True
O2329313912	Svi proizvodi proizvođača Acer Allied Telesis AMD AOC APC ASRock Asus Benq Blueberry BTC Canon Chicony Chieftec Cisco Systems CM Storm Colorovo Comet Conexant Cooler Master Creative Crucial CyberPower D-Link Deepcool Dell Epson Frontier Gemalto Gembird Genius Gigabyte Grandstream Green Connection Honeywell HP Intel Intex Kingston Kyocera LC-Power Lexmark LG Linksys Lite-On Logitech LyCOM Metrologic Microlab Microsoft MikroTik MS Industrial MSI Mustek nJoy Noctua Orink Palit Panasonic Philips Plutos PowerColor Prestigio Razer Samsung Seagate Seasonic Sharp Siemens Silicon-Power SilverStone Sony Targus Tenda Technology Thermaltake Thrustmaster Titan Toshiba TP-Link Transcend Vivax Wacom Western Digital Wiretek ZTE	Panasonic	Razer	True
O2329313905	Svi proizvođači Acer Allied Telesis AMD AOC APC ASRock Asus Benq Blueberry BTC Canon Chicony Chieftec Cisco Systems CM Storm Colorovo Comet Conexant Cooler Master Creative Crucial CyberPower D-Link Deepcool Dell Epson Frontier Gemalto Gembird Genius Gigabyte Grandstream Green Connection Honeywell HP Intel Intex Kingston Kyocera LC-Power Lexmark LG Linksys Lite-On Logitech LyCOM Metrologic Microlab Microsoft MikroTik MS Industrial MSI Mustek nJoy Noctua Orink Palit Panasonic Philips Plutos PowerColor Prestigio Razer Samsung Seagate Sharp Siemens Silicon-Power SilverStone Sony Targus Tenda Technology Thermaltake Thrustmaster Titan Toshiba TP-Link Transcend Vivax Wacom Western Digital Wiretek ZTE	Panasonic	Razer	True
O2329313914	Svi proizvodi proizvođača Acer Allied Telesis AMD AOC APC ASRock Asus Benq Blueberry BTC Canon Chicony Chieftec Cisco Systems CM Storm Comet Conexant Cooler Master Creative Crucial CyberPower D-Link Deepcool Dell Epson Frontier Gemalto Gembird Genius Gigabyte Grandstream Green Connection Honeywell HP Intel Intex Kingston Kyocera LC-Power Lexmark LG Linksys Lite-On Logitech LyCOM Metrologic Microlab Microsoft MikroTik MS Industrial MSI Mustek nJoy Noctua Orink Palit Panasonic Philips Plutos PowerColor Prestigio Razer Samsung Seagate Sharp Siemens Silicon-Power SilverStone Sony Targus Tenda Technology Thermaltake Thrustmaster Titan Toshiba TP-Link Transcend Vivax Wacom Western Digital Wiretek ZTE	Panasonic	Razer	True
O2329313913	Svi proizvodi proizvođača Acer Allied Telesis AMD AOC APC ASRock Asus Benq Blueberry BTC Canon Chicony Chieftec Cisco Systems CM Storm Colorovo Comet Conexant Cooler Master Creative Crucial CyberPower D-Link Deepcool Dell Epson Frontier Gemalto Gembird Genius Gigabyte Grandstream Green Connection Honeywell HP Intel Intex Kingston Kyocera LC-Power Lexmark LG Linksys Lite-On Logitech LyCOM Metrologic Microlab Microsoft MikroTik MS Industrial MSI Mustek nJoy Noctua Orink Palit Panasonic Philips Plutos PowerColor Prestigio Razer Samsung Seagate Sharp Siemens Silicon-Power SilverStone Sony Targus Tenda Technology Thermaltake Thrustmaster Titan Toshiba TP-Link Transcend Vivax Wacom Western Digital Wiretek ZTE	Panasonic	Razer	True
D477028163	Choose a Brand A.C.Ryan AKG Altec Lansing Apple Archos Astone ASUS Audio Technica AVerMedia AVF Aztech Beyerdynamic Bose Bowers & Wilkins Cayenne Cooler Master Cowon Creative Crossroads Denon DViCO Edifier FiiO Focal Geneva GoGear Harman Kardon iFrogz iHome iTech IXOS Jabra Jawbone Jays JBL Klipsch Krator Kworld LG Logitech MediaGate Meizu Microsoft Monster Motorola NAD Nokia Noontec OSIM Ovation Ozaki Panasonic PenDrive Philippe Starck Philips Pioneer Pixel Magic Plantronics QNAP Rapsody Razer Revo Samsung Sarotech Seagate Sennheiser Shure Skullcandy SonicGear Sony Soundfreaq SPEED SteelSeries Sunrise Audio Ultimate Ears Veho Vosonic Western Digital X-mini XtremeMac Yamaha	Panasonic	Razer	True
S3090140617	We've already reviewed the primary competition (Razer Blade 14 and MSI GE40 -- though we're still looking for a Clevo W230ST), which are all relatively thin and light laptops with a decent amount of performance available.	Clevo	Razer	False
B252236223	And finally (though I suspect we'll see Clevo, Toshiba, and Samsung announce products with GTX 800M GPUs at some point, along with perhaps some other OEMs as well), Razer Blade will have a new 14" Blade with GTX 870M and a 17" Blade Pro with GTX 860M - and no, that's not a typo, though perhaps we'll see more than one model of Blade Pro as it seems odd for the smaller laptop to support a faster GPU.	Clevo	Razer	False
P2478847961	The exhibitors that are sponsoring the GeForce LAN 6 are EA, EVGA, Toshiba, Corsair, MSI, Zotac, Cooler Master, CyberPower, Digital Storm, Plantronics, TigerDirect/Systemax, Antec, Maingear, ASUS, Origin, Razer, Falcon Northwest and Xfinity.	Falcon Northwest	Razer	False
M2009309144	--- Please Select --- ADATA AMD ASRock ASUS ATI AVerMedia Aero Cool Antec Apple Arctic Cisco CoolMax Cooler Master Corsair Creative Divoom EVGA G.Skill GIGABYTE GrassValley (Canopus) Hauppauge Hewlett-Packard Hotway Huawei Inno3D Intel Kworld L G Logitech MSI Manhattan & Intellinet NZXT Noctua PNY QNAP RAIDMAX RAZER Samsung Sapphire Seagate Seasonic Silverstone Sony Sparkle SuperMicro Swiftech Thermaltake Turtle Beach Viewsonic Western Digital Wiretek ZTE neXon	Huawei	Razer	False
N2156350416	Seleziona ... ACER AMD AOC APPLE ARCTIC ASROCK ASUS BROTHER CANON COOLER MASTER CORSAIR CRUCIAL DELL DEVELOP EMINENT EPSON E-TAB FSP FUJITSU GAINWARD GIGABYTE HITACHI HP INTEL KINGSTON KONICA MINOLTA KYOCERA LENOVO LEXMARK LG LOGITECH MICROSOFT MSI NETGEAR NEXUS OEM OKI OLIVETTI PANASONIC PHILIPS PNY QNAP RICOH RIVACASE ROLINE SAMSUNG SANDISK SAPPHIRE SEAGATE SHARP STARTUP SYMANTEC SYNOLOGY TECNOWARE THECUS TOSHIBA TP-LINK VALUE VEKTOR WESTERN DIGITAL XEROX	Olivetti	Dell	False
O2332348185	System76, Zareason and Dell all provide solid options.	System76	Dell	False
T3158671759	While I admire Dell for their fanatic adoption, I still like system76 better because they're specialists.	System76	Dell	False
M1986875535	Perhaps the better solution is to go with System76 or ZaReason and skip Dell for now.	System76	Dell	False
N2146113681	Second, are you seriously suggesting that custom-imported, no name laptops from Zareason and System76 are of superior quality to both Dell and HP?	System76	Dell	False
O2332347991	System76 and ZaReason while popular as OEMs because they provide a better product selection than Dell do not materially support Ubuntu.	System76	Dell	False
R2842454012	This is one of the details that Linux-only laptop sellers like ZaReason and System76 do better, but otherwise nobody else can offer an ultrabook anywhere close to the Dell XPS 13.	System76	Dell	False
S2997163549	Vendors with at least two worse-than-average marks and no better-than-average finishes include Digital Storm (two), HP for business users (four), and Dell for business users (a woeful eight).	Digital Storm	Dell	False
R2860813773	This pie is much better suited for a sweeter apple, like a fuji, than a tart granny smith.	Fuji	Pie	False
B245794097	and also would my shimano rh550 wheels work on the fuji and would they be better than the alex wheels it would have?	Shimano	Fuji	False
G903545286	Here is the Felt equivalent, the F75 This has an even better crank than the Fuji counterpart and shares the same platform of 10-speed Shimano 105 shifters and Ultegra rear derailleur.	Shimano	Fuji	False
N2197575800	Shimano TCurve Deep Jig 200 Spin T-Curve Deep Jig fishing rods are now even better with the recent series of upgrades with the most standout being the introduction of Fuji Anti line tangle K Guides.	Shimano	Fuji	False
O2360806716	That being said, I should probably already know the answer to this, but - I'm a student, trying to stretch my dollar, want to commute AND train on one bike (and hopefully not a bike that shouts "steal me"), can only afford one bike, bouncing back and forth between older good bikes and newish affordable entry level bikes (Fuji), minimum shimano 105 - what is the better strategy:	Shimano	Fuji	False
S3099568298	What a better gi to have than one that represents this key aspect.The Fuji Sekai Gi is built tough with triple reinforced rip stop pants, extra stitching producing a sturdier collar, and still lightweight enough to train in some of the hottest parts of the world.	Sekai	Fuji	False
I1375487153	I test rode a Fuji Ace SE and really felt comfortable, but the Terry I test rode had better components.	Terry	Fuji	False
S2998036161	"Vermonters aren't interested in a pie-in-the-sky, 'I'm better than you' kind of faith," says Terry Dorsett , the Southern Baptist Convention's director of missions for Vermont.	Terry	Pie	False
M1959007501	Over the course of his afternoon, facing Mel Ott, Paul Waner, Bill Terry, Vaughan, Frankie Frisch, Chuck Klein, Billy Herman and Pie Traynor (among others), Harder allowed one hit, struck out two, walked one and ended up with the win.	Terry	Pie	False
O2277902717	So, while the team is stuck at the precinct, Charles judges a pie contest between Gina and Rosa, and Holt helps Terry look better in the eyes of his in-laws [hide]	Terry	Pie	False
A30391416	£17.50 for a cottage pie and chips that was only slightly better than what i had in Weatherspoons the day before Stephen Terry is having a laugh... Read Full Review	Terry	Pie	False
O2277902716	So, while the team is stuck at the precinct, Charles judges a pie contest between Gina and Rosa, and Holt helps Terry look better in the eyes of his in-laws.	Terry	Pie	False
I1391875024	I think the only players who possibly enhanced their reputations were Gerard who had a pretty good tournament, Glen Johnson was solid, got some vital tackles and blocks in and tried to get forward whenever possible and probably most surprisingly of all was John Terry who I thought played better than I've ever see him play before and was solid as the proverbial rock, (that's me eating humble pie - I've never really rated him as a person or a player).	Terry	Pie	False
B258929866	And if you want to throw a decent size of the blame pie at Terry Francona , I'm OK with it (though unless Francona has some ability to actually will good pitching performances out of these guys and has elected not to do so I'm not sure what he's supposed to do at this point).	Terry	Pie	False
