,id,domain,object_a,object_b,sentence,it_1_confidence,it_2_confidence,better_count,worse_count,none_count,most_frequent_label,most_frequent_count,it_1_judgments,it_2_judgments,sentence_html,judgments,confidence,most_frequent_percentage
1510,K1709333879,compsci,Ruby,Perl,"Methinks it would be better to write integrated Ruby support (or, shudder, Perl..) ...",1.0,1.0,0,0,5,NONE,5,3,2,"Methinks it would be better to write integrated <span style=""color: #9A14B2; font-weight: bold"">Ruby:[OBJECT_A]</span> support (or, shudder, <span style=""color: #6CB219; font-weight: bold"">Perl:[OBJECT_B]</span>..) ...",5,1.0,1.0
1707,L1841275625,jbt,california,missouri,"November 30, 2001, california, missouri.",1.0,1.0,0,0,5,NONE,5,3,2,"November 30, 2001, <span style=""color: #9A14B2; font-weight: bold"">california:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">missouri:[OBJECT_B]</span>.",5,1.0,1.0
161,N2120277427,jbt,rubber,cement,(rubber cement tends to be easier to work with because it comes right off when you need it to.),0.6689,1.0,0,0,5,NONE,5,3,2,"(<span style=""color: #9A14B2; font-weight: bold"">rubber:[OBJECT_A]</span> <span style=""color: #6CB219; font-weight: bold"">cement:[OBJECT_B]</span> tends to be easier to work with because it comes right off when you need it to.)",5,0.80134,1.0
1869,Q2634983904,jbt,bread,potato,"There are a few recipes - cucumber-lime cooler, carrot-raisin salad, spring vegetable ragout, bread salad, red bean stew and potato smash with kale (that's all of them).",1.0,1.0,0,0,5,NONE,5,3,2,"There are a few recipes - cucumber-lime cooler, carrot-raisin salad, spring vegetable ragout, <span style=""color: #9A14B2; font-weight: bold"">bread:[OBJECT_A]</span> salad, red bean stew and <span style=""color: #6CB219; font-weight: bold"">potato:[OBJECT_B]</span> smash with kale (that's all of them).",5,1.0,1.0
1881,G935194486,brands,Hewlett-Packard,Intel,"Hewlett-Packard ( HPQ ) , Intel ( INTC ) and Dell ( DELL ) are examples.",1.0,1.0,0,0,6,NONE,6,4,2,"<span style=""color: #9A14B2; font-weight: bold"">Hewlett-Packard:[OBJECT_A]</span> ( HPQ ) , <span style=""color: #6CB219; font-weight: bold"">Intel:[OBJECT_B]</span> ( INTC ) and Dell ( DELL ) are examples.",6,1.0,1.0
1101,O2326871995,compsci,Windows 8,Windows 7,"Sure, Windows 8 maybe slightly faster than Windows 7 but is faster than Windows XP?",1.0,1.0,5,0,0,BETTER,5,3,2,"Sure, <span style=""color: #9A14B2; font-weight: bold"">Windows 8:[OBJECT_A]</span> maybe slightly faster than <span style=""color: #6CB219; font-weight: bold"">Windows 7:[OBJECT_B]</span> but is faster than Windows XP?",5,1.0,1.0
2100,Q2642961765,jbt,virginia,oregon,"There are still some backs who could move into first-round contention -- Justin Fargas (Southern California), Lee Suggs (virginia Tech) and Onterrio Smith (oregon) -- but Johnson certainly helped himself with a superior workout.",1.0,1.0,0,0,5,NONE,5,3,2,"There are still some backs who could move into first-round contention -- Justin Fargas (Southern California), Lee Suggs (<span style=""color: #9A14B2; font-weight: bold"">virginia:[OBJECT_A]</span> Tech) and Onterrio Smith (<span style=""color: #6CB219; font-weight: bold"">oregon:[OBJECT_B]</span>) -- but Johnson certainly helped himself with a superior workout.",5,1.0,1.0
1839,L1777199475,compsci,MySQL,Oracle,MySQL Training from Oracle University,1.0,1.0,0,0,5,NONE,5,3,2,"<span style=""color: #9A14B2; font-weight: bold"">MySQL:[OBJECT_A]</span> Training from <span style=""color: #6CB219; font-weight: bold"">Oracle:[OBJECT_B]</span> University",5,1.0,1.0
1700,A140639932,compsci,Ethernet,USB,"A DC-in port, Gigabit Ethernet jack and two USB 3.0 jacks give it better connectivity than a tablet.",1.0,1.0,0,0,5,NONE,5,3,2,"A DC-in port, Gigabit <span style=""color: #9A14B2; font-weight: bold"">Ethernet:[OBJECT_A]</span> jack and two <span style=""color: #6CB219; font-weight: bold"">USB:[OBJECT_B]</span> 3.0 jacks give it better connectivity than a tablet.",5,1.0,1.0
566,T3240792620,compsci,Java,Python,"You can find Java programmers and software engineers a dime dozen, but for Python it will be harder.",1.0,0.5217,4,0,1,BETTER,4,3,2,"You can find <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span> programmers and software engineers a dime dozen, but for <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span> it will be harder.",5,0.8086800000000001,0.8
811,O2375961781,brands,Amazon,Apple,"That's Google ( GOOG ) with its superior search for what you want, that's Amazon ( AMZN ) with the cheapest prices, and that's Apple ( AAPL ) with iTunes.",1.0,1.0,0,0,6,NONE,6,4,2,"That's Google ( GOOG ) with its superior search for what you want, that's <span style=""color: #9A14B2; font-weight: bold"">Amazon:[OBJECT_A]</span> ( AMZN ) with the cheapest prices, and that's <span style=""color: #6CB219; font-weight: bold"">Apple:[OBJECT_B]</span> ( AAPL ) with iTunes.",6,1.0,1.0
1107,O2325937425,brands,Google,Microsoft,"Surely, I can do no worse suggesting lame ideas for beating Google than Microsoft already has.",0.6757,0.6891,1,1,4,NONE,4,3,3,"Surely, I can do no worse suggesting lame ideas for beating <span style=""color: #9A14B2; font-weight: bold"">Google:[OBJECT_A]</span> than <span style=""color: #6CB219; font-weight: bold"">Microsoft:[OBJECT_B]</span> already has.",6,0.6824,0.6666666666666666
2175,G1068449462,brands,Apple,Dell,"If Apple has better growth/profit than Dell/Microsoft (D/M$), then 4.5% means good news - there's still 95.5% of the market that can potentially be consumed.",0.6693,0.525,3,0,2,BETTER,3,3,2,"If <span style=""color: #9A14B2; font-weight: bold"">Apple:[OBJECT_A]</span> has better growth/profit than <span style=""color: #6CB219; font-weight: bold"">Dell:[OBJECT_B]</span>/Microsoft (D/M$), then 4.5% means good news - there's still 95.5% of the market that can potentially be consumed.",5,0.61158,0.6
2121,R2931085463,jbt,cornell,harvard,TORONTO OSWEGO BOWLING GREEN BOWLING GREEN Vermont Rensselaer Rochester Tech cornell COLGATE Yale Brown St. Lawrence Lake Superior Rochester Tech Army Princeton harvard DARTMOUTH ST.,1.0,1.0,0,0,5,NONE,5,3,2,"TORONTO OSWEGO BOWLING GREEN BOWLING GREEN Vermont Rensselaer Rochester Tech <span style=""color: #9A14B2; font-weight: bold"">cornell:[OBJECT_A]</span> COLGATE Yale Brown St. Lawrence Lake Superior Rochester Tech Army Princeton <span style=""color: #6CB219; font-weight: bold"">harvard:[OBJECT_B]</span> DARTMOUTH ST.",5,1.0,1.0
1815,N2116789419,brands,Microsoft,Amazon,"Root canals aside, Microsoft is still doing better by it's hosted service customers than Amazon, whose multiple EC2 web service outages last year have been met with no public reconciliation.",1.0,1.0,5,0,0,BETTER,5,3,2,"Root canals aside, <span style=""color: #9A14B2; font-weight: bold"">Microsoft:[OBJECT_A]</span> is still doing better by it's hosted service customers than <span style=""color: #6CB219; font-weight: bold"">Amazon:[OBJECT_B]</span>, whose multiple EC2 web service outages last year have been met with no public reconciliation.",5,1.0,1.0
46,J1492544766,jbt,holiday,wedding,It would have been better for a work holiday party or maybe family wedding.,1.0,1.0,0,0,5,NONE,5,3,2,"It would have been better for a work <span style=""color: #9A14B2; font-weight: bold"">holiday:[OBJECT_A]</span> party or maybe family <span style=""color: #6CB219; font-weight: bold"">wedding:[OBJECT_B]</span>.",5,1.0,1.0
1860,I1295552725,brands,Asus,Gigabyte,"Intel Z97 Motherboard Roundup with Asus, Biostar, Gigabyte and MSI",1.0,1.0,0,0,5,NONE,5,3,2,"Intel Z97 Motherboard Roundup with <span style=""color: #9A14B2; font-weight: bold"">Asus:[OBJECT_A]</span>, Biostar, <span style=""color: #6CB219; font-weight: bold"">Gigabyte:[OBJECT_B]</span> and MSI",5,1.0,1.0
465,G1036482176,compsci,Perl,AWK,"I could imagine, e.g., Perl and AWK might be different if you use their built in hhash tables and your data hashes a lot better in one than in the other, but if all your loops and such are explicit, how could the performance be different by more than a constant factor?",1.0,1.0,0,0,5,NONE,5,3,2,"I could imagine, e.g., <span style=""color: #9A14B2; font-weight: bold"">Perl:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">AWK:[OBJECT_B]</span> might be different if you use their built in hhash tables and your data hashes a lot better in one than in the other, but if all your loops and such are explicit, how could the performance be different by more than a constant factor?",5,1.0,1.0
2148,F816214038,compsci,Ruby,JavaScript,"gmail, built on a solid cutting edge web 2.0 framework such as Java or Ruby on Rails, JavaScript, nice clean interface, etc. and the best I found are:",1.0,1.0,0,0,5,NONE,5,3,2,"gmail, built on a solid cutting edge web 2.0 framework such as Java or <span style=""color: #9A14B2; font-weight: bold"">Ruby:[OBJECT_A]</span> on Rails, <span style=""color: #6CB219; font-weight: bold"">JavaScript:[OBJECT_B]</span>, nice clean interface, etc. and the best I found are:",5,1.0,1.0
2266,N2120532904,compsci,Ruby,Java,"Ruby, Program Development in Java, The Interpretation",1.0,1.0,0,0,5,NONE,5,3,2,"<span style=""color: #9A14B2; font-weight: bold"">Ruby:[OBJECT_A]</span>, Program Development in <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span>, The Interpretation",5,1.0,1.0
686,K1713562154,brands,Microsoft,Amazon,"Microsoft Azure performed better than Amazon Web Services in a series of write/read/delete tests conducted by Nasuni, according to this CIO article .",1.0,1.0,5,0,0,BETTER,5,3,2,"<span style=""color: #9A14B2; font-weight: bold"">Microsoft:[OBJECT_A]</span> Azure performed better than <span style=""color: #6CB219; font-weight: bold"">Amazon:[OBJECT_B]</span> Web Services in a series of write/read/delete tests conducted by Nasuni, according to this CIO article .",5,1.0,1.0
1688,S2973812861,brands,Motorola,Samsung,Unlike Motorola and Samsung.,1.0,1.0,0,0,5,NONE,5,3,2,"Unlike <span style=""color: #9A14B2; font-weight: bold"">Motorola:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Samsung:[OBJECT_B]</span>.",5,1.0,1.0
2038,R2907567544,compsci,Haskell,Java,"tl;dr To me, Haskell is better sold as ""that one language that allows you to make the same that in Java, only with 5 times less code and 5 times more trust in your code"" than ""that one language that's good for teaching purposes, like Pascal or good ol' Caml"".",0.6391,1.0,4,0,1,BETTER,4,3,2,"tl;dr To me, <span style=""color: #9A14B2; font-weight: bold"">Haskell:[OBJECT_A]</span> is better sold as ""that one language that allows you to make the same that in <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span>, only with 5 times less code and 5 times more trust in your code"" than ""that one language that's good for teaching purposes, like Pascal or good ol' Caml"".",5,0.78346,0.8
