,id,caption,sentence,object_a,object_b,predicted,gold,most_frequent_percentage,origin,s_len
3453,T3282619728,InferSent,"You would use Groovy instead of JRuby because it plugs into the average Java developer's brain easier since it doesn't require you learn a whole new library, API, syntax, and new way of doing things.",Groovy,Java,BETTER,NONE,1.0,se (unique),199
3454,T3172980824,InferSent,Why baseball is Superior to football,baseball,football,NONE,BETTER,1.0,se (unique),36
3456,B338870749,InferSent,Arguably the biggest disappointment with the psp version of Armored Core 3 is the control scheme; it's simply inferior to the ps2 version.,psp,ps2,NONE,WORSE,1.0,se (unique),138
3457,M2091025698,InferSent,Renault also clinched the Constructors Championship over Ferrari.,Renault,Ferrari,NONE,BETTER,1.0,se (unique),65
3460,R2846057524,InferSent,This is the main difference with lenses from Nikon and Canon for example - you seldom get decent sharpness wide open and almost never great contrast and color like you do with these Leica lenses.,Nikon,Leica,BETTER,NONE,1.0,se (unique),195
3464,H1168861923,InferSent,I just think whole milk would be better then juice?,milk,juice,NONE,BETTER,1.0,se (unique),51
3465,G974550683,InferSent,"However, I do wish it was optimized better, but PHP is not Java.",PHP,Java,NONE,BETTER,0.8,se (unique),64
3466,A156225064,InferSent,"A football is easier for a cameraman to follow, while hockey is a guessing game.",football,hockey,NONE,BETTER,1.0,se (unique),80
3474,K1699627412,InferSent,"Meanwhile, German sportswear firms Adidas and Puma shined above other retailers as investors pile in following better-than-expected fourth quarter earnings from US rival Nike last night.",Adidas,Nike,NONE,BETTER,0.6,se (unique),186
3479,J1455022891,InferSent,It's likely we can buy a very good Sigma o Tamron lens in a new future but now a day Nikon lens manufacturing is very superior.,Sigma,Nikon,BETTER,NONE,1.0,se (unique),127
3484,L1774673298,InferSent,"My primary language, though, is likely to remain Python, as I find it about 60 million times easier to read than Perl, and 100 million times easier to read than Ruby.",Perl,Ruby,NONE,BETTER,1.0,se (unique),166
3490,F804911186,InferSent,"georgia doesn't have a lot of quality scalps, not unlike oregon and WVU, but they have fewer losses and to better opponents.",georgia,oregon,WORSE,NONE,1.0,se (unique),124
3491,J1531360044,InferSent,"I would also add, as happened in the USA, and elsewhere, the shift to Toyota and Datsun/Nissan, Japanese brands with much better reliability and more up to date product lines vs. Euro/UK brands, but for M-B and BMW.",Toyota,BMW,BETTER,NONE,1.0,se (unique),215
3496,B338257377,InferSent,"Are you saying that you use JavaScript outside a browser, and that you feel it is a better language in that context than Java, C++, C, Smalltalk, Lisp, Perl, Python, etc?",JavaScript,Python,BETTER,NONE,1.0,se (unique),170
3500,O2297502608,InferSent,steel is stronger and harder then aluminum.,steel,aluminum,NONE,BETTER,1.0,se (unique),43
3509,K1713782601,InferSent,Microsoft is the devil but Sony truly isn't any better.,Microsoft,Sony,WORSE,NONE,1.0,se (unique),55
3511,T3210806913,InferSent,"Worse, Apple is functioning EXACTLY as it described the MS/IBM of 1984.",Apple,IBM,BETTER,NONE,1.0,se (unique),71
3512,S3058341937,InferSent,"We know the worst of the crisis is behind us, said Ghosn, who is also CEO of Renault SA, which holds a better than 40 percent stake in Nissan.",Renault,Nissan,BETTER,NONE,0.4,se (unique),142
3521,O2325372391,InferSent,"Sure enough, my daughter moved quickly from my hand-me-down laptop to her own (faster, newer) MacBook and iphone.",laptop,iphone,NONE,WORSE,1.0,se (unique),113
3523,I1325974486,InferSent,I once read that convertibles sold better in michigan than california.,michigan,california,WORSE,BETTER,1.0,se (unique),70
3526,M2004752861,InferSent,"Play To, almost completely worthless in Windows 7, is now even harder to use in Windows 8.",Windows 7,Windows 8,WORSE,BETTER,0.8,se (unique),90
3529,P2544611725,InferSent,"The Lexus was too cramped in the back, the Audi new model was ""around the corner"" and the BMW too poorly specified as well as too common.",Lexus,Audi,WORSE,NONE,0.6,se (unique),137
3533,Q2686073980,InferSent,"The same can be said for graphics, as this machine outperforms the Sony, even though they use the same Intel chip, making it a better choice if you're looking to edit photos and movies - although the Asus is still the best option for this.",Sony,Intel,WORSE,NONE,1.0,se (unique),239
3534,P2580842416,InferSent,"The Nissan just didn't seem as ""smooth"" as the Toyota, although I think it drives better.",Nissan,Toyota,NONE,WORSE,1.0,se (unique),89
3535,O2265216154,InferSent,Sorry but if you claim you are an IT tech and you can't figure out how to make Windows 8 work better for you than windows 7 or Windows XP then I do believe you are just a self proclaimed IT tech.,Windows 8,Windows XP,BETTER,NONE,1.0,se (unique),195
3536,F823938067,InferSent,Good to see again a Renault ahead of a Ferrari.,Renault,Ferrari,NONE,BETTER,1.0,se (unique),47
3537,Q2762292413,InferSent,"The Wildcats have beaten 2 solid Pac-10 teams in Stanford and oregon State, and also own a better than it seems win over Central michigan.",oregon,michigan,BETTER,NONE,0.6,se (unique),138
3542,J1445667895,InferSent,"It seems as though luxury makers are going for bigger is better when it comes to grilles (we're looking at you, Audi ), but Lexus takes the cake here.",Audi,Lexus,NONE,WORSE,1.0,se (unique),150
3549,B172711789,InferSent,After working for years in PHP he finally found the far superior Ruby on Rails.,PHP,Ruby,BETTER,WORSE,1.0,se (unique),79
3551,T3208185138,InferSent,"WordPress recommends doing this all over the place in PHP, so I can't see how this is any worse in JavaScript.",PHP,JavaScript,WORSE,NONE,1.0,se (unique),110
3553,N2262638314,InferSent,Sony: playstation 3 is a Better Value than XBox 360 or wii,playstation,wii,NONE,BETTER,1.0,se (unique),58
3558,E635905496,InferSent,Eclipse instead of NetBeans,Eclipse,NetBeans,NONE,BETTER,1.0,se (unique),27
3561,S3037075438,InferSent,We chose MySQL over PostgreSQL primarily because it scales better and has embedded replication.,MySQL,PostgreSQL,NONE,BETTER,1.0,se (unique),95
3563,T3133420059,InferSent,"When moving files Gb Ethernet is faster, when doing LOTS of small transfers, USB is faster.)",Ethernet,USB,BETTER,NONE,0.8,se (unique),92
3565,R2902611707,InferSent,"TidBits discovered you can connect pretty much any USB headset, headphones, or microphone, which turns the iPad into a pretty decent little Skype device (with better quality sound than you'd get with Bluetooth).",USB,Bluetooth,BETTER,NONE,1.0,se (unique),211
3567,I1361546368,InferSent,"Is Windows 8 better than Windows 7, its predecessor?",Windows 8,Windows 7,BETTER,NONE,0.8,se (unique),52
3569,I1266185452,InferSent,"In his spare time, Lance is a mediocre softball player, a better soccer midfielder and a great little league baseball and basketball coach to son, Blaze.",softball,baseball,BETTER,NONE,0.4,se (unique),153
3574,E721106926,InferSent,First backup your data; it's safer in case of a failure since a dual boot Windows 7 and Windows 8 .,Windows 7,Windows 8,WORSE,NONE,0.8,se (unique),99
3585,I1388099075,InferSent,"I think languages like Haskell, ML and Scheme are actually easier to learn than languages like C/C++, VB, C# and Java.",Haskell,Java,NONE,BETTER,1.0,se (unique),118
3586,H1184039634,InferSent,"I'll repeat with a GTX580 on the next tests - I imagine CUDA does not improve PP6 over FCPX when you have a faster, higher spec Nvidia card that also boosts OpenCL on FCPX.",CUDA,OpenCL,BETTER,NONE,1.0,se (unique),172
3591,L1761761018,InferSent,"My code Scala is typically half the length than the same thing done via Java, plus it's more concise and is easier to maintain.",Scala,Java,WORSE,BETTER,1.0,se (unique),127
3593,M2060370750,InferSent,"Quoting KiwiRob ( Reply 14 ): in europe you get far better resale on a diesel, you will also get better resale on the Mini or BMW than the Golf or Toyota",BMW,Toyota,NONE,BETTER,1.0,se (unique),153
3594,H1153341585,InferSent,"I haven't tried it with this modem, but on my ADSL line the superior performance of Ethernet over USB modems is striking, particularly in terms of responsiveness.",Ethernet,USB,NONE,BETTER,1.0,se (unique),162
3596,T3226621523,InferSent,"Yes, Java is slow-slower than PHP (gasp).",Java,PHP,BETTER,WORSE,1.0,se (unique),41
3600,T3173921663,InferSent,Why does my Android phone download files slower over the same network than my laptop?,phone,laptop,BETTER,WORSE,0.8,se (unique),85
3602,B297763396,InferSent,An example would be Ford makes better pick up trucks and Toyota makes better sedans.,Ford,Toyota,BETTER,NONE,1.0,se (unique),84
3605,I1389626415,InferSent,I think tapioca and white rice and potato flour are far better to make bread with.,potato,bread,BETTER,NONE,1.0,se (unique),82
3608,J1489576844,InferSent,It will have a harder more durable case and Bluetooth connectivity so you won't need a USB cable to transfer data from it.,Bluetooth,USB,WORSE,NONE,0.6,se (unique),122
3609,P2442435401,InferSent,"The compact computer now gets integrated WiFi and Bluetooth, rather than just wired Ethernet connectivity, together with a built-in hard-drive of unspecified capacity; Marvell have also given it a faster CPU, in the shape of the 2GHz Armada 300 processor.",Bluetooth,Ethernet,BETTER,NONE,1.0,se (unique),255
3611,F830057484,InferSent,"Granted both players have their own endorsement deals with the Nike, but perhaps they should have known better than to show an Adidas event in Swoosh-branded attire.",Nike,Adidas,BETTER,NONE,0.6,se (unique),165
3612,G1016087516,InferSent,I am sorry is Google maps better then Apple maps??,Google,Apple,BETTER,NONE,1.0,se (unique),50
3616,E607724888,InferSent,Do you get better pictures with your Leica if you offer up your Nikon or Canon?,Leica,Nikon,WORSE,NONE,0.6,se (unique),79
3619,B326110412,InferSent,"Apple cider vinegar will taste better then white, but lemon juice is the best tasting.",cider,juice,BETTER,WORSE,1.0,se (unique),86
3620,Q2762217616,InferSent,"The wii U version, however, is just an inferior 360/ps3 port.",wii,ps3,WORSE,NONE,1.0,se (unique),61
3624,K1632520933,InferSent,"Likewise, learning Ruby is no harder than learning PHP but far, far more rewarding.",Ruby,PHP,WORSE,BETTER,1.0,se (unique),83
3628,J1527354527,InferSent,"I will start my JavaScript tutorials soon, but for now I'm booked pretty solid with just learning PHP and mySQL.",JavaScript,PHP,WORSE,NONE,1.0,se (unique),112
3629,S3005693038,InferSent,Visibly faster than Python ... faster than Java I'd bet.,Python,Java,BETTER,NONE,1.0,se (unique),56
3637,D447178204,InferSent,"Canon, Nikon and Sony lenses longer than 400mm cost more than $8,000 (although Sigma and Tamron offer slower tele-zooms that go out to 500mm for around $1,000).",Nikon,Sigma,WORSE,NONE,1.0,se (unique),160
3640,T3207702955,InferSent,Wood/ timber inventories are being depleted throughout the developing world (far faster than forest land inventories).,timber,forest,WORSE,BETTER,1.0,se (unique),118
3642,L1843658284,InferSent,"Now for some reason the more I learn Python, the faster I can do things in Java.",Python,Java,BETTER,NONE,1.0,se (unique),80
3644,T3189503353,InferSent,"With ARM processors already slower than Intel counterparts, it would be VERY difficult to run programs like Adobe Photoshop, though perhaps Microsoft Office could function.",Intel,Microsoft,WORSE,NONE,1.0,se (unique),172
3649,K1744915771,InferSent,Motorola is no different from Samsung.,Motorola,Samsung,BETTER,NONE,0.4,se (unique),38
3650,M1988335981,InferSent,"Perl tries harder than Java by offering a taint mode, but you can still shoot yourself in the foot.",Perl,Java,WORSE,BETTER,1.0,se (unique),99
3654,H1088620429,InferSent,"if people love the wii, they will love the nextgen graphics plus playstation Move even better.",wii,playstation,NONE,WORSE,1.0,se (unique),94
3657,L1770959413,InferSent,My minestrone soup is always better with homemade pasta.,soup,pasta,BETTER,NONE,1.0,se (unique),56
3660,Q2645514879,InferSent,The reason why Scala is currently not used outside of education very much is because it is based on Java behind-the-scenes and often even slower.,Scala,Java,WORSE,NONE,0.6,se (unique),145
3668,P2496643737,InferSent,The Ford is just like a '55 Chevrolet--it's hard to build a better one than what's already been done.,Ford,Chevrolet,BETTER,NONE,0.8,se (unique),101
3670,E637671220,InferSent,"Edit: I do have a decent amount of Java experience, but I haven't used Scala before, if that plays into it.",Java,Scala,WORSE,NONE,0.8,se (unique),107
3672,I1346740829,InferSent,Is football better than baseball?,football,baseball,BETTER,NONE,1.0,se (unique),33
3683,E601320733,InferSent,"Don't learn Perl because even though it's a mature, fast and popular language, it's harder to learn than PHP.",Perl,PHP,BETTER,WORSE,1.0,se (unique),109
3686,R2786895482,InferSent,"They know that Lexus has better residual, and that Audi has better tech.",Lexus,Audi,BETTER,NONE,1.0,se (unique),72
3691,J1450548975,InferSent,It's hard to say whether tennis is harder to dominate than golf.,tennis,golf,BETTER,WORSE,1.0,se (unique),64
3698,I1385048775,InferSent,I think I found a better sandwich than a cheese steak.,sandwich,steak,NONE,BETTER,1.0,se (unique),54
3703,S3009328624,InferSent,"Voters actually felt better about the economy in pennsylvania (63 percent said it is ""excellent"" or ""good"") than in california (59 percent said ""excellent"" or ""good"").",pennsylvania,california,NONE,BETTER,1.0,se (unique),167
3704,P2452768065,InferSent,"The CPU performance of the AMD APU hardware on Sony PS4 and Microsoft XBox720 it's on par if not slower than Intel Core2Quad Q9650 which is rather oudated, a 4-5 years old CPU.",Sony,Intel,NONE,BETTER,1.0,se (unique),176
3712,Q2656208048,InferSent,"There is google Chrome for Ubuntu, and Rythmbox is a much better alternative to itunes, imho.",google,itunes,NONE,BETTER,1.0,se (unique),93
3718,P2512395764,InferSent,"The hardware (Sony) feels cheap and easy to break compared to my 4-year old Dell, which feels solid.",Sony,Dell,NONE,WORSE,1.0,se (unique),100
3727,J1441471629,InferSent,"Its Azure PaaS/IaaS platform hasn't overtaken Amazon yet in market share, but Microsoft has enjoyed nine straight quarters of growth at 10 percent or better .",Amazon,Microsoft,NONE,WORSE,1.0,se (unique),158
3728,B326132027,InferSent,Apple could take advantage of the superior IBM components in the systems.,Apple,IBM,BETTER,NONE,1.0,se (unique),73
3729,O2302907732,InferSent,"Still Perl is faster, but Java is not worse than other languages like Python.",Perl,Python,BETTER,NONE,1.0,se (unique),77
3733,M1923909608,InferSent,OpenGL is better than Direct3D.,OpenGL,Direct3D,NONE,BETTER,1.0,se (unique),31
3735,Q2762218201,InferSent,The wii U version will be inferior to the others (except ps3 and Xbox 360.,wii,ps3,WORSE,NONE,1.0,se (unique),74
3737,N2146615694,InferSent,"Second, in real world tasks using apps, all other things being equal, the iphone 5 enjoys an inherent advantage in that it mandates programmers to use Objective-C, which is a much lower-level language than the Java used in Android machines, which runs programs in the Dalvik virtual machine, creating a software that necessarily is more indirect than the iPhone programming approach and hence slower.",Objective-C,Java,BETTER,WORSE,1.0,se (unique),400
3748,S2978242522,InferSent,"Upgraded staples : decent toilet paper; gourmet coffee, tea, hot chocolate, drink mix (variety flavors and better than the standard bug juice), spices and seasonings, tobasco sauce, etc.",coffee,juice,BETTER,NONE,1.0,se (unique),186
3749,M1996510083,InferSent,"PHP would be a much nicer, friendly and more civilized development list if it borrowed only one phrase from the Perl community; TMTOWTDI.",PHP,Perl,BETTER,NONE,1.0,se (unique),137
3750,L1768720010,InferSent,My husband has made beer for years (they just keep getting better!) and cow's milk kefir.,beer,milk,BETTER,NONE,0.8,se (unique),89
3752,I1353473694,InferSent,"Is Sigma so technologically deprived that it lags so far behind the ""big boys"" (Canon, Nikon, Sony, etc.) in the business that they could not do better?",Sigma,Nikon,WORSE,NONE,0.8,se (unique),152
3753,F850055281,InferSent,Harvick's Chevrolet had nudged ahead of Kenseth's Toyota coming out of the fourth turn but Kenseth went to the outside nearly brushing the SAFER Barrier to make the race-winning pass at the checkered flag.,Chevrolet,Toyota,BETTER,NONE,0.4,se (unique),205
3759,J1442905661,InferSent,"It's better for Amazon to cannibalize itself than have it done anymore by Apple,"" he adds.",Amazon,Apple,BETTER,NONE,1.0,se (unique),90
3763,J1428963367,InferSent,"It provides d rastic JSON parsing and serialization performance improvements "" The Rick (Hightower)/ Andrey duo spent a fair amount of time optimizing our JSON support, making Groovy 2.3's JSON support usually faster than all the JSON libraries available in the Java ecosystem.",Groovy,Java,BETTER,NONE,0.6,se (unique),277
3772,T3184445054,InferSent,"Windows 7 released in 2009 and was a success , primarily because it was a better Windows XP (which was also a success) and, today, because it's NOT Windows 8.",Windows XP,Windows 8,WORSE,NONE,1.0,se (unique),158
3775,C356486942,InferSent,"As for IBM's competition, Claybrook says that ""the reason why they're behind Dell and Compaq is that they had better Intel channels.",Dell,Intel,BETTER,NONE,1.0,se (unique),132
3779,M1957806557,InferSent,"Overall, they conclude that the next generation cell product needs minor hardware change to scale efficiently for double precision work, but that the first generation is already between 3 and 60 times faster, and between 10 and 200 times more power efficient, than its competitors - numbers to keep in mind when you think about Apple's triumph in arranging to get dual core Xeon CPUs from Intel for only slightly more than than four times the $89 Sony is estimated to pay for an 8+1 cell at 3.2Ghz.",Intel,Sony,BETTER,NONE,1.0,se (unique),498
3783,K1647817950,InferSent,"Looking backwards, investing in Sears in 1890 turned out better than investing in Sony in 1950; that, more than anything, explains the relative performance of Amazon and Apple in the stock market.",Sony,Amazon,BETTER,NONE,0.8,se (unique),196
3785,J1442917993,InferSent,It's better organized than PHP (with its absurdly large global namespace) and less ceremonious than Java (no IStrategyBuilderFactories here).,PHP,Java,BETTER,NONE,0.8,se (unique),141
3790,F824954600,InferSent,Google would not put a 2300mah battery of it didn't get decent battery life (higher quality parts can raise power efficiency so battery life can be better/worse than mah would make it seem) your mixing them up with Sony who is notorious for it.,Google,Sony,BETTER,NONE,1.0,se (unique),244
3791,M1940393530,InferSent,"Other reviews have shown these new 470 series SSDs from Samsung have significantly better scores than the rest, while still competing with Toshiba on power consumption.",Samsung,Toshiba,BETTER,NONE,1.0,se (unique),168
3793,O2325139895,InferSent,"Suprise for me that sbcl is much slower then ccl, also that Java is so much faster then both clozure and sbcl .. Also Perl is 2x faster then clozure and 7-8x faster then sbcl .. and that is really unexpected.",Java,Perl,BETTER,NONE,0.8,se (unique),208
