,caption,gold,id,most_frequent_percentage,object_a,object_b,origin,paths,pred_if,pred_lex,predicted,repeated,s_len,sentence,sentencer
P2545585453,,NONE,,1.0,Ford,Chevrolet,,,ARG,ARG,,True,201,"The likes of Ford, BMW, Audi, Mercedes, Toyota etc don't even have to try to market a car in Europe because it just happens, but Chevrolet along with their Corvette brand has to work at it much harder.",
P2442435401,,NONE,,1.0,Bluetooth,Ethernet,,,ARG,ARG,,False,255,"The compact computer now gets integrated WiFi and Bluetooth, rather than just wired Ethernet connectivity, together with a built-in hard-drive of unspecified capacity; Marvell have also given it a faster CPU, in the shape of the 2GHz Armada 300 processor.",
L1916868883,,NONE,,0.8,IBM,Google,,,ARG,ARG,,False,143,"On the enterprise side, Microsoft should look at way of getting better than IBM, on the consumer side it's got Google and Yahoo to worry about.",
M1989843760,,ARG,,0.8,Samsung,Toshiba,,,NONE,NONE,,True,299,"Personally, I see all of these major players in the hardware segment of the market all supporting Blu-Ray (Samsung, Panasonic, and LG, in addition to Sony) while only Toshiba has support for their format, as an indication that Blu-Ray is, at least from a technological standpoint, a superior format.",
A112691576,,ARG,,1.0,california,oregon,,,NONE,NONE,,True,77,"A 5-2-1 california team went down, 27-7, then 5-1-1 oregon fell harder, 33-0.",
M2032209894,,ARG,,0.8,Lexus,Audi,,,NONE,NONE,,True,144,"Pretty much if we took in a MBZ,BMW or Lexus it was solid gold ( sport car hands down a Porshe, Audi wasn't our first choice to have on the lot.",
H1143026395,,ARG,,0.6,Toyota,Chrysler,,,NONE,NONE,,True,199,"I have also rented many cars, American and Japanese, and with the exception of a very smooth ride in a Cadillac, I always like the Japanese cars better (Nissan and Toyota, vs. Ford, Chrysler and GM).",
T3212787174,,NONE,,1.0,Nikon,Sigma,,,ARG,ARG,,True,111,Would the new Nikon 85 be that much better than the old one or the inexpensive Sigma to justify the investment?,
Q2774278666,,ARG,,1.0,wood,cardboard,,,NONE,NONE,,True,79,They are very nice - with solid wood backs (not the cheap cardboard back type).,
B171666302,,ARG,,1.0,Kingston,Intel,,,NONE,NONE,,True,148,"after tons of failures from Kingston (i know sandisk is better), i stick to Intel or Samsung only - data loss is worth more than a few hundred to me",
P2596183037,,ARG,,0.6,golf,baseball,,,NONE,NONE,,True,60,The only sport that's slower to watch than golf is baseball.,
E610038290,,NONE,,1.0,bread,pizza,,,ARG,ARG,,True,98,Do you think though in general simple bread bakeries are harder than small woodfired pizza places?,
N2200288249,,NONE,,1.0,Bluetooth,USB,,,ARG,ARG,,True,60,Should Bluetooth mp3 access be faster than USB memory stick?,
B318686695,,NONE,,1.0,Objective-C,Java,,,ARG,ARG,,False,121,"Anyway, Objective-C is easier once you know it, and the freedom from Java packages is a blessing I cannot over-emphasize.",
T3179188500,,ARG,,1.0,wii,playstation,,,NONE,NONE,,True,56,wii U GPU And CPU Slower Than Xbox 360 And playstation 3,
A138611811,,ARG,,1.0,Nikon,Sigma,,,NONE,NONE,,True,141,"Actually scratch my last post, I canceled the Nikon and ordered the Sigma 18-50 mm f2.8 HSM instead, as I think it should be the better lens.",
B290991437,,ARG,,1.0,Mercedes-Benz,Audi,,,NONE,NONE,,True,213,"And while some of J.D. Power's top performers with shoppers also scored well with dealers -- Mercedes-Benz, Cadillac, Porsche, Volkswagen -- others NADA faves like Audi, Kia, and Honda fared poorly with consumers.",
R2849512597,,ARG,,0.8,Windows XP,Windows Vista,,,NONE,NONE,,True,113,"This is Windows XP not Vista !! Windows Vista has nicer desktop than xp, because it has more additional features.",
J1432575082,,NONE,,1.0,Samsung,Toshiba,,,ARG,ARG,,True,188,"Its 362 nit brightness level is one of the best we've seen, improving on the MacBook and Samsung, but the Lenovo's 646:1 contrast ratio is mediocre - the Toshiba Kira hit a mighty 2,326:1.",
N2262636633,,NONE,,1.0,Sony,Microsoft,,,ARG,ARG,,False,63,"Sony planned poorly, and underestimated Microsoft and Nintendo.",
S3005048842,,ARG,,0.6,virginia,georgia,,,NONE,NONE,,True,77,"virginia coach Tony Bennett said georgia Tech is ""a better team"" this season.",
L1852967075,,ARG,,0.4,Microsoft,Apple,,,NONE,NONE,,True,63,"Now, unlike Microsoft, Apple isn't selling an inferior product.",
Q2671107127,,NONE,,0.8,restaurant,cafe,,,ARG,ARG,,True,78,The restaurant would have to be better than just a simple cafe or pizza place.,
L1843658284,,NONE,,1.0,Python,Java,,,ARG,ARG,,False,80,"Now for some reason the more I learn Python, the faster I can do things in Java.",
H1078180653,,ARG,,1.0,Lisp,Python,,,NONE,NONE,,True,193,"I find Common Lisp to offer an even more dynamic programming environment, an easier language to use, and the result often has performances characteristics way beyond what I can get with Python.",
K1604521684,,ARG,,1.0,Apple,Sony,,,NONE,NONE,,True,84,Last time I checked Apple had 3% market share (Personal Computers) Sony does better.,
G1029755582,,ARG,,1.0,Java,Python,,,NONE,NONE,,True,81,"I can see why you would prefer Java to Python (speed), and Tcl (better language).",
A15287639,,ARG,,1.0,NetBeans,Eclipse,,,NONE,NONE,,True,33,"(10 For NetBeans, -5 for Eclipse)",
N2262543090,,ARG,,1.0,Sony,Apple,,,NONE,NONE,,True,56,"Sony, Grass Valley, Lightworks, even the inferior Apple.",
I1353330891,,NONE,,0.6,Ruby,Python,,,ARG,ARG,,True,85,"Is Ruby truly better than Python (scripting/programming wise), what about speed wise?",
E590957111,,ARG,,0.8,cornell,harvard,,,NONE,NONE,,True,100,"Docter continued her solid play in Saturday's home defeat of cornell, leading harvard with 13 kills.",
L1895124577,,ARG,,1.0,Ruby,Perl,,,NONE,NONE,,True,71,"one I know who's seen Ruby code argues that Perl is better -- but then,",
T3125206666,,ARG,,0.8,ipod,laptop,,,NONE,NONE,,True,112,When giving presentations I find it easier to carry around my ipod and A/V chord instead of a laptop and chords.,
A115588256,,ARG,,1.0,steel,timber,,,NONE,NONE,,True,83,A better alternative is to substitute light gauge steel Zeds for the timber joists.,
B248507592,,NONE,,1.0,carolina,georgia,,,ARG,ARG,,False,58,"And better yet, South carolina kept him away from georgia.",
S3033272482,,ARG,,1.0,Windows 8,Windows XP,,,NONE,NONE,,True,331,"We believe that your upgrade experience in Windows 8 will be a breeze by offering a faster experience, a single upgrade path, and compatibility from prior versions of Windows, ' Microsoft's Brandon LeBlanc claimed in a statement which handily overlooks the fact that upgrades from Windows XP won't migrate any programs or settings.",
D501575099,,ARG,,1.0,Windows 8,Windows 7,,,NONE,NONE,,False,112,"Come on now Windows 8 may not be Windows 7 in popularity but it is actually a better, faster and more secure OS.",
I1355510312,,NONE,,1.0,amazon,itunes,,,ARG,ARG,,True,92,Is the amazon Prime feed going through Roku better than renting through itunes and Apple TV?,
R2839991108,,NONE,,1.0,Integer,Floating-point,,,ARG,ARG,,True,102,"This is most likely done to optimize for Integer calculations, rather than slower Floating-point math.",
B218244037,,ARG,,1.0,softball,basketball,,,NONE,NONE,,False,112,"Also, softball is weak, basketball is a much better sport, luckily I kept my cardio because I don't smoke spice.",
I1248563780,,ARG,,1.0,Kingston,Intel,,,NONE,NONE,,True,133,"In Crysis the Kingston 40GB again takes second place to the Intel in the SSD ranks, making it a pretty decent proposition for gaming.",
T3161167094,,ARG,,1.0,missouri,georgia,,,NONE,NONE,,False,106,"While missouri has solid football programs, they do not compare to states like Florida, georgia and Texas.",
Q2627707007,,NONE,,1.0,ps3,ps2,,,ARG,ARG,,False,76,The ps3 version is better graphic wise and the ps2 is better game play wise.,
I1256251013,,NONE,,1.0,basketball,baseball,,,ARG,ARG,,True,49,I never said basketball was easier than baseball.,
F835980058,,ARG,,1.0,Groovy,Java,,,NONE,NONE,,True,97,"Groovy code often looks and feels like Java code, but is almost always simpler and easier to use.",
S3113696778,,NONE,,1.0,Perl,Ruby,,,ARG,ARG,,True,48,What Perl can do better than Ruby and vice versa,
S3024103739,,ARG,,1.0,Bluetooth,USB,,,NONE,NONE,,True,111,We also plan to add Bluetooth support later but we do encourage our users to stay with USB for faster download.,
F824912165,,ARG,,1.0,google,youtube,,,NONE,NONE,,True,45,google Video was good but youtube was better.,
M1929526579,,ARG,,1.0,oregon,michigan,,,NONE,NONE,,True,121,"oregon maybe isn't Notre Dame or michigan, but (it is) certainly better known than George Mason or Gonzaga,"" McEvoy said.",
F824336823,,ARG,,1.0,Google,Apple,,,NONE,NONE,,True,58,Google does maps better then Yahoo and Mapquest and Apple.,
T3174171655,,NONE,,0.6,wii,gamecube,,,ARG,ARG,,False,56,Why do most wii games look like gamecube games or worse?,
J1454606878,,NONE,,1.0,aluminum,steel,,,ARG,ARG,,False,56,"It's light as aluminum, but harder than steel,"" he said.",
B216157759,,ARG,,0.6,Dell,Intel,,,NONE,NONE,,True,116,"Also, keep in tmind that two years ago, Dell,HP,Gateway etc, never used AMD chips as Intel produced the better chip.",
F794674342,,ARG,,1.0,Smalltalk,Java,,,NONE,NONE,,True,52,"(FWIW, Smalltalk (and to a much lesser extent, Java)",
K1588658642,,NONE,,1.0,PHP,JavaScript,,,ARG,ARG,,True,117,"Kind of a toss up as to which is easier, depending on how good your PHP coding is compared to your JavaScript coding.",
H1181101770,,ARG,,1.0,Coca-Cola,Pepsi,,,NONE,NONE,,True,93,"I live in the home of Coca-Cola, so Pepsi is a little harder to come by vending machine wise.",
T3277595215,,ARG,,1.0,youtube,amazon,,,NONE,NONE,,True,115,"youtube just won't cut it for a screencast, so I found hosting the video myself (amazon S3), was a better solution.",
O2374472881,,ARG,,1.0,Dell,Apple,,,NONE,NONE,,True,101,"That's a problem for Dell, and it won't get any better until it starts beating Apple at its own game.",
L1852608729,,ARG,,1.0,IBM,Intel,,,NONE,NONE,,True,173,"Now this last system used only a 1.8GHz Opteron 144 processor as opposed to the 2.0GHz Opteron 246 of the IBM systems, so the Intel compiler is actually faster at 1093/1162.",
B326787789,,NONE,,0.8,Apple,Sony,,,ARG,ARG,,True,67,Apple would be better off competing with Nintendo than Sony and MS.,
L1903440718,,ARG,,1.0,kennedy,nixon,,,NONE,NONE,,True,101,One reviewer felt that Mitt Romney delivered a better performance than John F. kennedy against nixon.,
D528119869,,NONE,,0.8333333333333334,Google,Microsoft,,,ARG,ARG,,True,62,Could the Google-opoly be any worse than the Microsoft Empire?,
R2777962701,,ARG,,1.0,tennis,baseball,,,NONE,NONE,,True,106,They cut off tennis coverage to show us Women's college basketball or even worse little league baseball...,
D418175267,,NONE,,1.0,oregon,michigan,,,ARG,ARG,,False,81,But they did look better against oregon and Stanford than michigan did yesterday.,
P2464927842,,NONE,,1.0,Lisp,Java,,,ARG,ARG,,True,161,"The discussion turned to having other people work on the project, and why I felt people who knew Lisp would be better to attract than people who knew, say, Java.",
T3171840444,,ARG,,1.0,Buick,Cadillac,,,NONE,NONE,,False,245,"Who's up for an intra-company cannibalizing Buick Regal 2.0T, which looks better, probably drives better, and is more Teutonic in every way than this large-on-the-outside but small-on-the-inside answer to a question no one is asking of Cadillac?",
D400007857,,ARG,,0.8,Honda,Ford,,,NONE,NONE,,True,113,"But I would bet that a loaded, $30,000 Honda Accord offers more refinement and an EcoBoost Ford Fusion is faster.",
F824293615,,NONE,,1.0,Google,IBM,,,ARG,ARG,,True,51,Google Chrome is even worse on my old IBM ThinkPad.,
Q2653881562,,ARG,,1.0,Oracle,PostgreSQL,,,NONE,NONE,,True,114,There is also no sane reason to use mySQL (or Oracle) when PostgreSQL is better than both in almost every respect.,
H1179800685,,ARG,,1.0,SQLite,MySQL,,,NONE,NONE,,True,218,"I like this model since I can start (or even do local dev) on SQLite and if I need better performance/functionality I can switch to a bigger DB system (MySQL, postgres, etc) by changing a line in my configuration file.",
D495617313,,NONE,,1.0,Coca-Cola,Pepsi,,,ARG,ARG,,False,96,"Coca-Cola per say is not worse than any other type of cola, like Pepsi, or generic branded cola.",
R2870085823,,NONE,,1.0,Google,Kingston,,,ARG,ARG,,True,314,"This's the first kernel I'm running on this board; it's a Gigabyte with H61 chipset; what about you? _________________ Buy from companies supporting opensource -- IBM, Dell, HP, Hitachi, Google etc... Disfavor companies supporting only Win -- Logitech, Epson, Pioneer, Kingston, WD, Yahoo, MSI, XFX, Huawei My blog",
S3047568913,,ARG,,1.0,california,georgia,,,NONE,NONE,,True,136,"We had an option to go West, but the starter housing prices at the time in california made the decision to come to georgia a bit easier.",
I1377007203,,ARG,,1.0,cnn,fox,,,NONE,NONE,,True,36,"It gets better-this is cnn, not fox.",
M2054186891,,NONE,,1.0,Python,Java,,,ARG,ARG,,True,125,"Python is much better suited as a ""glue"" language, while Java is better characterized as a low-level implementation language.",
I1312277030,,NONE,,1.0,Haskell,Python,,,ARG,ARG,,False,157,In the same ballpark are Haskell (and maybe in the future Python) iff their compilers generate better structures because the task is better formally defined.,
R2934555772,,ARG,,0.8,Chevrolet,Toyota,,,NONE,NONE,,True,276,"To that I say crap, America does is better then any other country on the planet, America always has done it better, and we always will, so if you want to help your country, buy American products, buy the LG TV rather then the Samsung, buy the Chevrolet rather then the Toyota.",
O2288711987,,NONE,,1.0,MySQL,PostgreSQL,,,ARG,ARG,,True,119,"-SQL Server is significantly superior to MySQL, faster than PostgreSQL, and for most businesses is cheaper than Oracle.",
J1428963367,,NONE,,0.6,Groovy,Java,,,ARG,ARG,,False,277,"It provides d rastic JSON parsing and serialization performance improvements "" The Rick (Hightower)/ Andrey duo spent a fair amount of time optimizing our JSON support, making Groovy 2.3's JSON support usually faster than all the JSON libraries available in the Java ecosystem.",
D553481320,,ARG,,1.0,Perl,AWK,,,NONE,NONE,,True,141,"DavidKorn For a few years after the release of Perl in 1987, AWK remained competitive simply because it had a smaller, faster implementation.",
J1448585060,,NONE,,1.0,OpenGL,Direct3D,,,ARG,ARG,,True,324,"It's frustrating when there's very little reason (and if there is a halfway decent reason, I'd like to hear about it---and don't give me that ""ease of use"" crap; any competent programmer can use either API rather well) not to use OpenGL over Direct3D, other than the ""Nobody ever got fired for choosing Microsoft"" mentality.",
T3158179522,,ARG,,1.0,Chevrolet,Toyota,,,NONE,NONE,,True,78,"While Gordon's Chevrolet excelled at the end, Busch's Toyota never got better.",
J1562648909,,NONE,,1.0,Scala,Java,,,ARG,ARG,,True,66,JS is better than GWT? Scala is better for Java in the enterprise?,
J1454866486,,ARG,,0.6,Toyota,Ford,,,NONE,NONE,,True,84,It's like giving up my Toyota because somebody promises that the new Ford is better.,
E673528167,,NONE,,1.0,Sony,Apple,,,ARG,ARG,,False,156,"Even when Sony entered the market with its own streaming box, it was an inferior product with nothing to differentiate it from Apple TV, Roku, or Google TV.",
M1979364764,,NONE,,1.0,Windows XP,Windows 98,,,ARG,ARG,,False,155,"Penetration of Windows 2000 wasn't really that great, Windows XP was better, but there's still a lot of people out there running Windows 98 in all honesty.",
B231963573,,NONE,,1.0,Amazon,Apple,,,ARG,ARG,,True,60,"Amazon unveils faster, pricier Kindle Fires to take on Apple",
O2305298937,,NONE,,0.6,stone,metal,,,ARG,ARG,,True,27,stone is harder than metal.,
D443268022,,ARG,,1.0,dartmouth,harvard,,,NONE,NONE,,True,180,"CAMBRIDGE, Mass - Behind solid pitching and four home runs, dartmouth swept harvard, 8-2 and 9-2, to claim back-to-back Ivy League North Division Championships on Monday afternoon.",
J1520618385,,NONE,,0.6,virginia,california,,,ARG,ARG,,False,127,"(I was surprised that they did not cough up some virginia wines, but they limited themselves to the safer california varietals.",
L1912459997,,ARG,,0.8,Dell,Hewlett-Packard,,,NONE,NONE,,False,187,"On March 30, Dell released eight new black-and-white printers as the PC maker looks to better compete against Hewlett-Packard, which continues to dominate the printing and imaging market.",
D507004933,,ARG,,1.0,Audi,Lexus,,,NONE,NONE,,True,179,"Compared with the Mercedes-Benz C class, BMW 3 series and Audi A4, the Lexus ES sedan now offers more power (268 hp) and worse fuel economy (24 mpg combined) from its base engine.",
J1506591905,,ARG,,1.0,Dell,Sony,,,NONE,NONE,,True,140,I've seen much better from Dell and certainly the Sony XBrite and Toshiba TruBrite screens are better than what the Inspiron 6000 offers up.,
H1219117644,,ARG,,1.0,Ethernet,USB,,,NONE,NONE,,True,103,"I'm thinking about grabbing an Ethernet wireless bridge or even better, a wireless USB network adapter.",
G907365167,,ARG,,1.0,stanford,mit,,,NONE,NONE,,True,57,Here's Why stanford Startups are Better Than mit Startups,
B232328266,,ARG,,1.0,Apple,Intel,,,NONE,NONE,,True,69,"AMD and Apple are leading the way, and Intel better get in line soon.",
S3107985328,,NONE,,1.0,PHP,Ruby,,,ARG,ARG,,True,64,What if I can't find any aspect of PHP that is better than Ruby?,
H1122423199,,ARG,,0.6,IBM,Apple,,,NONE,NONE,,True,172,"If you're talking about CHRP/PREP hardware, IBM and Motorola delivered PowerPC machines with lots of PC legacy, while Apple delivered much better, legacy free PowerPC Macs.",
K1636290264,,NONE,,1.0,Java,Python,,,ARG,ARG,,True,91,"Lisp is about 1.5 to 4 times faster than Java, and about 10 to 50 times faster than Python.",
I1383614005,,NONE,,0.6,BMW,Ford,,,ARG,ARG,,False,144,I think BMW new what they was doing off loading them on Ford and they have sold to tata im thinking they wll be even worse in ten years from now,
O2297499894,,NONE,,1.0,steel,aluminum,,,ARG,ARG,,True,38,steel is 3 times harder than aluminum.,
K1721800388,,ARG,,1.0,missouri,carolina,,,NONE,NONE,,True,136,"missouri is a decent team and I expect them to give Florida, Tennessee, and South carolina all they can handle and win 2 of those games.",
F762149531,,NONE,,1.0,Nissan,Ford,,,ARG,ARG,,False,174,For the moment though Gene Smith has to be hoping these problems will go away faster than the Nissan 350z Pryor drives or OSU's future looks more explosive than a Ford Pinto!,
I1370451449,,ARG,,0.6,Microsoft,Apple,,,NONE,NONE,,True,72,It could be worse for Microsoft - Apple could be dominating this market.,
L1806075900,,ARG,,0.8,Nissan,Renault,,,NONE,NONE,,True,255,"Nissan/Infiniti have been the Houdini of the motor industry, not very long ago it did look as though they might go under because of their horrendous debts but with Renault on board and some truly exciting new products the future looks a great deal better.",
Q2771987524,,NONE,,1.0,Apple,Dell,,,ARG,ARG,,True,91,"They are more reliable than Apple, less expensive than Dell, and just plain better overall.",
I1341638118,,NONE,,0.8,BMW,Ford,,,ARG,ARG,,True,51,"Is a BMW 3 series $15,000 better than a Ford Focus?",
T3123186443,,ARG,,1.0,Windows 7,Windows 8,,,NONE,NONE,,True,66,"When compared to Windows 7 , Windows 8 has a faster booting time .",
M2068011329,,ARG,,0.6,BMW,Toyota,,,NONE,NONE,,True,278,"Rather than take a sporty approach, and build a true rear-wheel drive competitor to the BMW 3-Series and Mercedes-Benz 190E sedans, Lexus took a much softer and safer route, basing their entry-level ES, or ""Executive Sedan,"" on the very un-sporty front-wheel drive Toyota Camry.",
K1709061737,,ARG,,0.6,metal,concrete,,,NONE,NONE,,True,45,"metal ramps are good, but concrete is better.",
O2270037495,,NONE,,1.0,Python,Java,,,ARG,ARG,,True,68,So the standard (C)Python is not necessarily slower than Java or C#.,
R2892724872,,ARG,,0.6,coffee,juice,,,NONE,NONE,,True,86,"Thoughts that day turned not to coffee, but to water and juice, the cooler the better.",
T3210851253,,NONE,,1.0,Toyota,Ford,,,ARG,ARG,,True,112,"Worse news still for Toyota is that more new competition is coming, like the Ford Fiesta transplant from Europe.",
L1791482362,,NONE,,0.8,NetBeans,Eclipse,,,ARG,ARG,,False,45,NetBeans guys aren't like Eclipse developers.,
Q2762218201,,NONE,,1.0,wii,ps3,,,ARG,ARG,,False,74,The wii U version will be inferior to the others (except ps3 and Xbox 360.,
L1763230731,,ARG,,1.0,Dell,Intel,,,NONE,NONE,,True,84,"My Dell laptop E1505 works fine, my Intel and AMD destop computers are frozen solid.",
M1932198337,,ARG,,1.0,Smalltalk,Java,,,NONE,NONE,,True,61,"Originally, that up there said 'Smalltalk' instead of 'Java'.",
F824562036,,ARG,,1.0,Google,Microsoft,,,NONE,NONE,,True,75,"Google is the main player now, Microsoft are just plain inferior in Mobile.",
N2200917031,,ARG,,1.0,nixon,reagan,,,NONE,NONE,,True,119,"Shouldn't nixon have surrendered to McGovern in 1972, the better to lay the groundwork for a reagan resurgence in 1976?",
K1750717112,,ARG,,1.0,OpenGL,Direct3D,,,NONE,NONE,,True,296,"MrSeb writes ""In a twist that reinforces Valve's distaste for Windows 8, it turns out that the Source engine - the 3D engine that powers Half Life 2, Left 4 Dead, and Dota 2 - runs faster on Ubuntu 12.04 and OpenGL (315 fps) than Windows 7 and DirectX/Direct3D (270.6 fps); almost a 20% speed-up.",
A40116035,,ARG,,1.0,Bluetooth,USB,,,NONE,NONE,,True,142,1) Laptop or netbook with Bluetooth means that I don't have to plug anything into a USB port in order to use a decent mouse with the computer.,
J1491637124,,ARG,,0.8,Windows XP,Windows 8,,,NONE,NONE,,True,232,"It would be faster to turn on Windows XP, wait 10 minutes for it to boot, and check email that way."" - TechTarget news director Bridget Botelho's husband, on the non-intuitive nature of Windows 8 on a Samsung Series 7 Slate tablet .",
I1291076274,,ARG,,1.0,Ford,Nissan,,,NONE,NONE,,True,165,"Instead of bottom-fishing with lost causes like General Motors ( NYSE: GM     ) or Ford ( NYSE: F     ) , I think you'd be better served kicking the tires on Nissan.",
A132707689,,ARG,,1.0,Chevrolet,Toyota,,,NONE,NONE,,True,225,"ACME, Mich. - General Motors Co., facing disappointing Chevrolet Volt sales, cut the starting price of the plug-in hybrid sedan by $5,000 to compete against the less- expensive and better-selling Toyota Prius and Nissan Leaf.",
A131151979,,ARG,,1.0,Dell,Apple,,,NONE,NONE,,True,167,"Acer Travelmate 8372 and Aspire 3820, Dell Vostro V130, Samsung QX310 all have inferior displays; Sony Vaio S13 and Apple MacBook Air aren't as expensive; Sony Vaio...",
S2960568812,,ARG,,1.0,Windows 7,Windows 8,,,NONE,NONE,,True,82,Ubuntu/Mint is definitely slower than Windows 7 and Windows 8 is faster than that.,
K1616511483,,ARG,,1.0,juice,milk,,,NONE,NONE,,True,52,Lemon juice clabbers milk slower so it works better.,
K1707560073,,ARG,,0.8,georgia,virginia,,,NONE,NONE,,True,89,"Mercer leads at 556, one stroke better than georgia Tech with virginia Tech third at 565.",
I1278573372,,ARG,,0.4,JavaScript,Python,,,NONE,NONE,,True,139,"In other words, CoffeeScript is an attempt to replace JavaScript syntax with a better one based on experiences from Ruby and Python worlds.",
O2369458727,,NONE,,1.0,Chevrolet,Toyota,,,ARG,ARG,,True,141,That makes the 2013 Fusion Energi 8 MPGe better than the Chevrolet Volt and 13 MPGe more fuel efficient than the Toyota Prius Plug-In models.,
O2264955633,,ARG,,1.0,steel,timber,,,NONE,NONE,,False,103,Soriano produced a steel prototype in Palo Alto that was never put into production - timber was easier.,
F833863247,,ARG,,0.8,Toyota,Chevrolet,,,NONE,NONE,,True,144,"Green car: The official pick for this category was the Toyota Prius , which outscores the Chevrolet Volt , mainly thanks to better practicality.",
G1033818363,,ARG,,0.8,california,oregon,,,NONE,NONE,,True,155,"I changed employers once after that in order to get out of california...AFTER getting a solid (and better) offer in oregon, where I stayed until I retired.",
L1853878975,,NONE,,0.6,hockey,football,,,ARG,ARG,,True,67,"Now whether or not hockey hits are harder than football, who knows.",
Q2640628660,,ARG,,1.0,Lisp,Python,,,NONE,NONE,,True,229,"There are other languages which may be better suited than PHP if you want to see things from a different angle - I suggest that you try a functional language like Lisp, Scheme, Haskell, F#, or a weakly typed language like Python.",
