,sentence,object_a,object_b,predicted,gold,origin
1225,"Certainly it's not the best language, but it's better than writing C or Java, more fun than Python and more straightforward than Haskell.",Python,Haskell,BETTER,NONE,both
1227,"Thoughts that day turned not to coffee, but to water and juice, the cooler the better.",coffee,juice,NONE,WORSE,both
1228,"You can also do ith with Python, but I think this is quite straightforward and easier to understand #!/bin/Bash # This script reprojects and subsets a bunch of HDF files stored in # a given dir (WORKDIR).",Python,Bash,WORSE,NONE,both
1230,The advantage of Java over Python for scientific computing is faster for,Java,Python,NONE,BETTER,both
1231,"Note, that because of my own terrible experiences with Windows Vista, I had dutifully remained on Windows XP, accepting the fact that my environment continued to get slower and slower in between more frequent cleaning reinstall cycles.",Windows XP,Windows Vista,NONE,WORSE,both
1232,How much cooler would it be to have Major League baseball than NBA basketball in Brooklyn?,baseball,basketball,BETTER,NONE,both
1233,"No, I've had some very bad experiences with a bad language :-) And having started getting into Groovy, I might say that time spent on something like, say, closures, would be time better spent in the Java world then parametric polymorphism.",Java,Groovy,NONE,WORSE,both
1234,You don't want super sticky rubber though because it will wear out faster on concrete tees.,concrete,rubber,NONE,WORSE,both
1235,"Indeed, this has nothing in particular to do with Windows XP, however Windows Vista is becoming worse with respect to integrating DRM into the OS.",Windows XP,Windows Vista,NONE,BETTER,both
1237,"Primarily Ruby on Rails 3.2, but always wanting to get better at JavaScript too.",Ruby,JavaScript,NONE,BETTER,both
1239,"AMD and Apple are leading the way, and Intel better get in line soon.",Apple,Intel,NONE,BETTER,both
1240,# This subprogram will green tag a red tagged truck  and mark it as availible #Each truck should have its own file and there should be a csv file showing the current status of all of the trucks in the system # This might be easier to write as a Bash script rather then a Python program.,Python,Bash,NONE,BETTER,both
1243,"Only 78% of Apple customers were satisfied or very satisfied with their value for money; Lenovo was worse, with only 70% satisfaction and Sony was bottom with 62%.",Apple,Sony,NONE,BETTER,both
1244,"volleyball has helped me to see players in basketball better, and I have a better idea of what's happening.''",basketball,volleyball,NONE,BETTER,both
1245,The restaurant would have to be better than just a simple cafe or pizza place.,restaurant,cafe,BETTER,NONE,both
1247,"Seriously, if the jeep doesn't win it's because the Subby Outback is a WAY better suv",suv,jeep,BETTER,WORSE,both
1248,Is a BMW/Benz 5x better than a Honda Civic?,Honda,BMW,BETTER,NONE,both
1249,football is one thing; basketball should be easier.,football,basketball,NONE,BETTER,both
1250,"While missouri has solid football programs, they do not compare to states like Florida, georgia and Texas.",georgia,missouri,NONE,WORSE,both
1252,I traded in a much nicer Samsung cell phone for a lesser (in terms of bells and whistles) Nokia phone because I just like their layout better.,Nokia,Samsung,NONE,BETTER,both
1254,What if I can't find any aspect of PHP that is better than Ruby?,Ruby,PHP,BETTER,NONE,both
1255,"But those games are both available for ds and Wii as well, its just simply that we were able to get better deals on the ps2 versions.",ds,ps2,NONE,WORSE,both
1257,"Users of Windows 98 and previous versions will find Windows XP a change for the better, but it isn?t really much of an improvement over Windows 2000 or ME.",Windows XP,Windows 98,NONE,WORSE,both
1258,"Is Ruby truly better than Python (scripting/programming wise), what about speed wise?",Ruby,Python,BETTER,NONE,both
1259,With my super fast SSD I find that Windows 7 loads no slower Windows 8.,Windows 7,Windows 8,NONE,BETTER,both
1260,The build quality of the LG made Nexus 5 is better than Samsung - but not better than Nokia!,Nokia,Samsung,BETTER,NONE,both
1261,"This is why it is easier to install Windows 98 first, then Windows XP.",Windows XP,Windows 98,NONE,BETTER,both
1263,Actually for many Windows XP users it is easier to migrate to Linux Mint than to Windows 8.,Windows XP,Windows 8,BETTER,NONE,both
1265,"I would kill to see good games written in Java or better yet, Scala or Clojure.",Java,Scala,NONE,WORSE,both
1266,"Maybe things will be better in oregon in 2 to 5 yrs but right now they have the second highest unemployment rate in the country, right behind michigan.",michigan,oregon,WORSE,BETTER,both
1267,Ferrari heads over both BMW Sauber and McLaren.,Ferrari,BMW,NONE,BETTER,both
1268,"This is updated to take full advantage of Java 8. - Scala is slightly nicer some syntactic flourishments (for comprehensions, pattern matching), but it's not necessary.",Java,Scala,NONE,WORSE,both
1269,"Python skills a plus, but not required, especially if you're solid at JavaScript.",Python,JavaScript,NONE,BETTER,both
1271,"For me, being a lefty who is right-eye dominant means I'm lousy at tennis but great at golf.",golf,tennis,NONE,WORSE,both
1272,"If someone, like Samsung, can do it better and cheaper than them, Toshiba will outsource the operation.",Samsung,Toshiba,BETTER,NONE,both
1273,We've found that downloads are generally slower in Windows Vista and 7 compared to Windows XP.,Windows XP,Windows Vista,NONE,WORSE,both
1274,They are very nice - with solid wood backs (not the cheap cardboard back type).,wood,cardboard,NONE,BETTER,both
1277,"To me, the Thinkpad looks like a better laptop than the Macbook Air, because it's got an optical drive, three USB ports instead of one, built-in Ethernet, and a faster processor.",USB,Ethernet,NONE,BETTER,both
1279,I am very skeptical that Swift is faster than Objective-C.,Swift,Objective-C,BETTER,WORSE,both
1280,"JavaScript reminds me of Perl 4 with a slightly better syntax and a couple of additional features (basic lexical scoping, higher order functions, and method dispatch, not to mention competing implementations with a lot of effort spent on optimizing away efficiencies inherent in some of the poorest misfeatures of the language's design).",Perl,JavaScript,NONE,BETTER,both
1282,"And until Chevrolet can make a better vehicle than Kia or Toyota, I will be driving an inferior vehcile because I buy American when I can.I for one abhor the idea of a global economy and a global government but with the forces pushing us in that direction, I am still looking for ways to fend it off.",Toyota,Chevrolet,BETTER,WORSE,both
1284,The pizza use to be better and the Crazy bread was definately better.,bread,pizza,NONE,WORSE,both
1285,"Is a BMW 3 series $15,000 better than a Ford Focus?",Ford,BMW,BETTER,NONE,both
1286,Men's basketball finds itself somewhere between North carolina (very good) and missouri (decent) when it comes to it's national ranking entering the 2011 season.,carolina,missouri,NONE,BETTER,both
1287,the football team is decent but getting better! the basketball teams are awesome!the,football,basketball,NONE,WORSE,both
1288,This is one where a company like Dell can dominate a company like Apple that makes a better product.,Apple,Dell,NONE,BETTER,both
1289,"pizza cooks faster and is more tender, bread crusts as it's never crusted before.",bread,pizza,NONE,BETTER,both
1290,"And at this point, Python (or Ruby) may be a better choice, because Hackage still lags behind PyPI in many areas (and say, how many days you need to teach a novice to manipulate an image, or to plot charts in Haskell?).",Python,Haskell,NONE,BETTER,both
1293,"It's better than B&N (no file table access at all) or Amazon (hard reset every time to update filetable), but still not as simple as Sony.",Sony,Amazon,WORSE,NONE,both
1294,You won't find a better suv than this outstanding 2013 jeep Patriot.,suv,jeep,BETTER,NONE,both
1295,What Perl can do better than Ruby and vice versa,Ruby,Perl,BETTER,NONE,both
1297,Is murder worse in missouri than michigan?,michigan,missouri,BETTER,WORSE,both
1298,There is no obvious reason as to why Lisp should have better performance than Python.,Python,Lisp,BETTER,NONE,both
1299,"States with 10 percent unemployment or worse included Nevada, 14.2; Rhode Island, 11.3; michigan 10.7; South carolina, 10.5; Oregon, 10.4; Kentucky, 10.4; Georgia, 10.4; and Mississippi 10.1.",carolina,michigan,NONE,WORSE,both
1300,"Mediocre TN panels are usually the best we get on laptops (i.e., anything Apple, or some of the higher resolution upgrade options on Dell, etc).",Apple,Dell,NONE,WORSE,both
1301,I have tried using Perl (slow) and AWK (faster but still slow) - does anyone have any suggestions or pointers toward alternative approaches?,Perl,AWK,NONE,WORSE,both
1302,They just couldn't understand that hockey was significantly cooler than tennis.,tennis,hockey,BETTER,WORSE,both
1303,"Its a bouncy, poorly riding, poorly handling live axled truck, while the ML has an independent suspension, smooth and solid modern suv.",truck,suv,NONE,WORSE,both
1305,Motorola was king before Nokia came in.,Nokia,Motorola,NONE,WORSE,both
1306,I'm not saying Windows 8 is worse than Windows 7 - I believe it has better features and so on.,Windows 7,Windows 8,WORSE,BETTER,both
1307,"For all of Google TV's faults as a platform, Sony has done a decent enough job with the WiFi-endowed NSZ-GS7, though it does run on the ageing Android 3.2 Honeycomb OS.",Google,Sony,NONE,WORSE,both
1308,"after tons of failures from Kingston (i know sandisk is better), i stick to Intel or Samsung only - data loss is worth more than a few hundred to me",Intel,Kingston,NONE,WORSE,both
1309,"Is Windows 8 better than Windows 7, its predecessor?",Windows 7,Windows 8,BETTER,NONE,both
1310,That makes the 2013 Fusion Energi 8 MPGe better than the Chevrolet Volt and 13 MPGe more fuel efficient than the Toyota Prius Plug-In models.,Toyota,Chevrolet,BETTER,NONE,both
1311,The pasta is mediocre BUT the pizza is very good.,pizza,pasta,NONE,WORSE,both
1312,"Ironically, our Ferrari, lambo, GTRs, bentley is more then BMW //M and MERC AMG.",Ferrari,BMW,NONE,BETTER,both
1314,The most important difference is that you did your tests using an upclocked nVidia GTX570 GPU that is great for CUDA but lousy for OpenCL.,CUDA,OpenCL,NONE,BETTER,both
1315,This idea has given me a small kick in the pants and I actually started prototyping in Bash-- but will switch back to Python because of better array support.,Python,Bash,NONE,WORSE,both
1317,"So, yes, PHP is getting better and better while catching up with Java.",Java,PHP,NONE,WORSE,both
1318,"What puzzles him, though, is that with hundreds of millions of computers still running Windows XP-and Microsoft keener than ever to get their owners to migrate to Windows 7, if not Windows 8-the least the firm might have done is to make the whole upgrade path a good deal easier road to travel.",Windows XP,Windows 8,BETTER,NONE,both
1319,"With immense competition and reliability a given, Honda will continue to bleed market share with GM, Ford, Hyundai and VW making better cars.",Ford,Honda,NONE,WORSE,both
1320,"My last PC had Windows 7 and I would use it from time to time until I realized Windows 8 was better, faster and had less problems.",Windows 7,Windows 8,NONE,WORSE,both
1321,"TidBits discovered you can connect pretty much any USB headset, headphones, or microphone, which turns the iPad into a pretty decent little Skype device (with better quality sound than you'd get with Bluetooth).",USB,Bluetooth,BETTER,NONE,both
1323,Uniformity: It is here is where the otherwise superior Toshiba E220 falls apart in relation to the Samsung E550.,Samsung,Toshiba,NONE,WORSE,both
1324,I've compared Firebird with MySQL (don't know PostgreSQL so well) and it is really better.,MySQL,PostgreSQL,NONE,BETTER,both
1325,"Hewlett-Packard regained the lead in worldwide PC shipments in the fourth quarter of 2003, but Dell managed to hold onto its lead for the full year, as the PC industry recorded one of its better years in recent memory, according to preliminary figures from IDC and Gartner.",Dell,Hewlett-Packard,NONE,WORSE,both
1326,"The breeding of the Okami concept with the ds hardware has resulted in a game with very different strengths and weaknesses than the ps2 original -- sometimes for better, and sometimes for worse.",ds,ps2,BETTER,NONE,both
1327,pennsylvania is at 65 mph while michigan and Indiana have slower limits for trucks.,michigan,pennsylvania,NONE,BETTER,both
1328,"I don't know if it'll be fully functioning by the oregon game, but I'd wager that it'll look better than it ever did at michigan.",michigan,oregon,BETTER,WORSE,both
1329,"The big jumps in computing power in the last few years have been around adding more CPU cores and reducing power consumption, the major software companies have been making their software run more efficiently (Windows 7 runs better on 5+ year-old hardware than Windows XP did when the hardware was brand new and Windows 8 runs even better again).",Windows XP,Windows 8,NONE,WORSE,both
1330,"The PowerPC CPU (Apple had a hand in it, but it was mainly Motorola and IBM) was always a much better design than Intel's x86.",Apple,IBM,NONE,WORSE,both
1331,"Second, in real world tasks using apps, all other things being equal, the iphone 5 enjoys an inherent advantage in that it mandates programmers to use Objective-C, which is a much lower-level language than the Java used in Android machines, which runs programs in the Dalvik virtual machine, creating a software that necessarily is more indirect than the iPhone programming approach and hence slower.",Java,Objective-C,BETTER,WORSE,both
1332,"More challenging yet, the van's designers had only shaped the engine box for a four-cylinder engine, meaning Toyota could not fit the Previa with a V-6 engine to compete with the faster and more powerful Chrysler minivans--or those from Ford and General Motors as well.",Toyota,Chrysler,NONE,WORSE,both
1334,No way is Python or TCL faster than Java.,Java,Python,BETTER,WORSE,both
1335,"INCLUDES OUR EXCLUSIVE UNLIMITED MILEAGE LIFETIME POWERTRAIN WARRANTY, You won't find a better suv than this great 2014 jeep Wrangler.",suv,jeep,BETTER,NONE,both
1336,"Not as attractive as Toyota or Honda and better than Dodge, Kia or Chevrolet.",Toyota,Chevrolet,BETTER,NONE,both
1337,The 2012 numbers provides better news for Samsung fans as it dethrones Nokia as the world's top cellphone manufacturer.,Nokia,Samsung,NONE,BETTER,both
1339,Sony can now build up from the Cell and just make it more powerful and faster in the way Intel advances their tech.,Sony,Intel,NONE,BETTER,both
1340,"In other words, CoffeeScript is an attempt to replace JavaScript syntax with a better one based on experiences from Ruby and Python worlds.",Python,JavaScript,NONE,WORSE,both
1342,"Python/Django/GeoDjango are a mature combination, with a somewhat slower, steadier development pace than Ruby/Rails/RGeo, which ...",Ruby,Python,WORSE,BETTER,both
1343,Exactly like Windows XP and 7 and nothing like Windows 8. but with better performance,Windows XP,Windows 8,NONE,WORSE,both
1344,"There are other languages which may be better suited than PHP if you want to see things from a different angle - I suggest that you try a functional language like Lisp, Scheme, Haskell, F#, or a weakly typed language like Python.",Python,Lisp,NONE,BETTER,both
1345,"No car drives nicer and safer than this one, made of a real steel, not plastic or aluminum.",steel,aluminum,NONE,BETTER,both
1349,"Now that I think about it, the beer being distilled couldn't be any worse than the tomato juice being distilled.",beer,juice,WORSE,BETTER,both
1350,So why is Mario golf World Tour superior to Mario tennis Open?,golf,tennis,NONE,BETTER,both
1351,"Lo and behold, the same code runs 280 times slower when compiled as a Groovy class than its Java counterpart.",Java,Groovy,BETTER,NONE,both
1352,"- QUICK MOVEMENT The speed of your player is based on the weight of your gun, so when the round starts, switching to the pistol or even better, your knife, will result in much faster movement.",knife,pistol,NONE,WORSE,both
1354,"With most Java code I seldom have to use the source, but for the Scala code it seems easier to start with the source.",Java,Scala,NONE,WORSE,both
1355,I think the problem that both Apple and Google have is that Intel is getting better at making low power x86 chips.,Google,Intel,NONE,WORSE,both
1357,The emphasis is surprisingly different: Scala is very much about better component oriented programming for the Java platform.,Java,Scala,BETTER,NONE,both
1358,"It would be faster to turn on Windows XP, wait 10 minutes for it to boot, and check email that way."" - TechTarget news director Bridget Botelho's husband, on the non-intuitive nature of Windows 8 on a Samsung Series 7 Slate tablet .",Windows XP,Windows 8,NONE,BETTER,both
1359,"Indeed is even worse; Ruby shows about 10K hits there, compared to 20K for PHP and 100K for Java.",Java,PHP,NONE,WORSE,both
1360,steel will oxidize (rust) faster than aluminum.,steel,aluminum,BETTER,WORSE,both
1361,"Anyway, I think OpenGL is as fast as Direct3D or faster...",OpenGL,Direct3D,NONE,BETTER,both
1362,You also shouldn't know whether the SSD is a decent quality Samsung a much slower and lower quality Toshiba.,Samsung,Toshiba,NONE,BETTER,both
1363,harvard is better than Western New England and stanford is better than GGU.,harvard,stanford,BETTER,NONE,both
1364,"Now this last system used only a 1.8GHz Opteron 144 processor as opposed to the 2.0GHz Opteron 246 of the IBM systems, so the Intel compiler is actually faster at 1093/1162.",IBM,Intel,NONE,WORSE,both
1366,Amazon literally bulldozed upcoming competitors like Microsoft and Google by using its far superior product offerings and extensive networks.,Google,Amazon,NONE,BETTER,both
1368,"But, that Acer does not have a dedicated video card (it's using built in Intel Graphics instead) and it uses a slightly slower Core i7 4770 CPU (versus the slightly faster Core i7 4790 CPU in the Dell config you're looking at).",Intel,Dell,NONE,WORSE,both
1369,Terrible football field; worse baseball field.,football,baseball,NONE,BETTER,both
1370,"FMHR trader Stephanie Link is a bull on Coca-Cola, while Mike Murphy likes Pepsi's stock better.",Coca-Cola,Pepsi,NONE,WORSE,both
1371,OO (with Smalltalk being much more heavily OO than Java).,Java,Smalltalk,BETTER,WORSE,both
1372,The Buick is a far better driver but doesn't have the wretched excess appeal of the Cadillac.,Cadillac,Buick,WORSE,NONE,both
1373,"Yeah, it's much easier to compete with Nokia than Samsung.",Nokia,Samsung,BETTER,NONE,both
1376,Its the same with Windows 8 over Windows 7 it runs better on older hardware.,Windows 7,Windows 8,NONE,BETTER,both
1377,"Although IBM has extensive retail offerings, that's no excuse for a bumpy shopping site; Dell seems to manage its extensive retail much better.",IBM,Dell,NONE,WORSE,both
1378,"Google is the main player now, Microsoft are just plain inferior in Mobile.",Microsoft,Google,NONE,BETTER,both
1380,"As good as michigan has been defensively this season, virginia has been even better.",virginia,michigan,NONE,WORSE,both
1381,"I think your program might be better suited for Bash, but I like you answer and I like Python.",Python,Bash,NONE,WORSE,both
1382,"Further he claims that while youtube ""hides behind"" the safe harbor of the DMCA, hulu has s superior advantage because it is able to license its conten t:",youtube,hulu,NONE,WORSE,both
1383,"But in less-than-expert hands or worse, in the hands of those that resent Scala, it's less good than Java.",Java,Scala,BETTER,WORSE,both
1384,"Jimmy Clark wrote: To be concise, the application in this post written in Java may perform faster that the application written in Perl.",Java,Perl,NONE,BETTER,both
1385,"harvard Head Coach Tim Murphy on the team's win versus cornell and the upcoming game versus Lehigh Overall, our win was a very solid effort.",harvard,cornell,NONE,BETTER,both
1386,"You can use JavaScript server side too, and you could take a look at Ruby which is much nicer to write than PHP.",PHP,JavaScript,BETTER,NONE,both
1387,"But with the 3.73 rear axle as tested, the Chevrolet Silverado finished in third place pulling the trailer from 0 to 60-mph in 22.6 seconds, 6.5-seconds behind the Toyota Tundra and 1.1-seconds slower than the Dodge Ram.",Toyota,Chevrolet,NONE,WORSE,both
1388,"DavidKorn For a few years after the release of Perl in 1987, AWK remained competitive simply because it had a smaller, faster implementation.",Perl,AWK,NONE,WORSE,both
1390,"I loved the look of Chevrolet and that's what I really wanted, but if the price was better, a Ford would have suited me just fine.",Ford,Chevrolet,NONE,BETTER,both
1391,Why does my Android phone download files slower over the same network than my laptop?,phone,laptop,BETTER,WORSE,both
1392,"Not to say, Canon also have lousy auto ISO system, Sigma quality 24-70 and 70-200, very high read noise (low dynamic range), inferior entry level lenses compared to Nikon, and many more.",Sigma,Nikon,BETTER,WORSE,both
1393,"Making matters worse for the company is the fact that its sales were eclipsed last month by Chrysler Group LLC, an automaker that almost ceased to exist a couple of years ago and one which historically has always trailed far behind Toyota.",Toyota,Chrysler,NONE,WORSE,both
1394,For Java I like NetBeans over Eclipse.,Eclipse,NetBeans,NONE,BETTER,both
1395,"They can't be bothered to trade in their old Honda Accord for a new $100,000 BMW or Mercedes because the fancy new car won't get them anywhere any faster than the existing car.",Honda,BMW,NONE,BETTER,both
1396,"Even better alternatives for soda are water, unsweetened iced tea, and low-fat milk, she suggests.",milk,soda,NONE,WORSE,both
1397,The only thing worse than pro football is pro hockey!,football,hockey,NONE,BETTER,both
1398,"As the recommendation, you better use Wi-Fi and USB, not Bluetooth.",USB,Bluetooth,NONE,BETTER,both
1399,"further, some stuff is a lot easier (one example: standardized vertex buffers in Direct3D versus the VAR/VAO extension mess in OpenGL).",OpenGL,Direct3D,NONE,BETTER,both
1402,"Honda is solid at #6 and 6.1% share, Ford is back above Mercedes and BMW, Mazda shines again at #8 and local manufacturer Luxgen is back inside the Top 10 at #9 with 1.104 sales and 3.2% share.",Ford,BMW,NONE,BETTER,both
1403,"There is a real, major benefit of using Java over other languages, such as C or Haskell or Smalltalk, which is this: it lets you work with other mediocre programmers, and has limitations that prevents them from doing anything too crazy.",Java,Haskell,NONE,BETTER,both
1404,"We reached to 10k websites as we speak, and we find it 100x harder to run Python than PHP.",Python,PHP,BETTER,WORSE,both
1405,Solid beer but not my cup of tea.,beer,tea,NONE,WORSE,both
1406,"Although it doesn't quite match the ease of string-handling that Perl delivers, it is certainly easier to perform many string manipulations in Java than in C++.",Java,Perl,NONE,BETTER,both
1410,"The answer, much like the iphone, is you better have your laptop with you.",laptop,iphone,NONE,WORSE,both
1411,"When compared to the Ford products we owned before, the Toyota vehicles have been a better experience for us.",Ford,Toyota,NONE,WORSE,both
1412,"The Cell is a high performance chip that is set to be the core of the Sony Playstation 3 video game system - its incredibly low cost, but because its highly specialized to do certain kinds of number crunching and application tasks, its faster than general purpose chips like the Intel Pentium or the PowerPC G5.",Sony,Intel,BETTER,NONE,both
1413,"One cannot have communion with beer and steak (both of which, I, for one, think superior to bread and wine), just as one cannot baptise someone with sand rather than water.",bread,steak,NONE,BETTER,both
1415,"My only point is that the presentation of my numbers is off, but there is no case in which OpenGL has ever been faster than Direct3D in all tests I have run on all machines.",OpenGL,Direct3D,BETTER,WORSE,both
1416,"Perl's still at a decent level, on par with PHP and still above Python and...",Python,PHP,NONE,BETTER,both
1418,"This colleague, let's call him Phil, was a role model of self-taught analysis-programming physicists, until he decided that choosing a script language like Python for the said task was completely insane, because, you know, Bash scripts do things much faster, don't they?",Python,Bash,NONE,WORSE,both
1419,"Undefeated missouri jumped ahead of michigan State by winning 51-28 at Vanderbilt, and the Commodores are a better team than Iowa in my estimation.",michigan,missouri,NONE,BETTER,both
1421,Do you think Microsoft handled their situation better than Sony handled theirs?,Microsoft,Sony,BETTER,NONE,both
1422,"Other JVM languages - Java is a solid od workhorse, but the real innovation is happening with the new JVM langauges (Scala, Clojure in particular).",Java,Scala,NONE,WORSE,both
1423,"Windows 7 boots much faster than Windows Vista-but surprisingly, no faster than Windows XP.",Windows XP,Windows Vista,BETTER,WORSE,both
1424,"Apart from that, raytracing with Direct3D is in development at the moment (so no wonderfull new era of platform independent graphics APIs), the situation will just get worse as the people behind OpenGL will just add that functionality using extensions, but I guess that discussion has been hold long enough now...",OpenGL,Direct3D,WORSE,NONE,both
1425,Groovy makes writing Java programs far easier.,Java,Groovy,NONE,BETTER,both
1426,"Suprise for me that sbcl is much slower then ccl, also that Java is so much faster then both clozure and sbcl .. Also Perl is 2x faster then clozure and 7-8x faster then sbcl .. and that is really unexpected.",Java,Perl,BETTER,NONE,both
1427,"It's funny--I love it when doing Smalltalk, not so much when coding Java .",Java,Smalltalk,NONE,BETTER,both
1428,For the moment though Gene Smith has to be hoping these problems will go away faster than the Nissan 350z Pryor drives or OSU's future looks more explosive than a Ford Pinto!,Ford,Nissan,BETTER,NONE,both
1429,Sony should also prefer windows phone os(apollo) along with android because windows phone is much better than android.Microsoft is os giant as compared to Google which is internet search giant.So anytime microsoft can make best os for smartphones and tablets.agree it,Google,Sony,BETTER,NONE,both
1430,LUKE : Is Perl better than Python?,Python,Perl,BETTER,NONE,both
1431,"Many smaller sites use MySQL, but I believe most of them actually would be better served by SQLite.",MySQL,SQLite,NONE,WORSE,both
1432,Ruby is older than Java.,Java,Ruby,BETTER,WORSE,both
1435,I no more defend that Nokia is superior to Samsung as I did all tese days.,Nokia,Samsung,BETTER,WORSE,both
1436,"And I work with files from the Nikon 35/1.4G and I know, optically, it's not better than the Sigma.",Sigma,Nikon,BETTER,WORSE,both
1437,"So, to me, Python isn't better or worse than Java.",Java,Python,WORSE,NONE,both
1438,"We are looking at maybe moving to IBM hardware 2006/7 though whether that will be any better than Dell remains to be seen, I suspect not from what I have heard.",IBM,Dell,BETTER,NONE,both
1440,Cooler server side scripting languages of the day like Ruby and Python are a lot less like C. Therefore learning PHP and JavaScript is a great place to start.,Python,JavaScript,NONE,WORSE,both
1442,Apparently the wii isn't superior to the ds for Square-enix.,wii,ds,BETTER,WORSE,both
1443,My compelling use case for MI in Python is... better to model MI in Java,Java,Python,NONE,BETTER,both
1444,So the standard (C)Python is not necessarily slower than Java or C#.,Java,Python,WORSE,NONE,both
1445,"While recognized as a great basketball player, he was only mediocre on the baseball diamond.",baseball,basketball,NONE,BETTER,both
1446,Glass Fiber reinforced plastic technology is an innovative technology that is rapidly replacing the conventional materials such as concrete due to its superior properties.,plastic,concrete,NONE,BETTER,both
1447,"A Honda CRX is cooler than ANY Alfa?!?! Bite your tongue, Ford-obsessed heathen!!",Ford,Honda,BETTER,NONE,both
1448,"Acer Travelmate 8372 and Aspire 3820, Dell Vostro V130, Samsung QX310 all have inferior displays; Sony Vaio S13 and Apple MacBook Air aren't as expensive; Sony Vaio...",Apple,Dell,NONE,WORSE,both
1449,So they're better at utilizing these features across the suite that Microsoft and a little bit better than IBM.,Microsoft,IBM,BETTER,NONE,both
1451,"Granted both players have their own endorsement deals with the Nike, but perhaps they should have known better than to show an Adidas event in Swoosh-branded attire.",Nike,Adidas,BETTER,NONE,both
1452,It also didn't hurt my faith in Microsoft when Sony kept releasing a newer and uglier PS3 each time.,Microsoft,Sony,NONE,BETTER,both
1453,"Python , the best language a business can use without risking the lack of programmers ( Common Lisp is better, but I don't know anyone who knows it except for me)",Python,Lisp,NONE,WORSE,both
1454,Perl is slower and faster than Java,Java,Perl,WORSE,BETTER,both
1455,"Yeah, Nvidia's OpenCL is not good and CUDA is way better.",CUDA,OpenCL,NONE,WORSE,both
1456,"That's a problem for Dell, and it won't get any better until it starts beating Apple at its own game.",Apple,Dell,NONE,WORSE,both
1457,Perl would have been more better had there been good REPL like Python.,Python,Perl,NONE,WORSE,both
