id,caption,sentence,object_a,object_b,predicted,gold,most_frequent_percentage,origin,sentencer,paths,s_len
A65006045,middle_paths_unrestricted_16,2. We all knew Windows 8 wouldn't sell better than Windows 7.,Windows 8,Windows 7,BETTER,WORSE,1.0,lex (unique),2. We all knew Windows 8 wouldn't sell better than Windows 7.,"[['X/PROPN/nsubj/> sell/VERB/ROOT/^ good/ADJ/acomp/< than/ADP/prep/<', 'Y/PROPN/pobj/<']]",61
A72605308,middle_paths_unrestricted_16,3. cement against wood?,cement,wood,BETTER,NONE,1.0,lex (unique),3. cement against wood?,"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ against/ADP/prep/V Y/PROPN/pobj/<']]",23
A73424722,middle_paths_unrestricted_16,3) Extracting data from Files - This one is a doosey and if I knew Regular Expressions and maybe Grep or AWK (and had the systems to use them) and maybe a little Perl - not sure - it would have been a hell of a lot easier than what I went through - on 418 of the files - not even all of the files.,AWK,Perl,WORSE,NONE,1.0,lex (unique),"3) Extracting data from Files - This one is a doosey and if I knew', 'Regular Expressions and maybe Grep or AWK (and had the systems to use', 'them) and maybe a little Perl - not sure - it would have been a hell', 'of a lot easier than what I went through - on 418 of the files - not', 'even all of the files.","[['X/PROPN/nsubj/> have/VERB/ROOT/^ system/NOUN/dobj/< Y/PROPN/conj/<'], ['X/PROPN/nsubj/> and/CONJ/cc/V have/VERB/ROOT/^ system/NOUN/dobj/<', 'Y/PROPN/conj/<'], ['X/PROPN/nsubj/> have/VERB/ROOT/^ system/NOUN/dobj/< maybe/ADV/advmod/V', 'Y/PROPN/conj/<'], ['X/PROPN/nsubj/> have/VERB/ROOT/^ system/NOUN/dobj/< little/ADJ/amod/V', 'Y/PROPN/conj/<']]",297
A92433937,middle_paths_unrestricted_16,5 Reasons Microsoft SkyDrive is Better Than Google Drive,Microsoft,Google,NONE,BETTER,0.8,lex (unique),5 Reasons Microsoft SkyDrive is Better Than Google Drive,"[['X/PROPN/compound/> skydrive/PROPN/nsubj/> skydrive/PROPN/ROOT/^', 'Y/PROPN/attr/<'], ['X/PROPN/compound/> skydrive/PROPN/nsubj/> skydrive/PROPN/ROOT/^', 'than/PROPN/compound/V Y/PROPN/attr/<']]",56
A94101198,middle_paths_unrestricted_16,"60% Mesh Discovery 16-RV review Source: Techradar While the Discovery 16-RV may be lacking the power of the Intel Core laptops and the portability of the Sony VAIO VPC-Y21S1E/SI, the solid build, excellent usability and impressive range of features belie the low price.",Intel,Sony,BETTER,NONE,1.0,lex (unique),"60% Mesh Discovery 16-RV review Source: Techradar While the Discovery', '16-RV may be lacking the power of the Intel Core laptops and the', 'portability of the Sony VAIO VPC-Y21S1E/SI, the solid build, excellent', 'usability and impressive range of features belie the low price.","[['X/PROPN/compound/> laptop/NOUN/ROOT/^ portability/NOUN/conj/<', 'of/ADP/prep/< Y/PROPN/pobj/<'], ['X/PROPN/compound/> laptop/NOUN/ROOT/^ portability/NOUN/conj/<', 'of/ADP/prep/< the/DET/det/V Y/PROPN/pobj/<']]",269
B175508008,middle_paths_unrestricted_16,"Again, this is a decent beer but its not my cup of tea.",beer,tea,BETTER,NONE,0.8,lex (unique),"Again, this is a decent beer but its not my cup of tea.","[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ but/CONJ/cc/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ cup/NOUN/conj/V Y/PROPN/pobj/<']]",55
B180113394,middle_paths_unrestricted_16,A harder hit can rip stone walls to pieces and shatter steel doors.,stone,steel,BETTER,NONE,1.0,lex (unique),A harder hit can rip stone walls to pieces and shatter steel doors.,[['X/ADJ/amod/> wall/NOUN/ROOT/^ shatter/VERB/conj/< Y/PROPN/dobj/<']],67
B192442378,middle_paths_unrestricted_16,"All Buick needs is nicer designs - and I think they're coming.. But, I think the designs could be even nicer - just it's not easy without looking better than Cadillac..",Buick,Cadillac,NONE,BETTER,1.0,lex (unique),"All Buick needs is nicer designs - and I think they're coming.. But, I"", ""think the designs could be even nicer - just it's not easy without"", 'looking better than Cadillac..",[['NOPATH']],168
B193494642,middle_paths_unrestricted_16,Allen downloaded the free versions of both databases and found MySQL 4 easier to use than PostgreSQL.,MySQL,PostgreSQL,NONE,BETTER,1.0,lex (unique),"Allen downloaded the free versions of both databases and found MySQL 4', 'easier to use than PostgreSQL.",[['NOPATH']],101
B196887354,middle_paths_unrestricted_16,"All my friends who have computers was still running Windows 98, and I recall that Windows XP ran muuuuuuuuuuuch faster than 98 in my (still outdated) AMD Athlon 700MHz.",Windows 98,Windows XP,NONE,WORSE,0.8,lex (unique),"All my friends who have computers was still running Windows 98, and I', 'recall that Windows XP ran muuuuuuuuuuuch faster than 98 in my (still', 'outdated) AMD Athlon 700MHz.","[['X/PROPN/nsubj/> recall/VERB/ROOT/^ Y/PROPN/ccomp/<'], ['X/PROPN/nsubj/> and/CONJ/cc/V recall/VERB/ROOT/^ Y/PROPN/ccomp/<'], ['X/PROPN/nsubj/> recall/VERB/ROOT/^ that/ADP/mark/V Y/PROPN/ccomp/<']]",168
B208765288,middle_paths_unrestricted_16,Alonso/Renault got the better of Michael/Ferrari in 2006.,Renault,Ferrari,NONE,BETTER,0.6,lex (unique),Alonso/Renault got the better of Michael/Ferrari in 2006.,[['NOPATH']],57
B209122714,middle_paths_unrestricted_16,"A lot of device manufacturers -- Cisco , some Tivo competitors, defense contractors -- use PostgreSQL because of its reliability, which is as good or better than any SQL-DBMS, including Oracle.",PostgreSQL,Oracle,NONE,BETTER,1.0,lex (unique),"A lot of device manufacturers -- Cisco , some Tivo competitors,', 'defense contractors -- use PostgreSQL because of its reliability,', 'which is as good or better than any SQL-DBMS, including Oracle.","[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ because/ADP/prep/V Y/PROPN/pobj/<']]",193
B211959458,middle_paths_unrestricted_16,"Also, Audi is selling better than BMW and Mercedes-Benz in Germany, which is the companies' home market, obviously.",Audi,Mercedes-Benz,WORSE,BETTER,1.0,lex (unique),"Also, Audi is selling better than BMW and Mercedes-Benz in Germany,', ""which is the companies' home market, obviously.","[['X/PROPN/nsubj/> sell/VERB/ROOT/^ good/ADJ/advmod/< than/ADP/prep/<', 'bmw/PROPN/pobj/< Y/PROPN/conj/<']]",115
B215589547,middle_paths_unrestricted_16,Also I think the high end canon lenses are better than the top Nikon ones these day (although neither matches zeiss/Leica lenses).,Nikon,Leica,NONE,WORSE,1.0,lex (unique),"Also I think the high end canon lenses are better than the top Nikon', 'ones these day (although neither matches zeiss/Leica lenses).",[['NOPATH']],130
B216956985,middle_paths_unrestricted_16,Also note that in most cases the Direct3D rendering performed much better then the OpenGL...,Direct3D,OpenGL,WORSE,BETTER,1.0,lex (unique),"Also note that in most cases the Direct3D rendering performed much', 'better then the OpenGL...","[['X/NOUN/nsubj/> perform/VERB/ROOT/^ Y/PROPN/dobj/<'], ['X/NOUN/nsubj/> perform/VERB/ROOT/^ then/ADV/advmod/V Y/PROPN/dobj/<'], ['X/NOUN/nsubj/> perform/VERB/ROOT/^ the/DET/det/V Y/PROPN/dobj/<']]",92
B218244037,middle_paths_unrestricted_16,"Also, softball is weak, basketball is a much better sport, luckily I kept my cardio because I don't smoke spice.",softball,basketball,NONE,WORSE,0.8,lex (unique),"Also, softball is weak, basketball is a much better sport, luckily I', ""kept my cardio because I don't smoke spice.",[['X/PROPN/nsubj/> be/VERB/ROOT/^ Y/PROPN/npadvmod/<']],112
B226765546,middle_paths_unrestricted_16,"Although the far superior football program, West virginia doesn't boast nearly the population that missouri does.",virginia,missouri,NONE,WORSE,0.8,lex (unique),"Although the far superior football program, West virginia doesn't"", 'boast nearly the population that missouri does.","[['X/PROPN/nsubj/> boast/VERB/ROOT/^ population/NOUN/dobj/<', 'that/ADJ/relcl/< Y/PROPN/nsubj/<']]",113
B226808438,middle_paths_unrestricted_16,"Although the Ford CMax Hybrid gets better fuel economy, the Toyota Hybrid system has a reputation for working extremely well.",Ford,Toyota,NONE,WORSE,1.0,lex (unique),"Although the Ford CMax Hybrid gets better fuel economy, the Toyota', 'Hybrid system has a reputation for working extremely well.","[['X/PROPN/compound/> hybrid/PROPN/nsubj/> hybrid/PROPN/ROOT/^', 'Y/PROPN/dobj/<'], ['X/PROPN/compound/> hybrid/PROPN/nsubj/> hybrid/PROPN/ROOT/^', 'the/DET/det/V Y/PROPN/dobj/<']]",125
B235325358,middle_paths_unrestricted_16,"A mid-size BMW sedan equipped with a diesel engine returned better fuel economy on a 545-mile, London-to-Geneva, run than a gasoline-powered Toyota Prius.",BMW,Toyota,BETTER,NONE,0.6,lex (unique),"A mid-size BMW sedan equipped with a diesel engine returned better', 'fuel economy on a 545-mile, London-to-Geneva, run than a gasoline-', 'powered Toyota Prius.","[['X/PROPN/compound/> return/VERB/ROOT/^ than/ADP/prep/< Y/PROPN/pobj/<'], ['X/PROPN/compound/> return/VERB/ROOT/^ than/ADP/prep/<', 'power/VERB/amod/V Y/PROPN/pobj/<']]",154
B235329196,middle_paths_unrestricted_16,"Amidst a game going poorly against carolina, fans blamed Jones for drafting Carter earlier than Quincy's pedigree at georgia dictated.",carolina,georgia,BETTER,NONE,1.0,lex (unique),"Amidst a game going poorly against carolina, fans blamed Jones for', ""drafting Carter earlier than Quincy's pedigree at georgia dictated.","[['X/PROPN/npadvmod/> blame/VERB/ROOT/^ for/ADP/prep/< draft/VERB/pcomp/<', 'earlier/ADV/advmod/< than/ADP/prep/< pedigree/NOUN/pobj/<', 'at/ADP/prep/< Y/PROPN/pobj/<']]",134
B241888714,middle_paths_unrestricted_16,"Analysts said Ford could be a more natural candidate for a tie-up with Nissan-Renault than GM, which is widely seen as having a faster-moving turnaround plan and a comparatively stronger pipeline of upcoming vehicles.",Ford,Nissan,BETTER,NONE,1.0,lex (unique),"Analysts said Ford could be a more natural candidate for a tie-up with', 'Nissan-Renault than GM, which is widely seen as having a faster-moving', 'turnaround plan and a comparatively stronger pipeline of upcoming', 'vehicles.","[['X/PROPN/nsubj/> be/VERB/ROOT/^ candidate/NOUN/attr/< for/ADP/prep/<', 'up/NOUN/pobj/< with/ADP/prep/< Y/PROPN/pobj/<']]",217
B245007493,middle_paths_unrestricted_16,"And again, having come from decades of working in the granddaddy of dynamic languages, Lisp, I can assure you that I don't find my productivity adversely affected by switching to a statically-typed language such as O'Caml, although my productivity in Java and C++ is certainly quite a bit worse.",Lisp,Java,BETTER,NONE,1.0,lex (unique),"And again, having come from decades of working in the granddaddy of', ""dynamic languages, Lisp, I can assure you that I don't find my"", 'productivity adversely affected by switching to a statically-typed', ""language such as O'Caml, although my productivity in Java and C++ is"", 'certainly quite a bit worse.","[['X/PROPN/npadvmod/> assure/VERB/ROOT/^ find/VERB/ccomp/<', 'although/ADP/prep/< productivity/NOUN/pobj/< in/ADP/prep/<', 'Y/PROPN/pobj/<']]",295
B246537071,middle_paths_unrestricted_16,"And arguably the Archos has plenty better features such as the integrated 3G stick compartment, full sized and Micro-USB Host connectors, Kick-stand which is a lot more practical than having to buy a $150 keyboard dock, any $5 USB or Bluetooth keyboard works fine, any NTFS/FAT32/ETX3 hard drives work fine, even USB to Ethernet adaptors (for smooth 1080p mkv streaming) work fine.",Bluetooth,Ethernet,BETTER,NONE,1.0,lex (unique),"And arguably the Archos has plenty better features such as the', 'integrated 3G stick compartment, full sized and Micro-USB Host', 'connectors, Kick-stand which is a lot more practical than having to', 'buy a $150 keyboard dock, any $5 USB or Bluetooth keyboard works fine,', 'any NTFS/FAT32/ETX3 hard drives work fine, even USB to Ethernet', 'adaptors (for smooth 1080p mkv streaming) work fine.","[['X/PROPN/compound/> work/VERB/ROOT/^ usb/PROPN/appos/< to/ADP/prep/<', 'Y/PROPN/pobj/<']]",381
B248631249,middle_paths_unrestricted_16,"(And both are a bit faster than Python on my benchmark, and way faster than Ruby.)",Python,Ruby,NONE,BETTER,1.0,lex (unique),"(And both are a bit faster than Python on my benchmark, and way faster', 'than Ruby.)","[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ on/ADP/prep/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ faster/ADV/conj/V Y/PROPN/pobj/<']]",82
B254026967,middle_paths_unrestricted_16,and heck i just like Perl better than Java! as well its good to have choices!!,Perl,Java,NONE,BETTER,1.0,lex (unique),"and heck i just like Perl better than Java! as well its good to have', 'choices!!",[['NOPATH']],78
B258332174,middle_paths_unrestricted_16,"And if you are really wondering why WE think that OpenGL is better than D3D, you can search the forum with the keyword ""Direct3D"".",OpenGL,Direct3D,NONE,BETTER,1.0,lex (unique),"And if you are really wondering why WE think that OpenGL is better', 'than D3D, you can search the forum with the keyword ""Direct3D"".",[['X/PROPN/nsubj/> search/VERB/ROOT/^ keyword/NOUN/pobj/< Y/PROPN/appos/<']],130
B259320205,middle_paths_unrestricted_16,"And I heard that the new MBA are coming with the Toshiba SSD (That is slower) and the Samsung SSD (that is much faster).... my question is, how do I know with one Im getting before I buy it !! because I don't want to spend all that money to get the best MBA and when I see I get the slower SSD....",Toshiba,Samsung,NONE,WORSE,1.0,lex (unique),"And I heard that the new MBA are coming with the Toshiba SSD (That is', 'slower) and the Samsung SSD (that is much faster).... my question is,', ""how do I know with one Im getting before I buy it !! because I don't"", 'want to spend all that money to get the best MBA and when I see I get', 'the slower SSD....","[['X/PROPN/compound/> ssd/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/compound/> ssd/PROPN/ROOT/^ the/DET/det/V Y/PROPN/conj/<']]",297
B259636261,middle_paths_unrestricted_16,And I like Scala better than vanilla Java- except when it comes to the collections framework- because mixins.,Scala,Java,NONE,BETTER,1.0,lex (unique),"And I like Scala better than vanilla Java- except when it comes to the', 'collections framework- because mixins.",[['NOPATH']],109
B264803442,middle_paths_unrestricted_16,"And it works with the Apple TV, which lets you better position your iOS device for motion sensing.",Apple TV,iOS,BETTER,NONE,0.6,lex (unique),"And it works with the Apple TV, which lets you better position your', 'iOS device for motion sensing.","[['X/PROPN/ROOT/^ Y/PROPN/nmod/<'], ['X/PROPN/ROOT/^ let/VERB/relcl/V Y/PROPN/nmod/<'], ['X/PROPN/ROOT/^ your/ADJ/poss/V Y/PROPN/nmod/<']]",98
B266518870,middle_paths_unrestricted_16,And letting Microsoft usurp the web is even worse than letting Google have it.,Microsoft,Google,BETTER,WORSE,1.0,lex (unique),"And letting Microsoft usurp the web is even worse than letting Google', 'have it.","[['X/PROPN/nsubj/> usurp/VERB/ROOT/^ be/VERB/conj/< bad/ADJ/acomp/<', 'than/ADP/prep/< let/VERB/pcomp/< Y/PROPN/dobj/<']]",78
B289057809,middle_paths_unrestricted_16,And what better way to do just that than with this lovely wedding bursting with holiday cheer.,wedding,holiday,BETTER,NONE,1.0,lex (unique),"And what better way to do just that than with this lovely wedding', 'bursting with holiday cheer.","[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ burst/VERB/acl/V Y/PROPN/pobj/<']]",94
B291751549,middle_paths_unrestricted_16,"And Windows 7 works very well compared to Windows XP (which worked a lot better than Windows 98, but I digress).",Windows XP,Windows 98,NONE,BETTER,1.0,lex (unique),"And Windows 7 works very well compared to Windows XP (which worked a', 'lot better than Windows 98, but I digress).","[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ work/VERB/relcl/V Y/PROPN/pobj/<']]",112
B291753424,middle_paths_unrestricted_16,"And Windows Vista sales are considerably slower than those of its predecessor, Windows XP.",Windows Vista,Windows XP,BETTER,WORSE,1.0,lex (unique),"And Windows Vista sales are considerably slower than those of its', 'predecessor, Windows XP.","[['X/ADJ/amod/> be/VERB/ROOT/^ than/ADP/prep/< those/DET/pobj/<', 'of/ADP/prep/< predecessor/NOUN/pobj/< Y/PROPN/appos/<']]",90
B293293610,middle_paths_unrestricted_16,And yet Microsoft somehow comes off worse than Google for it...,Microsoft,Google,BETTER,WORSE,0.8,lex (unique),And yet Microsoft somehow comes off worse than Google for it...,"[['X/PROPN/nsubj/> come/VERB/ROOT/^ bad/ADJ/acomp/< than/ADP/prep/<', 'Y/PROPN/pobj/<']]",63
B294689152,middle_paths_unrestricted_16,"And you've had fast growing Hispanic populations, which tend to be poorer, in california, Nevada, Arizona, and Colorado (as well as North carolina and Georgia, which could explain their presence on the list above).",california,carolina,BETTER,NONE,0.6,lex (unique),"And you've had fast growing Hispanic populations, which tend to be"", 'poorer, in california, Nevada, Arizona, and Colorado (as well as North', 'carolina and Georgia, which could explain their presence on the list', 'above).","[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ nevada/PROPN/npadvmod/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ colorado/PROPN/conj/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ as/ADP/cc/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ north/PROPN/compound/V Y/PROPN/pobj/<']]",214
B300877931,middle_paths_unrestricted_16,An integrated Ethernet port makes things much easier than connecting a printer locally to a machine (mind the USB max cable length).,Ethernet,USB,NONE,BETTER,1.0,lex (unique),"An integrated Ethernet port makes things much easier than connecting a', 'printer locally to a machine (mind the USB max cable length).","[['X/PROPN/compound/> make/VERB/ROOT/^ than/ADP/prep/<', 'connect/VERB/pcomp/< to/ADP/prep/< machine/NOUN/pobj/<', 'mind/VERB/appos/< Y/PROPN/dobj/<'], ['X/PROPN/compound/> make/VERB/ROOT/^ than/ADP/prep/<', 'connect/VERB/pcomp/< to/ADP/prep/< machine/NOUN/pobj/<', 'mind/VERB/appos/< the/DET/det/V Y/PROPN/dobj/<']]",132
B318686695,middle_paths_unrestricted_16,"Anyway, Objective-C is easier once you know it, and the freedom from Java packages is a blessing I cannot over-emphasize.",Objective-C,Java,BETTER,NONE,0.4,lex (unique),"Anyway, Objective-C is easier once you know it, and the freedom from', 'Java packages is a blessing I cannot over-emphasize.","[['X/PROPN/nsubj/> be/VERB/ROOT/^ know/VERB/advcl/< freedom/NOUN/conj/<', 'from/ADP/prep/< Y/PROPN/pobj/<']]",121
B321014736,middle_paths_unrestricted_16,"Apart from the fact that languages such as Python, Ruby, Haskell do have very powerful functional programming support for like 10-15 years - and IMHO better one than C# or LINQ - all this goes back to Lisp , which will be celebrating 50th anniversary next year.",Python,Lisp,BETTER,NONE,1.0,lex (unique),"Apart from the fact that languages such as Python, Ruby, Haskell do', 'have very powerful functional programming support for like 10-15 years', '- and IMHO better one than C# or LINQ - all this goes back to Lisp ,', 'which will be celebrating 50th anniversary next year.","[['X/PROPN/npadvmod/> have/VERB/ROOT/^ imho/VERB/conj/< go/VERB/advcl/<', 'back/ADV/advmod/< to/ADP/prep/< Y/PROPN/pobj/<'], ['X/PROPN/npadvmod/> ruby/PROPN/conj/V have/VERB/ROOT/^ imho/VERB/conj/<', 'go/VERB/advcl/< back/ADV/advmod/< to/ADP/prep/< Y/PROPN/pobj/<']]",261
B324696924,middle_paths_unrestricted_16,"Apparently ""Left 4 Dead"" runs faster on Linux/OpenGL than Windows/Direct3D...",OpenGL,Direct3D,NONE,BETTER,0.6,lex (unique),"Apparently ""Left 4 Dead"" runs faster on Linux/OpenGL than', 'Windows/Direct3D...",[['NOPATH']],77
B325125216,middle_paths_unrestricted_16,Apparently the wii isn't superior to the ds for Square-enix.,wii,ds,BETTER,WORSE,1.0,lex (unique),Apparently the wii isn't superior to the ds for Square-enix.,"[['X/PROPN/nsubj/> be/VERB/ROOT/^ superior/ADJ/acomp/< to/ADP/prep/<', 'Y/PROPN/pobj/<'], ['X/PROPN/nsubj/> be/VERB/ROOT/^ superior/ADJ/acomp/< to/ADP/prep/<', 'the/DET/det/V Y/PROPN/pobj/<']]",60
B326036997,middle_paths_unrestricted_16,"Apple and ARM, and others, are slowly destroying the business models of Intel even though they are still making decent profits.""",Apple,Intel,BETTER,NONE,1.0,lex (unique),"Apple and ARM, and others, are slowly destroying the business models', 'of Intel even though they are still making decent profits.""","[['X/PROPN/nsubj/> destroy/VERB/ROOT/^ model/NOUN/dobj/< of/ADP/prep/<', 'Y/PROPN/pobj/<'], ['X/PROPN/nsubj/> and/CONJ/cc/V destroy/VERB/ROOT/^ model/NOUN/dobj/<', 'of/ADP/prep/< Y/PROPN/pobj/<'], ['X/PROPN/nsubj/> arm/PROPN/conj/V destroy/VERB/ROOT/^ model/NOUN/dobj/<', 'of/ADP/prep/< Y/PROPN/pobj/<']]",128
B326115235,middle_paths_unrestricted_16,Apple cloud music will be better than Google or Amazon says industry source,Apple,Amazon,NONE,BETTER,1.0,lex (unique),"Apple cloud music will be better than Google or Amazon says industry', 'source","[['X/PROPN/amod/> be/VERB/ROOT/^ than/ADP/prep/< google/PROPN/pobj/<', 'Y/PROPN/conj/<']]",75
B326370094,middle_paths_unrestricted_16,Apple is reportedly planning to upgrade its current lineup of MacBook Air laptops on Tuesday with faster processors from Intel.,Apple,Intel,NONE,BETTER,1.0,lex (unique),"Apple is reportedly planning to upgrade its current lineup of MacBook', 'Air laptops on Tuesday with faster processors from Intel.","[['X/PROPN/nsubj/> plan/VERB/ROOT/^ upgrade/VERB/xcomp/< with/ADP/prep/<', 'processor/NOUN/pobj/< from/ADP/prep/< Y/PROPN/pobj/<']]",127
B326674436,middle_paths_unrestricted_16,"Apple's Swift Programming Language Faster, Safer Than Objective-C",Swift,Objective-C,NONE,BETTER,0.6,lex (unique),"Apple's Swift Programming Language Faster, Safer Than Objective-C","[['X/PROPN/compound/> language/PROPN/compound/> language/PROPN/ROOT/^', 'Y/PROPN/appos/<'], ['X/PROPN/compound/> language/PROPN/compound/> language/PROPN/ROOT/^', 'safer/PROPN/compound/V Y/PROPN/appos/<'], ['X/PROPN/compound/> language/PROPN/compound/> language/PROPN/ROOT/^', 'than/PROPN/compound/V Y/PROPN/appos/<']]",65
B330386079,middle_paths_unrestricted_16,"A program to read a file, do some regex processing and write it out is likely to be significantly faster in Perl (and probably Python) than in Java.",Perl,Java,NONE,BETTER,0.8,lex (unique),"A program to read a file, do some regex processing and write it out is', 'likely to be significantly faster in Perl (and probably Python) than', 'in Java.","[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ python/PROPN/conj/V Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ than/ADP/prep/V Y/PROPN/pobj/<']]",148
