,sentence,object_a,object_b,predicted,gold,origin
1206,"My 9800GTX+ does 0% Blanked OpenCL AP tasks in a bit under 4 hours (13,600 secs), while my GTX460 does them in just over half an hour (2,100 secs), so my 9800GTX+ is about 6½ times slower than my GTX460, while at CUDA MB the 9800GTX+ is only around twice as slow as the GTX460, for a 0.37 AR the 9800GTX+ does it around 1250 secs, while the GTX460 does it in 565 secs.",CUDA,OpenCL,ARG,NONE,both
1208,Is football better than baseball?,football,baseball,ARG,NONE,both
1209,"Nissan/Infiniti have been the Houdini of the motor industry, not very long ago it did look as though they might go under because of their horrendous debts but with Renault on board and some truly exciting new products the future looks a great deal better.",Nissan,Renault,NONE,ARG,both
1210,"The better young male athletes in the US, said McEnroe, prefer to play football and basketball over tennis.",football,tennis,NONE,ARG,both
1211,"Now whether or not hockey hits are harder than football, who knows.",football,hockey,ARG,NONE,both
1214,A plywood boat better than a steel one?,steel,plywood,ARG,NONE,both
1215,stone is harder than metal.,metal,stone,ARG,NONE,both
1216,The wii U version will be inferior to the others (except ps3 and Xbox 360.,wii,ps3,ARG,NONE,both
1217,Will google Music Become Bigger and Better than itunes?,google,itunes,ARG,NONE,both
1218,Smalltalk had a nice bytecoded multi-platform virtual machine long before Java.,Java,Smalltalk,NONE,ARG,both
1219,for those who care about such things... i returned my Nikon 4500 10 days ago on 12th day of free 10-day trial and i traded down to a panasonic lumix LC40 with Leica lens because it had a faster shutter response and looked pretty bad ass.,Nikon,Leica,NONE,ARG,both
1220,"Perl's still at a decent level, on par with PHP and still above Python and...",Python,PHP,NONE,ARG,both
1221,Exactly like Windows XP and 7 and nothing like Windows 8. but with better performance,Windows XP,Windows 8,NONE,ARG,both
1227,I have done a decent amount of psp hacking but now i am looking to dive into the wii.,wii,psp,ARG,NONE,both
1229,"Mediocre TN panels are usually the best we get on laptops (i.e., anything Apple, or some of the higher resolution upgrade options on Dell, etc).",Apple,Dell,NONE,ARG,both
1231,"I used to use Perl or white my own CGI's in C, but PHP is so, much easier than either.",PHP,Perl,NONE,ARG,both
1232,"Reviewed by: Lianne Reitter , send e-mail Published by: Stardock Corporation, go to the web site Requires: Works best with Windows XP, but also works with Windows 98, ME and 2000; Pentium III or faster CPU, 128MB RAM MSRP: $49.95",Windows XP,Windows 98,NONE,ARG,both
1233,I have tried using Perl (slow) and AWK (faster but still slow) - does anyone have any suggestions or pointers toward alternative approaches?,Perl,AWK,NONE,ARG,both
1234,"Windows XP needed two service packs, but Windows 98 was even worse, needing a second edition to plug the holes.",Windows XP,Windows 98,NONE,ARG,both
1235,"(FWIW, Smalltalk (and to a much lesser extent, Java)",Java,Smalltalk,NONE,ARG,both
1236,"Jefferson, LA USA LUKE: Is Perl better than Python?",Python,Perl,ARG,NONE,both
1237,"For example, NYCB's program cites a study in which ballet was found to be the second-most strenuous ""sport"" out there: easier than football, harder than hockey.",football,hockey,ARG,NONE,both
1238,Should Bluetooth mp3 access be faster than USB memory stick?,USB,Bluetooth,ARG,NONE,both
1240,I have several web sites where I have migrated from MySQL to SQLite and I couldn't be happier: it's faster with less CPU and memory footprint.,MySQL,SQLite,NONE,ARG,both
1241,The consensus seems to be that Java killed Smalltalk.,Java,Smalltalk,NONE,ARG,both
1243,John F. kennedy did barely better against Richard nixon.,kennedy,nixon,NONE,ARG,both
1244,"The big jumps in computing power in the last few years have been around adding more CPU cores and reducing power consumption, the major software companies have been making their software run more efficiently (Windows 7 runs better on 5+ year-old hardware than Windows XP did when the hardware was brand new and Windows 8 runs even better again).",Windows XP,Windows 8,NONE,ARG,both
1245,What better ingredient to pair with cranberry juice than tea!,tea,juice,ARG,NONE,both
1249,So in this respect Google is no better than Microsoft.,Microsoft,Google,ARG,NONE,both
1250,"Still much better in Java, but the Scala plugin is catching up fast.",Java,Scala,ARG,NONE,both
1251,"Unlike Ford (and the MUCH WORSE) Toyota service departments, Lincoln seems to offer very good service here in the Sunbelt.",Ford,Toyota,NONE,ARG,both
1253,"I like this model since I can start (or even do local dev) on SQLite and if I need better performance/functionality I can switch to a bigger DB system (MySQL, postgres, etc) by changing a line in my configuration file.",MySQL,SQLite,NONE,ARG,both
1254,"Sure enough, my daughter moved quickly from my hand-me-down laptop to her own (faster, newer) MacBook and iphone.",laptop,iphone,NONE,ARG,both
1256,Groovy makes writing Java programs far easier.,Java,Groovy,NONE,ARG,both
1257,"after tons of failures from Kingston (i know sandisk is better), i stick to Intel or Samsung only - data loss is worth more than a few hundred to me",Intel,Kingston,NONE,ARG,both
1258,"They had better enter it in sports car racing like Ford is doing with the new Mustang which has already won four races against BMW M3s, Porsche 911s, Nissan 350Zs, and other cars in Grand-Am Cup.",Ford,BMW,NONE,ARG,both
1259,None of that necessarily makes 2012 facebook better or worse than 2004 google.,google,facebook,ARG,NONE,both
1262,The only thing better than a cold glass of beer is tea with Miss McGill.,beer,tea,NONE,ARG,both
1264,"It does seem Amazon is using a lower quality display in new Kindle's, so you want the best looking screen maybe better to go with Kindle Keyboard, Nook STR or new Sony-T1.",Sony,Amazon,NONE,ARG,both
1266,So they're better at utilizing these features across the suite that Microsoft and a little bit better than IBM.,Microsoft,IBM,ARG,NONE,both
1267,"Tomorrow, the ps2 and some WALL-E (I can not play that game on the ds anymore, cuz it is sooooo much slower, more boring, and all you can do is make/throw cubes).",ds,ps2,NONE,ARG,both
1269,"It's better than B&N (no file table access at all) or Amazon (hard reset every time to update filetable), but still not as simple as Sony.",Sony,Amazon,ARG,NONE,both
1271,Ubuntu/Mint is definitely slower than Windows 7 and Windows 8 is faster than that.,Windows 7,Windows 8,NONE,ARG,both
1272,"One you match a better product with the power of so many manufacturers pushing (HP, Toshiba, Asus, Dell, Sony, etc) it's a mathematical certainty that Microsoft will dominate once again.",Microsoft,Dell,NONE,ARG,both
1273,"Further he claims that while youtube ""hides behind"" the safe harbor of the DMCA, hulu has s superior advantage because it is able to license its conten t:",youtube,hulu,NONE,ARG,both
1274,"Instead of pizza, it'll be easier to choose a salad or healthy sandwich .",pizza,sandwich,NONE,ARG,both
1275,"Even better alternatives for soda are water, unsweetened iced tea, and low-fat milk, she suggests.",milk,soda,NONE,ARG,both
1276,I traded in a much nicer Samsung cell phone for a lesser (in terms of bells and whistles) Nokia phone because I just like their layout better.,Nokia,Samsung,NONE,ARG,both
1278,If you can ally with the market leader (IBM) you can use market dominance to beat products of vastly superior quality (Apple computers).,Apple,IBM,NONE,ARG,both
1279,This printer has always been slow but it's even slower now that I'm using a USB connection instead of Ethernet.,USB,Ethernet,NONE,ARG,both
1280,"Reliability for domestic autos is much better for long term reliability than you think, In JD Powers survey for long term reliability, cars on the road for four years, domestic nameplates held 3 of the top 5 spots, Buick was in 2nd place Lexus placed 1st, Cadillac and Lincoln also placed in the top 5.",Cadillac,Lexus,NONE,ARG,both
1281,"FMHR trader Stephanie Link is a bull on Coca-Cola, while Mike Murphy likes Pepsi's stock better.",Coca-Cola,Pepsi,NONE,ARG,both
1282,"one I know who's seen Ruby code argues that Perl is better -- but then,",Ruby,Perl,NONE,ARG,both
1283,"The discussion turned to having other people work on the project, and why I felt people who knew Lisp would be better to attract than people who knew, say, Java.",Java,Lisp,ARG,NONE,both
1284,Sorry but if you claim you are an IT tech and you can't figure out how to make Windows 8 work better for you than windows 7 or Windows XP then I do believe you are just a self proclaimed IT tech.,Windows XP,Windows 8,ARG,NONE,both
1287,"Only Nevada (14.4 percent), michigan (13 percent) and california (12.4 percent) were worse.",california,michigan,NONE,ARG,both
1288,"I don't know if Sony would be better than Dell, or any other make for that matter.",Sony,Dell,ARG,NONE,both
1289,"Python would be a much better choice in my view for a variety of reasons (and I say this though I'm a Perl nut!), or hell, if you teach them Lisp they'll be horribly screwed up for the rest of their lives but at least they'll understand how registers and OOP work.",Python,Lisp,NONE,ARG,both
1290,"Not all users have automatic updates, but as users move from OS'es that don't (Windows XP) to ones that do (Windows 7 and Windows 8), it results in better security.",Windows XP,Windows 8,NONE,ARG,both
1291,"The Wildcats have beaten 2 solid Pac-10 teams in Stanford and oregon State, and also own a better than it seems win over Central michigan.",michigan,oregon,ARG,NONE,both
1293,"While it is certainly true that few companies posted big wins in the equity markets this week, it remains striking that Google underperformed Oracle, IBM, Apple, Microsoft, and Yahoo! (all of whom posted losses much closer to those of NASDAQ) and HP did even worse.",Google,IBM,NONE,ARG,both
1294,"As good as michigan has been defensively this season, virginia has been even better.",virginia,michigan,NONE,ARG,both
1295,"However, it is a thing to be aware of if you're writing world class 3D Windoze apps, but not in determining whether OpenGL is better than Direct3D.",OpenGL,Direct3D,ARG,NONE,both
1297,"Can you Show How Groovy is ""Better Java""?",Java,Groovy,NONE,ARG,both
1298,My first choice was Asus then Gigabyte.,Gigabyte,Asus,NONE,ARG,both
1299,football is one thing; basketball should be easier.,football,basketball,NONE,ARG,both
1300,"The new Ford will be faster, cheaper, more practical and have much better traction while being build in Germany, just like BMW.",Ford,BMW,ARG,NONE,both
1302,"Umberto, if you read my post carefully, you will see that I never say that Objective-C is superior as a language to Java.",Java,Objective-C,ARG,NONE,both
1305,"I'm thinking about grabbing an Ethernet wireless bridge or even better, a wireless USB network adapter.",USB,Ethernet,NONE,ARG,both
1306,"Instead, they've been able to score against everyone except harvard, but Ashley Holt has had the better numbers in goal after Newell had a tough night versus cornell.",harvard,cornell,ARG,NONE,both
1307,"ARCEE changes into a motorcycle and is very quick and acrobatic with her attacks, and BULKHEAD changes into an armoured truck and moves slower, but hits much harder.",truck,motorcycle,NONE,ARG,both
1308,Uniformity: It is here is where the otherwise superior Toshiba E220 falls apart in relation to the Samsung E550.,Samsung,Toshiba,NONE,ARG,both
1309,Is Python better than Perl?,Python,Perl,ARG,NONE,both
1311,"Soon, there will be an MP3 player far superior to the ipod; there will be faster laptops and cells phones and a much better iphone.",iphone,ipod,ARG,NONE,both
1312,"@tanasten Bowling is WAY better, baseball is WAY better, golf is WAY better, tennis is the same and boxing is the drizzlin' poopiedoodoocacapoopledoopledoggiepoopledoops!!!!!",baseball,tennis,ARG,NONE,both
1313,"DWTS : ""They prefer a nice, solid Chrysler Town & Country to that newfangled Toyota Prius.""",Toyota,Chrysler,NONE,ARG,both
1314,sausage and Broccolini work better than expected in a pizza ($11).,pizza,sausage,ARG,NONE,both
1315,"Summary: I think Asus can sale a faster computer for that price anyway, it is good but not cheap, the touch screen is the best part, well if the computer have Windows 8, but every body knows that Microsoft Windows XP, vista, 7, 8 are crap, i will install on it Red Hat Enterprise Linux Desktop, Linux is the...",Windows XP,Windows 8,NONE,ARG,both
1316,"Primarily Ruby on Rails 3.2, but always wanting to get better at JavaScript too.",Ruby,JavaScript,NONE,ARG,both
1317,How many of us know why a given model of Nike is better (worse) than a given pair of Adidas?,Nike,Adidas,ARG,NONE,both
1319,"Perhaps start your day off with a breakfast cone, which features a luscious blend of eggs, sausage, bacon and jack/cheddar cheese - like a breakfast sandwich, but better!",sandwich,sausage,NONE,ARG,both
1320,"If REAL football turns your stomach, better watch tennis... Oakland vs. Denver: An AFC West pillowfight.",football,tennis,NONE,ARG,both
1322,"Groovy code often looks and feels like Java code, but is almost always simpler and easier to use.",Java,Groovy,NONE,ARG,both
1323,"We believe that your upgrade experience in Windows 8 will be a breeze by offering a faster experience, a single upgrade path, and compatibility from prior versions of Windows, ' Microsoft's Brandon LeBlanc claimed in a statement which handily overlooks the fact that upgrades from Windows XP won't migrate any programs or settings.",Windows XP,Windows 8,NONE,ARG,both
1324,Java does not support Lambdas like Python or Code Blocks like Smalltalk.,Java,Smalltalk,NONE,ARG,both
1326,Is the amazon Prime feed going through Roku better than renting through itunes and Apple TV?,amazon,itunes,ARG,NONE,both
1327,"it's like those auto industry awards from the last decade where the latest mediocre vehicle from Ford wins ""Car of the Year"" but everybody on the voting panel drives a BMW, toyota, or volvo.",Ford,BMW,NONE,ARG,both
1333,"We enjoyed a meal at Café Baghdad (great soup, lousy pizza, reasonable prices) overlooking the Plaza.",soup,pizza,NONE,ARG,both
1335,You can listen to it on youtube but the recording on itunes is better--and worth it!,youtube,itunes,NONE,ARG,both
1337,South carolina needs better start this week against georgia,georgia,carolina,NONE,ARG,both
1338,"The compact computer now gets integrated WiFi and Bluetooth, rather than just wired Ethernet connectivity, together with a built-in hard-drive of unspecified capacity; Marvell have also given it a faster CPU, in the shape of the 2GHz Armada 300 processor.",Ethernet,Bluetooth,ARG,NONE,both
1342,"The Amazon ""service"" makes the Kindle superior to the Sony Reader in many ways, hands down.",Sony,Amazon,NONE,ARG,both
1343,This is one where a company like Dell can dominate a company like Apple that makes a better product.,Apple,Dell,NONE,ARG,both
1344,"In other words, CoffeeScript is an attempt to replace JavaScript syntax with a better one based on experiences from Ruby and Python worlds.",Python,JavaScript,NONE,ARG,both
1346,Sony behaves like Apple but without the ability to make something better than what it is trying to emulate.,Apple,Sony,NONE,ARG,both
1347,Samsung got the market jump on Nokia going the faster but less vetted approach of Android.,Nokia,Samsung,NONE,ARG,both
1349,"And, I have found that using cider vinegar instead of lemon juice is a nice twist, and keeps better.",juice,cider,NONE,ARG,both
1351,"Nikon gave to Sigma a first ""wake-up call"" with the cheaper and much better 35mm 1.8DX.",Sigma,Nikon,NONE,ARG,both
1352,How much cooler would it be to have Major League baseball than NBA basketball in Brooklyn?,baseball,basketball,ARG,NONE,both
1353,The only thing I like better than pizza is pasta.,pizza,pasta,NONE,ARG,both
1354,"It's light as aluminum, but harder than steel,"" he said.",steel,aluminum,ARG,NONE,both
1356,"You can use JavaScript server side too, and you could take a look at Ruby which is much nicer to write than PHP.",PHP,JavaScript,ARG,NONE,both
1357,"No Motorola ever, long live Nokia!",Nokia,Motorola,NONE,ARG,both
1358,"Are you saying that you use JavaScript outside a browser, and that you feel it is a better language in that context than Java, C++, C, Smalltalk, Lisp, Perl, Python, etc?",Python,JavaScript,ARG,NONE,both
1359,There is no obvious reason as to why Lisp should have better performance than Python.,Python,Lisp,ARG,NONE,both
1360,"While youtube has faced difficulties in monetizing its ads, a site like hulu has grown faster than expected, balancing things out, he said.",youtube,hulu,NONE,ARG,both
1361,OO in Ruby or Smalltalk is very different than OO in C# or Java.,Java,Smalltalk,ARG,NONE,both
1363,"The headline read: "" Sega: wii U graphics on-par with playstation 3, maybe even better "".",playstation,wii,NONE,ARG,both
1364,"AMD fans should take a look at the Samsung Series 5 510R5E, which is lighter and slimmer, hence offering better mobility.",Samsung,AMD,NONE,ARG,both
1365,American corporations from Lucent Technologies Inc. to Valley legend Hewlett-Packard Co. also are struggling to catch up with faster upstarts such as Cisco and Dell Computer Corp.,Dell,Hewlett-Packard,NONE,ARG,both
1366,"Compared with the Mercedes-Benz C class, BMW 3 series and Audi A4, the Lexus ES sedan now offers more power (268 hp) and worse fuel economy (24 mpg combined) from its base engine.",Audi,Lexus,NONE,ARG,both
1368,"For me, being a lefty who is right-eye dominant means I'm lousy at tennis but great at golf.",golf,tennis,NONE,ARG,both
1370,"Did Microsoft just make Kinect better, while Sony neglected Move?",Microsoft,Sony,NONE,ARG,both
1371,"u can run a Toyota like shit for years b4 anything will break, a BMW is more sensitive but it is much nicer to drive and its more comfertable.",Toyota,BMW,NONE,ARG,both
1372,"They can't be bothered to trade in their old Honda Accord for a new $100,000 BMW or Mercedes because the fancy new car won't get them anywhere any faster than the existing car.",Honda,BMW,NONE,ARG,both
1373,"Sony, Grass Valley, Lightworks, even the inferior Apple.",Apple,Sony,NONE,ARG,both
1375,Apple would be better off competing with Nintendo than Sony and MS.,Apple,Sony,ARG,NONE,both
1376,steel is 3 times harder than aluminum.,steel,aluminum,ARG,NONE,both
1378,"We are looking at maybe moving to IBM hardware 2006/7 though whether that will be any better than Dell remains to be seen, I suspect not from what I have heard.",IBM,Dell,ARG,NONE,both
1379,"The wii U version, however, is just an inferior 360/ps3 port.",wii,ps3,ARG,NONE,both
1380,I never said basketball was easier than baseball.,baseball,basketball,ARG,NONE,both
1381,pennsylvania is at 65 mph while michigan and Indiana have slower limits for trucks.,michigan,pennsylvania,NONE,ARG,both
1383,There is a long debate regarding whether MySQL is better or PostgreSQL.,MySQL,PostgreSQL,ARG,NONE,both
1387,"This implementation is based on Integer arithmetic, while the second-generation versions RANLXS and RANLXD described above provide Floating-point implementations which will be faster on many platforms.",Integer,Floating-point,NONE,ARG,both
1389,"OS/2 was technically superior, but Microsoft beat IBM through marketing and by tying its Office applications to Windows.""",Microsoft,IBM,NONE,ARG,both
1390,"Overall, the Nike Elite sock has better padding, better compression, better fit but the Adidas SpeedCrew has better ventilation.",Nike,Adidas,ARG,NONE,both
1391,"oregon maybe isn't Notre Dame or michigan, but (it is) certainly better known than George Mason or Gonzaga,"" McEvoy said.",michigan,oregon,NONE,ARG,both
1393,"Is Ruby truly better than Python (scripting/programming wise), what about speed wise?",Ruby,Python,ARG,NONE,both
1394,"DavidKorn For a few years after the release of Perl in 1987, AWK remained competitive simply because it had a smaller, faster implementation.",Perl,AWK,NONE,ARG,both
1396,"If Microsoft wants to get into hardware, they would do better making an Android tablet and adding value, as others like Samsung and Amazon have done.",Microsoft,Amazon,NONE,ARG,both
1397,"Lisp is about 1.5 to 4 times faster than Java, and about 10 to 50 times faster than Python.",Java,Python,ARG,NONE,both
1398,"1. BMW, 40 points / Chevrolet, 40 3. Ferrari, 27 4. Porsche, 23",Ferrari,BMW,NONE,ARG,both
1399,It's better organized than PHP (with its absurdly large global namespace) and less ceremonious than Java (no IStrategyBuilderFactories here).,Java,PHP,ARG,NONE,both
1400,"This is why it is easier to install Windows 98 first, then Windows XP.",Windows XP,Windows 98,NONE,ARG,both
1401,"-SQL Server is significantly superior to MySQL, faster than PostgreSQL, and for most businesses is cheaper than Oracle.",MySQL,PostgreSQL,ARG,NONE,both
1404,The coffee really improved a mediocre base beer.,coffee,beer,NONE,ARG,both
1405,The only sport that's slower to watch than golf is baseball.,baseball,golf,NONE,ARG,both
1406,"Although we have Mercedes-Benz to thank for the oxymoronic ""4-door coupe"" category, Audi has gone one better with its A7 5-door coupe .",Audi,Mercedes-Benz,NONE,ARG,both
1407,"Personally, I see all of these major players in the hardware segment of the market all supporting Blu-Ray (Samsung, Panasonic, and LG, in addition to Sony) while only Toshiba has support for their format, as an indication that Blu-Ray is, at least from a technological standpoint, a superior format.",Samsung,Toshiba,NONE,ARG,both
1409,"After abandoning Ruby (until they calm down), I started exploring Perl and C/C++ with much better results.",Ruby,Perl,NONE,ARG,both
1410,"virginia coach Tony Bennett said georgia Tech is ""a better team"" this season.",virginia,georgia,NONE,ARG,both
1411,For the moment though Gene Smith has to be hoping these problems will go away faster than the Nissan 350z Pryor drives or OSU's future looks more explosive than a Ford Pinto!,Ford,Nissan,ARG,NONE,both
1413,"metal ramps are good, but concrete is better.",metal,concrete,NONE,ARG,both
1414,"If someone, like Samsung, can do it better and cheaper than them, Toshiba will outsource the operation.",Samsung,Toshiba,ARG,NONE,both
1415,"Granted, Pentium 4M was a horrible CPU platform to start with but somehow IBM pulled off a decent design based on same processor with the T30 and Dell didn't.",IBM,Dell,NONE,ARG,both
1416,"I tried creating a version that mimics the Perl one (because Ruby also has the -n option), but in the end this seemed easier (and much more readable):",Ruby,Perl,NONE,ARG,both
1417,"AMD and Apple are leading the way, and Intel better get in line soon.",Apple,Intel,NONE,ARG,both
