,caption,sentence,object_a,object_b,predicted,gold,binary,occ
1313,"unigrams ('middle part', ExtractMiddlePart(processing=None))","In the age of BP, deploying solid Perl web applications was significantly harder than say deploying PHP applications.",PHP,Perl,BETTER,WORSE,False,1
1314,"unigrams ('middle part', ExtractMiddlePart(processing=None))",The most important difference is that you did your tests using an upclocked nVidia GTX570 GPU that is great for CUDA but lousy for OpenCL.,CUDA,OpenCL,NONE,BETTER,False,2
1315,"unigrams ('middle part', ExtractMiddlePart(processing=None))",This idea has given me a small kick in the pants and I actually started prototyping in Bash-- but will switch back to Python because of better array support.,Python,Bash,NONE,WORSE,False,2
1316,"unigrams ('middle part', ExtractMiddlePart(processing=None))",The process of converting it to Java resulted in a 100x speed up - despite Perl possibly having a faster regex implementation.,Java,Perl,NONE,BETTER,False,2
1317,"unigrams ('middle part', ExtractMiddlePart(processing=None))","So, yes, PHP is getting better and better while catching up with Java.",Java,PHP,NONE,WORSE,False,2
1318,"unigrams ('middle part', ExtractMiddlePart(processing=None))","What puzzles him, though, is that with hundreds of millions of computers still running Windows XP-and Microsoft keener than ever to get their owners to migrate to Windows 7, if not Windows 8-the least the firm might have done is to make the whole upgrade path a good deal easier road to travel.",Windows XP,Windows 8,BETTER,NONE,False,2
1319,"unigrams ('middle part', ExtractMiddlePart(processing=None))","With immense competition and reliability a given, Honda will continue to bleed market share with GM, Ford, Hyundai and VW making better cars.",Ford,Honda,NONE,WORSE,False,2
1320,"unigrams ('middle part', ExtractMiddlePart(processing=None))","My last PC had Windows 7 and I would use it from time to time until I realized Windows 8 was better, faster and had less problems.",Windows 7,Windows 8,NONE,WORSE,False,2
1321,"unigrams ('middle part', ExtractMiddlePart(processing=None))","TidBits discovered you can connect pretty much any USB headset, headphones, or microphone, which turns the iPad into a pretty decent little Skype device (with better quality sound than you'd get with Bluetooth).",USB,Bluetooth,BETTER,NONE,False,2
1322,"unigrams ('middle part', ExtractMiddlePart(processing=None))","However, I think Scala makes it easier to build and test JBoss AS extensions/subsystems compared to Java .",Java,Scala,NONE,BETTER,False,1
1323,"unigrams ('middle part', ExtractMiddlePart(processing=None))",Uniformity: It is here is where the otherwise superior Toshiba E220 falls apart in relation to the Samsung E550.,Samsung,Toshiba,NONE,WORSE,False,2
1324,"unigrams ('middle part', ExtractMiddlePart(processing=None))",I've compared Firebird with MySQL (don't know PostgreSQL so well) and it is really better.,MySQL,PostgreSQL,NONE,BETTER,False,2
1325,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Hewlett-Packard regained the lead in worldwide PC shipments in the fourth quarter of 2003, but Dell managed to hold onto its lead for the full year, as the PC industry recorded one of its better years in recent memory, according to preliminary figures from IDC and Gartner.",Dell,Hewlett-Packard,NONE,WORSE,False,2
1326,"unigrams ('middle part', ExtractMiddlePart(processing=None))","The breeding of the Okami concept with the ds hardware has resulted in a game with very different strengths and weaknesses than the ps2 original -- sometimes for better, and sometimes for worse.",ds,ps2,BETTER,NONE,False,2
1327,"unigrams ('middle part', ExtractMiddlePart(processing=None))",pennsylvania is at 65 mph while michigan and Indiana have slower limits for trucks.,michigan,pennsylvania,NONE,BETTER,False,2
1328,"unigrams ('middle part', ExtractMiddlePart(processing=None))","I don't know if it'll be fully functioning by the oregon game, but I'd wager that it'll look better than it ever did at michigan.",michigan,oregon,BETTER,WORSE,False,1
1329,"unigrams ('middle part', ExtractMiddlePart(processing=None))","The big jumps in computing power in the last few years have been around adding more CPU cores and reducing power consumption, the major software companies have been making their software run more efficiently (Windows 7 runs better on 5+ year-old hardware than Windows XP did when the hardware was brand new and Windows 8 runs even better again).",Windows XP,Windows 8,NONE,WORSE,False,2
1330,"unigrams ('middle part', ExtractMiddlePart(processing=None))","The PowerPC CPU (Apple had a hand in it, but it was mainly Motorola and IBM) was always a much better design than Intel's x86.",Apple,IBM,NONE,WORSE,False,2
1331,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Second, in real world tasks using apps, all other things being equal, the iphone 5 enjoys an inherent advantage in that it mandates programmers to use Objective-C, which is a much lower-level language than the Java used in Android machines, which runs programs in the Dalvik virtual machine, creating a software that necessarily is more indirect than the iPhone programming approach and hence slower.",Java,Objective-C,BETTER,WORSE,False,1
1332,"unigrams ('middle part', ExtractMiddlePart(processing=None))","More challenging yet, the van's designers had only shaped the engine box for a four-cylinder engine, meaning Toyota could not fit the Previa with a V-6 engine to compete with the faster and more powerful Chrysler minivans--or those from Ford and General Motors as well.",Toyota,Chrysler,NONE,WORSE,False,1
1333,"unigrams ('middle part', ExtractMiddlePart(processing=None))","There are a lot of folks out there ready to adopt Scala simply as a ""better Java.",Java,Scala,NONE,BETTER,False,2
1334,"unigrams ('middle part', ExtractMiddlePart(processing=None))",No way is Python or TCL faster than Java.,Java,Python,BETTER,WORSE,False,1
1335,"unigrams ('middle part', ExtractMiddlePart(processing=None))","INCLUDES OUR EXCLUSIVE UNLIMITED MILEAGE LIFETIME POWERTRAIN WARRANTY, You won't find a better suv than this great 2014 jeep Wrangler.",suv,jeep,BETTER,NONE,False,2
1336,"unigrams ('middle part', ExtractMiddlePart(processing=None))","Not as attractive as Toyota or Honda and better than Dodge, Kia or Chevrolet.",Toyota,Chevrolet,BETTER,NONE,False,2
1337,"unigrams ('middle part', ExtractMiddlePart(processing=None))",The 2012 numbers provides better news for Samsung fans as it dethrones Nokia as the world's top cellphone manufacturer.,Nokia,Samsung,NONE,BETTER,False,2
