Concept,Source,Type
Vega Prime by Presagis,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
VTK,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
A-Frame,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
Blend4Web,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
CopperLicht,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
O3D,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
StormEngineC,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
Three.js,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
vtk.js,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
X3DOM,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
Babylon.JS,https://en.wikipedia.org/wiki/List_of_3D_graphics_libraries,api
AdvFS,https://en.wikipedia.org/wiki/List_of_cryptographic_file_systems,filesystem
Novell Storage Services,https://en.wikipedia.org/wiki/List_of_cryptographic_file_systems,filesystem
NTFS,https://en.wikipedia.org/wiki/List_of_cryptographic_file_systems,filesystem
ZFS,https://en.wikipedia.org/wiki/List_of_cryptographic_file_systems,filesystem
Ext4,https://en.wikipedia.org/wiki/List_of_cryptographic_file_systems,filesystem
F2FS,https://en.wikipedia.org/wiki/List_of_cryptographic_file_systems,filesystem
bcachefs[3],https://en.wikipedia.org/wiki/List_of_cryptographic_file_systems,filesystem
eCryptfs[16],https://en.wikipedia.org/wiki/List_of_cryptographic_file_systems,filesystem
Rubberhose filesystem (discontinued)[17],https://en.wikipedia.org/wiki/List_of_cryptographic_file_systems,filesystem
StegFS (discontinued),https://en.wikipedia.org/wiki/List_of_cryptographic_file_systems,filesystem
TeaSafe,https://en.wikipedia.org/wiki/List_of_cryptographic_file_systems,filesystem
LUKS,https://en.wikipedia.org/wiki/List_of_cryptographic_file_systems,filesystem
2D computer graphics,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
2D geometric model,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
3D computer graphics,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
3D projection,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Alpha compositing,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Anisotropic filtering,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Anti-aliasing,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Axis-aligned bounding box,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Axonometric projection,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Bézier curve,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Bézier surface,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Bicubic interpolation,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Bilinear interpolation,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Binary space partitioning,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Bitmap graphics editor,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Bounding volume,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Bresenham's line algorithm,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Bump mapping,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Collision detection,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Color space,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Colour banding,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Computational geometry,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Computer animation,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Computer-generated art,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Computer painting,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Convex hull,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Curvilinear perspective,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Cylindrical perspective,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Data compression,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Digital raster graphic,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Dimetric projection,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Distance fog,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Dithering,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Elevation,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Engineering drawing,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Flat shading,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Flood fill,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Geometric model,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Geometric primitive,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Global illumination,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Gouraud shading,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Graphical projection,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Graphics suite,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Heightfield,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Hidden face removal,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Hidden line removal,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
High dynamic range rendering,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Isometric projection,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Lathe (graphics),https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Line drawing algorithm,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Linear perspective,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Mesh generation,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Motion blur,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Orthographic projection,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Orthographic projection (geometry),https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Orthogonal projection,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Perspective (graphical),https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Phong reflection model,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Phong shading,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Pixel shaders,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Polygon (computer graphics),https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Procedural surface,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Projection,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Projective geometry,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Quadtree,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Radiosity,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Raster graphics,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Raytracing,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Rendering (computer graphics),https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Reverse perspective,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Scan line rendering,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Scrolling,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Technical drawing,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Texture mapping,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Trimetric projection,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Vanishing point,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Vector graphics,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Vector graphics editor,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Vertex shaders,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Volume rendering,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
Voxel,https://en.wikipedia.org/wiki/List_of_computer_graphics_and_descriptive_geometry_topics,graphics
AhnLab SiteGuard,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
CleanBrowsing,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
Covenant Eyes,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
DansGuardian,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
DynDNS,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
FinFisher,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
Green Dam Youth Escort,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
GoGuardian,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
Instant WebKiosk,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
K9 Web Protection,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
KidRex,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
M86 SecureBrowsing,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
Microsoft Forefront Threat Management Gateway,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
Mobicip,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
NetGenie,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
Net Nanny,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
Netsentron,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
NetSpark,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
OnlineFamily.Norton,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
OpenDNS,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
Opendium Web Gateway,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
Opendium UTM,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
SafeSearch,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
Scieno Sitter,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
ScreenLimit,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
Secure Web SmartFilter EDU,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
Sentry Parental Controls,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
SimpliProtected,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
SurfWatch,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
squidGuard,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
Trustwave SecureBrowsing,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
UserGate Web Filter,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
WANSecure Firewall,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
Webconverger,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
WebMinder,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
WebWatcher,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
X3watch,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
Zscaler,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
Pumpic,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
SafeSurf,https://en.wikipedia.org/wiki/Comparison_of_content-control_software_and_providers,software
Boolean,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Character,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Floating-point,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Double,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Integer,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
String,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Reference,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Enumerated type,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Pointer,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Array,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Record (also called tuple or structure),https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Union,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
"Tagged union (also called variant, variant record, discriminated union, or disjoint union)",https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Container,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
List,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Associative array,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Multimap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Set,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Bag,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Multiset,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Stack,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Queue,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Double-ended queue,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Priority queue,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Graph,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Array,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Bit array,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Bit field,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Bitboard,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Bitmap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Circular buffer,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Control table,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Image,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Dope vector,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Dynamic array,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Gap buffer,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Hashed array tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Heightmap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Lookup table,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Matrix,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Parallel array,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Sorted array,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Sparse matrix,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Iliffe vector,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Variable-length array,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Doubly linked list,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Array list,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Linked list,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Self-organizing list,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Skip list,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Unrolled linked list,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
VList,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Conc-Tree list,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Xor linked list,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Zipper,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Doubly connected edge list,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Difference list,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Free list,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
AA tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
AVL tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Binary search tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Binary tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Cartesian tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Left-child right-sibling binary tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Order statistic tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Pagoda,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Randomized binary search tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Red–black tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Rope,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Scapegoat tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Self-balancing binary search tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Splay tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
T-tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Tango tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Threaded binary tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Top tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Treap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
WAVL tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Weight-balanced tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
B-tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
B+ tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
B*-tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
B sharp tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Dancing tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
2-3 tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
2-3-4 tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Queap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Fusion tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Bx-tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
AList,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Heap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Binary heap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Weak heap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Binomial heap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Fibonacci heap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
AF-heap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Leonardo Heap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
2-3 heap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Soft heap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Pairing heap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Leftist heap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Treap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Beap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Skew heap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Ternary heap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
D-ary heap,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Brodal queue,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Trie,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Radix tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Suffix tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Suffix array,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Compressed suffix array,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
FM-index,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Generalised suffix tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
B-trie,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Judy array,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
X-fast trie,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Y-fast trie,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Merkle Tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Ctrie,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Ternary tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
K-ary tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
And–or tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
"(a,b)-tree",https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Link/cut tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
SPQR-tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Spaghetti stack,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Disjoint-set data structure,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Fusion tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Enfilade,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Exponential tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Fenwick tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Van Emde Boas tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Rose tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Segment tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Interval tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Range tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Bin,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
K-d tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Implicit k-d tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Min/max k-d tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Relaxed k-d tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Adaptive k-d tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Quadtree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Octree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Linear octree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Z-order,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
UB-tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
R-tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
R+ tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
R* tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Hilbert R-tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
X-tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Metric tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Cover tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
M-tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
VP-tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
BK-tree,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Bounding interval hierarchy,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
Bounding volume hierarchy,https://en.wikipedia.org/wiki/List_of_data_structures,datastructure
