,id,caption,sentence,object_a,object_b,predicted,gold,most_frequent_percentage,origin,sentencer,paths,idr,s_len
1427,2387,middle_paths_unrestricted_16,"Interestingly enough, during a recent visit to their HQ in Taiwan, MSI told TweakTown that they ""would probably end up adding the world's first powerless air cooler to an Nvidia motherboard.""",MSI,Nvidia,BETTER,NONE,0.6,lex (unique),"Container requirements for transportation in the cargo compartment: -', 'Construction materials: Fiberglass, rigid plastic, metal, solid wood', 'or plywood.","[['X/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ wood/NOUN/appos/V Y/PROPN/conj/<']]",D518771739,191
1428,350,middle_paths_unrestricted_16,"Secondly the ""BMW"" tax is the wrong analogy, better is comparing Toyota to Chrysler, you'll pay a small premium but get a vastly better car.",BMW,Toyota,NONE,WORSE,1.0,lex (unique),"I'm so glad people here have finally remembered that fox isn't"", 'actually better than espn!","[['X/PROPN/nsubj/> be/VERB/ROOT/^ good/ADJ/acomp/< than/ADP/prep/<', 'Y/PROPN/pobj/<']]",H1215868282,140
1430,1159,middle_paths_unrestricted_16,While Ruby was an order of magnitude slower than Python there was no contest.,Ruby,Python,BETTER,WORSE,1.0,lex (unique),"I think BMW new what they was doing off loading them on Ford and they', 'have sold to tata im thinking they wll be even worse in ten years from', 'now","[['X/VERB/ROOT/^ Y/PROPN/pobj/<'], ['X/VERB/ROOT/^ new/ADJ/amod/V Y/PROPN/pobj/<'], ['X/VERB/ROOT/^ do/VERB/ccomp/V Y/PROPN/pobj/<']]",I1383614005,77
1433,733,middle_paths_unrestricted_16,One was for pistol barrels and one with a much slower twist was for rifle barrels.,pistol,rifle,NONE,BETTER,0.8,lex (unique),Eclipse Vs NetBeans again (on ubuntu),"[['X/PROPN/compound/> Y/PROPN/ROOT/^'], ['X/PROPN/compound/> vs/PROPN/compound/V Y/PROPN/ROOT/^']]",E635922712,82
1439,1661,middle_paths_unrestricted_16,2. We all knew Windows 8 wouldn't sell better than Windows 7.,Windows 8,Windows 7,BETTER,WORSE,1.0,lex (unique),I guess wood is harder than plastic.,"[['X/PROPN/nsubj/> be/VERB/ROOT/^ hard/ADJ/acomp/< than/ADP/prep/<', 'Y/PROPN/pobj/<']]",H1134854891,61
1440,1770,middle_paths_unrestricted_16,"I found the better CPU (the CR-48 has a single core Intel Atom processor, the commercial units have dual-core Atoms) and improved trackpad made a huge difference and the Acer has become a favorite web-surfing, Google Docs-writing, Flash-game playing machine around our house.",Intel,Google,BETTER,NONE,0.4,lex (unique),"How about they put the Ethernet port back on the notebook, they', 'include more USB ports and a solid optical drive.","[['X/PROPN/compound/> port/NOUN/dep/> port/NOUN/ROOT/^ Y/PROPN/dobj/<'], ['X/PROPN/compound/> port/NOUN/dep/> port/NOUN/ROOT/^ more/ADJ/amod/V', 'Y/PROPN/dobj/<']]",G966116799,275
1442,2357,middle_paths_unrestricted_16,"They had a wonderful run over at Chrysler with a far superior total package (combined salary, healthcare, and pension) than their counterparts at the Toyota U.S. facilities.",Chrysler,Toyota,NONE,BETTER,0.4,lex (unique),"This company showcases its inventory of Ford, Chevy, Dodge, Jeep,', 'Honda, Hyundai and other automakers to introduce auto parts buyers to', 'better pricing.","[['X/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ chevy/PROPN/conj/V Y/PROPN/conj/<']]",R2817348587,173
1447,1860,middle_paths_unrestricted_16,"I consider Java to be a much superior language (and I'm glad I leapfrogged having to deal with C++!) and also give high marks to various declarative programming languages such as Prolog , Mercury , Haskell , etc. and to scripting languages such as Python , Ruby , Lua , etc.",Haskell,Python,BETTER,NONE,1.0,lex (unique),MySQL/Oracle/MS SQL.,[['NOPATH']],L1777175730,274
1449,2394,middle_paths_unrestricted_16,"If you are like me, you understand that Ruby on Rails is way cooler these days, but do not feel ashamed to admit you're coding in PHP because sometimes it just gets the job done faster.",Ruby,PHP,BETTER,NONE,0.8,lex (unique),"Also, the Gamecocks played georgia much better than Nebraska played', 'missouri.","[['X/PROPN/nsubj/> play/VERB/ROOT/^ Y/PROPN/dobj/<'], ['X/PROPN/nsubj/> good/ADJ/acomp/V play/VERB/ROOT/^ Y/PROPN/dobj/<']]",B218958425,185
1450,1164,middle_paths_unrestricted_16,"Specifically, Gibson suggests, Google is getting better at gadget design faster than Apple is getting better at Internet services.",Google,Apple,NONE,BETTER,1.0,lex (unique),"Compared with the Mercedes-Benz C class, BMW 3 series and Audi A4, the', 'Lexus ES sedan now offers more power (268 hp) and worse fuel economy', '(24 mpg combined) from its base engine.","[['X/PROPN/compound/> a4/PROPN/ROOT/^ Y/PROPN/appos/<'], ['X/PROPN/compound/> a4/PROPN/ROOT/^ the/DET/det/V Y/PROPN/appos/<']]",D507004933,130
1452,741,middle_paths_unrestricted_16,Light weight wood or one of the various board substitutes is better than cardboard.,wood,cardboard,NONE,BETTER,1.0,lex (unique),"In Windows 7 and Windows 8, things have changed for the better.","[['X/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/conj/<']]",I1324686601,83
1454,1072,middle_paths_unrestricted_16,"After california, the next most important states for wine are oregon and Washington in the cooler Pacific Northwest.",california,oregon,WORSE,NONE,1.0,lex (unique),"Wi-Fi and Bluetooth support as standard, with a collapsable Gigabit', 'Ethernet port providing faster wired access when you need it.","[['X/ADJ/amod/> support/NOUN/ROOT/^ with/ADP/prep/< Y/PROPN/pobj/<'], ['X/ADJ/amod/> support/NOUN/ROOT/^ with/ADP/prep/<', 'collapsable/ADJ/amod/V Y/PROPN/pobj/<'], ['X/ADJ/amod/> support/NOUN/ROOT/^ with/ADP/prep/<', 'gigabit/PROPN/compound/V Y/PROPN/pobj/<']]",T3179001325,116
1455,470,middle_paths_unrestricted_16,"PHP makes it a bit faster to code than, for instance Java however easier... i wouldn't say that.",PHP,Java,NONE,BETTER,1.0,lex (unique),"Additionally, the Samsung MZ-7PC128B solid state drive is compatible', 'with Windows XP, Windows Vista...",[['X/PROPN/ROOT/^ Y/PROPN/conj/<']],A144062346,96
1457,935,middle_paths_unrestricted_16,The wii was mostly built using faster but nearly identical processors as the gamecube.,wii,gamecube,WORSE,BETTER,1.0,lex (unique),"Once you have chosen a chalk paint for the cabinets the wall selection', 'may become easier for you.",[['X/PROPN/compound/> Y/PROPN/ROOT/^']],L1890473676,86
1458,1656,middle_paths_unrestricted_16,"Hops is also used in beer, which tastes better than the tea.",beer,tea,NONE,BETTER,1.0,lex (unique),Sony better hope and pray that Microsoft follows suit on the Xbox720.,"[['X/PROPN/nsubj/> hope/VERB/ROOT/^ pray/VERB/conj/< Y/PROPN/ccomp/<'], ['X/PROPN/nsubj/> hope/VERB/ROOT/^ pray/VERB/conj/< that/ADP/mark/V', 'Y/PROPN/ccomp/<']]",N2262482990,60
1459,573,middle_paths_unrestricted_16,"As a phone, it was decent if unexciting, but as a music player, it fell far short of the ipod.",phone,ipod,NONE,WORSE,1.0,lex (unique),"Some Scala standard library classes are slower than their Java', 'counterparts e.g.","[['X/ADJ/amod/> be/VERB/ROOT/^ than/ADP/prep/< Y/PROPN/pobj/<'], ['X/ADJ/amod/> be/VERB/ROOT/^ than/ADP/prep/< their/ADJ/poss/V', 'Y/PROPN/pobj/<']]",N2254921186,94
1461,1756,middle_paths_unrestricted_16,pistol/shotgun powder are much faster burning that rifle powder.,pistol,rifle,NONE,BETTER,1.0,lex (unique),"We tested PostgreSQL, and it was acutually faster, and easier to', 'maintain then our Oracle database.","[['X/PROPN/ROOT/^ Y/PROPN/dobj/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/dobj/<'], ['X/PROPN/ROOT/^ be/VERB/conj/V Y/PROPN/dobj/<'], ['X/PROPN/ROOT/^ our/ADJ/poss/V Y/PROPN/dobj/<']]",S3087380573,64
1462,1187,middle_paths_unrestricted_16,california is a much harder place to practice law than is South carolina.,california,carolina,NONE,WORSE,1.0,lex (unique),"Now with Perot's services business, Dell is on track to better compete"", 'with the likes of Accenture, CSC, HP and IBM, analysts say.","[['X/PROPN/nsubj/> be/VERB/ROOT/^ compete/VERB/xcomp/< with/ADP/prep/<', 'like/NOUN/pobj/< of/ADP/prep/< accenture/PROPN/pobj/< csc/PROPN/conj/<', 'hp/PROPN/conj/< Y/PROPN/conj/<']]",L1854062136,73
1467,653,middle_paths_unrestricted_16,"MrSeb writes ""In a twist that reinforces Valve's distaste for Windows 8, it turns out that the Source engine - the 3D engine that powers Half Life 2, Left 4 Dead, and Dota 2 - runs faster on Ubuntu 12.04 and OpenGL (315 fps) than Windows 7 and DirectX/Direct3D (270.6 fps); almost a 20% speed-up.",OpenGL,Direct3D,NONE,BETTER,1.0,lex (unique),Apple and Sony are no better corporations.,"[['X/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/conj/<']]",B326048983,296
1468,991,middle_paths_unrestricted_16,I totally agree with your conclusion that Sony products are better off tham Apple products.,Sony,Apple,NONE,BETTER,0.8,lex (unique),"Windows 8 is much faster then Windows 7, i have experienced.","[['X/PROPN/nsubj/> be/VERB/ROOT/^ Y/PROPN/npadvmod/<'], ['X/PROPN/nsubj/> be/VERB/ROOT/^ then/ADV/advmod/V Y/PROPN/npadvmod/<']]",T3184472891,91
1473,151,middle_paths_unrestricted_16,This means Better Together over Ethernet should work like USB Better Together from UI perspective,Ethernet,USB,BETTER,NONE,1.0,lex (unique),"Plus, the food is being provided courtesy of Microsoft, Amazon, and', 'Exact Software--they\'ll do better than the ""some kind of beef"" served', ""at Bill Murray's summer camp back in 1979.",[['X/PROPN/ROOT/^ Y/PROPN/conj/<']],M2012241479,97
1475,1935,middle_paths_unrestricted_16,"As far as buy back concern, I believe Amazon is offering better deals then even the Microsoft croperate trade in program, especially for win8 tablets and etc.",Amazon,Microsoft,NONE,BETTER,1.0,lex (unique),"Another way reagan was like kennedy, was that he was a natural for', 'television, easily able to ignore juvenile barbs and jibes and show', 'himself the better man.",[['X/PROPN/nsubj/> be/VERB/ROOT/^ like/ADP/prep/< Y/PROPN/pobj/<']],B308806533,158
1477,1527,middle_paths_unrestricted_16,Much nicer web interface than the Panasonic BluRay player we have used up to now (and still may use for Amazon movies since Apple TV doesn't support those).,Amazon,Apple,BETTER,NONE,0.8,lex (unique),"It is JavaScript-based, which is safer than ActiveX and the Ruby', 'component is negligible.","[['X/PROPN/npadvmod/> base/VERB/ROOT/^ be/VERB/relcl/< safe/ADJ/acomp/<', 'than/ADP/prep/< activex/PROPN/pobj/< Y/PROPN/conj/<'], ['X/PROPN/npadvmod/> base/VERB/ROOT/^ be/VERB/relcl/< safe/ADJ/acomp/<', 'than/ADP/prep/< activex/PROPN/pobj/< the/DET/det/V Y/PROPN/conj/<']]",I1408577369,156
1478,1603,middle_paths_unrestricted_16,"The MS-product which is handling the game proper is DirectX/Direct3D, which is pretty damn decent and generally regarded as the best there is (the competitor is OpenGL).",Direct3D,OpenGL,NONE,BETTER,1.0,lex (unique),"You can use a ball (tennis, golf or roller hockey) but a puck provides', 'a better simulation.","[['X/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ or/CONJ/cc/V Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ roller/NOUN/compound/V Y/PROPN/conj/<']]",T3246301109,169
1479,1321,middle_paths_unrestricted_16,youtube videos can be used to publicize self-produced music - and linked to itunes to allow relatively unknown singers to make a decent living.,youtube,itunes,WORSE,NONE,1.0,lex (unique),"Equipment: Your teams Flag (Ferrari, Mc Laren, Renault, BMW etc..).","[['X/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ laren/PROPN/conj/V Y/PROPN/conj/<']]",E657877272,143
1480,12,middle_paths_unrestricted_16,"I think Subversion will remain in use for the same reason MySQL remains in use, even though it is drastically inferior to PostgreSQL -- inertia.",MySQL,PostgreSQL,NONE,WORSE,0.6,lex (unique),"missouri hung with georgia for a half before yielding to the Bulldogs'"", 'superior depth.",[['X/PROPN/nsubj/> hang/VERB/ROOT/^ with/ADP/prep/< Y/PROPN/pobj/<']],K1721798871,144
1481,1006,middle_paths_unrestricted_16,"halloween is a short 12 days away, so there is no better time to start planning your thanksgiving meal.",halloween,thanksgiving,BETTER,NONE,1.0,lex (unique),"If OSU beats michigan State Saturday and finishes undefeated, there's"", 'a better chance for a one-loss Auburn to jump the Buckeyes than a one-', 'loss missouri.","[[""X/PROPN/compound/> '/VERB/ROOT/^ jump/VERB/advcl/< than/ADP/prep/<"", 'Y/PROPN/pobj/<'], [""X/PROPN/compound/> '/VERB/ROOT/^ jump/VERB/advcl/< than/ADP/prep/<"", 'loss/NOUN/compound/V Y/PROPN/pobj/<']]",H1087015353,103
1482,338,middle_paths_unrestricted_16,NetBeans is not Eclipse.,NetBeans,Eclipse,BETTER,NONE,0.5,lex (unique),"Applications for Honda, Acura, Nissan and Scion.","[['X/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ acura/PROPN/conj/V Y/PROPN/conj/<']]",B327327607,24
1485,511,middle_paths_unrestricted_16,princeton has almost invariably played her best game against harvard--usually better than when opposing Yale.,princeton,harvard,NONE,BETTER,1.0,lex (unique),"Amazon and Google have both made it easier for their users to donate', 'to the Red Cross and other organizations.","[['X/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/conj/<']]",B231791100,109
1487,1801,middle_paths_unrestricted_16,Buying a BMW of course it is better than Toyota.,BMW,Toyota,NONE,BETTER,1.0,lex (unique),"The 480 Mb USB interface and v2.1 enhanced Bluetooth make sharing of', 'data faster.","[['X/ADJ/amod/> interface/NOUN/ROOT/^ Y/PROPN/conj/<'], ['X/ADJ/amod/> interface/NOUN/ROOT/^ v2.1/ADJ/poss/V Y/PROPN/conj/<'], ['X/ADJ/amod/> interface/NOUN/ROOT/^ enhanced/ADJ/amod/V Y/PROPN/conj/<']]",O2391155907,48
1488,517,middle_paths_unrestricted_16,"Instead, they've been able to score against everyone except harvard, but Ashley Holt has had the better numbers in goal after Newell had a tough night versus cornell.",harvard,cornell,BETTER,NONE,1.0,lex (unique),"That's a problem for Dell, and it won't get any better until it starts"", 'beating Apple at its own game.","[['X/PROPN/ROOT/^ Y/PROPN/dobj/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/dobj/<'], ['X/PROPN/ROOT/^ get/VERB/conj/V Y/PROPN/dobj/<']]",O2374472881,166
1490,1362,middle_paths_unrestricted_16,Using this cement saved at least nine days compared to a slower-setting concrete overlay.,cement,concrete,NONE,BETTER,1.0,lex (unique),"That is, I can code faster in Java than in C++; I can code faster in', 'Python than either of them.","[['X/PROPN/dep/> code/VERB/ROOT/^ in/ADP/prep/< Y/PROPN/pobj/<'], ['X/PROPN/dep/> than/ADP/prep/V code/VERB/ROOT/^ in/ADP/prep/<', 'Y/PROPN/pobj/<']]",O2365780816,89
1492,69,middle_paths_unrestricted_16,"A solid beer, no doubt, but just not my cup of tea.",beer,tea,WORSE,NONE,0.4,lex (unique),"There's a limited European menu of pasta, pizza and steak, but the"", 'main menu full of Asian specials is better value for money.","[['X/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/conj/<']]",Q2664838513,51
1494,507,middle_paths_unrestricted_16,Holy crap IE was technically superior than Mozilla/Firefox as CUDA is to OpenCL?,CUDA,OpenCL,BETTER,NONE,0.4,lex (unique),RE4 controlled better on wii than ps2 or GC but not good enough.,"[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ than/ADP/prep/V Y/PROPN/pobj/<']]",M2070004916,80
1497,1253,middle_paths_unrestricted_16,"Good for Apple, better for Google?",Apple,Google,BETTER,NONE,1.0,lex (unique),"System requirements Windows 98/Windows 2000/Windows ME/Windows', 'XP/Windows Vista 1.5 GHz processor 256 MB RAM 2 GB free space 4x DVD', 'Drive DirectX 9.0c -compatiable 64 MB video card DirectX', '8.0a-compatible sound card Multiplayer: 56 kbit/s or faster internet', 'connection Input methods: Mouse, Keyboard",[['NOPATH']],O2332621704,34
1499,1459,middle_paths_unrestricted_16,This makes Ruby almost as slow as Python was made faster.,Ruby,Python,NONE,WORSE,1.0,lex (unique),"Honda, Mercedes, Jeep, BMW, VW and others either offer today or will', 'offer in 2009 clean diesel cars/trucks/SUVs that get better real world', 'mileage than gas-electric hybrids.","[['X/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ mercedes/PROPN/conj/V Y/PROPN/conj/<']]",G959040621,57
1503,2098,middle_paths_unrestricted_16,And letting Microsoft usurp the web is even worse than letting Google have it.,Microsoft,Google,BETTER,WORSE,1.0,lex (unique),"Half of the world's top brands, including tech rivals, Google, Amazon,"", 'Yahoo, Apple, Microsoft, and others, applied for gTLDs as a closed', 'ecosystem to use in creating a better digital experience for', 'consumers.","[['X/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ yahoo/PROPN/conj/V Y/PROPN/conj/<']]",F844071956,78
1504,893,middle_paths_unrestricted_16,"For example: If AWK has a find_the_first_word_after_this_string(""Insert string here"") command, or If Perl has a grab_text_between_these_two_strings(""string1"", ""string2"") command, then it is quite easy to decent which language is best suited for which task.",AWK,Perl,BETTER,NONE,1.0,lex (unique),"Nokia, Motorola... other phones have this issue.""",[['X/PROPN/ROOT/^ Y/PROPN/conj/<']],L1813340628,256
1505,922,middle_paths_unrestricted_16,"60% Mesh Discovery 16-RV review Source: Techradar While the Discovery 16-RV may be lacking the power of the Intel Core laptops and the portability of the Sony VAIO VPC-Y21S1E/SI, the solid build, excellent usability and impressive range of features belie the low price.",Intel,Sony,BETTER,NONE,1.0,lex (unique),"For the latter I've looked at the code and it's definitely easier to"", 'solve using JavaScript than PHP. - Hippietrail 13:33, 26 July 2007', '(UTC)","[['X/PROPN/ROOT/^ Y/PROPN/pobj/<'], ['X/PROPN/ROOT/^ than/ADP/prep/V Y/PROPN/pobj/<']]",F761894252,269
1510,1693,middle_paths_unrestricted_16,"I hope it will support new standards such as USB 3.0, Bluetooth 3.0, and better processors.",USB,Bluetooth,WORSE,NONE,1.0,lex (unique),"Although we have Mercedes-Benz to thank for the oxymoronic ""4-door', 'coupe"" category, Audi has gone one better with its A7 5-door coupe .","[['X/PROPN/nsubj/> thank/VERB/ROOT/^ for/ADP/prep/< category/NOUN/pobj/<', 'Y/PROPN/appos/<']]",B228476363,91
1511,1360,middle_paths_unrestricted_16,"Now that I'm done picking on JavaScript, I'll point out that the situations in both Python and Ruby aren't much better.",JavaScript,Python,BETTER,NONE,0.6,lex (unique),"IBM has always understand architectural integrity better than', 'Microsoft, which lends a degree (sometimes a high degree, sometimes', 'not) better security.","[['X/PROPN/nsubj/> understand/VERB/ROOT/^ good/ADJ/advmod/<', 'than/ADP/prep/< Y/PROPN/pobj/<']]",G1024561782,119
1512,1573,middle_paths_unrestricted_16,"Other vendors mentioned in the report are Alcatel-Lucent SA, Avaya Inc., Brocade Communications Systems Inc., Dell Inc. (Force 10), Enterasys Networks Inc., Extreme Networks Inc., Huawei Technologies Co. Ltd., and Oracle Corp. (Xsigo Systems).",Avaya,Huawei,WORSE,NONE,1.0,lex (unique),"But Lenovo, with its IBM ancestry knows the enterprise market better', 'than Google does.",[['X/PROPN/compound/> know/VERB/ROOT/^ than/ADP/prep/< Y/PROPN/pobj/<']],D400850165,243
1517,279,middle_paths_unrestricted_16,"For that testing we used Windows XP, as it's proven a faster platform than Windows Vista.",Windows XP,Windows Vista,NONE,BETTER,0.8,lex (unique),", aims to promote the National lacrosse League (NLL) as a better', 'alternative to the National hockey League (NHL).","[['X/PROPN/compound/> league/PROPN/ROOT/^ as/ADP/prep/<', 'alternative/NOUN/pobj/< to/ADP/prep/< Y/PROPN/pobj/<'], ['X/PROPN/compound/> league/PROPN/ROOT/^ as/ADP/prep/<', 'alternative/NOUN/pobj/< to/ADP/prep/< the/DET/det/V Y/PROPN/pobj/<'], ['X/PROPN/compound/> league/PROPN/ROOT/^ as/ADP/prep/<', 'alternative/NOUN/pobj/< to/ADP/prep/< national/PROPN/compound/V', 'Y/PROPN/pobj/<']]",B182940055,89
1522,828,middle_paths_unrestricted_16,"Google Chrome is just simple spyware, much worse than even Microsoft.",Google,Microsoft,BETTER,WORSE,1.0,lex (unique),"Is there any way I can just get 2.6.5 on there in a slightly easier', 'way than this so I can get my USB-Ethernet NIC working??",[['X/PROPN/compound/> Y/PROPN/ROOT/^']],I1356468014,69
1523,1244,middle_paths_unrestricted_16,I said: Perl isn't even always faster than Java at text processing.,Perl,Java,BETTER,WORSE,1.0,lex (unique),"During the last three years of both the reagan and the kennedy', 'administrations, GDP was growing faster than the debt burden.","[['X/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ the/DET/det/V Y/PROPN/conj/<']]",E623396581,67
1531,726,middle_paths_unrestricted_16,"That's true for Perl too I guess, but I like Python better order of magnitudes myself",Perl,Python,NONE,WORSE,1.0,lex (unique),"There's also a whole bunch of things that Java can do way better (PHP"", ""can't even handle longs well!).",[['X/PROPN/nsubj/> do/VERB/ROOT/^ Y/PROPN/dep/<']],Q2665346703,85
1532,949,middle_paths_unrestricted_16,The MSI GeForce 8800 GTS 512MB is one of the better mid-high performance cards available for its price and fills the gap between the current generation of high-end cards and the eagerly awaited series that's soon to come from Nvidia.,MSI,Nvidia,BETTER,NONE,1.0,lex (unique),"Honda is solid at #6 and 6.1% share, Ford is back above Mercedes and', 'BMW, Mazda shines again at #8 and local manufacturer Luxgen is back', 'inside the Top 10 at #9 with 1.104 sales and 3.2% share.","[['X/PROPN/nsubj/> be/VERB/ROOT/^ back/ADV/advmod/< above/ADP/prep/<', 'mercedes/PROPN/pobj/< Y/PROPN/conj/<']]",G959035385,233
1536,234,middle_paths_unrestricted_16,"Remember, you're the one that said the wii was the better Mercedez and the ps3 was the worse KIA.",wii,ps3,NONE,BETTER,1.0,lex (unique),"Vanderbilt has played two of the SEC's top four offensive teams thus"", ""far in missouri and South carolina, but it doesn't get any easier.","[['X/PROPN/ROOT/^ Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/conj/<'], ['X/PROPN/ROOT/^ south/PROPN/compound/V Y/PROPN/conj/<']]",S2994589331,97
1537,1243,middle_paths_unrestricted_16,"Ruby seem to be slower than Python or perl, but faster than",Ruby,Python,BETTER,WORSE,0.7142857142857143,lex (unique),"- QUICK MOVEMENT The speed of your player is based on the weight of', 'your gun, so when the round starts, switching to the pistol or even', 'better, your knife, will result in much faster movement.","[['X/PROPN/ROOT/^ Y/PROPN/appos/<'], ['X/PROPN/ROOT/^ or/CONJ/cc/V Y/PROPN/appos/<'], ['X/PROPN/ROOT/^ good/ADJ/conj/V Y/PROPN/appos/<'], ['X/PROPN/ROOT/^ your/ADJ/poss/V Y/PROPN/appos/<']]",M2058376611,59
1539,200,middle_paths_unrestricted_16,"11/2/07) this year on Nov. 1, the good news for new CEO Robert Nardelli and his two vice-chairmen-incumbent Tom LaSorda and former Toyota Motor (TM) North America boss James Press-is that they have the autonomy to make decisions much faster than Chrysler could under Daimler (DAI).",Toyota,Chrysler,NONE,BETTER,1.0,lex (unique),"The greatest google trick of all: every website such as amazon,', 'youtube, etc. all have their own search boxes, but the google search', 'box is better than theirs.",[['X/PROPN/ROOT/^ Y/PROPN/conj/<']],P2508593840,281
