,sentence,object_a,object_b,pred_if,pred_lex,gold,most_frequent_percentage,s_len
326,Even Windows 8 does (in my experience) a decent job of playing games that hark back to the Windows XP era.,Windows 8,Windows XP,NONE,NONE,BETTER,1.0,106
336,"It gets better-this is cnn, not fox.",cnn,fox,NONE,NONE,BETTER,1.0,36
339,"Modern hardware/ multicore systems perform much better on Windows 7 or Windows 8, instead of Windows XP.",Windows 8,Windows XP,NONE,NONE,BETTER,1.0,104
340,"I tweeted back that I thought football, even a lousy Pro Bowl game, still would top hockey in Chicago.",football,hockey,NONE,NONE,BETTER,0.8,102
350,"Only california is projected to lose more graduates than michigan, and only Vermont will shrink faster.",california,michigan,BETTER,BETTER,WORSE,1.0,103
352,I am very skeptical that Swift is faster than Objective-C.,Swift,Objective-C,BETTER,BETTER,WORSE,1.0,58
357,"One you match a better product with the power of so many manufacturers pushing (HP, Toshiba, Asus, Dell, Sony, etc) it's a mathematical certainty that Microsoft will dominate once again.",Dell,Microsoft,NONE,NONE,WORSE,0.8,186
359,"(FWIW, Smalltalk (and to a much lesser extent, Java)",Smalltalk,Java,WORSE,NONE,BETTER,0.8,52
359,"When compared to the Ford products we owned before, the Toyota vehicles have been a better experience for us.",Ford,Toyota,NONE,NONE,WORSE,1.0,109
360,Look at how much easier it is with Objective-C (and Cocoa) and you'll soon be wondering precisely which fresh circle of hell Java and C++'s designers will be given when their time comes.,Objective-C,Java,NONE,NONE,BETTER,1.0,186
363,"When a BMW is no better than a Ford Fusion, the industry has issues.",BMW,Ford,BETTER,BETTER,WORSE,1.0,68
369,Apple could take advantage of the superior IBM components in the systems.,Apple,IBM,BETTER,BETTER,NONE,0.6,73
372,"My use of Scala to date has been as a ""better Java.",Scala,Java,WORSE,WORSE,BETTER,1.0,51
373,"Second, any defense of the U.S. federal Public ""Education"" department and all its trappings is the equivalent of buying a lemon Chrysler for the same price as a top-of-the line Mercedes sedan, made even more insulting by the fact you could in fact buy a far better performing Mercedes, BMW or even a modest Honda Accord, Toyota or Ford for less to far less money.",Chrysler,Toyota,NONE,NONE,WORSE,1.0,363
373,There is also no sane reason to use mySQL (or Oracle) when PostgreSQL is better than both in almost every respect.,Oracle,PostgreSQL,NONE,NONE,WORSE,1.0,114
378,Would the new Nikon 85 be that much better than the old one or the inexpensive Sigma to justify the investment?,Nikon,Sigma,BETTER,BETTER,NONE,1.0,111
398,"Since then I've gone through the Apple Cinema, then on to the bigger and better Dell :)",Apple,Dell,NONE,NONE,WORSE,0.8,87
407,See recent Maxine Hong Kingston article - sorry I can't remember source - Google it.,Kingston,Google,WORSE,BETTER,NONE,0.8,84
418,"People might choose to use PostgreSQL because they hate Oracle, or MySQL because it's easier to find hosting, or either product because they know it better, and that's totally legitimate and perhaps worth talking about, but - partly in the interests of harmony among communities that ought to be allies - it's not what I'm going to talk about here.",PostgreSQL,Oracle,NONE,NONE,BETTER,0.6,348
420,"The 6th Generation of Chevrolet Camaro finally unveiled in Detroit, since 5th generation the Camaro is just getting better to rival the direct competition - Ford Mustang.",Chevrolet,Ford,NONE,NONE,BETTER,0.8,170
421,"This post looks at Pepsi-Cola, a huge multinational corporation that's trying harder and harder to catch up to number one, Coca-Cola.",Pepsi,Coca-Cola,NONE,NONE,WORSE,1.0,133
422,It was better than Windows Vista; it was better than Windows XP.,Windows Vista,Windows XP,BETTER,BETTER,NONE,1.0,64
424,and MySQL but not Oracle?,MySQL,Oracle,WORSE,BETTER,NONE,1.0,25
425,"While dozens of manufacturers will gladly slap an Intel, Microsoft, or NVIDIA advertisement on the palmrest of your brand new laptop, Google knows better than to partake in this annoying practice.",Intel,Google,NONE,BETTER,WORSE,0.8,196
425,"Although michigan is possible, missouri seems to fit better in that cluster of states.",michigan,missouri,NONE,NONE,WORSE,1.0,86
427,They are very nice - with solid wood backs (not the cheap cardboard back type).,wood,cardboard,NONE,NONE,BETTER,1.0,79
430,Its easier to create a mediocre baseball movie than and mediocre basketball or football movie.,baseball,football,NONE,NONE,BETTER,0.4,94
434,"Thoughts that day turned not to coffee, but to water and juice, the cooler the better.",coffee,juice,NONE,NONE,WORSE,0.4,86
435,"Windows XP needed two service packs, but Windows 98 was even worse, needing a second edition to plug the holes.",Windows XP,Windows 98,NONE,NONE,BETTER,1.0,111
437,"Likewise, learning Ruby is no harder than learning PHP but far, far more rewarding.",Ruby,PHP,WORSE,WORSE,BETTER,1.0,83
438,JavaScript is not made to build files... PHP is probably a better tool to build js files with text files.,JavaScript,PHP,NONE,NONE,WORSE,1.0,105
440,Exactly like Windows XP and 7 and nothing like Windows 8. but with better performance,Windows XP,Windows 8,NONE,NONE,WORSE,1.0,85
441,"Not sure, but I am sure that Chrysler can not do 25%+ better than GM and Toyota.",Chrysler,Toyota,NONE,BETTER,WORSE,1.0,80
442,"1. BMW, 40 points / Chevrolet, 40 3. Ferrari, 27 4. Porsche, 23",BMW,Ferrari,NONE,NONE,BETTER,0.8,63
443,We've found that downloads are generally slower in Windows Vista and 7 compared to Windows XP.,Windows Vista,Windows XP,NONE,BETTER,WORSE,1.0,94
453,"Ruby 1.9 is about 3x faster, which should put it in the 20x slower than native ballpark that Perl and Python are at today.",Ruby,Python,WORSE,NONE,BETTER,0.8,122
456,"the pizza looked better than it tasted, but the soup was so yummy!",pizza,soup,BETTER,NONE,WORSE,1.0,66
457,If you're so anti-Oracle you're better off using PostgreSQL.,Oracle,PostgreSQL,BETTER,NONE,WORSE,0.8,60
462,"Tomorrow, the ps2 and some WALL-E (I can not play that game on the ds anymore, cuz it is sooooo much slower, more boring, and all you can do is make/throw cubes).",ps2,ds,NONE,NONE,BETTER,1.0,162
464,"For any lens that Canon or Nikon offers, there is a response from Sigma or Tamron that is as good or sometimes better.",Nikon,Sigma,NONE,NONE,WORSE,1.0,118
476,Does this imply that milk is worse than soda as far as tooth decay is concerned??,milk,soda,WORSE,WORSE,NONE,1.0,81
478,"There's no use coercing a Java program into Scala, for it will be inferior in most ways to its original.",Java,Scala,NONE,NONE,BETTER,1.0,104
487,Uniformity: It is here is where the otherwise superior Toshiba E220 falls apart in relation to the Samsung E550.,Toshiba,Samsung,NONE,NONE,WORSE,1.0,112
488,They cut off tennis coverage to show us Women's college basketball or even worse little league baseball...,tennis,baseball,WORSE,NONE,BETTER,1.0,106
490,There is nothing simple or readable about Python that can not be expressed better in JavaScript or Ruby for example..,Python,JavaScript,NONE,NONE,WORSE,1.0,117
490,"oregon maybe isn't Notre Dame or michigan, but (it is) certainly better known than George Mason or Gonzaga,"" McEvoy said.",oregon,michigan,NONE,NONE,WORSE,0.6,121
492,"I have also rented many cars, American and Japanese, and with the exception of a very smooth ride in a Cadillac, I always like the Japanese cars better (Nissan and Toyota, vs. Ford, Chrysler and GM).",Toyota,Chrysler,NONE,NONE,BETTER,0.8,199
492,"CAMBRIDGE, Mass - Behind solid pitching and four home runs, dartmouth swept harvard, 8-2 and 9-2, to claim back-to-back Ivy League North Division Championships on Monday afternoon.",dartmouth,harvard,NONE,NONE,BETTER,1.0,180
508,"And, I have found that using cider vinegar instead of lemon juice is a nice twist, and keeps better.",cider,juice,NONE,NONE,BETTER,0.8,100
511,OO (with Smalltalk being much more heavily OO than Java).,Smalltalk,Java,BETTER,BETTER,WORSE,1.0,57
518,"My Brit friends Denny and Gillian are continually disgusted by my affection for ""eggy bread"" and maple syrup, or worse-sausage studded with apple and raisins.",bread,sausage,NONE,NONE,BETTER,1.0,158
521,"Is Ruby truly better than Python (scripting/programming wise), what about speed wise?",Ruby,Python,BETTER,BETTER,NONE,1.0,85
536,"For me, that list is Brian Matusz (San Diego), Aaron Crow (missouri), Tyson Ross (California) and-against my better judgment-Jacob Thompson (virginia) and Lance Lynn (Mississippi).",missouri,virginia,NONE,NONE,WORSE,1.0,180
544,"I was originally going to develop my website using JSPs, but learned that my ISP did not support JSPs, only Java servlets (!), so I was forced to look at PHP as a faster, easier way of developing the site.",Java,PHP,NONE,NONE,WORSE,1.0,205
547,"My Dell laptop E1505 works fine, my Intel and AMD destop computers are frozen solid.",Dell,Intel,NONE,NONE,BETTER,1.0,84
550,"Python skills a plus, but not required, especially if you're solid at JavaScript.",Python,JavaScript,NONE,NONE,BETTER,0.6,81
550,"Overall, the Nike Elite sock has better padding, better compression, better fit but the Adidas SpeedCrew has better ventilation.",Nike,Adidas,BETTER,WORSE,NONE,0.8333333333333334,128
560,"Toyota continues to dominate the market with an excellent 21.2% share this month thanks to 884 sales, ahead of BMW very solid at 631 units and 15.1% vs. 13% year-to-date, Mercedes with 510 sales and 12.2% and Volkswagen at 456 units and 10.9% vs. 9.1% year-to-date.",Toyota,BMW,NONE,NONE,BETTER,0.8,265
561,"Perhaps start your day off with a breakfast cone, which features a luscious blend of eggs, sausage, bacon and jack/cheddar cheese - like a breakfast sandwich, but better!",sausage,sandwich,NONE,NONE,BETTER,0.8,170
562,I don't think very many people are going to buy an Sigma SD-10 when the Canon 10D and Nikon D70 are so clearly superior.,Sigma,Nikon,NONE,NONE,WORSE,1.0,120
565,It's like giving up my Toyota because somebody promises that the new Ford is better.,Toyota,Ford,NONE,NONE,WORSE,1.0,84
572,"The company was late to get lens coatings sorted out, but beginning in the late 1980s it cemented its position as a leading maker of camera optics, to the point that today I consider it to be a peer of Zeiss and Leica and, broadly speaking, slightly superior to Canon or Nikon as a lensmaker.",Leica,Nikon,NONE,NONE,BETTER,1.0,292
575,"Money is available, but authorization to use it is being withheld until Chevrolet does better in this little sales tussle with Ford.",Chevrolet,Ford,NONE,NONE,BETTER,1.0,132
576,It also didn't hurt my faith in Microsoft when Sony kept releasing a newer and uglier PS3 each time.,Microsoft,Sony,NONE,NONE,BETTER,1.0,100
583,"2. Horrible synchronization sotfware (Siemens, but from what I'm told Nokia is no better).",Siemens,Nokia,NONE,NONE,BETTER,1.0,90
585,"This is where Scala stops being a better Java, in the sense Groovy is, and becomes its own language.",Scala,Java,BETTER,NONE,WORSE,1.0,100
589,"They had better enter it in sports car racing like Ford is doing with the new Mustang which has already won four races against BMW M3s, Porsche 911s, Nissan 350Zs, and other cars in Grand-Am Cup.",Ford,BMW,NONE,NONE,BETTER,1.0,195
591,Holding a pistol steady is harder than a rifle.,pistol,rifle,BETTER,BETTER,WORSE,0.6,47
598,Harvick's Chevrolet had nudged ahead of Kenseth's Toyota coming out of the fourth turn but Kenseth went to the outside nearly brushing the SAFER Barrier to make the race-winning pass at the checkered flag.,Chevrolet,Toyota,BETTER,BETTER,NONE,1.0,205
598,"There is a real, major benefit of using Java over other languages, such as C or Haskell or Smalltalk, which is this: it lets you work with other mediocre programmers, and has limitations that prevents them from doing anything too crazy.",Java,Haskell,NONE,NONE,BETTER,0.8,236
606,"The NFL and professional baseball are covered to death in this country, and hockey is just cooler.""",baseball,hockey,NONE,NONE,WORSE,0.8,99
609,"Ruby is 1.7 times slower than Perl, TCL is 3.3 times slower, and Python is 8.2 times slower!",Ruby,Python,WORSE,WORSE,BETTER,1.0,92
612,I agree with the above mentioned statement of getting a wii if you just want to have fun and look at mediocre graphics or better yet a ps2 which has tons of games with decent graphics and gameplay.,wii,ps2,BETTER,NONE,WORSE,0.8,197
616,"But with the 3.73 rear axle as tested, the Chevrolet Silverado finished in third place pulling the trailer from 0 to 60-mph in 22.6 seconds, 6.5-seconds behind the Toyota Tundra and 1.1-seconds slower than the Dodge Ram.",Chevrolet,Toyota,NONE,BETTER,WORSE,1.0,220
617,"Now this last system used only a 1.8GHz Opteron 144 processor as opposed to the 2.0GHz Opteron 246 of the IBM systems, so the Intel compiler is actually faster at 1093/1162.",IBM,Intel,NONE,NONE,WORSE,0.8,173
619,"Shouldn't nixon have surrendered to McGovern in 1972, the better to lay the groundwork for a reagan resurgence in 1976?",nixon,reagan,NONE,NONE,WORSE,1.0,119
620,"If you do a lot of offroading, the jeep ""can"" be optioned better but for an everyday v6 suv, the Explorer is right up there.",jeep,suv,NONE,NONE,BETTER,1.0,124
621,A plywood boat better than a steel one?,plywood,steel,BETTER,BETTER,NONE,1.0,39
623,Good better than Google Sony Xperia Z2 phone with Android 4.4.4,Google,Sony,NONE,NONE,WORSE,1.0,63
623,"Perl's still at a decent level, on par with PHP and still above Python and...",PHP,Python,NONE,NONE,BETTER,1.0,77
638,If South carolina represents the worst performance to be expected of Devin Gardner than michigan is in solid hands.,carolina,michigan,WORSE,BETTER,NONE,1.0,115
639,The canon and Nikon 50mm 1.4 aren't very good the Sigma out now is better than both of them.,Nikon,Sigma,BETTER,NONE,WORSE,1.0,92
639,"Here the standouts are Eisenhower, nixon, and to a lesser extent Ronald reagan, whose views were poorly grounded in specifics.",nixon,reagan,NONE,NONE,BETTER,1.0,126
642,Soriano produced a steel prototype in Palo Alto that was never put into production - timber was easier.,steel,timber,NONE,NONE,WORSE,1.0,103
643,"They can't be bothered to trade in their old Honda Accord for a new $100,000 BMW or Mercedes because the fancy new car won't get them anywhere any faster than the existing car.",Honda,BMW,NONE,NONE,BETTER,0.6,176
644,I notice that baseball it is harder to get nicer patches like those then say football.,baseball,football,BETTER,NONE,WORSE,0.6,86
648,"I know that there are a lot of commandos out there who will tell me that I just need more practice in drawing my pistol quickly, and, although I have practiced, I am still a little faster with the knife.",pistol,knife,NONE,NONE,WORSE,1.0,203
657,"In fact, they look even worse than the ps2 visuals, since the psp doesn't have quite as much graphical firepower.",ps2,psp,NONE,NONE,BETTER,1.0,113
663,If any company is behaving even worse than Microsoft at it's market peak it is Apple.,Microsoft,Apple,WORSE,NONE,BETTER,1.0,85
678,Could the Google-opoly be any worse than the Microsoft Empire?,Google,Microsoft,WORSE,BETTER,NONE,0.6,62
683,Why should cricketers and hockey players not be able to earn a decent living like footballers or basketball players do?,hockey,basketball,NONE,NONE,WORSE,1.0,119
683,But I'm not convinced it works in JavaScript any better than it works in Perl.,JavaScript,Perl,BETTER,NONE,WORSE,1.0,78
684,The only thing better than a cold glass of beer is tea with Miss McGill.,beer,tea,NONE,NONE,WORSE,0.8,72
685,"The shuttle is a decent space truck, but we need a cheaper (and safer) space ""bus.""",truck,bus,NONE,NONE,WORSE,0.6,83
688,"This's the first kernel I'm running on this board; it's a Gigabyte with H61 chipset; what about you? _________________ Buy from companies supporting opensource -- IBM, Dell, HP, Hitachi, Google etc... Disfavor companies supporting only Win -- Logitech, Epson, Pioneer, Kingston, WD, Yahoo, MSI, XFX, Huawei My blog",Google,Kingston,BETTER,BETTER,NONE,1.0,314
688,Why make it harder on yourself by using such an advanced language as Perl when you can have an easier and more successful time with PHP.,Perl,PHP,NONE,NONE,WORSE,1.0,136
691,The restaurant would have to be better than just a simple cafe or pizza place.,restaurant,cafe,BETTER,BETTER,NONE,1.0,78
694,"It might be easier to hire Java developers, but a Scala team will be able to get a lot more done",Java,Scala,NONE,NONE,WORSE,1.0,96
696,Drunk as a drowned rat - Worse than drunk as a drowned mouse.,rat,mouse,NONE,BETTER,WORSE,1.0,61
699,Cooler server side scripting languages of the day like Ruby and Python are a lot less like C. Therefore learning PHP and JavaScript is a great place to start.,Python,JavaScript,BETTER,NONE,WORSE,0.8,158
700,I consider Windows 7 very efficient and Windows 8 is even better.,Windows 7,Windows 8,BETTER,NONE,WORSE,1.0,65
704,"All my friends who have computers was still running Windows 98, and I recall that Windows XP ran muuuuuuuuuuuch faster than 98 in my (still outdated) AMD Athlon 700MHz.",Windows 98,Windows XP,NONE,NONE,WORSE,1.0,168
705,"Sony, Grass Valley, Lightworks, even the inferior Apple.",Sony,Apple,NONE,NONE,BETTER,1.0,56
705,"virginia Tech put together a solid drive, but michigan forced a 37-yard field goal.",virginia,michigan,NONE,BETTER,WORSE,1.0,83
708,"In Crysis the Kingston 40GB again takes second place to the Intel in the SSD ranks, making it a pretty decent proposition for gaming.",Kingston,Intel,NONE,NONE,WORSE,1.0,133
723,"The player is working just as well as my older Toshiba 1080p upconverting DVD player/recorder and I think the quality is actually better on my Samsung 61"" DLP 1080p HDTV.",Toshiba,Samsung,BETTER,NONE,WORSE,1.0,170
725,"Ultimately I decided on Scala as it provided an easier transition, was more mature, had greater community support, better interoperability with existing Java code, and a nicer syntax.",Scala,Java,BETTER,BETTER,NONE,1.0,183
727,I'm finding that amazon 's selection of apps are very limited and mediocre compared to google Play.,amazon,google,BETTER,BETTER,WORSE,1.0,99
