,id,caption,sentence,object_a,object_b,predicted,gold,most_frequent_percentage,origin,s_len
3443,1416,InferSent,The MSI NX8800GT OC isn't any worse than the Nvidia GeForce 8800 GTX starting from a resolution of 1600x1200 and even provides a better minimum of speed.,MSI,Nvidia,NONE,BETTER,0.8,se (unique),153
3447,313,InferSent,"The notebook's SYSmark 2004 SE performance scores were in line with those of the Dell Inspiron E1505 , which houses a slightly slower, 1.6-GHz Intel Core Duo T2300.",Dell,Intel,WORSE,NONE,1.0,se (unique),164
3448,1943,InferSent,"Whereas in Scala it is as easy or easier to stay immutable, in Java it is easier to stay mutable.",Scala,Java,BETTER,NONE,0.6,se (unique),97
3449,295,InferSent,Angiulo told me that Microsoft was working harder than ever with its hardware partners -- with Dell and HP and all the other companies -- to make the experience of touch both on Windows 7 and Window 8 better.,Microsoft,Dell,BETTER,NONE,0.6,se (unique),208
3450,2023,InferSent,"Scala is a hell of a lot faster than PLT Scheme, and it plays perfectly with the vast Java ecosystem, while Scheme does not.",Scala,Java,BETTER,NONE,1.0,se (unique),124
3451,1934,InferSent,The pizza use to be better and the Crazy bread was definately better.,pizza,bread,NONE,WORSE,1.0,se (unique),69
3459,1799,InferSent,"Grails uses Groovy, which IMO is easier to learn than Ruby, especially is you already know Java.",Groovy,Java,BETTER,NONE,1.0,se (unique),96
3461,2118,InferSent,This is the main difference with lenses from Nikon and Canon for example - you seldom get decent sharpness wide open and almost never great contrast and color like you do with these Leica lenses.,Nikon,Leica,BETTER,NONE,1.0,se (unique),195
3463,1658,InferSent,"This would probably be easier in Python, but Bash works fine after you get the quoting straightened out.",Python,Bash,NONE,WORSE,0.8,se (unique),104
3468,1636,InferSent,"My 9800GTX+ does 0% Blanked OpenCL AP tasks in a bit under 4 hours (13,600 secs), while my GTX460 does them in just over half an hour (2,100 secs), so my 9800GTX+ is about 6½ times slower than my GTX460, while at CUDA MB the 9800GTX+ is only around twice as slow as the GTX460, for a 0.37 AR the 9800GTX+ does it around 1250 secs, while the GTX460 does it in 565 secs.",OpenCL,CUDA,WORSE,NONE,1.0,se (unique),368
3470,1271,InferSent,"For that reason, I dropped itunes as soon as I could get a decent selection from amazon.",itunes,amazon,NONE,WORSE,0.6,se (unique),88
3478,876,InferSent,"This last fact alone makes it easier to code in Java, even though the code can never be as terse and and elegant as the equivalent Groovy code.",Java,Groovy,NONE,WORSE,0.8,se (unique),143
3479,2178,InferSent,"Generally, both Amazon and Google are superior to Apple in managing recommendations.",Amazon,Apple,NONE,BETTER,1.0,se (unique),84
3480,851,InferSent,"Maybe your Hondas have been better (I'd take one over a Toyota any day) but every BMW experience I've had or a friend has had, was full of technical problems.",Toyota,BMW,BETTER,NONE,1.0,se (unique),158
3481,312,InferSent,"Are you saying that you use JavaScript outside a browser, and that you feel it is a better language in that context than Java, C++, C, Smalltalk, Lisp, Perl, Python, etc?",JavaScript,Python,BETTER,NONE,1.0,se (unique),170
3483,1176,InferSent,Is Microsoft better because of Apple?,Microsoft,Apple,BETTER,NONE,0.8,se (unique),37
3485,1036,InferSent,"Honda and Toyota may have factories here, but they're not controlled by an outside and (IMO) inferior corporate source such as Renault or Ford.",Toyota,Ford,WORSE,NONE,1.0,se (unique),143
3490,653,InferSent,"For me, bread or potato is far superior to pasta.",bread,pasta,NONE,BETTER,1.0,se (unique),49
3499,165,InferSent,"It works passably on Ruby, PHP, VB, and AWK and a decent subset of Perl and Ruby, but, because of commenting conventions, doesn't work on Smalltalk, or CAML-like languages.",AWK,Perl,BETTER,NONE,1.0,se (unique),172
3501,707,InferSent,"Its 362 nit brightness level is one of the best we've seen, improving on the MacBook and Samsung, but the Lenovo's 646:1 contrast ratio is mediocre - the Toshiba Kira hit a mighty 2,326:1.",Samsung,Toshiba,WORSE,NONE,0.8,se (unique),188
3502,903,InferSent,"Its Azure PaaS/IaaS platform hasn't overtaken Amazon yet in market share, but Microsoft has enjoyed nine straight quarters of growth at 10 percent or better .",Amazon,Microsoft,NONE,WORSE,1.0,se (unique),158
3510,1154,InferSent,[ 2 ] [ 32 ] [ 36 ] IBM chose the 8088 over the superior 8086 because Intel offered a better price on the former and could provide more units.,IBM,Intel,BETTER,NONE,1.0,se (unique),142
3517,2370,InferSent,"A football is easier for a cameraman to follow, while hockey is a guessing game.",football,hockey,NONE,BETTER,1.0,se (unique),80
3522,1367,InferSent,Is Groovy a Better Choice Than Java for Creating Internal DSLs?,Groovy,Java,BETTER,NONE,1.0,se (unique),63
3527,1256,InferSent,There's the mediocre Tamron 150-600mm that's just out (not sure if there's a Nikon mount for it yet) and I have high hopes of a Sigma 300-600mm announcement this year.,Nikon,Sigma,WORSE,NONE,1.0,se (unique),167
3534,555,InferSent,"Yamaha and Honda dominate the top three, but BMW also have a solid footing in the top 10, with four models featured, including the S1000RR, with over 1,000 unit sales.",Honda,BMW,BETTER,NONE,1.0,se (unique),167
3539,2255,InferSent,"In Windows 7 and Windows 8, things have changed for the better.",Windows 7,Windows 8,WORSE,NONE,0.8,se (unique),63
3551,2,InferSent,Sigma provides a very good prime and completes its lens collection with this 85mm 1.4 which is a solid competitor to the famous Canon and Nikon 85mm lenses.,Sigma,Nikon,BETTER,NONE,0.8,se (unique),156
3555,2199,InferSent,"Server side JavaScript does exist, but wouldn't it be easier just to reimplement the JS function in your PHP code?",JavaScript,PHP,WORSE,NONE,1.0,se (unique),114
3563,1826,InferSent,"Ironically, our Ferrari, lambo, GTRs, bentley is more then BMW //M and MERC AMG.",Ferrari,BMW,NONE,BETTER,1.0,se (unique),80
3566,2181,InferSent,"Intel PCs can do art and music, but the Apple stuff was better at it.",Intel,Apple,NONE,WORSE,1.0,se (unique),69
3567,1147,InferSent,"Python would be a much better choice in my view for a variety of reasons (and I say this though I'm a Perl nut!), or hell, if you teach them Lisp they'll be horribly screwed up for the rest of their lives but at least they'll understand how registers and OOP work.",Python,Lisp,NONE,BETTER,1.0,se (unique),264
3569,254,InferSent,Perl would have been more better had there been good REPL like Python.,Perl,Python,NONE,WORSE,1.0,se (unique),70
3586,1438,InferSent,Google Chrome is even worse on my old IBM ThinkPad.,Google,IBM,WORSE,NONE,1.0,se (unique),51
3589,325,InferSent,"CUDA is still strong because it has better support, but we all want OpenCL to win out in the long run (even if they have to update it majorly before that happens)",CUDA,OpenCL,WORSE,BETTER,1.0,se (unique),162
3592,1058,InferSent,Groovy - a very powerful object oriented language that extends Java while making it much easier to use for analytic programmers that are used to languages like SAS.,Groovy,Java,BETTER,NONE,1.0,se (unique),164
3596,553,InferSent,"For this particular UPDATE test, MySQL is consistently five or ten times slower than PostgreSQL and SQLite.",MySQL,PostgreSQL,BETTER,WORSE,1.0,se (unique),107
3597,261,InferSent,"i love my GF1 but i will like the Gf2 to became a rangefinder, i need a finder sometimes, a real finder on the corner like a Leica, i'm also missing the focus , manual override of my Nikon lenses, and i believe in the systme, we will have more and more lenses from diferente brands and high ISO will be better in the early years,",Leica,Nikon,WORSE,NONE,1.0,se (unique),329
3607,1114,InferSent,"While Google is still expected to grow its business at a faster rate than Apple, even slow-growing Intel boasts a meaningful premium to free cash flow compared to Apple.",Google,Intel,BETTER,NONE,1.0,se (unique),169
3612,1595,InferSent,"Toyota engines have better ""overclocking"" but less factory output specs; while Nissan has higher factory output but less ""overclocking"" capabilities.",Toyota,Nissan,BETTER,NONE,1.0,se (unique),149
3628,1242,InferSent,"Python has a better standard library, but Perl has a better nonstandard library.",Python,Perl,BETTER,NONE,1.0,se (unique),80
3630,1543,InferSent,Good to see again a Renault ahead of a Ferrari.,Renault,Ferrari,NONE,BETTER,1.0,se (unique),47
3631,1744,InferSent,"I had narrowed it down to the Kobo and the Sony PRS -300, and even worse I found out that the Amazon Kindle went down to $190, sitting in the price range of all these devices.",Sony,Amazon,WORSE,NONE,1.0,se (unique),175
3632,2408,InferSent,"A migration to Windows 7 will likely be faster, but one to Windows 8 will have more longevity - Windows 7 support ends in January 2020, less than 6 years away, and organizations that are so late on Windows XP should not get into the same situation with end of Windows 7 support.",Windows 8,Windows XP,BETTER,NONE,0.8,se (unique),278
3634,426,InferSent,The most important difference is that you did your tests using an upclocked nVidia GTX570 GPU that is great for CUDA but lousy for OpenCL.,CUDA,OpenCL,NONE,BETTER,1.0,se (unique),138
3640,1229,InferSent,"I used Haskell because it seemed (and was) easier to express problems like these equations, and test them than what you might expect in something like C++ or Java.",Haskell,Java,BETTER,NONE,0.4,se (unique),163
3642,397,InferSent,"As Reuters reported , Mercedes-Benz' parent Daimler is considering shedding some of its company-owned dealerships in Germany to better compete with its main rivals, Audi and BMW.",Mercedes-Benz,Audi,BETTER,NONE,1.0,se (unique),178
3644,895,InferSent,"The compact computer now gets integrated WiFi and Bluetooth, rather than just wired Ethernet connectivity, together with a built-in hard-drive of unspecified capacity; Marvell have also given it a faster CPU, in the shape of the 2GHz Armada 300 processor.",Bluetooth,Ethernet,BETTER,NONE,1.0,se (unique),255
3656,1071,InferSent,"I don't know if this sounds right, easier for me to say than to type.. cause I can talk ALOT!!! Just curious if others have done anything similar and if it's do-able, or should I just keep on trying with AWK and stay in my mode of frustration when I know that I can do this in Perl, but having hands tied here.. a slave to ""da- man"" at work... in the dungeon I stay.... -Zo",AWK,Perl,WORSE,NONE,1.0,se (unique),373
3657,2310,InferSent,"Now, TO BE CLEAR (shouting again, because I know you're going to flame me if I don't!) it's NOT that I'd recommend programming in JavaScript in anger, it's more that if you jump from JS to Java, C#, Python, or PHP, you're going to find it an easier jump.",JavaScript,Python,WORSE,NONE,0.8888888888888888,se (unique),254
3662,1702,InferSent,"@hguser it is not recommended in Ruby to use global variables, like you know its not recommended in JavaScript to avoid naming conflicts, find better way to handle your variables than declaring them global -  bjhaid Feb 23 '12 at 16:45",Ruby,JavaScript,WORSE,NONE,0.6,se (unique),235
3666,948,InferSent,"could also do that for MySQL, but PostgreSQL is simply a better RDBMS.",MySQL,PostgreSQL,NONE,WORSE,1.0,se (unique),70
3667,67,InferSent,Objective C is more like Smalltalk than C++/Java/etc.,Smalltalk,Java,BETTER,NONE,0.6,se (unique),53
3669,7,InferSent,"Yale offered nothing at all really, mit was a little nicer, but by far stanford offered the best FA package.",mit,stanford,NONE,WORSE,1.0,se (unique),108
3675,1248,InferSent,"The hockey season in Chicago sadly has come to an end, and baseball remains mediocre at best in the city.",hockey,baseball,WORSE,NONE,1.0,se (unique),105
3678,1191,InferSent,"Amazon , which hit an all-time high and gained 9.4 percent to $363.39, and Microsoft , which led the Dow with a 6 percent gain to $35.73, held their post-earnings gains better than Zynga.",Amazon,Microsoft,BETTER,NONE,1.0,se (unique),187
3686,2101,InferSent,Windows XP and Ubuntu run better than Windows Vista on the small CPU and small RAM of these computers.,Windows XP,Windows Vista,NONE,BETTER,1.0,se (unique),102
3688,579,InferSent,Haskell is -- in my experience at least -- harder to learn than Python.,Haskell,Python,BETTER,WORSE,1.0,se (unique),71
3689,1955,InferSent,Jensen Comment:  Actually Microsoft has a better fix to Windows problems created by Sony.,Microsoft,Sony,NONE,BETTER,0.8,se (unique),89
3690,2265,InferSent,"So then it comes down to Intel, will they provide another new SL9x00 CPU faster than 2.13 GHz for Apple?",Intel,Apple,BETTER,NONE,0.6,se (unique),104
3691,154,InferSent,But my biggest worry is that the tech press will continue to do what they always do and ignore a superior product from Microsoft and flog an inferior offering because it's from Google.,Microsoft,Google,NONE,BETTER,1.0,se (unique),184
3697,720,InferSent,Sellers grow faster on amazon than eBay and google,amazon,google,NONE,BETTER,1.0,se (unique),50
3701,1236,InferSent,"Using the output from my wife's tiny laptop, playing Apple Lossless files was so vastly superior to my ipod, that I wanted to explore this further.",laptop,ipod,WORSE,BETTER,1.0,se (unique),147
3702,1087,InferSent,"Since Obama is under 50% in Florida, North carolina, Virginia, and Ohio, and very close to 50% in pennsylvania, it is not unreasonable to think McCain has a decent chance at all of those states.",carolina,pennsylvania,BETTER,NONE,0.6,se (unique),194
3703,675,InferSent,Windows XP and particularly Mac OS X performed better than Windows Vista in these benchmarks.,Windows XP,Windows Vista,NONE,BETTER,1.0,se (unique),93
3711,1215,InferSent,But I have still found no answer to this very questiong.No one has given me one good reason why OpenGL is better than Direct3D.,OpenGL,Direct3D,WORSE,BETTER,1.0,se (unique),127
3715,991,InferSent,"The library was guarded by a stone door that was described as ""harder than steel.""",stone,steel,NONE,BETTER,1.0,se (unique),82
3718,693,InferSent,"If Microsoft wants to get into hardware, they would do better making an Android tablet and adding value, as others like Samsung and Amazon have done.",Microsoft,Amazon,NONE,WORSE,1.0,se (unique),149
3719,1406,InferSent,"Oh noes, better graphics!!1 Funny how some playstation fanboys say that's what makes it better then ds but then say graphics don't matter when the fact that ps2 has the worse graphics is mentioned.",ds,ps2,WORSE,BETTER,1.0,se (unique),197
3722,1891,InferSent,"And though the OpenGL renderer does not support all effects in the game, we are more interested in simple texturing, which is no worse than in the main Direct3D version.",OpenGL,Direct3D,NONE,BETTER,1.0,se (unique),169
3724,1838,InferSent,I am sorry is Google maps better then Apple maps??,Google,Apple,BETTER,NONE,0.8,se (unique),50
3727,904,InferSent,The 3.2 update also makes it easier to port Direct3D applications and includes version 1.5 of the OpenGL Shading Language (GLSL).,Direct3D,OpenGL,BETTER,NONE,0.5,se (unique),129
3734,1546,InferSent,In Ferrari Alonso has found his second home after Renault.,Ferrari,Renault,BETTER,NONE,1.0,se (unique),58
3738,218,InferSent,plastic and brass would be much easier on your wood.,plastic,wood,NONE,BETTER,1.0,se (unique),52
3744,229,InferSent,harvard Head Coach Tim Murphy opening statement: Obviously it as a very solid win over princeton last week.,harvard,princeton,BETTER,NONE,1.0,se (unique),107
3747,1663,InferSent,"Windows Vista provides a comprehensive backup experience, much easier to use than the basic backup utility included in Windows XP.",Windows Vista,Windows XP,NONE,BETTER,1.0,se (unique),130
3762,561,InferSent,"Yes, Java is slow-slower than PHP (gasp).",Java,PHP,BETTER,WORSE,0.4,se (unique),41
3764,476,InferSent,2. (Since any Nike move would be years away) Make Adidas work better for Louisville.,Nike,Adidas,WORSE,NONE,1.0,se (unique),84
3767,664,InferSent,Supposedly their data proved that Windows 7 was an even bigger memory hog than Windows Vista and much worse when compared with Windows XP.,Windows Vista,Windows XP,WORSE,NONE,0.6,se (unique),138
3768,2021,InferSent,Is Python better than Perl?,Python,Perl,BETTER,NONE,0.6,se (unique),27
3772,12,InferSent,"That is why the Samsung Galaxy S, with its superior anti-reflectance coating, and the Nokia E7, with its polarizing filter that blocks light, didn't fare much worse outside, compared to the way brighter iPhone 4 and LG Optimus Black.",Samsung,Nokia,BETTER,NONE,1.0,se (unique),233
3773,1215,InferSent,Is a BMW/Benz 5x better than a Honda Civic?,BMW,Honda,BETTER,NONE,1.0,se (unique),43
3775,2174,InferSent,Thats like saying Michael Jordan could hit a baseball better than Babe Ruth because of his superior basketball skills.,baseball,basketball,BETTER,NONE,1.0,se (unique),118
3784,212,InferSent,"A further advantage of perl or Python (or ruby) would be that these should all have libraries for interfacing with matlab, and much better data structures than Bash for tables.",Python,Bash,NONE,BETTER,1.0,se (unique),176
3796,2033,InferSent,"Robert Kubica was second fastest in his BMW Sauber, just four-tenths shy of pace-setter Glock while Nico Rosberg posted the third best time just a fraction slower in his Williams Toyota.",BMW,Toyota,BETTER,NONE,1.0,se (unique),186
3797,2322,InferSent,"As far as benchmark performance is concerned, the Intel Atom Z2760 recorded 3min 36sec in our Blender 3D rendering test, which is over 15sec slower than the Dell Latitude 10 and HP ElitePad 900 tablets, and only a 24sec faster than one of the last netbooks we saw back in 2010, the Acer Aspire Happy.",Intel,Dell,BETTER,WORSE,0.8,se (unique),300
3807,167,InferSent,"I chose a BMW over a Ford Mondeo because it's better put together, more powerful, more comfortable and is more attractive (to me), for the same price (second hand, at the time).",BMW,Ford,NONE,BETTER,1.0,se (unique),177
3811,137,InferSent,Sorry but if you claim you are an IT tech and you can't figure out how to make Windows 8 work better for you than windows 7 or Windows XP then I do believe you are just a self proclaimed IT tech.,Windows 8,Windows XP,BETTER,NONE,0.6,se (unique),195
3812,1424,InferSent,"I would also add, as happened in the USA, and elsewhere, the shift to Toyota and Datsun/Nissan, Japanese brands with much better reliability and more up to date product lines vs. Euro/UK brands, but for M-B and BMW.",Toyota,BMW,BETTER,NONE,0.6,se (unique),215
3814,1023,InferSent,"Whatever the ds can do , wii can do better, right?",ds,wii,NONE,WORSE,0.6,se (unique),50
3821,241,InferSent,Sony should also prefer windows phone os(apollo) along with android because windows phone is much better than android.Microsoft is os giant as compared to Google which is internet search giant.So anytime microsoft can make best os for smartphones and tablets.agree it,Sony,Google,BETTER,NONE,1.0,se (unique),267
3826,1695,InferSent,"IBM on Wednesday unveiled new POWER8 processor-based servers that the computing giant said ""are capable of analyzing data 50 times faster than the latest x86-based systems"" built on chips from companies like Intel and Advanced Micro Devices.",IBM,Intel,NONE,BETTER,1.0,se (unique),241
3829,2318,InferSent,I think tapioca and white rice and potato flour are far better to make bread with.,potato,bread,BETTER,NONE,1.0,se (unique),82
3830,234,InferSent,"So Groovy gives me a faster, dynamic version of Java, and Grails gives me a fantastic toolkit to get great stuff done quickly.",Groovy,Java,BETTER,NONE,1.0,se (unique),126
3833,1684,InferSent,Remember before Nokia it was Motorola....,Nokia,Motorola,BETTER,NONE,1.0,se (unique),41
3835,1958,InferSent,rifle primers are a bit harder than pistol primers.,rifle,pistol,WORSE,BETTER,1.0,se (unique),51
3841,1640,InferSent,"Still, Perl is still better but by hard more annoying than PHP",Perl,PHP,WORSE,BETTER,0.8,se (unique),62
3845,1767,InferSent,"It provides d rastic JSON parsing and serialization performance improvements "" The Rick (Hightower)/ Andrey duo spent a fair amount of time optimizing our JSON support, making Groovy 2.3's JSON support usually faster than all the JSON libraries available in the Java ecosystem.",Groovy,Java,BETTER,NONE,1.0,se (unique),277
3849,87,InferSent,"Is Windows 8 better than Windows 7, its predecessor?",Windows 8,Windows 7,BETTER,NONE,1.0,se (unique),52
3851,2365,InferSent,"Critical bugs in the compiler and in the execution environment and without real intentions of improving it (I understand, they have their propietary solutions, like CUDA, which are better supported) To put something in production that uses OpenCL, the code must be flooded of workarounds.",CUDA,OpenCL,BETTER,NONE,1.0,se (unique),288
3855,2187,InferSent,"Otherwise, Microsoft will build hardware that better integrates with the operating software, and companies like Dell will suffer.",Microsoft,Dell,NONE,BETTER,1.0,se (unique),129
3859,1905,InferSent,"In his spare time, Lance is a mediocre softball player, a better soccer midfielder and a great little league baseball and basketball coach to son, Blaze.",softball,baseball,BETTER,NONE,1.0,se (unique),153
3864,1227,InferSent,"Unfortunately, the Bluetooth mouse goes through batteries much faster than ""regular"" USB wireless mice do.",Bluetooth,USB,BETTER,WORSE,0.6,se (unique),106
3868,1002,InferSent,"Kind of a toss up as to which is easier, depending on how good your PHP coding is compared to your JavaScript coding.",PHP,JavaScript,BETTER,NONE,0.6,se (unique),117
3873,39,InferSent,"The Wildcats have beaten 2 solid Pac-10 teams in Stanford and oregon State, and also own a better than it seems win over Central michigan.",oregon,michigan,BETTER,NONE,1.0,se (unique),138
3881,1625,InferSent,Do you get better pictures with your Leica if you offer up your Nikon or Canon?,Leica,Nikon,BETTER,NONE,1.0,se (unique),79
3882,1633,InferSent,My compelling use case for MI in Python is... better to model MI in Java,Python,Java,NONE,BETTER,1.0,se (unique),72
3884,222,InferSent,"youtube is BETTER for researching music, performances, dance routines - whatever you need -even better than itunes",youtube,itunes,NONE,BETTER,1.0,se (unique),114
3887,2049,InferSent,"But when I do a qrun, an Apple node is designated the mother superior node but the job runs on the IBM nodes.",Apple,IBM,BETTER,NONE,1.0,se (unique),109
3898,1350,InferSent,"It's easy to feel poorer right now, with the cost of bread, meat, and other food staples 50 percent higher than a year ago - meaning burgers instead of steak for some families and meals skipped altogether in other households.",bread,steak,BETTER,NONE,1.0,se (unique),225
3900,1434,InferSent,I'm a better Java programmer today because of what I've learned from Python.,Java,Python,WORSE,NONE,1.0,se (unique),76
3904,1241,InferSent,The superior design of the HeatShift Pad provides the most mobile and most effective solution to cooling laptop computers.,mobile,laptop,BETTER,NONE,1.0,se (unique),122
3911,1879,InferSent,"amazon is much better, as is netflix, and hulu.",amazon,hulu,BETTER,NONE,1.0,se (unique),47
3913,267,InferSent,One reviewer felt that Mitt Romney delivered a better performance than John F. kennedy against nixon.,kennedy,nixon,NONE,BETTER,1.0,se (unique),101
3914,807,InferSent,"It would even been even easier, however, if the C API of Python 2.7 was a little better, and had a little more consistent reference count semantics, and if Haskell supported varargs functions in its FFI.",Python,Haskell,BETTER,NONE,0.8,se (unique),203
3917,860,InferSent,But they get better fuel economy than our new CRD jeep and definitely better fuel economy than any gas powered suv of similar size.,jeep,suv,BETTER,NONE,1.0,se (unique),131
3922,328,InferSent,First backup your data; it's safer in case of a failure since a dual boot Windows 7 and Windows 8 .,Windows 7,Windows 8,WORSE,NONE,1.0,se (unique),99
3923,1911,InferSent,"georgia doesn't have a lot of quality scalps, not unlike oregon and WVU, but they have fewer losses and to better opponents.",georgia,oregon,WORSE,NONE,1.0,se (unique),124
3924,1615,InferSent,Microsoft is the devil but Sony truly isn't any better.,Microsoft,Sony,WORSE,NONE,1.0,se (unique),55
3925,1964,InferSent,Are the Chrysler products harder to wash than a comparable van from Honda or Toyota?,Chrysler,Toyota,WORSE,NONE,1.0,se (unique),84
3926,1669,InferSent,"Suprise for me that sbcl is much slower then ccl, also that Java is so much faster then both clozure and sbcl .. Also Perl is 2x faster then clozure and 7-8x faster then sbcl .. and that is really unexpected.",Java,Perl,BETTER,NONE,1.0,se (unique),208
