id,domain,object_a,object_b,sentence,it_1_confidence,it_2_confidence,better_count,worse_count,none_count,most_frequent_label,most_frequent_count,it_1_judgments,it_2_judgments,sentence_html,judgments,confidence,most_frequent_percentage
Q2633879136,compsci,Java,Python,The real reason why Python will still be slower than Java is because it's a much more dynamic language.,1.0,1.0,0,5,0,WORSE,5,3,2,"The real reason why <span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span> will still be slower than <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span> is because it's a much more dynamic language.",5,1.0,1.0
B270221204,compsci,Ruby,PHP,And of course we did those benchmarks 2 and 3 years ago when Ruby was about 50% slower than PHP.,1.0,1.0,0,6,0,WORSE,6,3,3,"And of course we did those benchmarks 2 and 3 years ago when <span style=""color: #9A14B2; font-weight: bold"">Ruby:[OBJECT_A]</span> was about 50% slower than <span style=""color: #6CB219; font-weight: bold"">PHP:[OBJECT_B]</span>.",6,1.0,1.0
I1389604590,compsci,MySQL,PostgreSQL,"I think Subversion will remain in use for the same reason MySQL remains in use, even though it is drastically inferior to PostgreSQL -- inertia.",1.0,1.0,0,5,0,WORSE,5,3,2,"I think Subversion will remain in use for the same reason <span style=""color: #9A14B2; font-weight: bold"">MySQL:[OBJECT_A]</span> remains in use, even though it is drastically inferior to <span style=""color: #6CB219; font-weight: bold"">PostgreSQL:[OBJECT_B]</span> -- inertia.",5,1.0,1.0
B228110474,compsci,USB,Bluetooth,"Although this is still roughly 2 times faster than Wi-Fi and 50 times faster than Bluetooth, it fell well short of its wired USB counterpart.",0.6321,1.0,0,4,1,WORSE,4,3,2,"Although this is still roughly 2 times faster than Wi-Fi and 50 times faster than <span style=""color: #9A14B2; font-weight: bold"">Bluetooth:[OBJECT_A]</span>, it fell well short of its wired <span style=""color: #6CB219; font-weight: bold"">USB:[OBJECT_B]</span> counterpart.",5,0.7792600000000001,0.8
D429085368,compsci,PHP,Perl,"By about a chapter into the PHP book, I was thinking ""holy crap, this language is uglier than Perl"".",1.0,1.0,0,6,0,WORSE,6,3,3,"By about a chapter into the <span style=""color: #9A14B2; font-weight: bold"">PHP:[OBJECT_A]</span> book, I was thinking ""holy crap, this language is uglier than <span style=""color: #6CB219; font-weight: bold"">Perl:[OBJECT_B]</span>"".",6,1.0,1.0
M2034558740,compsci,CUDA,OpenCL,"PRIME1 wrote: OpenCL will most likely be slower than CUDA, Brook+ or Larbabee C++ because of its general nature.",0.6816,1.0,0,4,1,WORSE,4,3,2,"PRIME1 wrote: <span style=""color: #9A14B2; font-weight: bold"">OpenCL:[OBJECT_A]</span> will most likely be slower than <span style=""color: #6CB219; font-weight: bold"">CUDA:[OBJECT_B]</span>, Brook+ or Larbabee C++ because of its general nature.",5,0.80896,0.8
H1122028771,compsci,Windows XP,Windows 8,"If you're on Windows XP, Windows Vista or Windows 7-and if you're reading this site and a human, you better be-upgrading to Windows 8 is going to be dirt cheap and totally worth it: only 40 bucks.",1.0,1.0,0,5,0,WORSE,5,3,2,"If you're on <span style=""color: #9A14B2; font-weight: bold"">Windows XP:[OBJECT_A]</span>, Windows Vista or Windows 7-and if you're reading this site and a human, you better be-upgrading to <span style=""color: #6CB219; font-weight: bold"">Windows 8:[OBJECT_B]</span> is going to be dirt cheap and totally worth it: only 40 bucks.",5,1.0,1.0
M2054206661,compsci,Python,Lisp,"Python , the best language a business can use without risking the lack of programmers ( Common Lisp is better, but I don't know anyone who knows it except for me)",1.0,1.0,0,5,0,WORSE,5,3,2,"<span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span> , the best language a business can use without risking the lack of programmers ( Common <span style=""color: #6CB219; font-weight: bold"">Lisp:[OBJECT_B]</span> is better, but I don't know anyone who knows it except for me)",5,1.0,1.0
N2120512418,compsci,Ruby,Python,Ruby is even worse than Python.,1.0,1.0,0,5,0,WORSE,5,3,2,"<span style=""color: #9A14B2; font-weight: bold"">Ruby:[OBJECT_A]</span> is even worse than <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span>.",5,1.0,1.0
E601320733,compsci,PHP,Perl,"Don't learn Perl because even though it's a mature, fast and popular language, it's harder to learn than PHP.",0.7109,1.0,2,4,0,WORSE,4,3,3,"Don't learn <span style=""color: #9A14B2; font-weight: bold"">Perl:[OBJECT_A]</span> because even though it's a mature, fast and popular language, it's harder to learn than <span style=""color: #6CB219; font-weight: bold"">PHP:[OBJECT_B]</span>.",6,0.85545,0.6666666666666666
C342049458,compsci,Python,Perl,arrrggghh...Python is a terrible language - only Perl sucks worse.,1.0,1.0,6,0,0,BETTER,6,3,3,"arrrggghh...<span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span> is a terrible language - only <span style=""color: #6CB219; font-weight: bold"">Perl:[OBJECT_B]</span> sucks worse.",6,1.0,1.0
M1996478726,compsci,Java,PHP,PHP is slower than Java but scales nicely anyway.,1.0,1.0,0,5,0,WORSE,5,3,2,"<span style=""color: #9A14B2; font-weight: bold"">PHP:[OBJECT_A]</span> is slower than <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span> but scales nicely anyway.",5,1.0,1.0
S2973030164,compsci,Python,PHP,"Unless you are working experienced Python web developers, PHP is easier to get started with.",1.0,0.5,0,4,1,WORSE,4,3,2,"Unless you are working experienced <span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span> web developers, <span style=""color: #6CB219; font-weight: bold"">PHP:[OBJECT_B]</span> is easier to get started with.",5,0.8,0.8
S2984110393,compsci,Windows XP,Windows 98,"Users of Windows 98 and previous versions will find Windows XP a change for the better, but it isn?t really much of an improvement over Windows 2000 or ME.",1.0,1.0,0,5,0,WORSE,5,3,2,"Users of <span style=""color: #9A14B2; font-weight: bold"">Windows 98:[OBJECT_A]</span> and previous versions will find <span style=""color: #6CB219; font-weight: bold"">Windows XP:[OBJECT_B]</span> a change for the better, but it isn?t really much of an improvement over Windows 2000 or ME.",5,1.0,1.0
O2429931925,compsci,Java,Scala,The cast is functionally just like it would be in the Java language; Scala just has nicer syntax for it.,0.4,0.6598,0,2,4,NONE,4,3,3,"The cast is functionally just like it would be in the <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span> language; <span style=""color: #6CB219; font-weight: bold"">Scala:[OBJECT_B]</span> just has nicer syntax for it.",6,0.5299,0.6666666666666666
N2120513578,compsci,Ruby,Python,"Ruby isn't (in my observation) too much slower than Perl, Python or PHP.",0.6117,1.0,1,4,0,WORSE,4,3,2,"<span style=""color: #9A14B2; font-weight: bold"">Ruby:[OBJECT_A]</span> isn't (in my observation) too much slower than Perl, <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span> or PHP.",5,0.76702,0.8
D506840209,compsci,Ruby,Perl,Compared to Perl - Ruby is much much nicer.,1.0,1.0,0,5,0,WORSE,5,3,2,"Compared to <span style=""color: #9A14B2; font-weight: bold"">Perl:[OBJECT_A]</span> - <span style=""color: #6CB219; font-weight: bold"">Ruby:[OBJECT_B]</span> is much much nicer.",5,1.0,1.0
O2417243467,compsci,Windows XP,Windows 8,"The big jumps in computing power in the last few years have been around adding more CPU cores and reducing power consumption, the major software companies have been making their software run more efficiently (Windows 7 runs better on 5+ year-old hardware than Windows XP did when the hardware was brand new and Windows 8 runs even better again).",0.72,0.5005,1,3,1,WORSE,3,3,2,"The big jumps in computing power in the last few years have been around adding more CPU cores and reducing power consumption, the major software companies have been making their software run more efficiently (Windows 7 runs better on 5+ year-old hardware than <span style=""color: #9A14B2; font-weight: bold"">Windows XP:[OBJECT_A]</span> did when the hardware was brand new and <span style=""color: #6CB219; font-weight: bold"">Windows 8:[OBJECT_B]</span> runs even better again).",5,0.6322,0.6
H1148063360,compsci,Python,Bash,"I have found that, in particular at the beginning, it is often harder to think of basic data munging concepts in R - typical tasks like sorting, grouping, data type conversion - often your language of choice (Perl, Python, or even Bash) is just quicker for doing these things in the first instance when I'm paring the data down into what I want to apply some form of statistical analysis or charting too.",0.655,1.0,0,0,6,NONE,6,3,3,"I have found that, in particular at the beginning, it is often harder to think of basic data munging concepts in R - typical tasks like sorting, grouping, data type conversion - often your language of choice (Perl, <span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span>, or even <span style=""color: #6CB219; font-weight: bold"">Bash:[OBJECT_B]</span>) is just quicker for doing these things in the first instance when I'm paring the data down into what I want to apply some form of statistical analysis or charting too.",6,0.8275,1.0
R2910824756,compsci,Java,Scala,"To be precise, Java and Scala execute 28 times faster on average.",0.6758,1.0,0,0,5,NONE,5,3,2,"To be precise, <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Scala:[OBJECT_B]</span> execute 28 times faster on average.",5,0.80548,1.0
S2981371414,compsci,USB,Ethernet,USB and Ethernet are both better.,0.6816,1.0,0,0,5,NONE,5,3,2,"<span style=""color: #9A14B2; font-weight: bold"">USB:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Ethernet:[OBJECT_B]</span> are both better.",5,0.80896,1.0
J1456299194,compsci,Ruby,Perl,"It's much easier to use than its Perl, Python or Ruby friends because it doesn't require SVN language bindings, which are close to impossible to compile from scratch.",0.6,1.0,0,0,5,NONE,5,3,2,"It's much easier to use than its <span style=""color: #9A14B2; font-weight: bold"">Perl:[OBJECT_A]</span>, Python or <span style=""color: #6CB219; font-weight: bold"">Ruby:[OBJECT_B]</span> friends because it doesn't require SVN language bindings, which are close to impossible to compile from scratch.",5,0.76,1.0
J1444918727,compsci,Java,Python,"It's easier to learn than C, Python, Java, and most other programming languages used in web development, for that matter.",0.6723,1.0,0,0,5,NONE,5,3,2,"It's easier to learn than C, <span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span>, and most other programming languages used in web development, for that matter.",5,0.80338,1.0
O2402956848,compsci,Ruby,JavaScript,"The app is two to 10 times faster on the client side than its predecessor, and on the server side, it's using a fraction of the resources, thanks to a switch from Ruby on Rails to Node.js, a server-side JavaScript development technology that's barely a year old but already rapidly gaining traction.",0.6226,0.5111,1,1,3,NONE,3,3,2,"The app is two to 10 times faster on the client side than its predecessor, and on the server side, it's using a fraction of the resources, thanks to a switch from <span style=""color: #9A14B2; font-weight: bold"">Ruby:[OBJECT_A]</span> on Rails to Node.js, a server-side <span style=""color: #6CB219; font-weight: bold"">JavaScript:[OBJECT_B]</span> development technology that's barely a year old but already rapidly gaining traction.",5,0.5780000000000001,0.6
K1694141643,compsci,Java,Python,"Maybe we're going to use Python (simpler but slower) , or Java (much complexer compared to a ""pure"" scripting one, but faster - as fast as C/Cpp).",0.7325,0.5238,1,1,3,NONE,3,3,2,"Maybe we're going to use <span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span> (simpler but slower) , or <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span> (much complexer compared to a ""pure"" scripting one, but faster - as fast as C/Cpp).",5,0.64902,0.6
K1635496226,compsci,Windows XP,Windows Vista,Linux is inferior to Windows XP or Windows Vista.,0.6744,1.0,0,1,4,NONE,4,3,2,"Linux is inferior to <span style=""color: #9A14B2; font-weight: bold"">Windows XP:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">Windows Vista:[OBJECT_B]</span>.",5,0.80464,0.8
S2974407769,compsci,Windows XP,Windows 8,"Unlike Windows 7, which provided Microsoft's large user base with an evolutionary path forward from Windows XP, with a look, feel and overall experience that was better - Windows 8 is a different beast.",0.4009,0.5476,2,2,1,BETTER,2,3,2,"Unlike Windows 7, which provided Microsoft's large user base with an evolutionary path forward from <span style=""color: #9A14B2; font-weight: bold"">Windows XP:[OBJECT_A]</span>, with a look, feel and overall experience that was better - <span style=""color: #6CB219; font-weight: bold"">Windows 8:[OBJECT_B]</span> is a different beast.",5,0.45958,0.4
E672330312,compsci,Ruby,Python,"Even today , lanuages like Ruby and Python are still an order of magnitude slower than some of their static counterparts.",0.7118,1.0,0,0,6,NONE,6,3,3,"Even today , lanuages like <span style=""color: #9A14B2; font-weight: bold"">Ruby:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span> are still an order of magnitude slower than some of their static counterparts.",6,0.8559,1.0
B305352903,compsci,MySQL,SQLite,"Another db, SQLite or MySQL (that are faster and lighter with simple db structures) used to store just the documents ID and timestamps.",0.6744,0.5106,0,1,4,NONE,4,3,2,"Another db, <span style=""color: #9A14B2; font-weight: bold"">SQLite:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">MySQL:[OBJECT_B]</span> (that are faster and lighter with simple db structures) used to store just the documents ID and timestamps.",5,0.6088800000000001,0.8
H1101595768,compsci,Python,PHP,If this is for a personal project then there's a lot easier ways of doing this such as using PHP or another server side language like Python.,0.6744,1.0,0,0,5,NONE,5,3,2,"If this is for a personal project then there's a lot easier ways of doing this such as using <span style=""color: #9A14B2; font-weight: bold"">PHP:[OBJECT_A]</span> or another server side language like <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span>.",5,0.80464,1.0
J1544989266,compsci,Java,Smalltalk,Java does not support Lambdas like Python or Code Blocks like Smalltalk.,0.6581,0.5,0,3,2,WORSE,3,3,2,"<span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span> does not support Lambdas like Python or Code Blocks like <span style=""color: #6CB219; font-weight: bold"">Smalltalk:[OBJECT_B]</span>.",5,0.5948599999999999,0.6
K1724300191,compsci,Java,Objective-C,Mobile developers were finding Symbian C++ much harder to learn and develop for that Google's Java-based SDK or Apple's Objective-C based SDK.,0.6805,1.0,0,0,5,NONE,5,3,2,"Mobile developers were finding Symbian C++ much harder to learn and develop for that Google's <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span>-based SDK or Apple's <span style=""color: #6CB219; font-weight: bold"">Objective-C:[OBJECT_B]</span> based SDK.",5,0.8083,1.0
J1491454868,compsci,Java,PHP,It would be a virtuous cycle for PHP(things get better because the status quo is better) and a vicious cycle for Java(things get worse because the status quo is worse).,0.6766,0.5,3,0,2,BETTER,3,3,2,"It would be a virtuous cycle for <span style=""color: #9A14B2; font-weight: bold"">PHP:[OBJECT_A]</span>(things get better because the status quo is better) and a vicious cycle for <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span>(things get worse because the status quo is worse).",5,0.60596,0.6
N2120484794,compsci,Ruby,PHP,Ruby and PHP are easier for designers to learn and give them their first successes quickly.,0.6706,1.0,0,0,5,NONE,5,3,2,"<span style=""color: #9A14B2; font-weight: bold"">Ruby:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">PHP:[OBJECT_B]</span> are easier for designers to learn and give them their first successes quickly.",5,0.80236,1.0
M2054168668,compsci,Python,Perl,"Python and Perl both work better than Java on Linux, they're faster to develop with, they start faster, easier to debug, more useful libraries, more code developed by other people that you can leverage, etc. etc.",0.6651,1.0,0,0,5,NONE,5,3,2,"<span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Perl:[OBJECT_B]</span> both work better than Java on Linux, they're faster to develop with, they start faster, easier to debug, more useful libraries, more code developed by other people that you can leverage, etc. etc.",5,0.7990600000000001,1.0
L1911146553,compsci,Python,Bash,Only recommendation would be to move to Python (or something better than Bash/perl) in order to increase library support and adoption.,0.6386,1.0,4,1,0,BETTER,4,3,2,"Only recommendation would be to move to <span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span> (or something better than <span style=""color: #6CB219; font-weight: bold"">Bash:[OBJECT_B]</span>/perl) in order to increase library support and adoption.",5,0.78316,0.8
I1332732696,compsci,Ruby,Python,I ran it myself and found PHP to be faster than Python and Ruby.,0.6706,1.0,0,0,5,NONE,5,3,2,"I ran it myself and found PHP to be faster than <span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Ruby:[OBJECT_B]</span>.",5,0.80236,1.0
M2054193706,compsci,Python,JavaScript,"Python or JavaScript might be a little easier for learning, since you no longer worry about type safety, you just let things crash at runtime if you use them wrong.",0.6278,1.0,0,0,5,NONE,5,3,2,"<span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">JavaScript:[OBJECT_B]</span> might be a little easier for learning, since you no longer worry about type safety, you just let things crash at runtime if you use them wrong.",5,0.77668,1.0
A137884310,compsci,Windows XP,Windows 8,Actually for many Windows XP users it is easier to migrate to Linux Mint than to Windows 8.,1.0,0.5045,1,0,4,NONE,4,3,2,"Actually for many <span style=""color: #9A14B2; font-weight: bold"">Windows XP:[OBJECT_A]</span> users it is easier to migrate to Linux Mint than to <span style=""color: #6CB219; font-weight: bold"">Windows 8:[OBJECT_B]</span>.",5,0.8018,0.8
P2528133264,compsci,Windows 7,Windows 8,Their aim is to make Windows 8 run faster than Windows 7 on the same machine.,1.0,1.0,2,0,3,NONE,3,3,2,"Their aim is to make <span style=""color: #9A14B2; font-weight: bold"">Windows 8:[OBJECT_A]</span> run faster than <span style=""color: #6CB219; font-weight: bold"">Windows 7:[OBJECT_B]</span> on the same machine.",5,1.0,0.6
R2818448158,compsci,Python,Bash,"This could better be integrated to your application than some Python script (or Perl script, or Bash script using the system's mailx application, or whatever other external method you find).",0.6497,1.0,0,0,5,NONE,5,3,2,"This could better be integrated to your application than some <span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span> script (or Perl script, or <span style=""color: #6CB219; font-weight: bold"">Bash:[OBJECT_B]</span> script using the system's mailx application, or whatever other external method you find).",5,0.78982,1.0
M1926847048,compsci,Oracle,PostgreSQL,Oracle and PostgreSQL both have good log-shipping mechanisms to make this easier.,1.0,1.0,0,0,5,NONE,5,3,2,"<span style=""color: #9A14B2; font-weight: bold"">Oracle:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">PostgreSQL:[OBJECT_B]</span> both have good log-shipping mechanisms to make this easier.",5,1.0,1.0
O2391155907,compsci,USB,Bluetooth,The 480 Mb USB interface and v2.1 enhanced Bluetooth make sharing of data faster.,1.0,1.0,0,0,6,NONE,6,3,3,"The 480 Mb <span style=""color: #9A14B2; font-weight: bold"">USB:[OBJECT_A]</span> interface and v2.1 enhanced <span style=""color: #6CB219; font-weight: bold"">Bluetooth:[OBJECT_B]</span> make sharing of data faster.",6,1.0,1.0
T3268030790,compsci,USB,Bluetooth,"You're better off getting something like a Parrot MKi9200 (will do Bluetooth audio & handsfree, USB, aux, SD cards etc)",1.0,1.0,0,0,5,NONE,5,3,2,"You're better off getting something like a Parrot MKi9200 (will do <span style=""color: #9A14B2; font-weight: bold"">Bluetooth:[OBJECT_A]</span> audio & handsfree, <span style=""color: #6CB219; font-weight: bold"">USB:[OBJECT_B]</span>, aux, SD cards etc)",5,1.0,1.0
E582399322,compsci,Ruby,Perl,"Difficulty: Ruby is definitely easier to learn, especially for someone with some C/Perl background.",0.345,0.504,2,0,3,NONE,3,3,2,"Difficulty: <span style=""color: #9A14B2; font-weight: bold"">Ruby:[OBJECT_A]</span> is definitely easier to learn, especially for someone with some C/<span style=""color: #6CB219; font-weight: bold"">Perl:[OBJECT_B]</span> background.",5,0.40859999999999996,0.6
S3092715740,compsci,Java,PHP,"We wanted something more lightweight and faster to develop in than Java, and Rails sounded like more fun than PHP,"" Williams said.",0.3406,1.0,3,0,2,BETTER,3,3,2,"We wanted something more lightweight and faster to develop in than <span style=color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span>, and Rails sounded like more fun than <span style=""color: #6CB219; font-weight: bold"">PHP:[OBJECT_B]</span>,"" Williams said.",5,0.60436,0.6
S2987441450,compsci,Python,Lisp,"Using the techniques of today, it looks like the best one can do is essentially to construct a Turing machine that explicitly enumerates the theorems of PA or ZFC-in which case the numerical bounds would be absolutely terrible, since one would need to code up the axiom schema, the inference rules of first-order logic, etc. (Probably the situation is somewhat better in a programming language like Lisp or Python.)",0.7070000000000001,1.0,0,0,5,NONE,5,3,2,"Using the techniques of today, it looks like the best one can do is essentially to construct a Turing machine that explicitly enumerates the theorems of PA or ZFC-in which case the numerical bounds would be absolutely terrible, since one would need to code up the axiom schema, the inference rules of first-order logic, etc. (Probably the situation is somewhat better in a programming language like <span style=""color: #9A14B2; font-weight: bold"">Lisp:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span>.)",5,0.8242,1.0
L1777176928,compsci,MySQL,PostgreSQL,"MySQL, PostgreSQL, Oracle, etc., are all superior choices.",0.6505,1.0,0,0,5,NONE,5,3,2,"<span style=""color: #9A14B2; font-weight: bold"">MySQL:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">PostgreSQL:[OBJECT_B]</span>, Oracle, etc., are all superior choices.",5,0.7903,1.0
D496067859,compsci,Java,Perl,"CODE:NEO can enhance existing Java, Perl, or ASP programs to execute and run at least ten times faster on a web server.",1.0,1.0,0,0,5,NONE,5,3,2,"CODE:NEO can enhance existing <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">Perl:[OBJECT_B]</span>, or ASP programs to execute and run at least ten times faster on a web server.",5,1.0,1.0
F819063073,compsci,USB,Bluetooth,Going cordless is good and going Bluetooth is even better since it frees up a USB port.,0.68,1.0,1,0,4,NONE,4,3,2,"Going cordless is good and going <span style=""color: #9A14B2; font-weight: bold"">Bluetooth:[OBJECT_A]</span> is even better since it frees up a <span style=""color: #6CB219; font-weight: bold"">USB:[OBJECT_B]</span> port.",5,0.808,0.8
I1344274849,compsci,MySQL,SQLite,is better supported than the MySQL/SQLite one).,0.6945,1.0,0,0,5,NONE,5,3,2,"is better supported than the <span style=""color: #9A14B2; font-weight: bold"">MySQL:[OBJECT_A]</span>/<span style=""color: #6CB219; font-weight: bold"">SQLite:[OBJECT_B]</span> one).",5,0.8167,1.0
D404375057,compsci,MySQL,PostgreSQL,But now version 2.7.6 is over two times faster than MySQL and over twenty times faster than PostgreSQL.,0.6279,0.6667,4,0,2,BETTER,4,3,3,"But now version 2.7.6 is over two times faster than <span style=""color: #9A14B2; font-weight: bold"">MySQL:[OBJECT_A]</span> and over twenty times faster than <span style=""color: #6CB219; font-weight: bold"">PostgreSQL:[OBJECT_B]</span>.",6,0.6473,0.6666666666666666
M1939369812,compsci,Ruby,JavaScript,"Other languages that might be easier on you: Ruby, Lua, C#, JavaScript/Coffeescript.",1.0,1.0,0,0,5,NONE,5,3,2,"Other languages that might be easier on you: <span style=""color: #9A14B2; font-weight: bold"">Ruby:[OBJECT_A]</span>, Lua, C#, <span style=""color: #6CB219; font-weight: bold"">JavaScript:[OBJECT_B]</span>/Coffeescript.",5,1.0,1.0
J1444391122,compsci,MySQL,PostgreSQL,It's definitely faster than using MySQL or PostgreSQL for what you want to do though... -  Aaron Aug 18 '11 at 18:56,0.72,1.0,0,0,6,NONE,6,3,3,"It's definitely faster than using <span style=""color: #9A14B2; font-weight: bold"">MySQL:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">PostgreSQL:[OBJECT_B]</span> for what you want to do though... -  Aaron Aug 18 '11 at 18:56",6,0.86,1.0
