id,domain,object_a,object_b,sentence,it_1_confidence,it_2_confidence,better_count,worse_count,none_count,most_frequent_label,most_frequent_count,it_1_judgments,it_2_judgments,sentence_html,judgments,confidence,most_frequent_percentage
M1928023687,jbt,google,youtube,Or better yet they can block youtube until google pays.,0.6939,1.0,1,0,4,NONE,4,3,2,"Or better yet they can block <span style=""color: #9A14B2; font-weight: bold"">youtube:[OBJECT_A]</span> until <span style=""color: #6CB219; font-weight: bold"">google:[OBJECT_B]</span> pays.",5,0.8163400000000001,0.8
K1725316605,compsci,Ruby,Python,"Modern languages like scala, Ruby and maybe Python are much better at this.",0.6659999999999999,1.0,1,0,4,NONE,4,3,2,"Modern languages like scala, <span style=""color: #9A14B2; font-weight: bold"">Ruby:[OBJECT_A]</span> and maybe <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span> are much better at this.",5,0.7996,0.8
L1873094457,brands,IBM,Intel,"Of the two issues, poorly-written software is much more likely to have an impact on users of Intel products and IBM-compatible computers--where the problem was practically invented because of a hardware monoculture.",1.0,1.0,0,0,5,NONE,5,3,2,"Of the two issues, poorly-written software is much more likely to have an impact on users of <span style=""color: #9A14B2; font-weight: bold"">Intel:[OBJECT_A]</span> products and <span style=""color: #6CB219; font-weight: bold"">IBM:[OBJECT_B]</span>-compatible computers--where the problem was practically invented because of a hardware monoculture.",5,1.0,1.0
N2262584159,brands,Apple,Sony,"Sony is finally moving away from propriety standards, with Apple it would end up being worse than ever before.",0.6624,1.0,0,0,5,NONE,5,3,2,"<span style=""color: #9A14B2; font-weight: bold"">Sony:[OBJECT_A]</span> is finally moving away from propriety standards, with <span style=""color: #6CB219; font-weight: bold"">Apple:[OBJECT_B]</span> it would end up being worse than ever before.",5,0.7974399999999999,1.0
L1842036657,jbt,metal,concrete,No.-Wall Mountable: Yes -Compatible Mounting Surface: Tile; metal stud; Solid concrete; Drywall/Plasterboard; Plaster.-Mounting,1.0,1.0,0,0,5,NONE,5,3,2,"No.-Wall Mountable: Yes -Compatible Mounting Surface: Tile; <span style=""color: #9A14B2; font-weight: bold"">metal:[OBJECT_A]</span> stud; Solid <span style=""color: #6CB219; font-weight: bold"">concrete:[OBJECT_B]</span>; Drywall/Plasterboard; Plaster.-Mounting",5,1.0,1.0
K1622314482,jbt,football,golf,"Let's take inventory, Chris...Romo is better at football, golf, and getting chicks than you could ever hope to be.",1.0,1.0,0,0,5,NONE,5,3,2,"Let's take inventory, Chris...Romo is better at <span style=""color: #9A14B2; font-weight: bold"">football:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">golf:[OBJECT_B]</span>, and getting chicks than you could ever hope to be.",5,1.0,1.0
F824255834,brands,Apple,Google,Google better at FOSS than Apple?,1.0,1.0,5,0,0,BETTER,5,3,2,"<span style=""color: #9A14B2; font-weight: bold"">Google:[OBJECT_A]</span> better at FOSS than <span style=""color: #6CB219; font-weight: bold"">Apple:[OBJECT_B]</span>?",5,1.0,1.0
T3277556276,jbt,facebook,youtube,youtube and facebook will load faster.,1.0,1.0,0,0,5,NONE,5,3,2,"<span style=""color: #9A14B2; font-weight: bold"">youtube:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">facebook:[OBJECT_B]</span> will load faster.",5,1.0,1.0
N2120511628,compsci,Ruby,PHP,"Ruby is arguably a nicer language once you know it, given PHP is an ugly piece of shit.",1.0,1.0,5,0,0,BETTER,5,3,2,"<span style=""color: #9A14B2; font-weight: bold"">Ruby:[OBJECT_A]</span> is arguably a nicer language once you know it, given <span style=""color: #6CB219; font-weight: bold"">PHP:[OBJECT_B]</span> is an ugly piece of shit.",5,1.0,1.0
T3191778139,compsci,Java,Groovy,"With Groovy you can accomplish many task faster than in Java ( see how easy is to work with List, Maps ) or how fast is to create POGOs.",1.0,1.0,5,0,0,BETTER,5,3,2,"With <span style=""color: #9A14B2; font-weight: bold"">Groovy:[OBJECT_A]</span> you can accomplish many task faster than in <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span> ( see how easy is to work with List, Maps ) or how fast is to create POGOs.",5,1.0,1.0
L1761761018,compsci,Java,Scala,"My code Scala is typically half the length than the same thing done via Java, plus it's more concise and is easier to maintain.",1.0,1.0,5,0,0,BETTER,5,3,2,"My code <span style=""color: #9A14B2; font-weight: bold"">Scala:[OBJECT_A]</span> is typically half the length than the same thing done via <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span>, plus it's more concise and is easier to maintain.",5,1.0,1.0
M2054186286,compsci,Java,Python,Python is easier to program in than Java.,1.0,1.0,5,0,0,BETTER,5,3,2,"<span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span> is easier to program in than <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span>.",5,1.0,1.0
B268765555,brands,Apple,Sony,"And no, the Sony earbuds are smaller than the Apple earbuds (which have better sound) so they won't fit.",1.0,0.5112,0,4,1,WORSE,4,3,2,"And no, the <span style=""color: #9A14B2; font-weight: bold"">Sony:[OBJECT_A]</span> earbuds are smaller than the <span style=""color: #6CB219; font-weight: bold"">Apple:[OBJECT_B]</span> earbuds (which have better sound) so they won't fit.",5,0.80448,0.8
F766600794,brands,Toyota,BMW,For Toyota to step up sales in Europe it needs more and better diesel engines and BMW is a master of diesel technology for engines small and large.,0.6515,0.5224,0,2,3,NONE,3,3,2,"For <span style=""color: #9A14B2; font-weight: bold"">Toyota:[OBJECT_A]</span> to step up sales in Europe it needs more and better diesel engines and <span style=""color: #6CB219; font-weight: bold"">BMW:[OBJECT_B]</span> is a master of diesel technology for engines small and large.",5,0.59986,0.6
I1341638120,brands,Honda,BMW,Is a BMW/Benz 5x better than a Honda Civic?,0.6592,0.5714,2,0,3,NONE,3,3,2,"Is a <span style=""color: #9A14B2; font-weight: bold"">BMW:[OBJECT_A]</span>/Benz 5x better than a <span style=""color: #6CB219; font-weight: bold"">Honda:[OBJECT_B]</span> Civic?",5,0.62408,0.6
D507054821,compsci,Java,Ruby,"Compare Java, Ruby and Ioke:",1.0,1.0,0,0,5,NONE,5,3,2,"Compare <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">Ruby:[OBJECT_B]</span> and Ioke:",5,1.0,1.0
P2576227089,compsci,Windows XP,Windows Vista,The new Windows 7 is said to be so much better than the problems ridden Windows Vista and is a considerable improvement on Windows XP.,0.6684,0.5,2,2,1,WORSE,2,3,2,"The new Windows 7 is said to be so much better than the problems ridden <span style=""color: #9A14B2; font-weight: bold"">Windows Vista:[OBJECT_A]</span> and is a considerable improvement on <span style=""color: #6CB219; font-weight: bold"">Windows XP:[OBJECT_B]</span>.",5,0.60104,0.4
B326787562,brands,Microsoft,Apple,Apple: Worse for open source than Microsoft?,0.6951,1.0,0,4,1,WORSE,4,3,2,"<span style=""color: #9A14B2; font-weight: bold"">Apple:[OBJECT_A]</span>: Worse for open source than <span style=""color: #6CB219; font-weight: bold"">Microsoft:[OBJECT_B]</span>?",5,0.8170600000000001,0.8
M2071852851,brands,Google,IBM,"Read the Full Report U.S. Markets Rally -- S&P 500 hits record high U.S. stocks ended mostly higher on Thursday, lifting the S&P 500 to a record finish, as Wall Street turned from the latest fiscal drama on Capitol Hill to corporate earnings that included better-than-expected results from Google Inc. Quarterly reports also included disappointing third-quarter revenue from a handful of high-profile companies, including Dow components IBM Corp and Goldman Sachs.",0.705,1.0,1,0,4,NONE,4,3,2,"Read the Full Report U.S. Markets Rally -- S&P 500 hits record high U.S. stocks ended mostly higher on Thursday, lifting the S&P 500 to a record finish, as Wall Street turned from the latest fiscal drama on Capitol Hill to corporate earnings that included better-than-expected results from <span style=""color: #9A14B2; font-weight: bold"">Google:[OBJECT_A]</span> Inc. Quarterly reports also included disappointing third-quarter revenue from a handful of high-profile companies, including Dow components <span style=""color: #6CB219; font-weight: bold"">IBM:[OBJECT_B]</span> Corp and Goldman Sachs.",5,0.823,0.8
G898931551,jbt,hockey,lacrosse,"Her competitive spirit persevered despite her injuries, and the former collegiate field hockey and lacrosse player spent the better part of her adult life proving doubters wrong.",1.0,1.0,0,0,6,NONE,6,4,2,"Her competitive spirit persevered despite her injuries, and the former collegiate field <span style=""color: #9A14B2; font-weight: bold"">hockey:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">lacrosse:[OBJECT_B]</span> player spent the better part of her adult life proving doubters wrong.",6,1.0,1.0
L1775165547,compsci,Java,Groovy,My question may sound naive but what I am trying to ask does object oriented scripting language like RoR and Groovy Grails complement Java j2ee development or provide a superior alternative.,1.0,1.0,0,0,5,NONE,5,3,2,"My question may sound naive but what I am trying to ask does object oriented scripting language like RoR and <span style=""color: #9A14B2; font-weight: bold"">Groovy:[OBJECT_A]</span> Grails complement <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span> j2ee development or provide a superior alternative.",5,1.0,1.0
E720452837,jbt,wood,foam,fire retardant foam.-wood,1.0,1.0,0,0,5,NONE,5,3,2,"fire retardant <span style=""color: #9A14B2; font-weight: bold"">foam:[OBJECT_A]</span>.-<span style=""color: #6CB219; font-weight: bold"">wood:[OBJECT_B]</span>",5,1.0,1.0
N2115549263,jbt,michigan,pennsylvania,Romney's abandoned michigan as well as pennsylvania because Obama's number there are solid as well.,1.0,1.0,0,0,5,NONE,5,3,2,"Romney's abandoned <span style=""color: #9A14B2; font-weight: bold"">michigan:[OBJECT_A]</span> as well as <span style=""color: #6CB219; font-weight: bold"">pennsylvania:[OBJECT_B]</span> because Obama's number there are solid as well.",5,1.0,1.0
D457888373,brands,Nvidia,MSI,"CatZilla is a stern test and it's shown in how far down the graph you have to scan to come across the MSI, and although the overclock helps the situation there is obviously better performance to be had from the 290X, as it should be, and the Nvidia cards.",0.6458,0.5333,0,2,3,NONE,3,3,2,"CatZilla is a stern test and it's shown in how far down the graph you have to scan to come across the <span style=""color: #9A14B2; font-weight: bold"">MSI:[OBJECT_A]</span>, and although the overclock helps the situation there is obviously better performance to be had from the 290X, as it should be, and the <span style=""color: #6CB219; font-weight: bold"">Nvidia:[OBJECT_B]</span> cards.",5,0.6008,0.6
P2596419929,jbt,pizza,pasta,The only thing I like better than pizza is pasta.,1.0,1.0,0,5,0,WORSE,5,3,2,"The only thing I like better than <span style=""color: #9A14B2; font-weight: bold"">pizza:[OBJECT_A]</span> is <span style=""color: #6CB219; font-weight: bold"">pasta:[OBJECT_B]</span>.",5,1.0,1.0
S2981371421,compsci,USB,Ethernet,"USB and Ethernet cables have to be reeved around inside the machine, under the scanner section, but it's probably easier to set it up for a wireless connection.",0.6828,1.0,0,0,5,NONE,5,3,2,"<span style=""color: #9A14B2; font-weight: bold"">USB:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Ethernet:[OBJECT_B]</span> cables have to be reeved around inside the machine, under the scanner section, but it's probably easier to set it up for a wireless connection.",5,0.80968,1.0
O2348726880,jbt,basketball,tennis,tennis is better for Fernandez than basketball,1.0,1.0,5,0,0,BETTER,5,3,2,"<span style=""color: #9A14B2; font-weight: bold"">tennis:[OBJECT_A]</span> is better for Fernandez than <span style=""color: #6CB219; font-weight: bold"">basketball:[OBJECT_B]</span>",5,1.0,1.0
M1996496322,compsci,Java,Ruby,"PHP, Ruby, JQuery, AJAX Guru, C++/Java.-",1.0,1.0,0,0,5,NONE,5,3,2,"PHP, <span style=""color: #9A14B2; font-weight: bold"">Ruby:[OBJECT_A]</span>, JQuery, AJAX Guru, C++/<span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span>.-",5,1.0,1.0
L1841275625,jbt,california,missouri,"November 30, 2001, california, missouri.",1.0,1.0,0,0,5,NONE,5,3,2,"November 30, 2001, <span style=""color: #9A14B2; font-weight: bold"">california:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">missouri:[OBJECT_B]</span>.",5,1.0,1.0
T3261715257,compsci,Java,Python,You might be better off looking at something like Java or Python instead.,1.0,1.0,0,0,5,NONE,5,3,2,"You might be better off looking at something like <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span> instead.",5,1.0,1.0
O2345744622,brands,Microsoft,Sony,TechRadar: Things have only got easier for Microsoft and Sony.,1.0,1.0,0,0,5,NONE,5,3,2,"TechRadar: Things have only got easier for <span style=""color: #9A14B2; font-weight: bold"">Microsoft:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Sony:[OBJECT_B]</span>.",5,1.0,1.0
I1355517632,brands,Apple,Intel,is the Apple switch to Intel-based hardware going to better my chances for a MacOS CAD workstation,1.0,1.0,0,0,5,NONE,5,3,2,"is the <span style=""color: #9A14B2; font-weight: bold"">Apple:[OBJECT_A]</span> switch to <span style=""color: #6CB219; font-weight: bold"">Intel:[OBJECT_B]</span>-based hardware going to better my chances for a MacOS CAD workstation",5,1.0,1.0
R2849307584,compsci,Ruby,Python,This is why perl is faster and uses less memory than Python and Ruby:,1.0,1.0,0,0,6,NONE,6,4,2,"This is why perl is faster and uses less memory than <span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Ruby:[OBJECT_B]</span>:",6,1.0,1.0
N2120480346,compsci,Ruby,Python,"Ruby 1.9 is about 3x faster, which should put it in the 20x slower than native ballpark that Perl and Python are at today.",0.7495,1.0,3,3,0,BETTER,3,4,2,"<span style=""color: #9A14B2; font-weight: bold"">Ruby:[OBJECT_A]</span> 1.9 is about 3x faster, which should put it in the 20x slower than native ballpark that Perl and <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span> are at today.",6,0.833,0.5
R2875450915,jbt,facebook,youtube,"This video editing software also makes uploading projects to online sites such as facebook, Flickr, youtube and Vimeo a lot easier and faster.",1.0,1.0,0,0,5,NONE,5,3,2,"This video editing software also makes uploading projects to online sites such as <span style=""color: #9A14B2; font-weight: bold"">facebook:[OBJECT_A]</span>, Flickr, <span style=""color: #6CB219; font-weight: bold"">youtube:[OBJECT_B]</span> and Vimeo a lot easier and faster.",5,1.0,1.0
A134567093,jbt,coffee,beer,"A cooler with cold drinks (including cola, coffee [like Starbucks DoubleShot], and maybe even beer)",1.0,1.0,0,0,5,NONE,5,3,2,"A cooler with cold drinks (including cola, <span style=""color: #9A14B2; font-weight: bold"">coffee:[OBJECT_A]</span> [like Starbucks DoubleShot], and maybe even <span style=""color: #6CB219; font-weight: bold"">beer:[OBJECT_B]</span>)",5,1.0,1.0
R2813696178,compsci,Sed,AWK,"This book is for Developers, Unix sysadmins, DBAs, Network Administrators, and IT Managers who spend a significant amount of their time on a Unix platform and would like to take advantage of the powerful Sed and AWK tools to make their life easier.",1.0,1.0,0,0,5,NONE,5,3,2,"This book is for Developers, Unix sysadmins, DBAs, Network Administrators, and IT Managers who spend a significant amount of their time on a Unix platform and would like to take advantage of the powerful <span style=""color: #9A14B2; font-weight: bold"">Sed:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">AWK:[OBJECT_B]</span> tools to make their life easier.",5,1.0,1.0
E559239142,brands,Nokia,Samsung,"Decent alternatives for you might include the Android-powered Samsung Galaxy 3 , the HTC Wildfire or indeed, if you can afford the step up, the Nokia C7 for a considerably superior Symbian^3 experience.",1.0,0.5185,0,4,1,WORSE,4,3,2,"Decent alternatives for you might include the Android-powered <span style=""color: #9A14B2; font-weight: bold"">Samsung:[OBJECT_A]</span> Galaxy 3 , the HTC Wildfire or indeed, if you can afford the step up, the <span style=""color: #6CB219; font-weight: bold"">Nokia:[OBJECT_B]</span> C7 for a considerably superior Symbian^3 experience.",5,0.8074,0.8
P2582454157,brands,Nokia,Samsung,"The Nokia 3310 is in some ways better than the Samsung Galaxy S4, here's why",1.0,1.0,5,0,0,BETTER,5,3,2,"The <span style=""color: #9A14B2; font-weight: bold"">Nokia:[OBJECT_A]</span> 3310 is in some ways better than the <span style=""color: #6CB219; font-weight: bold"">Samsung:[OBJECT_B]</span> Galaxy S4, here's why",5,1.0,1.0
T3254324938,jbt,football,basketball,You have to have solid basketball and solid football.,1.0,1.0,0,0,5,NONE,5,3,2,"You have to have solid <span style=""color: #9A14B2; font-weight: bold"">basketball:[OBJECT_A]</span> and solid <span style=""color: #6CB219; font-weight: bold"">football:[OBJECT_B]</span>.",5,1.0,1.0
I1408670121,jbt,swimming,skiing,"It is just like ballet, skiing, swimming or anything the earlier the better.",1.0,1.0,0,0,5,NONE,5,3,2,"It is just like ballet, <span style=""color: #9A14B2; font-weight: bold"">skiing:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">swimming:[OBJECT_B]</span> or anything the earlier the better.",5,1.0,1.0
O2356291690,brands,Apple,Google,Thanks to Apple removing Google maps which is 1000x better.,0.6985,0.5263,2,3,0,WORSE,3,3,2,"Thanks to <span style=""color: #9A14B2; font-weight: bold"">Apple:[OBJECT_A]</span> removing <span style=""color: #6CB219; font-weight: bold"">Google:[OBJECT_B]</span> maps which is 1000x better.",5,0.62962,0.6
E661339465,jbt,fox,espn,espn gets much better and fox falls apart - how can that be?,1.0,1.0,5,0,0,BETTER,5,3,2,"<span style=""color: #9A14B2; font-weight: bold"">espn:[OBJECT_A]</span> gets much better and <span style=""color: #6CB219; font-weight: bold"">fox:[OBJECT_B]</span> falls apart - how can that be?",5,1.0,1.0
J1430859596,compsci,Ruby,Perl,"I tried creating a version that mimics the Perl one (because Ruby also has the -n option), but in the end this seemed easier (and much more readable):",0.6549,1.0,4,0,1,BETTER,4,3,2,"I tried creating a version that mimics the <span style=""color: #9A14B2; font-weight: bold"">Perl:[OBJECT_A]</span> one (because <span style=""color: #6CB219; font-weight: bold"">Ruby:[OBJECT_B]</span> also has the -n option), but in the end this seemed easier (and much more readable):",5,0.79294,0.8
D406091925,brands,Sigma,Nikon,"But perhaps better to have a Full frame body with a 24-70, or a Sigma 35mm or 50mm f/1.4 Art or a Nikon 24mm f/1.4.",1.0,1.0,0,0,5,NONE,5,3,2,"But perhaps better to have a Full frame body with a 24-70, or a <span style=""color: #9A14B2; font-weight: bold"">Sigma:[OBJECT_A]</span> 35mm or 50mm f/1.4 Art or a <span style=""color: #6CB219; font-weight: bold"">Nikon:[OBJECT_B]</span> 24mm f/1.4.",5,1.0,1.0
R2882648010,compsci,Python,Perl,This would be a lot easier if you could use hashes/dictionaries in Perl/Python!,1.0,1.0,0,0,5,NONE,5,3,2,"This would be a lot easier if you could use hashes/dictionaries in <span style=""color: #9A14B2; font-weight: bold"">Perl:[OBJECT_A]</span>/<span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span>!",5,1.0,1.0
D540193491,brands,Intel,Kingston,"Current build ( Rev. 9/12 ): Antec NSK-3480, OCZ-600w PSU; Intel DH55tc 1156/mATX [pre-9/12: Asus P7H55-M] no more ASUS!; i5-760, 2.8gb; Kingston 16gb memory (low boys); Gigabyte ATI 5870 w/ stock heatsink and fans (runs hot!); Gellid Tranquillo CPU cooler w/ Arctic Cooling PWM; case cooling fans- two Nexus 12cm RS fans at 1000 rpm.",1.0,1.0,0,0,5,NONE,5,3,2,"Current build ( Rev. 9/12 ): Antec NSK-3480, OCZ-600w PSU; <span style=""color: #9A14B2; font-weight: bold"">Intel:[OBJECT_A]</span> DH55tc 1156/mATX [pre-9/12: Asus P7H55-M] no more ASUS!; i5-760, 2.8gb; <span style=""color: #6CB219; font-weight: bold"">Kingston:[OBJECT_B]</span> 16gb memory (low boys); Gigabyte ATI 5870 w/ stock heatsink and fans (runs hot!); Gellid Tranquillo CPU cooler w/ Arctic Cooling PWM; case cooling fans- two Nexus 12cm RS fans at 1000 rpm.",5,1.0,1.0
D400179542,compsci,Java,Python,But Java is also an order of magnitude faster than Python.,1.0,1.0,5,0,0,BETTER,5,3,2,"But <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span> is also an order of magnitude faster than <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span>.",5,1.0,1.0
S2953228994,jbt,youtube,hulu,"TV Everywhere is growing faster than other video streaming services such as youtube, hulu and Daily Motion.",1.0,1.0,0,0,5,NONE,5,3,2,"TV Everywhere is growing faster than other video streaming services such as <span style=""color: #9A14B2; font-weight: bold"">youtube:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">hulu:[OBJECT_B]</span> and Daily Motion.",5,1.0,1.0
G992838149,brands,Samsung,Motorola,"HTC, Samsung, Motorola, etc.)?",1.0,1.0,0,0,5,NONE,5,3,2,"HTC, <span style=""color: #9A14B2; font-weight: bold"">Samsung:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">Motorola:[OBJECT_B]</span>, etc.)?",5,1.0,1.0
O2416140757,jbt,football,tennis,"The better young male athletes in the US, said McEnroe, prefer to play football and basketball over tennis.",0.7059,1.0,4,0,1,BETTER,4,3,2,"The better young male athletes in the US, said McEnroe, prefer to play <span style=""color: #9A14B2; font-weight: bold"">football:[OBJECT_A]</span> and basketball over <span style=""color: #6CB219; font-weight: bold"">tennis:[OBJECT_B]</span>.",5,0.8235399999999999,0.8
S2997667904,jbt,paint,pen,Verdict is that your better off with a paint pen.,0.6667,1.0,0,0,5,NONE,5,3,2,"Verdict is that your better off with a <span style=""color: #9A14B2; font-weight: bold"">paint:[OBJECT_A]</span> <span style=""color: #6CB219; font-weight: bold"">pen:[OBJECT_B]</span>.",5,0.80002,1.0
J1508863892,brands,Coca-Cola,Pepsi,"I walked over to look inside, and yes, they were selling Pepsi out of their Coca-Cola cooler.",1.0,1.0,0,0,6,NONE,6,4,2,"I walked over to look inside, and yes, they were selling <span style=""color: #9A14B2; font-weight: bold"">Pepsi:[OBJECT_A]</span> out of their <span style=""color: #6CB219; font-weight: bold"">Coca-Cola:[OBJECT_B]</span> cooler.",6,1.0,1.0
D557045086,jbt,california,virginia,"Dean T. Stout , Assistant Presiding Judge, Superior Court of Inyo County Ms. virginia Bird , Assistant Court Executive Officer, Superior Court of Inyo County Ms. Kathy Moore , Associate Director, california Partnership to End Domestic Violence",1.0,1.0,0,0,5,NONE,5,3,2,"Dean T. Stout , Assistant Presiding Judge, Superior Court of Inyo County Ms. <span style=""color: #9A14B2; font-weight: bold"">virginia:[OBJECT_A]</span> Bird , Assistant Court Executive Officer, Superior Court of Inyo County Ms. Kathy Moore , Associate Director, <span style=""color: #6CB219; font-weight: bold"">california:[OBJECT_B]</span> Partnership to End Domestic Violence",5,1.0,1.0
E596211407,jbt,google,amazon,Do I think google will score better than amazon?,0.6571,1.0,1,0,4,NONE,4,3,2,"Do I think <span style=""color: #9A14B2; font-weight: bold"">google:[OBJECT_A]</span> will score better than <span style=""color: #6CB219; font-weight: bold"">amazon:[OBJECT_B]</span>?",5,0.79426,0.8
Q2740840607,brands,Samsung,Toshiba,"The Toshiba (348 ms), HP (408.9 ms) and Samsung (563.4 ms) all scored better.",0.7021,1.0,0,0,5,NONE,5,3,2,"The <span style=""color: #9A14B2; font-weight: bold"">Toshiba:[OBJECT_A]</span> (348 ms), HP (408.9 ms) and <span style=""color: #6CB219; font-weight: bold"">Samsung:[OBJECT_B]</span> (563.4 ms) all scored better.",5,0.82126,1.0
