id,a,b,raw_text,text_html,text_readable,type,marker,label_gold,label_gold_reason,_golden
Q2633879136,Java,Python,The real reason why Python will still be slower than Java is because it's a much more dynamic language.,"The real reason why <span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span> will still be slower than <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span> is because it's a much more dynamic language.",The real reason why *Python* will still be slower than §Java$ is because it's a much more dynamic language.,compsci,True,,,False
B270221204,Ruby,PHP,And of course we did those benchmarks 2 and 3 years ago when Ruby was about 50% slower than PHP.,"And of course we did those benchmarks 2 and 3 years ago when <span style=""color: #9A14B2; font-weight: bold"">Ruby:[OBJECT_A]</span> was about 50% slower than <span style=""color: #6CB219; font-weight: bold"">PHP:[OBJECT_B]</span>.",And of course we did those benchmarks 2 and 3 years ago when *Ruby* was about 50% slower than §PHP$.,compsci,True,,,False
I1389604590,MySQL,PostgreSQL,"I think Subversion will remain in use for the same reason MySQL remains in use, even though it is drastically inferior to PostgreSQL -- inertia.","I think Subversion will remain in use for the same reason <span style=""color: #9A14B2; font-weight: bold"">MySQL:[OBJECT_A]</span> remains in use, even though it is drastically inferior to <span style=""color: #6CB219; font-weight: bold"">PostgreSQL:[OBJECT_B]</span> -- inertia.","I think Subversion will remain in use for the same reason *MySQL* remains in use, even though it is drastically inferior to §PostgreSQL$ -- inertia.",compsci,True,,,False
B228110474,USB,Bluetooth,"Although this is still roughly 2 times faster than Wi-Fi and 50 times faster than Bluetooth, it fell well short of its wired USB counterpart.","Although this is still roughly 2 times faster than Wi-Fi and 50 times faster than <span style=""color: #9A14B2; font-weight: bold"">Bluetooth:[OBJECT_A]</span>, it fell well short of its wired <span style=""color: #6CB219; font-weight: bold"">USB:[OBJECT_B]</span> counterpart.","Although this is still roughly 2 times faster than Wi-Fi and 50 times faster than *Bluetooth*, it fell well short of its wired §USB$ counterpart.",compsci,True,,,False
D429085368,PHP,Perl,"By about a chapter into the PHP book, I was thinking ""holy crap, this language is uglier than Perl"".","By about a chapter into the <span style=""color: #9A14B2; font-weight: bold"">PHP:[OBJECT_A]</span> book, I was thinking ""holy crap, this language is uglier than <span style=""color: #6CB219; font-weight: bold"">Perl:[OBJECT_B]</span>"".","By about a chapter into the *PHP* book, I was thinking ""holy crap, this language is uglier than §Perl$"".",compsci,True,,,False
M2034558740,CUDA,OpenCL,"PRIME1 wrote: OpenCL will most likely be slower than CUDA, Brook+ or Larbabee C++ because of its general nature.","PRIME1 wrote: <span style=""color: #9A14B2; font-weight: bold"">OpenCL:[OBJECT_A]</span> will most likely be slower than <span style=""color: #6CB219; font-weight: bold"">CUDA:[OBJECT_B]</span>, Brook+ or Larbabee C++ because of its general nature.","PRIME1 wrote: *OpenCL* will most likely be slower than §CUDA$, Brook+ or Larbabee C++ because of its general nature.",compsci,True,,,False
H1122028771,Windows XP,Windows 8,"If you're on Windows XP, Windows Vista or Windows 7-and if you're reading this site and a human, you better be-upgrading to Windows 8 is going to be dirt cheap and totally worth it: only 40 bucks.","If you're on <span style=""color: #9A14B2; font-weight: bold"">Windows XP:[OBJECT_A]</span>, Windows Vista or Windows 7-and if you're reading this site and a human, you better be-upgrading to <span style=""color: #6CB219; font-weight: bold"">Windows 8:[OBJECT_B]</span> is going to be dirt cheap and totally worth it: only 40 bucks.","If you're on *Windows XP*, Windows Vista or Windows 7-and if you're reading this site and a human, you better be-upgrading to §Windows 8$ is going to be dirt cheap and totally worth it: only 40 bucks.",compsci,True,,,False
M2054206661,Python,Lisp,"Python , the best language a business can use without risking the lack of programmers ( Common Lisp is better, but I don't know anyone who knows it except for me)","<span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span> , the best language a business can use without risking the lack of programmers ( Common <span style=""color: #6CB219; font-weight: bold"">Lisp:[OBJECT_B]</span> is better, but I don't know anyone who knows it except for me)","*Python* , the best language a business can use without risking the lack of programmers ( Common §Lisp$ is better, but I don't know anyone who knows it except for me)",compsci,True,,,False
N2120512418,Ruby,Python,Ruby is even worse than Python.,"<span style=""color: #9A14B2; font-weight: bold"">Ruby:[OBJECT_A]</span> is even worse than <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span>.",*Ruby* is even worse than §Python$.,compsci,True,,,False
E601320733,PHP,Perl,"Don't learn Perl because even though it's a mature, fast and popular language, it's harder to learn than PHP.","Don't learn <span style=""color: #9A14B2; font-weight: bold"">Perl:[OBJECT_A]</span> because even though it's a mature, fast and popular language, it's harder to learn than <span style=""color: #6CB219; font-weight: bold"">PHP:[OBJECT_B]</span>.","Don't learn *Perl* because even though it's a mature, fast and popular language, it's harder to learn than §PHP$.",compsci,True,,,False
C342049458,Python,Perl,arrrggghh...Python is a terrible language - only Perl sucks worse.,"arrrggghh...<span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span> is a terrible language - only <span style=""color: #6CB219; font-weight: bold"">Perl:[OBJECT_B]</span> sucks worse.",arrrggghh...*Python* is a terrible language - only §Perl$ sucks worse.,compsci,True,,,False
M1996478726,Java,PHP,PHP is slower than Java but scales nicely anyway.,"<span style=""color: #9A14B2; font-weight: bold"">PHP:[OBJECT_A]</span> is slower than <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span> but scales nicely anyway.",*PHP* is slower than §Java$ but scales nicely anyway.,compsci,True,,,False
S2973030164,Python,PHP,"Unless you are working experienced Python web developers, PHP is easier to get started with.","Unless you are working experienced <span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span> web developers, <span style=""color: #6CB219; font-weight: bold"">PHP:[OBJECT_B]</span> is easier to get started with.","Unless you are working experienced *Python* web developers, §PHP$ is easier to get started with.",compsci,True,,,False
S2984110393,Windows XP,Windows 98,"Users of Windows 98 and previous versions will find Windows XP a change for the better, but it isn?t really much of an improvement over Windows 2000 or ME.","Users of <span style=""color: #9A14B2; font-weight: bold"">Windows 98:[OBJECT_A]</span> and previous versions will find <span style=""color: #6CB219; font-weight: bold"">Windows XP:[OBJECT_B]</span> a change for the better, but it isn?t really much of an improvement over Windows 2000 or ME.","Users of *Windows 98* and previous versions will find §Windows XP$ a change for the better, but it isn?t really much of an improvement over Windows 2000 or ME.",compsci,True,,,False
O2429931925,Java,Scala,The cast is functionally just like it would be in the Java language; Scala just has nicer syntax for it.,"The cast is functionally just like it would be in the <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span> language; <span style=""color: #6CB219; font-weight: bold"">Scala:[OBJECT_B]</span> just has nicer syntax for it.",The cast is functionally just like it would be in the *Java* language; §Scala$ just has nicer syntax for it.,compsci,True,,,False
N2120513578,Ruby,Python,"Ruby isn't (in my observation) too much slower than Perl, Python or PHP.","<span style=""color: #9A14B2; font-weight: bold"">Ruby:[OBJECT_A]</span> isn't (in my observation) too much slower than Perl, <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span> or PHP.","*Ruby* isn't (in my observation) too much slower than Perl, §Python$ or PHP.",compsci,True,,,False
D506840209,Ruby,Perl,Compared to Perl - Ruby is much much nicer.,"Compared to <span style=""color: #9A14B2; font-weight: bold"">Perl:[OBJECT_A]</span> - <span style=""color: #6CB219; font-weight: bold"">Ruby:[OBJECT_B]</span> is much much nicer.",Compared to *Perl* - §Ruby$ is much much nicer.,compsci,True,,,False
O2417243467,Windows XP,Windows 8,"The big jumps in computing power in the last few years have been around adding more CPU cores and reducing power consumption, the major software companies have been making their software run more efficiently (Windows 7 runs better on 5+ year-old hardware than Windows XP did when the hardware was brand new and Windows 8 runs even better again).","The big jumps in computing power in the last few years have been around adding more CPU cores and reducing power consumption, the major software companies have been making their software run more efficiently (Windows 7 runs better on 5+ year-old hardware than <span style=""color: #9A14B2; font-weight: bold"">Windows XP:[OBJECT_A]</span> did when the hardware was brand new and <span style=""color: #6CB219; font-weight: bold"">Windows 8:[OBJECT_B]</span> runs even better again).","The big jumps in computing power in the last few years have been around adding more CPU cores and reducing power consumption, the major software companies have been making their software run more efficiently (Windows 7 runs better on 5+ year-old hardware than *Windows XP* did when the hardware was brand new and §Windows 8$ runs even better again).",compsci,True,,,False
H1148063360,Python,Bash,"I have found that, in particular at the beginning, it is often harder to think of basic data munging concepts in R - typical tasks like sorting, grouping, data type conversion - often your language of choice (Perl, Python, or even Bash) is just quicker for doing these things in the first instance when I'm paring the data down into what I want to apply some form of statistical analysis or charting too.","I have found that, in particular at the beginning, it is often harder to think of basic data munging concepts in R - typical tasks like sorting, grouping, data type conversion - often your language of choice (Perl, <span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span>, or even <span style=""color: #6CB219; font-weight: bold"">Bash:[OBJECT_B]</span>) is just quicker for doing these things in the first instance when I'm paring the data down into what I want to apply some form of statistical analysis or charting too.","I have found that, in particular at the beginning, it is often harder to think of basic data munging concepts in R - typical tasks like sorting, grouping, data type conversion - often your language of choice (Perl, *Python*, or even §Bash$) is just quicker for doing these things in the first instance when I'm paring the data down into what I want to apply some form of statistical analysis or charting too.",compsci,True,,,False
R2910824756,Java,Scala,"To be precise, Java and Scala execute 28 times faster on average.","To be precise, <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Scala:[OBJECT_B]</span> execute 28 times faster on average.","To be precise, *Java* and §Scala$ execute 28 times faster on average.",compsci,True,,,False
S2981371414,USB,Ethernet,USB and Ethernet are both better.,"<span style=""color: #9A14B2; font-weight: bold"">USB:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Ethernet:[OBJECT_B]</span> are both better.",*USB* and §Ethernet$ are both better.,compsci,True,,,False
J1456299194,Ruby,Perl,"It's much easier to use than its Perl, Python or Ruby friends because it doesn't require SVN language bindings, which are close to impossible to compile from scratch.","It's much easier to use than its <span style=""color: #9A14B2; font-weight: bold"">Perl:[OBJECT_A]</span>, Python or <span style=""color: #6CB219; font-weight: bold"">Ruby:[OBJECT_B]</span> friends because it doesn't require SVN language bindings, which are close to impossible to compile from scratch.","It's much easier to use than its *Perl*, Python or §Ruby$ friends because it doesn't require SVN language bindings, which are close to impossible to compile from scratch.",compsci,True,,,False
J1444918727,Java,Python,"It's easier to learn than C, Python, Java, and most other programming languages used in web development, for that matter.","It's easier to learn than C, <span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span>, and most other programming languages used in web development, for that matter.","It's easier to learn than C, *Python*, §Java$, and most other programming languages used in web development, for that matter.",compsci,True,,,False
O2402956848,Ruby,JavaScript,"The app is two to 10 times faster on the client side than its predecessor, and on the server side, it's using a fraction of the resources, thanks to a switch from Ruby on Rails to Node.js, a server-side JavaScript development technology that's barely a year old but already rapidly gaining traction.","The app is two to 10 times faster on the client side than its predecessor, and on the server side, it's using a fraction of the resources, thanks to a switch from <span style=""color: #9A14B2; font-weight: bold"">Ruby:[OBJECT_A]</span> on Rails to Node.js, a server-side <span style=""color: #6CB219; font-weight: bold"">JavaScript:[OBJECT_B]</span> development technology that's barely a year old but already rapidly gaining traction.","The app is two to 10 times faster on the client side than its predecessor, and on the server side, it's using a fraction of the resources, thanks to a switch from *Ruby* on Rails to Node.js, a server-side §JavaScript$ development technology that's barely a year old but already rapidly gaining traction.",compsci,True,,,False
K1694141643,Java,Python,"Maybe we're going to use Python (simpler but slower) , or Java (much complexer compared to a ""pure"" scripting one, but faster - as fast as C/Cpp).","Maybe we're going to use <span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span> (simpler but slower) , or <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span> (much complexer compared to a ""pure"" scripting one, but faster - as fast as C/Cpp).","Maybe we're going to use *Python* (simpler but slower) , or §Java$ (much complexer compared to a ""pure"" scripting one, but faster - as fast as C/Cpp).",compsci,True,,,False
K1635496226,Windows XP,Windows Vista,Linux is inferior to Windows XP or Windows Vista.,"Linux is inferior to <span style=""color: #9A14B2; font-weight: bold"">Windows XP:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">Windows Vista:[OBJECT_B]</span>.",Linux is inferior to *Windows XP* or §Windows Vista$.,compsci,True,,,False
S2974407769,Windows XP,Windows 8,"Unlike Windows 7, which provided Microsoft's large user base with an evolutionary path forward from Windows XP, with a look, feel and overall experience that was better - Windows 8 is a different beast.","Unlike Windows 7, which provided Microsoft's large user base with an evolutionary path forward from <span style=""color: #9A14B2; font-weight: bold"">Windows XP:[OBJECT_A]</span>, with a look, feel and overall experience that was better - <span style=""color: #6CB219; font-weight: bold"">Windows 8:[OBJECT_B]</span> is a different beast.","Unlike Windows 7, which provided Microsoft's large user base with an evolutionary path forward from *Windows XP*, with a look, feel and overall experience that was better - §Windows 8$ is a different beast.",compsci,True,,,False
E672330312,Ruby,Python,"Even today , lanuages like Ruby and Python are still an order of magnitude slower than some of their static counterparts.","Even today , lanuages like <span style=""color: #9A14B2; font-weight: bold"">Ruby:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span> are still an order of magnitude slower than some of their static counterparts.","Even today , lanuages like *Ruby* and §Python$ are still an order of magnitude slower than some of their static counterparts.",compsci,True,,,False
B305352903,MySQL,SQLite,"Another db, SQLite or MySQL (that are faster and lighter with simple db structures) used to store just the documents ID and timestamps.","Another db, <span style=""color: #9A14B2; font-weight: bold"">SQLite:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">MySQL:[OBJECT_B]</span> (that are faster and lighter with simple db structures) used to store just the documents ID and timestamps.","Another db, *SQLite* or §MySQL$ (that are faster and lighter with simple db structures) used to store just the documents ID and timestamps.",compsci,True,,,False
H1101595768,Python,PHP,If this is for a personal project then there's a lot easier ways of doing this such as using PHP or another server side language like Python.,"If this is for a personal project then there's a lot easier ways of doing this such as using <span style=""color: #9A14B2; font-weight: bold"">PHP:[OBJECT_A]</span> or another server side language like <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span>.",If this is for a personal project then there's a lot easier ways of doing this such as using *PHP* or another server side language like §Python$.,compsci,True,,,False
J1544989266,Java,Smalltalk,Java does not support Lambdas like Python or Code Blocks like Smalltalk.,"<span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span> does not support Lambdas like Python or Code Blocks like <span style=""color: #6CB219; font-weight: bold"">Smalltalk:[OBJECT_B]</span>.",*Java* does not support Lambdas like Python or Code Blocks like §Smalltalk$.,compsci,False,,,False
K1724300191,Java,Objective-C,Mobile developers were finding Symbian C++ much harder to learn and develop for that Google's Java-based SDK or Apple's Objective-C based SDK.,"Mobile developers were finding Symbian C++ much harder to learn and develop for that Google's <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span>-based SDK or Apple's <span style=""color: #6CB219; font-weight: bold"">Objective-C:[OBJECT_B]</span> based SDK.",Mobile developers were finding Symbian C++ much harder to learn and develop for that Google's *Java*-based SDK or Apple's §Objective-C$ based SDK.,compsci,True,,,False
J1491454868,Java,PHP,It would be a virtuous cycle for PHP(things get better because the status quo is better) and a vicious cycle for Java(things get worse because the status quo is worse).,"It would be a virtuous cycle for <span style=""color: #9A14B2; font-weight: bold"">PHP:[OBJECT_A]</span>(things get better because the status quo is better) and a vicious cycle for <span style=""color: #6CB219; font-weight: bold"">Java:[OBJECT_B]</span>(things get worse because the status quo is worse).",It would be a virtuous cycle for *PHP*(things get better because the status quo is better) and a vicious cycle for §Java$(things get worse because the status quo is worse).,compsci,True,,,False
N2120484794,Ruby,PHP,Ruby and PHP are easier for designers to learn and give them their first successes quickly.,"<span style=""color: #9A14B2; font-weight: bold"">Ruby:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">PHP:[OBJECT_B]</span> are easier for designers to learn and give them their first successes quickly.",*Ruby* and §PHP$ are easier for designers to learn and give them their first successes quickly.,compsci,True,,,False
M2054168668,Python,Perl,"Python and Perl both work better than Java on Linux, they're faster to develop with, they start faster, easier to debug, more useful libraries, more code developed by other people that you can leverage, etc. etc.","<span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Perl:[OBJECT_B]</span> both work better than Java on Linux, they're faster to develop with, they start faster, easier to debug, more useful libraries, more code developed by other people that you can leverage, etc. etc.","*Python* and §Perl$ both work better than Java on Linux, they're faster to develop with, they start faster, easier to debug, more useful libraries, more code developed by other people that you can leverage, etc. etc.",compsci,True,,,False
L1911146553,Python,Bash,Only recommendation would be to move to Python (or something better than Bash/perl) in order to increase library support and adoption.,"Only recommendation would be to move to <span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span> (or something better than <span style=""color: #6CB219; font-weight: bold"">Bash:[OBJECT_B]</span>/perl) in order to increase library support and adoption.",Only recommendation would be to move to *Python* (or something better than §Bash$/perl) in order to increase library support and adoption.,compsci,True,,,False
I1332732696,Ruby,Python,I ran it myself and found PHP to be faster than Python and Ruby.,"I ran it myself and found PHP to be faster than <span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">Ruby:[OBJECT_B]</span>.",I ran it myself and found PHP to be faster than *Python* and §Ruby$.,compsci,True,,,False
M2054193706,Python,JavaScript,"Python or JavaScript might be a little easier for learning, since you no longer worry about type safety, you just let things crash at runtime if you use them wrong.","<span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">JavaScript:[OBJECT_B]</span> might be a little easier for learning, since you no longer worry about type safety, you just let things crash at runtime if you use them wrong.","*Python* or §JavaScript$ might be a little easier for learning, since you no longer worry about type safety, you just let things crash at runtime if you use them wrong.",compsci,True,,,False
A137884310,Windows XP,Windows 8,Actually for many Windows XP users it is easier to migrate to Linux Mint than to Windows 8.,"Actually for many <span style=""color: #9A14B2; font-weight: bold"">Windows XP:[OBJECT_A]</span> users it is easier to migrate to Linux Mint than to <span style=""color: #6CB219; font-weight: bold"">Windows 8:[OBJECT_B]</span>.",Actually for many *Windows XP* users it is easier to migrate to Linux Mint than to §Windows 8$.,compsci,True,,,False
P2528133264,Windows 7,Windows 8,Their aim is to make Windows 8 run faster than Windows 7 on the same machine.,"Their aim is to make <span style=""color: #9A14B2; font-weight: bold"">Windows 8:[OBJECT_A]</span> run faster than <span style=""color: #6CB219; font-weight: bold"">Windows 7:[OBJECT_B]</span> on the same machine.",Their aim is to make *Windows 8* run faster than §Windows 7$ on the same machine.,compsci,True,,,False
R2818448158,Python,Bash,"This could better be integrated to your application than some Python script (or Perl script, or Bash script using the system's mailx application, or whatever other external method you find).","This could better be integrated to your application than some <span style=""color: #9A14B2; font-weight: bold"">Python:[OBJECT_A]</span> script (or Perl script, or <span style=""color: #6CB219; font-weight: bold"">Bash:[OBJECT_B]</span> script using the system's mailx application, or whatever other external method you find).","This could better be integrated to your application than some *Python* script (or Perl script, or §Bash$ script using the system's mailx application, or whatever other external method you find).",compsci,True,,,False
M1926847048,Oracle,PostgreSQL,Oracle and PostgreSQL both have good log-shipping mechanisms to make this easier.,"<span style=""color: #9A14B2; font-weight: bold"">Oracle:[OBJECT_A]</span> and <span style=""color: #6CB219; font-weight: bold"">PostgreSQL:[OBJECT_B]</span> both have good log-shipping mechanisms to make this easier.",*Oracle* and §PostgreSQL$ both have good log-shipping mechanisms to make this easier.,compsci,True,,,False
O2391155907,USB,Bluetooth,The 480 Mb USB interface and v2.1 enhanced Bluetooth make sharing of data faster.,"The 480 Mb <span style=""color: #9A14B2; font-weight: bold"">USB:[OBJECT_A]</span> interface and v2.1 enhanced <span style=""color: #6CB219; font-weight: bold"">Bluetooth:[OBJECT_B]</span> make sharing of data faster.",The 480 Mb *USB* interface and v2.1 enhanced §Bluetooth$ make sharing of data faster.,compsci,True,,,False
T3268030790,USB,Bluetooth,"You're better off getting something like a Parrot MKi9200 (will do Bluetooth audio & handsfree, USB, aux, SD cards etc)","You're better off getting something like a Parrot MKi9200 (will do <span style=""color: #9A14B2; font-weight: bold"">Bluetooth:[OBJECT_A]</span> audio & handsfree, <span style=""color: #6CB219; font-weight: bold"">USB:[OBJECT_B]</span>, aux, SD cards etc)","You're better off getting something like a Parrot MKi9200 (will do *Bluetooth* audio & handsfree, §USB$, aux, SD cards etc)",compsci,True,,,False
E582399322,Ruby,Perl,"Difficulty: Ruby is definitely easier to learn, especially for someone with some C/Perl background.","Difficulty: <span style=""color: #9A14B2; font-weight: bold"">Ruby:[OBJECT_A]</span> is definitely easier to learn, especially for someone with some C/<span style=""color: #6CB219; font-weight: bold"">Perl:[OBJECT_B]</span> background.","Difficulty: *Ruby* is definitely easier to learn, especially for someone with some C/§Perl$ background.",compsci,True,,,False
S3092715740,Java,PHP,"We wanted something more lightweight and faster to develop in than Java, and Rails sounded like more fun than PHP,"" Williams said.","We wanted something more lightweight and faster to develop in than <span style=color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span>, and Rails sounded like more fun than <span style=""color: #6CB219; font-weight: bold"">PHP:[OBJECT_B]</span>,"" Williams said.","We wanted something more lightweight and faster to develop in than *Java*, and Rails sounded like more fun than §PHP$, Williams said.",compsci,True,,,False
S2987441450,Python,Lisp,"Using the techniques of today, it looks like the best one can do is essentially to construct a Turing machine that explicitly enumerates the theorems of PA or ZFC-in which case the numerical bounds would be absolutely terrible, since one would need to code up the axiom schema, the inference rules of first-order logic, etc. (Probably the situation is somewhat better in a programming language like Lisp or Python.)","Using the techniques of today, it looks like the best one can do is essentially to construct a Turing machine that explicitly enumerates the theorems of PA or ZFC-in which case the numerical bounds would be absolutely terrible, since one would need to code up the axiom schema, the inference rules of first-order logic, etc. (Probably the situation is somewhat better in a programming language like <span style=""color: #9A14B2; font-weight: bold"">Lisp:[OBJECT_A]</span> or <span style=""color: #6CB219; font-weight: bold"">Python:[OBJECT_B]</span>.)","Using the techniques of today, it looks like the best one can do is essentially to construct a Turing machine that explicitly enumerates the theorems of PA or ZFC-in which case the numerical bounds would be absolutely terrible, since one would need to code up the axiom schema, the inference rules of first-order logic, etc. (Probably the situation is somewhat better in a programming language like *Lisp* or §Python$.)",compsci,True,,,False
L1777176928,MySQL,PostgreSQL,"MySQL, PostgreSQL, Oracle, etc., are all superior choices.","<span style=""color: #9A14B2; font-weight: bold"">MySQL:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">PostgreSQL:[OBJECT_B]</span>, Oracle, etc., are all superior choices.","*MySQL*, §PostgreSQL$, Oracle, etc., are all superior choices.",compsci,True,,,False
D496067859,Java,Perl,"CODE:NEO can enhance existing Java, Perl, or ASP programs to execute and run at least ten times faster on a web server.","CODE:NEO can enhance existing <span style=""color: #9A14B2; font-weight: bold"">Java:[OBJECT_A]</span>, <span style=""color: #6CB219; font-weight: bold"">Perl:[OBJECT_B]</span>, or ASP programs to execute and run at least ten times faster on a web server.","CODE:NEO can enhance existing *Java*, §Perl$, or ASP programs to execute and run at least ten times faster on a web server.",compsci,True,,,False
