id,sentence,object_a,object_b,most_frequent_label,most_frequent_percentage,path
D524536323,"core 2 quad q9650, LGA775 mobo, 8gb ram, gtx 760, 3tb hdd, compatible wifi card, 2 compatible USB Bluetooth dongles, a cpu cooler for $799.98",USB,Bluetooth,NONE,1.0,X/PROPN/compound/> Y/PROPN/ROOT/^
O2416131140,The better to compete with Disney's espn and fox Sports.,espn,fox,NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/conj/<
O2416131140,The better to compete with Disney's espn and fox Sports.,espn,fox,NONE,1.0,X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/conj/<
B213321262,"Also for the first time, Ford has the fewest number of ""things gone wrong"" in the industry - with initial quality statistically equal to Toyota and better than Honda",Ford,Honda,BETTER,1.0,NOPATH
F741039146,"For Economics, harvard, Stanford, MIT and princeton have better reputations.",harvard,princeton,NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/conj/<
F741039146,"For Economics, harvard, Stanford, MIT and princeton have better reputations.",harvard,princeton,NONE,1.0,X/PROPN/ROOT/^ stanford/PROPN/conj/V Y/PROPN/conj/<
I1297767926,"In terms of revenues, Cisco is growing faster than Intel, about as fast as Juniper, and a bit behind Microsoft.",Intel,Microsoft,WORSE,0.6,X/PROPN/ROOT/^ Y/PROPN/pobj/<
I1297767926,"In terms of revenues, Cisco is growing faster than Intel, about as fast as Juniper, and a bit behind Microsoft.",Intel,Microsoft,WORSE,0.6,X/PROPN/ROOT/^ fast/ADV/advmod/V Y/PROPN/pobj/<
I1297767926,"In terms of revenues, Cisco is growing faster than Intel, about as fast as Juniper, and a bit behind Microsoft.",Intel,Microsoft,WORSE,0.6,X/PROPN/ROOT/^ behind/ADP/prep/V Y/PROPN/pobj/<
K1713853631,"Microsoft, Oracle, Sun, IBM and HP have specifically focused on making things better.",Microsoft,IBM,NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/conj/<
K1713853631,"Microsoft, Oracle, Sun, IBM and HP have specifically focused on making things better.",Microsoft,IBM,NONE,1.0,X/PROPN/ROOT/^ oracle/PROPN/conj/V Y/PROPN/conj/<
L1786319645,"NBC, fox, espn, you can all do better.",fox,espn,NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/conj/<
T3179188500,wii U GPU And CPU Slower Than Xbox 360 And playstation 3,wii,playstation,WORSE,0.8,X/PROPN/compound/> gpu/PROPN/ROOT/^ xbox/PROPN/conj/< Y/PROPN/conj/<
K1663288862,"Mahan Is superior to Curtis, but there Is nothing to choose between Murdock, of dartmouth, and Bradlce, of harvard.",dartmouth,harvard,NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/pobj/<
K1663288862,"Mahan Is superior to Curtis, but there Is nothing to choose between Murdock, of dartmouth, and Bradlce, of harvard.",dartmouth,harvard,NONE,1.0,X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/pobj/<
K1663288862,"Mahan Is superior to Curtis, but there Is nothing to choose between Murdock, of dartmouth, and Bradlce, of harvard.",dartmouth,harvard,NONE,1.0,X/PROPN/ROOT/^ bradlce/PROPN/conj/V Y/PROPN/pobj/<
G1064415600,(IE: soda and juice),soda,juice,NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/conj/<
G1064415600,(IE: soda and juice),soda,juice,NONE,1.0,X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/conj/<
D506807501,"Compared to most tablets, actually looks rather cheap, and if Sony had worked on getting mobile developers on board at an earlier stage, the device could have launched with a PlayStation Mobile store better equipped to deal with the App Store and Google Play.",Sony,Google,NONE,1.0,NOPATH
P2542809229,"The leaf shutter placed lenses farther away from the focal plane, ensuring Voigtlander's best could never compete with the faster or wider lenses of Leica, Nikon or Canon.",Leica,Nikon,NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/conj/<
F779762212,"From an internal vision point of view, it's better than the Astra Sport Hatch, the Honda Civic and the Ford Focus.",Honda,Ford,NONE,1.0,X/PROPN/compound/> civic/PROPN/ROOT/^ Y/PROPN/conj/<
F779762212,"From an internal vision point of view, it's better than the Astra Sport Hatch, the Honda Civic and the Ford Focus.",Honda,Ford,NONE,1.0,X/PROPN/compound/> civic/PROPN/ROOT/^ the/DET/det/V Y/PROPN/conj/<
S3106120142,"What features it should have: - Is easily extensible in a well know language (PHP, C, Python, etc) so it is easier to contribute.",PHP,Python,NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/appos/<
O2351554541,Texsport® 108 - can Trolley Cooler hauls up to NINE 12 - packs of beer or soda!,beer,soda,NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/conj/<
O2351554541,Texsport® 108 - can Trolley Cooler hauls up to NINE 12 - packs of beer or soda!,beer,soda,NONE,1.0,X/PROPN/ROOT/^ or/CONJ/cc/V Y/PROPN/conj/<
N2208218063,Simply because Direct3D runs way better on Windows then OpenGL in most cases.,Direct3D,OpenGL,BETTER,1.0,X/PROPN/nsubj/> run/VERB/ROOT/^ Y/PROPN/dep/<
N2208218063,Simply because Direct3D runs way better on Windows then OpenGL in most cases.,Direct3D,OpenGL,BETTER,1.0,X/PROPN/nsubj/> run/VERB/ROOT/^ then/ADV/advmod/V Y/PROPN/dep/<
B232382086,"AMD Phenom II X2 955 Processor 3.2 GB 700W PSU (Cooler Master) 8 GB DDR2 RAM 24"" Samsung Monitor 1920 x 1200 Windows 7 64bit",AMD,Samsung,NONE,1.0,NOPATH
F849883598,harvard: mit Press.,harvard,mit,NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/appos/<
B229431164,Always gets worse after playing golf or tennis.,golf,tennis,NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/conj/<
B229431164,Always gets worse after playing golf or tennis.,golf,tennis,NONE,1.0,X/PROPN/ROOT/^ or/CONJ/cc/V Y/PROPN/conj/<
O2391247696,"The 4 GHz goal by Intel and the 3 Ghz G5 goal by IBM are largely based on moving to a 90 nm process for their chips, allowing them to run at faster clock speeds.",Intel,IBM,NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/pobj/<
O2391247696,"The 4 GHz goal by Intel and the 3 Ghz G5 goal by IBM are largely based on moving to a 90 nm process for their chips, allowing them to run at faster clock speeds.",Intel,IBM,NONE,1.0,X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/pobj/<
O2391247696,"The 4 GHz goal by Intel and the 3 Ghz G5 goal by IBM are largely based on moving to a 90 nm process for their chips, allowing them to run at faster clock speeds.",Intel,IBM,NONE,1.0,X/PROPN/ROOT/^ goal/NOUN/conj/V Y/PROPN/pobj/<
T3272558159,"Your responsibilities: - Custom app development for Shopify - New theme development for Shopify - Do amends & corrections to the existing Shopify sites - Write simple to intermediate complexity JavaScript functionality for themes - Write clean, modular, robust code to implement the desired requirements Details: - Good knowledge in HTML/XHMTL/CSS/Ruby ON RAILS - Good knowledge in jQuery is a must - Understanding of principles of integrations with different APIs - You need have a solid understanding of Shopify p...",JavaScript,Ruby,NONE,1.0,NOPATH
M1931822993,Originally posted by Ferrim [...]Ferrari and BMW DON'T need Alonso.,Ferrari,BMW,NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/conj/<
M1931822993,Originally posted by Ferrim [...]Ferrari and BMW DON'T need Alonso.,Ferrari,BMW,NONE,1.0,X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/conj/<
L1835469031,"Not only is Coca-Cola the perfect thirst-quencher, and far superior to Pepsi, it literally has the power to bring the dead back to life.",Coca-Cola,Pepsi,BETTER,1.0,X/VERB/ROOT/^ Y/PROPN/pobj/<
L1835469031,"Not only is Coca-Cola the perfect thirst-quencher, and far superior to Pepsi, it literally has the power to bring the dead back to life.",Coca-Cola,Pepsi,BETTER,1.0,X/VERB/ROOT/^ quencher/NOUN/dobj/V Y/PROPN/pobj/<
L1835469031,"Not only is Coca-Cola the perfect thirst-quencher, and far superior to Pepsi, it literally has the power to bring the dead back to life.",Coca-Cola,Pepsi,BETTER,1.0,X/VERB/ROOT/^ and/CONJ/cc/V Y/PROPN/pobj/<
L1835469031,"Not only is Coca-Cola the perfect thirst-quencher, and far superior to Pepsi, it literally has the power to bring the dead back to life.",Coca-Cola,Pepsi,BETTER,1.0,X/VERB/ROOT/^ superior/ADJ/conj/V Y/PROPN/pobj/<
R2939613442,"Traditional medicine also recommends drinking milk, weak tea, or baking-soda solution to make it go away faster.",milk,soda,NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/conj/<
R2939613442,"Traditional medicine also recommends drinking milk, weak tea, or baking-soda solution to make it go away faster.",milk,soda,NONE,1.0,X/PROPN/ROOT/^ tea/NOUN/appos/V Y/PROPN/conj/<
R2939613442,"Traditional medicine also recommends drinking milk, weak tea, or baking-soda solution to make it go away faster.",milk,soda,NONE,1.0,X/PROPN/ROOT/^ baking/NOUN/compound/V Y/PROPN/conj/<
O2378258556,"That SOS is better than Kentucky, North carolina and missouri among many others.",carolina,missouri,NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/conj/<
O2378258556,"That SOS is better than Kentucky, North carolina and missouri among many others.",carolina,missouri,NONE,1.0,X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/conj/<
F835981683,"Groovy has always been about making Java better, rather than replacing it.",Groovy,Java,NONE,0.6,X/PROPN/nsubj/> be/VERB/ROOT/^ about/ADP/prep/< make/VERB/pcomp/< Y/PROPN/dobj/<
S2951985464,"Turn-in is crisper in the Lexus than in either the BMW or the Cadillac, a fact borne out by its first-place slalom finish in spite of a mediocre skidpad performance.",Lexus,Cadillac,BETTER,0.6,X/PROPN/ROOT/^ Y/PROPN/conj/<
S2951985464,"Turn-in is crisper in the Lexus than in either the BMW or the Cadillac, a fact borne out by its first-place slalom finish in spite of a mediocre skidpad performance.",Lexus,Cadillac,BETTER,0.6,X/PROPN/ROOT/^ than/ADP/prep/V Y/PROPN/conj/<
S2951985464,"Turn-in is crisper in the Lexus than in either the BMW or the Cadillac, a fact borne out by its first-place slalom finish in spite of a mediocre skidpad performance.",Lexus,Cadillac,BETTER,0.6,X/PROPN/ROOT/^ the/DET/det/V Y/PROPN/conj/<
F748733360,"For IBM it will be able to better compete against Android, Microsoft and Oracle by offering mobile products to its corporate clients.",IBM,Microsoft,NONE,1.0,NOPATH
G963656679,"Host georgia Tech took the second-round lead at 12-under 548, a shot better than top-ranked california in second.",georgia,california,BETTER,1.0,X/PROPN/compound/> take/VERB/ROOT/^ good/ADJ/amod/< than/ADP/prep/< Y/PROPN/pobj/<
G963656679,"Host georgia Tech took the second-round lead at 12-under 548, a shot better than top-ranked california in second.",georgia,california,BETTER,1.0,X/PROPN/compound/> take/VERB/ROOT/^ good/ADJ/amod/< than/ADP/prep/< rank/VERB/amod/V Y/PROPN/pobj/<
K1630014296,Like it better when fox and espn competed.,fox,espn,NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/conj/<
K1630014296,Like it better when fox and espn competed.,fox,espn,NONE,1.0,X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/conj/<
R2877716398,This was one of my favourite games on the ps2 and looks fantastic on the ds: the same but better!,ps2,ds,WORSE,0.6,X/PROPN/nsubj/> look/VERB/ROOT/^ on/ADP/prep/< Y/PROPN/pobj/<
R2877716398,This was one of my favourite games on the ps2 and looks fantastic on the ds: the same but better!,ps2,ds,WORSE,0.6,X/PROPN/nsubj/> and/CONJ/cc/V look/VERB/ROOT/^ on/ADP/prep/< Y/PROPN/pobj/<
R2877716398,This was one of my favourite games on the ps2 and looks fantastic on the ds: the same but better!,ps2,ds,WORSE,0.6,X/PROPN/nsubj/> look/VERB/ROOT/^ on/ADP/prep/< the/DET/det/V Y/PROPN/pobj/<
T3207653766,wood Spo ...more ked Wheels and decent rubber.,wood,rubber,NONE,0.6,NOPATH
F739998203,Ford and Chevrolet are steadily trying to increase their sales by providing better products and here's how they are trying to do it.,Ford,Chevrolet,NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/conj/<
F739998203,Ford and Chevrolet are steadily trying to increase their sales by providing better products and here's how they are trying to do it.,Ford,Chevrolet,NONE,1.0,X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/conj/<
A92555559,5. Samsung BlackJack II/Motorola Q9 Global,Samsung,Motorola,NONE,1.0,NOPATH
J1484296443,It was poorly coded in Perl anyway compare to the Korean tool which is well coded in PHP.,Perl,PHP,WORSE,0.8,NOPATH
D391351621,"But if video capture is what you're after, there are better tools than FRAPS or MSI AB.If you have a 6xx or 7xx series Nvidia card, SHADOWPLAY is your friend (it's part of Geforce Experience and can capture at full HD, with or without audio (+ your own microphone should you want to).",MSI,Nvidia,NONE,0.6,X/PROPN/npadvmod/> have/VERB/ROOT/^ 6xx/NOUN/dobj/< Y/PROPN/conj/<
D391351621,"But if video capture is what you're after, there are better tools than FRAPS or MSI AB.If you have a 6xx or 7xx series Nvidia card, SHADOWPLAY is your friend (it's part of Geforce Experience and can capture at full HD, with or without audio (+ your own microphone should you want to).",MSI,Nvidia,NONE,0.6,X/PROPN/npadvmod/> have/VERB/ROOT/^ 6xx/NOUN/dobj/< series/NOUN/compound/V Y/PROPN/conj/<
D465083528,Chances Rodriguez will have better offensive linemen on his michigan teams than he had at West virginia: roughly 120%.,michigan,virginia,BETTER,1.0,X/ADJ/amod/> team/NOUN/ROOT/^ have/VERB/advcl/< at/ADP/prep/< Y/PROPN/pobj/<
D465083528,Chances Rodriguez will have better offensive linemen on his michigan teams than he had at West virginia: roughly 120%.,michigan,virginia,BETTER,1.0,X/ADJ/amod/> team/NOUN/ROOT/^ have/VERB/advcl/< at/ADP/prep/< west/PROPN/compound/V Y/PROPN/pobj/<
I1377007203,"It gets better-this is cnn, not fox.",cnn,fox,BETTER,0.8,X/PROPN/dep/> Y/ADJ/ROOT/^
I1377007203,"It gets better-this is cnn, not fox.",cnn,fox,BETTER,0.8,X/PROPN/dep/> not/ADV/neg/V Y/ADJ/ROOT/^
I1385925160,I think it allows him to learn before he is considered for Ferrari or BMW perhaps.,Ferrari,BMW,NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/conj/<
I1385925160,I think it allows him to learn before he is considered for Ferrari or BMW perhaps.,Ferrari,BMW,NONE,1.0,X/PROPN/ROOT/^ or/CONJ/cc/V Y/PROPN/conj/<
E683050923,"Example, in the midsize sedan market the products offered by American companies like GM and Ford are EVERY BIT as good as the Japanese, European or Korean competition (The jury is out on the Chrysler 200) but people flock to Toyota and Honda dealerships because there's the ""belief"" that it's a better, more dependable product.",Chrysler,Toyota,WORSE,0.6,X/PROPN/nsubj/> flock/VERB/ROOT/^ to/ADP/prep/< Y/PROPN/pobj/<
E683050923,"Example, in the midsize sedan market the products offered by American companies like GM and Ford are EVERY BIT as good as the Japanese, European or Korean competition (The jury is out on the Chrysler 200) but people flock to Toyota and Honda dealerships because there's the ""belief"" that it's a better, more dependable product.",Chrysler,Toyota,WORSE,0.6,X/PROPN/nsubj/> 200/NUM/nummod/V flock/VERB/ROOT/^ to/ADP/prep/< Y/PROPN/pobj/<
E683050923,"Example, in the midsize sedan market the products offered by American companies like GM and Ford are EVERY BIT as good as the Japanese, European or Korean competition (The jury is out on the Chrysler 200) but people flock to Toyota and Honda dealerships because there's the ""belief"" that it's a better, more dependable product.",Chrysler,Toyota,WORSE,0.6,X/PROPN/nsubj/> but/CONJ/cc/V flock/VERB/ROOT/^ to/ADP/prep/< Y/PROPN/pobj/<
E683050923,"Example, in the midsize sedan market the products offered by American companies like GM and Ford are EVERY BIT as good as the Japanese, European or Korean competition (The jury is out on the Chrysler 200) but people flock to Toyota and Honda dealerships because there's the ""belief"" that it's a better, more dependable product.",Chrysler,Toyota,WORSE,0.6,X/PROPN/nsubj/> people/NOUN/conj/V flock/VERB/ROOT/^ to/ADP/prep/< Y/PROPN/pobj/<
J1456030841,It's more explicit and faster (especially since regex in Python is not super optimized like Perl).,Python,Perl,WORSE,0.8,X/PROPN/nsubj/> be/VERB/ROOT/^ optimize/VERB/acomp/< like/ADP/prep/< Y/PROPN/pobj/<
L1754065103,"Much better to ask what the strengths and weaknesses are of particular languages, eg. for programming a particular kind of task, for future employability of developers and maintainers, for compiler efficiency, for expressive completeness, for FFI, etc. Python clearly has many strengths that Lisp/scheme lack, also vica versa.",Python,Lisp,BETTER,0.8,X/PROPN/nsubj/> have/VERB/ROOT/^ strength/NOUN/dobj/< that/ADJ/relcl/< Y/PROPN/nsubj/<
N2212181215,"Since Ohio State was ineligible, there is a solid argument that oregon and georgia - on the lip of the goal in the SEC championship game vs. Alabama when time ran out - would also be included.",oregon,georgia,NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/conj/<
N2212181215,"Since Ohio State was ineligible, there is a solid argument that oregon and georgia - on the lip of the goal in the SEC championship game vs. Alabama when time ran out - would also be included.",oregon,georgia,NONE,1.0,X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/conj/<
S3072134857,We need...implemented by Objective-C rather than Swift.,Objective-C,Swift,BETTER,0.8,X/PROPN/ROOT/^ Y/PROPN/pobj/<
S3072134857,We need...implemented by Objective-C rather than Swift.,Objective-C,Swift,BETTER,0.8,X/PROPN/ROOT/^ than/ADP/cc/V Y/PROPN/pobj/<
J1531460719,I would also like to point out the reason that vBullitin is faster is due to MySQL databases vs flat-file AND better programming not Perl/PHP.,Perl,PHP,NONE,1.0,NOPATH
K1711791098,Michael: golf and basketball.,golf,basketball,NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/conj/<
K1711791098,Michael: golf and basketball.,golf,basketball,NONE,1.0,X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/conj/<
G1024603203,"IBM on Wednesday unveiled new POWER8 processor-based servers that the computing giant said ""are capable of analyzing data 50 times faster than the latest x86-based systems"" built on chips from companies like Intel and Advanced Micro Devices.",IBM,Intel,BETTER,0.8,NOPATH
I1404072421,"It is BMW, not Ferrari.",BMW,Ferrari,NONE,0.8,X/PROPN/dep/> Y/ADJ/ROOT/^
I1404072421,"It is BMW, not Ferrari.",BMW,Ferrari,NONE,0.8,X/PROPN/dep/> not/ADV/neg/V Y/ADJ/ROOT/^
S3116356342,What's worse is that going from a PHP-mindset to C++ or Java isn't the easiest thing in the world.,PHP,Java,NONE,1.0,X/PROPN/amod/> mindset/NOUN/ROOT/^ to/ADP/prep/< c++/PROPN/pobj/< Y/PROPN/conj/<
D388184534,"But, hockey and basketball are our better sports.",hockey,basketball,NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/conj/<
D388184534,"But, hockey and basketball are our better sports.",hockey,basketball,NONE,1.0,X/PROPN/ROOT/^ and/CONJ/cc/V Y/PROPN/conj/<
N2201997302,Show Bikes by Make Select Category Aermacchi AJS Ariel Benelli Bimota BMW Brough Superior BSA Bultaco Cagiva DKW Ducati Gilera Greeves Harley Davidson Honda Horex Indian Kawasaki Laverda Matchless Mondial Moto Guzzi Moto Morini Motobi MV Agusta Norton NSU Panther Parilla Racycle Rickman Royal Enfield Suzuki Triumph Uncategorized Velocette Vincent Yamaha Zenith,BMW,Honda,NONE,1.0,X/PROPN/compound/> Y/PROPN/ROOT/^
N2201997302,Show Bikes by Make Select Category Aermacchi AJS Ariel Benelli Bimota BMW Brough Superior BSA Bultaco Cagiva DKW Ducati Gilera Greeves Harley Davidson Honda Horex Indian Kawasaki Laverda Matchless Mondial Moto Guzzi Moto Morini Motobi MV Agusta Norton NSU Panther Parilla Racycle Rickman Royal Enfield Suzuki Triumph Uncategorized Velocette Vincent Yamaha Zenith,BMW,Honda,NONE,1.0,X/PROPN/compound/> greeves/PROPN/compound/V Y/PROPN/ROOT/^
N2201997302,Show Bikes by Make Select Category Aermacchi AJS Ariel Benelli Bimota BMW Brough Superior BSA Bultaco Cagiva DKW Ducati Gilera Greeves Harley Davidson Honda Horex Indian Kawasaki Laverda Matchless Mondial Moto Guzzi Moto Morini Motobi MV Agusta Norton NSU Panther Parilla Racycle Rickman Royal Enfield Suzuki Triumph Uncategorized Velocette Vincent Yamaha Zenith,BMW,Honda,NONE,1.0,X/PROPN/compound/> harley/PROPN/compound/V Y/PROPN/ROOT/^
N2201997302,Show Bikes by Make Select Category Aermacchi AJS Ariel Benelli Bimota BMW Brough Superior BSA Bultaco Cagiva DKW Ducati Gilera Greeves Harley Davidson Honda Horex Indian Kawasaki Laverda Matchless Mondial Moto Guzzi Moto Morini Motobi MV Agusta Norton NSU Panther Parilla Racycle Rickman Royal Enfield Suzuki Triumph Uncategorized Velocette Vincent Yamaha Zenith,BMW,Honda,NONE,1.0,X/PROPN/compound/> davidson/PROPN/compound/V Y/PROPN/ROOT/^
B320431830,"A paint pen, if you can get your color, will touch it up easier.",paint,pen,NONE,1.0,X/PROPN/compound/> Y/PROPN/ROOT/^
H1124182702,"If you sprinkle cayenne pepper flakes on your low-fat pizza or soup, toss some sliced jalapeno peppers into your salad, or chop some habanero peppers into your turkey chili, you may be able to lose weight faster!",pizza,soup,NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/conj/<
H1124182702,"If you sprinkle cayenne pepper flakes on your low-fat pizza or soup, toss some sliced jalapeno peppers into your salad, or chop some habanero peppers into your turkey chili, you may be able to lose weight faster!",pizza,soup,NONE,1.0,X/PROPN/ROOT/^ or/CONJ/cc/V Y/PROPN/conj/<
K1600729944,"Laptop Macintosh:  Apple 13"" MacBook Pro, Intel Dual-core i7 processor running at 2.9 GHz, 8 GB RAM, 256 GB solid-state drive, 8x double-layer SuperDrive (DVD±RW/CD-RW), built-in gigabit Ethernet, Airport Extreme wireless card, Bluetooth, 13.3"" LED-backlit glossy widescreen display with built-in camera, Mac OS X, Mini DisplayPort to VGA adapter, security cable.",Ethernet,Bluetooth,NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/conj/<
K1600729944,"Laptop Macintosh:  Apple 13"" MacBook Pro, Intel Dual-core i7 processor running at 2.9 GHz, 8 GB RAM, 256 GB solid-state drive, 8x double-layer SuperDrive (DVD±RW/CD-RW), built-in gigabit Ethernet, Airport Extreme wireless card, Bluetooth, 13.3"" LED-backlit glossy widescreen display with built-in camera, Mac OS X, Mini DisplayPort to VGA adapter, security cable.",Ethernet,Bluetooth,NONE,1.0,X/PROPN/ROOT/^ card/NOUN/appos/V Y/PROPN/conj/<
S3102273273,What better ingredient to pair with cranberry juice than tea!,juice,tea,NONE,0.6,X/PROPN/ROOT/^ Y/PROPN/pobj/<
S3102273273,What better ingredient to pair with cranberry juice than tea!,juice,tea,NONE,0.6,X/PROPN/ROOT/^ than/ADP/prep/V Y/PROPN/pobj/<
I1308137387,"In the Linux market, IBM, HP, and Dell are seen as better positioned than late-to-the-game Sun.",IBM,Dell,NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/conj/<
I1308137387,"In the Linux market, IBM, HP, and Dell are seen as better positioned than late-to-the-game Sun.",IBM,Dell,NONE,1.0,X/PROPN/ROOT/^ hp/PROPN/conj/V Y/PROPN/conj/<
