id,caption,sentence,object_a,object_b,predicted,gold
J1444922219,full_paths_original_4_aip,It's easier to organize multiple pieces of data on the psp than on the ps3.,psp,ps3,NONE,BETTER
T3198669246,full_paths_original_4_aip,"With some $18.5 billion in cash, and relatively little debt, Toyota is still in far better shape to weather the downturn than General Motors and Chrysler, which on Friday received $17.4 billion in emergency loans from Washington.",Toyota,Chrysler,NONE,BETTER
L1858700103,full_paths_original_4_aip,Obama did better in North carolina than Hillary had done in pennsylvania and Indiana was considered too close to call until well past midnight.,carolina,pennsylvania,NONE,BETTER
M2054169739,full_paths_original_4_aip,"Python at least is every bit as good at 'net' programming as Java, and faster to develop with.",Python,Java,NONE,BETTER
T3222479223,full_paths_original_4_aip,yeah.. the microSD card came with an SD adapter so I'll try that tonight... i'm wondering if Bluetooth for file transfers is any faster than via USB cable?,Bluetooth,USB,NONE,BETTER
B326211513,full_paths_original_4_aip,"Apple has also add the ability to connect the Apple TV with a Bluetooth keyboard (?!), which allows users to enter text for search much faster that using the four-way remote control, and likely faster than the Remote app for iOS, once you factor in connection and navigation time.",Apple TV,iOS,NONE,BETTER
L1909328976,full_paths_original_4_aip,"Only 78% of Apple customers were satisfied or very satisfied with their value for money; Lenovo was worse, with only 70% satisfaction and Sony was bottom with 62%.",Apple,Sony,NONE,BETTER
M2088400983,full_paths_original_4_aip,"Remember, Integer arithmetic is much faster than Floating-point arithmetic, as it can usually be done directly by the processor, rather than relying on external FPUs or floating point math libraries.",Integer,Floating-point,NONE,BETTER
H1173590712,full_paths_original_4_aip,"I know my 2000 Chrysler charges my phone faster than I can drain it, yet a friend's 20010 Toyota Matrix can't output enough power to charge the phone while using navigation.",Chrysler,Toyota,NONE,BETTER
F849906738,full_paths_original_4_aip,", harvard University, and mit.",harvard,mit,WORSE,NONE
H1129398390,full_paths_original_4_aip,I get e-mails on my phone faster than when I'm sitting at my laptop.,phone,laptop,NONE,BETTER
D440782812,full_paths_original_4_aip,california door suppliers better wake up before this Ambiance company from North carolina take away all their business.,california,carolina,NONE,BETTER
M2012558937,full_paths_original_4_aip,"Plus, unlike hockey or, worse, soccer, football and baseball allow for a lot of downtime.",hockey,football,NONE,WORSE
B259320205,full_paths_original_4_aip,"And I heard that the new MBA are coming with the Toshiba SSD (That is slower) and the Samsung SSD (that is much faster).... my question is, how do I know with one Im getting before I buy it !! because I don't want to spend all that money to get the best MBA and when I see I get the slower SSD....",Toshiba,Samsung,NONE,WORSE
Q2687324958,full_paths_original_4_aip,"The sandwich would have been perfect with a better cooked egg, but the sausage was fennelly, tasty, and totally worth the extra 100% saturated fat.",sandwich,sausage,WORSE,NONE
I1389206220,full_paths_original_4_aip,I think Ruby is better than PHP because it is so much cleaner.,Ruby,PHP,NONE,BETTER
D445104856,full_paths_original_4_aip,Can any one tell me why Sony Vaio VGN-FW490 is better than Dell Studio XPS 16 Any suggestions or recommendations?,Sony,Dell,NONE,BETTER
N2130852735,full_paths_original_4_aip,Samsung got the market jump on Nokia going the faster but less vetted approach of Android.,Samsung,Nokia,NONE,BETTER
B226808438,full_paths_original_4_aip,"Although the Ford CMax Hybrid gets better fuel economy, the Toyota Hybrid system has a reputation for working extremely well.",Ford,Toyota,NONE,WORSE
F735033258,full_paths_original_4_aip,"football was lousy, basketball was worse and baseball -- though far more successful than the others -- didn't make money.",football,baseball,WORSE,BETTER
T3164970367,full_paths_original_4_aip,"While the Python source code browsing is only mediocre when compared with the Java support, the integrated debugging is very powerful.",Python,Java,NONE,BETTER
O2271427475,full_paths_original_4_aip,"So, to me, Python isn't better or worse than Java.",Python,Java,BETTER,NONE
F824556825,full_paths_original_4_aip,google+ is simply worse than facebook.,google,facebook,NONE,WORSE
T3166388225,full_paths_original_4_aip,"While this manipulation is all available in the standard JDK and is thus available to Java applications, Groovy is better suited for scripting needs like this.",Java,Groovy,NONE,WORSE
E663367561,full_paths_original_4_aip,Ethernet cables will be faster than USB and should not cause any slow down unless there is a fault or it is a particularly poor quality cable.,Ethernet,USB,NONE,BETTER
A140050632,full_paths_original_4_aip,"@Adam Smith, any parsing toolchain will be ok - e.g., Antlr with a Java backend, or (much better) any functional language with ADTs (SML, OCaml, Haskell, ...).",Java,Haskell,NONE,WORSE
G1027673359,full_paths_original_4_aip,"I can get a project from concept to completion in Java faster than in C, C++, C# (although that's damn close..), or Objective-C.",Java,Objective-C,NONE,BETTER
F810014429,full_paths_original_4_aip,"Gigabit Ethernet (which all of the TeraStations support) is faster than any flavor of USB or firewire, and is much more conducive to simultaneous connections to multiple machines.",Ethernet,USB,NONE,BETTER
Q2627704040,full_paths_original_4_aip,The ps3 MOVE is just the wii with better graphics.,ps3,wii,NONE,BETTER
H1219117644,full_paths_original_4_aip,"I'm thinking about grabbing an Ethernet wireless bridge or even better, a wireless USB network adapter.",Ethernet,USB,NONE,WORSE
A40830734,full_paths_original_4_aip,"1. Once again, I never said anything about fox being worse than cnn.",fox,cnn,NONE,WORSE
M2047625883,full_paths_original_4_aip,P.S.: I think Pepsi works better in flavored colas than Coke because Cokes trademark acidity (which I enjoy most in its old-relable regular Coca-Cola form) sometimes conflicts with the other flavors.,Pepsi,Coca-Cola,NONE,BETTER
T3184738111,full_paths_original_4_aip,"Windows XP is much better at handling high-speed Internet connections than the ""made for dial-up"" Windows 98, but there is still one little tweak that can increase your connection speed.",Windows XP,Windows 98,NONE,BETTER
J1447168187,full_paths_original_4_aip,It seems to me that sound quality in my XTS is better using Bluetooth than the direct USB hookup.,Bluetooth,USB,NONE,BETTER
H1191953554,full_paths_original_4_aip,I made some research and I found that the Facebook JavaScript SDK is better than the PHP SDK.,JavaScript,PHP,NONE,BETTER
I1380458069,full_paths_original_4_aip,It has better security than Exchange and IBM is much more friendly to OSS projects than Microsoft.,IBM,Microsoft,NONE,BETTER
C354897231,full_paths_original_4_aip,"As far as buy back concern, I believe Amazon is offering better deals then even the Microsoft croperate trade in program, especially for win8 tablets and etc.",Amazon,Microsoft,NONE,BETTER
M1979661503,full_paths_original_4_aip,pennsylvania earned her victory because she had to play harder for her two touch-downs than did michigan.,pennsylvania,michigan,NONE,BETTER
L1813335558,full_paths_original_4_aip,Nokia Lumia 920 has the best screen - 2.4x faster than Samsung S3's screen and 5.4x faster than iPhone 5's screen (tested with Lagom test).,Nokia,Samsung,NONE,BETTER
D429085368,full_paths_original_4_aip,"By about a chapter into the PHP book, I was thinking ""holy crap, this language is uglier than Perl"".",PHP,Perl,NONE,WORSE
N2120542111,full_paths_original_4_aip,"Ruby seem to be slower than Python or perl, but faster than",Ruby,Python,BETTER,WORSE
D507004933,full_paths_original_4_aip,"Compared with the Mercedes-Benz C class, BMW 3 series and Audi A4, the Lexus ES sedan now offers more power (268 hp) and worse fuel economy (24 mpg combined) from its base engine.",Audi,Lexus,NONE,WORSE
O2413858403,full_paths_original_4_aip,The beer is better than good and the range of cider is something to cherish.,beer,cider,NONE,BETTER
B171666302,full_paths_original_4_aip,"after tons of failures from Kingston (i know sandisk is better), i stick to Intel or Samsung only - data loss is worth more than a few hundred to me",Kingston,Intel,NONE,WORSE
H1189579023,full_paths_original_4_aip,I love the Swift because it's safer and easier than Objective-C.,Swift,Objective-C,NONE,BETTER
K1676248405,full_paths_original_4_aip,Many processors can do Integer calculations much faster than similar Floating-point operations.,Integer,Floating-point,NONE,BETTER
L1813332889,full_paths_original_4_aip,Nokia Lumia 620 Does Better than the Samsung Galaxy S3 in BenchMark Tests,Nokia,Samsung,NONE,BETTER
T3184473937,full_paths_original_4_aip,"Windows 8 is sequential successor to Windows 7. It doesn't matter which one is ""better"".",Windows 8,Windows 7,WORSE,NONE
L1856543182,full_paths_original_4_aip,Numerical Python with lots of loops is much slower than the equivalent C or Java code.,Python,Java,NONE,WORSE
H1151119841,full_paths_original_4_aip,I have no doubt that a good Lisp hacker can write from scratch something faster/better than a good Python hacker could write the same thing.,Lisp,Python,NONE,BETTER
O2377465418,full_paths_original_4_aip,"That's not as good as Utah or virginia with their A- grades, but better than california with its C-....",virginia,california,NONE,BETTER
R2823099578,full_paths_original_4_aip,"this explains why Python code will always be easier to read than Lisp, without being a veteran in the language.",Python,Lisp,NONE,BETTER
Q2687645413,full_paths_original_4_aip,"The sausage is decent too, three kinds sold by the sandwich ($7.50) or by the pound ($15.75).",sausage,sandwich,BETTER,NONE
E727188458,full_paths_original_4_aip,Five Reasons Google is Cooler than Apple,Google,Apple,NONE,BETTER
C347862812,full_paths_original_4_aip,As answers I am looking for cases where actually Bash is way better than Perl or Python to develop admin scripts.,Bash,Python,NONE,BETTER
L1852608729,full_paths_original_4_aip,"Now this last system used only a 1.8GHz Opteron 144 processor as opposed to the 2.0GHz Opteron 246 of the IBM systems, so the Intel compiler is actually faster at 1093/1162.",IBM,Intel,NONE,WORSE
I1315295589,full_paths_original_4_aip,In the work I've done so far I've come across numerous things that make Java better than PHP IMO:,Java,PHP,NONE,BETTER
T3217970025,full_paths_original_4_aip,Xbox was better than ps2 but Xbox 360 is not better than ps3 by far.,ps2,ps3,NONE,WORSE
B247787078,full_paths_original_4_aip,"And at this point, Python (or Ruby) may be a better choice, because Hackage still lags behind PyPI in many areas (and say, how many days you need to teach a novice to manipulate an image, or to plot charts in Haskell?).",Python,Haskell,NONE,BETTER
J1462735415,full_paths_original_4_aip,It's pretty bad when a Ford has much better reliability than a BMW.,Ford,BMW,NONE,BETTER
N2244417495,full_paths_original_4_aip,So Macmillan say the Apple deal is much better that any of yours Amazon so no ebooks for you.,Apple,Amazon,NONE,BETTER
T3210903840,full_paths_original_4_aip,"Worse, the GOP is going to have to fight to keep missouri, Montana, and even georgia.",missouri,georgia,BETTER,NONE
B326365111,full_paths_original_4_aip,Apple is only 50% better than Dell or HP?,Apple,Dell,BETTER,NONE
R2903603990,full_paths_original_4_aip,"Tim Bray, Sun's director of Web technologies, said some scripting languages, such as Python, can be easier to learn than Java, but others, such as Perl, are harder.",Python,Perl,NONE,BETTER
J1444905287,full_paths_original_4_aip,Its easier to create a mediocre baseball movie than and mediocre basketball or football movie.,baseball,football,NONE,BETTER
B286239436,full_paths_original_4_aip,"And though the OpenGL renderer does not support all effects in the game, we are more interested in simple texturing, which is no worse than in the main Direct3D version.",OpenGL,Direct3D,NONE,BETTER
R2930055430,full_paths_original_4_aip,"To quote you ""Sony is doing much better than Microsoft"" Please elaborate.",Sony,Microsoft,NONE,BETTER
B318347641,full_paths_original_4_aip,"Anyway, I think OpenGL is as fast as Direct3D or faster...",OpenGL,Direct3D,NONE,BETTER
H1234556387,full_paths_original_4_aip,"In addition, with eight pole positions and six victories, the new Audi A4 DTM in its debut year was the most successful car of the season and superior to the Mercedes-Benz C-Class.",Audi,Mercedes-Benz,NONE,BETTER
E559239142,full_paths_original_4_aip,"Decent alternatives for you might include the Android-powered Samsung Galaxy 3 , the HTC Wildfire or indeed, if you can afford the step up, the Nokia C7 for a considerably superior Symbian^3 experience.",Samsung,Nokia,NONE,WORSE
H1193400328,full_paths_original_4_aip,"Imagine how hard it will be for Intel to make the case that its chips are somehow worth the price tag when IBM, HP, Dell, and Sun are all selling faster, cheaper, more capable chips.",Intel,IBM,NONE,WORSE
J1501029538,full_paths_original_4_aip,I've compared Firebird with MySQL (don't know PostgreSQL so well) and it is really better.,MySQL,PostgreSQL,NONE,BETTER
S2974204258,full_paths_original_4_aip,"Unlike the Leica 19mm, the Olympus has a very sweet C Zone - but it's no better than the Contax N's which - again - we see thoroughly trounced by the Nikon above.",Leica,Nikon,NONE,WORSE
K1693205761,full_paths_original_4_aip,"Maybe the fastest out food truck I've ever been to, so much faster than Burger bus.",truck,bus,NONE,BETTER
T3123181941,full_paths_original_4_aip,"When compared to the Ford products we owned before, the Toyota vehicles have been a better experience for us.",Ford,Toyota,NONE,WORSE
F738994779,full_paths_original_4_aip,"For BMW money, I really expect them to sell a car that is better than Toyota in every way, not just in the intangibles.",BMW,Toyota,NONE,BETTER
R2865573172,full_paths_original_4_aip,"This result surpasses all single-JVM submission from HP and Dell, and is faster than all 8-core or less single-JVM submissions from IBM.",Dell,IBM,NONE,BETTER
R2824141006,full_paths_original_4_aip,"This first place finish earned 32 points for harvard, contributing to a solid second day lead over princeton.",harvard,princeton,NONE,BETTER
I1327242487,full_paths_original_4_aip,iOS is easier to play with plus Apple TV is better than Chrome (for now).,iOS,Apple TV,WORSE,NONE
P2558204659,full_paths_original_4_aip,The Mercedes-Benz E220 provides a solid option but it can't match the driving dynamics of the BMW or the style and interior luxury of the Audi.,Mercedes-Benz,Audi,NONE,WORSE
H1172590489,full_paths_original_4_aip,I know I like Mello Yello (Coca-Cola product) better than Mountain Dew (Pepsi-Cola product) and have ever since I 1st tried Mello Yello and I'll only drink a Dew if I run out of Mello Yello here in Houston.,Coca-Cola,Pepsi,NONE,BETTER
O2432553360,full_paths_original_4_aip,"..the chance of Google being able to actually develop a better general-purpose chip than Intel is slim.""",Google,Intel,NONE,BETTER
F758832304,full_paths_original_4_aip,For some reason I see someone like a tennis player taking weightroom instruction better than a football or basketball player.,tennis,football,NONE,BETTER
O2344171182,full_paths_original_4_aip,tea is steeped in boiling water and is a superior alternative to lobster juice.,tea,juice,NONE,BETTER
M1996482688,full_paths_original_4_aip,"PHP makes it a bit faster to code than, for instance Java however easier... i wouldn't say that.",PHP,Java,NONE,BETTER
S2973030164,full_paths_original_4_aip,"Unless you are working experienced Python web developers, PHP is easier to get started with.",Python,PHP,NONE,WORSE
B212062184,full_paths_original_4_aip,"(Also, Bash may not be the best language to do arithmetic-heavy operations in - something like Python might be a better choice)",Bash,Python,NONE,WORSE
T3176038075,full_paths_original_4_aip,Why make it harder on yourself by using such an advanced language as Perl when you can have an easier and more successful time with PHP.,Perl,PHP,NONE,WORSE
H1086721755,full_paths_original_4_aip,"I forgot how awesome the gamecube is, better than the wii imo",gamecube,wii,NONE,BETTER
K1750717112,full_paths_original_4_aip,"MrSeb writes ""In a twist that reinforces Valve's distaste for Windows 8, it turns out that the Source engine - the 3D engine that powers Half Life 2, Left 4 Dead, and Dota 2 - runs faster on Ubuntu 12.04 and OpenGL (315 fps) than Windows 7 and DirectX/Direct3D (270.6 fps); almost a 20% speed-up.",OpenGL,Direct3D,NONE,BETTER
I1243050773,full_paths_original_4_aip,"In brief, Nokia will never win Motorola.",Nokia,Motorola,NONE,WORSE
G1054010868,full_paths_original_4_aip,"I don't know much about about RDBMS, but I have heard that PostgreSQL is much better than MySQL.",PostgreSQL,MySQL,NONE,BETTER
H1195869632,full_paths_original_4_aip,"I'm asking about Perl because I believe it is more stable, more secure and faster than PHP.",Perl,PHP,NONE,BETTER
N2204398549,full_paths_original_4_aip,Sigma does this better than Nikon: it is correctly marked AF and M.,Sigma,Nikon,NONE,BETTER
M1941793477,full_paths_original_4_aip,"Other than popularity and mass acceptance, what advantages does Java have over the technically far superior Lisp and Smalltalk?",Java,Lisp,NONE,BETTER
O2406723846,full_paths_original_4_aip,"The Athlon II X4 630 completed our Sony Vegas 8.0 MPEG-2 rendering test in 4 minutes and 2 seconds, just over a minute faster than the Athlon II X4 620 but still noticeably slower than the Intel Core i5-750, which finished in 2 minutes and 55 seconds.",Sony,Intel,NONE,WORSE
E604755824,full_paths_original_4_aip,Do they know that Adidas designers have designed better jerseys than Nike in recent time?,Adidas,Nike,NONE,BETTER
G998494601,full_paths_original_4_aip,I actually think that cnn is worse than fox News.,cnn,fox,NONE,WORSE
B258332174,full_paths_original_4_aip,"And if you are really wondering why WE think that OpenGL is better than D3D, you can search the forum with the keyword ""Direct3D"".",OpenGL,Direct3D,NONE,BETTER
O2434000492,full_paths_original_4_aip,"The Chevrolet Cruze is, quite frankly, a better car than the Honda Civic or Toyota Corolla.",Chevrolet,Toyota,NONE,BETTER
E590957111,full_paths_original_4_aip,"Docter continued her solid play in Saturday's home defeat of cornell, leading harvard with 13 kills.",cornell,harvard,NONE,WORSE
T3218025071,full_paths_original_4_aip,x Concrete tanks painted with marine epoxy or plastic-lined tanks are easier to clean and maintain than bare cement tanks.,plastic,cement,NONE,BETTER
S3038980675,full_paths_original_4_aip,"We decided to code the account switching business logic on the back-end in Groovy, instead of Java as the rest of the back-end.The reason for thiswasreallythathavingoneprograminglanguage on a project is superior to havingtwo, especiallysince the new language is much more expressive and cool than the old one.Compilation of code base in twolanguages is slow.",Groovy,Java,NONE,BETTER
H1190314120,full_paths_original_4_aip,"I love working in Groovy, it's tons better than Java.",Groovy,Java,NONE,BETTER
F830065796,full_paths_original_4_aip,"Granted, Dell seems better at repairing laptops than Apple is at repairing iPods.",Dell,Apple,NONE,BETTER
D480125590,full_paths_original_4_aip,"Chromatic aberration and distortion are better controlled on the Nikon, while Sigma does well in controlling vignetting.",Nikon,Sigma,NONE,BETTER
B196887354,full_paths_original_4_aip,"All my friends who have computers was still running Windows 98, and I recall that Windows XP ran muuuuuuuuuuuch faster than 98 in my (still outdated) AMD Athlon 700MHz.",Windows 98,Windows XP,NONE,WORSE
H1177038896,full_paths_original_4_aip,"I learned some other languages before, like Perl and C, but so far, I like Java better.",Perl,Java,NONE,WORSE
T3229116753,full_paths_original_4_aip,"Yes, Toyota sells more vehicles but BMW makes a vehicle that delivers a much better driving experience.",Toyota,BMW,NONE,BETTER
S3063012648,full_paths_original_4_aip,"Well, I don't have a real benchmark but Tim Sweeny(Unreal) is saying everywhere that Direct3D is faster than OpenGL on windows.",Direct3D,OpenGL,NONE,BETTER
C385502981,full_paths_original_4_aip,"As well, aluminum would be a cooler, reflective metal than steel.",aluminum,metal,BETTER,NONE
H1155299001,full_paths_original_4_aip,I have several web sites where I have migrated from MySQL to SQLite and I couldn't be happier: it's faster with less CPU and memory footprint.,MySQL,SQLite,NONE,WORSE
O2378497205,full_paths_original_4_aip,"(That's Perl, Python, Ruby on Rails, dotNET ASP, and Java J2EE, respectively, for those keeping score at home-all of which benchmark faster than PHP.)",Java,PHP,NONE,BETTER
G1033818363,full_paths_original_4_aip,"I changed employers once after that in order to get out of california...AFTER getting a solid (and better) offer in oregon, where I stayed until I retired.",california,oregon,NONE,WORSE
E697374083,full_paths_original_4_aip,faster Samsung SSDs in some units and significantly slower Toshiba SSDs in others).,Samsung,Toshiba,NONE,BETTER
T3184426026,full_paths_original_4_aip,"Windows 7 boots much faster than Windows Vista-but surprisingly, no faster than Windows XP.",Windows Vista,Windows XP,BETTER,WORSE
T3191778139,full_paths_original_4_aip,"With Groovy you can accomplish many task faster than in Java ( see how easy is to work with List, Maps ) or how fast is to create POGOs.",Groovy,Java,NONE,BETTER
L1766093493,full_paths_original_4_aip,"My Ford Expedition and Honda Accord have way better air conditioning, BMW is a bit noisy and ineffective, you will need to be adjusting temperature because automatic settings don't work effectively",Ford,BMW,NONE,BETTER
M2003260280,full_paths_original_4_aip,"Plasticky in the way a Samsung Galaxy S II feels solid, although far from finely machined like a Nokia N8 .",Samsung,Nokia,NONE,WORSE
Q2690372481,full_paths_original_4_aip,"These apps perform surprisingly well, partly because the Chrome JavaScript engine is very fast -- faster than Python in some tests -- but also because the Chrome APIs are fairly thin layers over native OS APIs.",JavaScript,Python,NONE,BETTER
D510785822,full_paths_original_4_aip,Conclusion: Google is acting the same (arguably even worse) as Microsoft used to in the 90s.,Google,Microsoft,NONE,WORSE
S2973048555,full_paths_original_4_aip,"Unless you can't prove that OpenGL falls short in terms of the results you get out of it, Direct3D might be the better designed API - but it's not a better solution.",OpenGL,Direct3D,NONE,WORSE
P2461874966,full_paths_original_4_aip,"The desktop side of Windows 8 is good, slightly better than Windows 7, really.",Windows 8,Windows 7,NONE,BETTER
F786170390,full_paths_original_4_aip,From what it looks like Microsoft is far worse than Google.,Microsoft,Google,NONE,WORSE
T3126423008,full_paths_original_4_aip,"When he was shopping for a laptop, HP, Gateway, and Dell all said how they were better than Apple.",Dell,Apple,NONE,BETTER
R2883166615,full_paths_original_4_aip,"This would probably be easier in Python, but Bash works fine after you get the quoting straightened out.",Python,Bash,NONE,WORSE
I1352826147,full_paths_original_4_aip,":) Is Python ""better"" than Perl?",Python,Perl,BETTER,NONE
H1172635608,full_paths_original_4_aip,"I know I'm coming late to the party, but tennis is (in my mind) indisputably harder than baseball.",tennis,baseball,NONE,WORSE
F768972131,full_paths_original_4_aip,"For years, the common industry perception has been that MySQL is faster and easier to use than PostgreSQL.",MySQL,PostgreSQL,NONE,BETTER
G984002449,full_paths_original_4_aip,"However, this does not take into consideration whether the code is optimized better for a specific platform, the quality of the drivers and the OpenCL stack (which does not perform as well as CUDA on NVidia).",OpenCL,CUDA,NONE,WORSE
H1122323110,full_paths_original_4_aip,If you're so anti-Oracle you're better off using PostgreSQL.,Oracle,PostgreSQL,NONE,WORSE
A107951124,full_paths_original_4_aip,@9:08 At no time has the softball stadium been superior to baseball.,softball,baseball,NONE,WORSE
D550007765,full_paths_original_4_aip,Darryl Charles: football players are worse than basketball players:,football,basketball,NONE,WORSE
Q2774278666,full_paths_original_4_aip,They are very nice - with solid wood backs (not the cheap cardboard back type).,wood,cardboard,NONE,BETTER
M1933738630,full_paths_original_4_aip,Or may be it's related to the inferior CPU/memory management in Windows 98 in comparison with Windows XP?,Windows 98,Windows XP,NONE,WORSE
L1791578878,full_paths_original_4_aip,"Netflix, amazon and I think the new Genius tool for itunes have much better systems.",amazon,itunes,NONE,WORSE
T3270881892,full_paths_original_4_aip,Your iphone is a much better display than your desktop/laptop.,iphone,laptop,NONE,BETTER
I1294519919,full_paths_original_4_aip,"In supply-chain conversations, the Pacific Crest semiconductor team learned that Windows 7 inventory is moving faster than Windows 8.",Windows 7,Windows 8,NONE,BETTER
C353491095,full_paths_original_4_aip,"A second reason: it turns out that Intel chips are faster and better than PowerPC chips after all, despite decades of vehement Apple fanboy arguments to the contrary.",Intel,Apple,NONE,BETTER
M2073980852,full_paths_original_4_aip,Real wood is so much nicer than plastic.,wood,plastic,NONE,BETTER
L1775395531,full_paths_original_4_aip,My recollection has been that Nokia did pretty well and Samsung quite poorly.,Nokia,Samsung,NONE,BETTER
D425903569,full_paths_original_4_aip,"But with the 3.73 rear axle as tested, the Chevrolet Silverado finished in third place pulling the trailer from 0 to 60-mph in 22.6 seconds, 6.5-seconds behind the Toyota Tundra and 1.1-seconds slower than the Dodge Ram.",Chevrolet,Toyota,NONE,WORSE
M2003253534,full_paths_original_4_aip,"Plastic is cheap, aluminum is way easier and faster to machine than steel.",aluminum,steel,NONE,BETTER
Q2658819321,full_paths_original_4_aip,"There is nothing particularly wrong about PHP, but it is much uglier than Python.",PHP,Python,NONE,WORSE
T3239865546,full_paths_original_4_aip,"You can do form checking with PHP, but it is much easier to use JavaScript to check the form before posting.",PHP,JavaScript,NONE,WORSE
