,caption,gold,id,idr,most_frequent_percentage,object_a,object_b,origin,paths,pred_if,pred_lex,predicted,repeated,s_len,sentence,sentencer
148,,ARG,,,1.0,Apple,Intel,,,NONE,NONE,,True,110,"In other news, Apple is upgrading its current lineup of MacBook Air laptops with faster processors from Intel.",
154,,ARG,,,1.0,Microsoft,Google,,,NONE,NONE,,False,184,But my biggest worry is that the tech press will continue to do what they always do and ignore a superior product from Microsoft and flog an inferior offering because it's from Google.,
157,,ARG,,,1.0,Coca-Cola,Pepsi,,,NONE,NONE,,True,93,"I live in the home of Coca-Cola, so Pepsi is a little harder to come by vending machine wise.",
162,,NONE,,,1.0,gamecube,ps2,,,ARG,ARG,,True,72,If the gamecube did not have better games than the ps2 that is my point.,
164,,ARG,,,1.0,Microsoft,Sony,,,NONE,NONE,,True,65,"Nintendo, Microsoft, Sony from best to worse in that exact order.",
173,,NONE,,,1.0,amazon,itunes,,,ARG,ARG,,True,92,Is the amazon Prime feed going through Roku better than renting through itunes and Apple TV?,
176,,NONE,,,1.0,Perl,AWK,,,ARG,ARG,,True,80,"Looking back I'd say Perl is more general than AWK, but not necessarily better .",
177,,ARG,,,1.0,Google,Apple,,,NONE,NONE,,True,58,Google does maps better then Yahoo and Mapquest and Apple.,
184,,ARG,,,1.0,Apple,Microsoft,,,NONE,NONE,,True,83,"Finally, the concept was perfected by Apple - and later poorly copied by Microsoft.",
185,,ARG,,,0.8,steak,bread,,,NONE,NONE,,True,129,"First nite enjoyed with grilled porterhouse steak, 2nd nite (it tasted even better) with salad, candied carrots and crusty bread!",
199,,ARG,,,1.0,Perl,Java,,,NONE,NONE,,True,78,and heck i just like Perl better than Java! as well its good to have choices!!,
205,,ARG,,,1.0,Java,Smalltalk,,,NONE,NONE,,True,53,The consensus seems to be that Java killed Smalltalk.,
236,,ARG,,,1.0,carolina,missouri,,,NONE,NONE,,True,161,Men's basketball finds itself somewhere between North carolina (very good) and missouri (decent) when it comes to it's national ranking entering the 2011 season.,
237,,ARG,,,1.0,youtube,hulu,,,NONE,NONE,,True,154,"Further he claims that while youtube ""hides behind"" the safe harbor of the DMCA, hulu has s superior advantage because it is able to license its conten t:",
245,,ARG,,,1.0,Dell,Apple,,,NONE,NONE,,True,167,"Acer Travelmate 8372 and Aspire 3820, Dell Vostro V130, Samsung QX310 all have inferior displays; Sony Vaio S13 and Apple MacBook Air aren't as expensive; Sony Vaio...",
253,,ARG,,,0.8,Chevrolet,Ford,,,NONE,NONE,,True,130,"I loved the look of Chevrolet and that's what I really wanted, but if the price was better, a Ford would have suited me just fine.",
276,,NONE,,,1.0,Sony,Intel,,,ARG,ARG,,True,311,"The Cell is a high performance chip that is set to be the core of the Sony Playstation 3 video game system - its incredibly low cost, but because its highly specialized to do certain kinds of number crunching and application tasks, its faster than general purpose chips like the Intel Pentium or the PowerPC G5.",
279,,NONE,,,1.0,Apple,Sony,,,ARG,ARG,,True,67,Apple would be better off competing with Nintendo than Sony and MS.,
281,,ARG,,,1.0,Direct3D,OpenGL,,,NONE,NONE,,True,135,"further, some stuff is a lot easier (one example: standardized vertex buffers in Direct3D versus the VAR/VAO extension mess in OpenGL).",
294,,ARG,,,1.0,Java,Scala,,,NONE,NONE,,False,106,"Yes, it's not elegant in pure Java (though Scala is much nicer), but it's effective and can be quite fase.",
310,,ARG,,,0.4,Motorola,Nokia,,,NONE,NONE,,True,34,"No Motorola ever, long live Nokia!",
311,,ARG,,,1.0,Nikon,Leica,,,NONE,NONE,,True,148,"Nikon, zeiss or schneider industrial optic but even quite often mainstream optic is able to beat most what Leica produces and for even better price.",
321,,NONE,,,0.8,Apple,IBM,,,ARG,ARG,,True,119,"More open to possibilities that once seemed outlandish, Apple couldn't have found a better enterprise partner than IBM.",
336,,ARG,,,1.0,cnn,fox,,,NONE,NONE,,True,36,"It gets better-this is cnn, not fox.",
339,,ARG,,,0.8,Windows 8,Windows XP,,,NONE,NONE,,True,104,"Modern hardware/ multicore systems perform much better on Windows 7 or Windows 8, instead of Windows XP.",
340,,ARG,,,1.0,football,hockey,,,NONE,NONE,,True,102,"I tweeted back that I thought football, even a lousy Pro Bowl game, still would top hockey in Chicago.",
360,,ARG,,,0.8,Objective-C,Java,,,NONE,NONE,,True,186,Look at how much easier it is with Objective-C (and Cocoa) and you'll soon be wondering precisely which fresh circle of hell Java and C++'s designers will be given when their time comes.,
369,,NONE,,,1.0,Apple,IBM,,,ARG,ARG,,True,73,Apple could take advantage of the superior IBM components in the systems.,
373,,ARG,,,0.8,Oracle,PostgreSQL,,,NONE,NONE,,True,114,There is also no sane reason to use mySQL (or Oracle) when PostgreSQL is better than both in almost every respect.,
378,,NONE,,,1.0,Nikon,Sigma,,,ARG,ARG,,True,111,Would the new Nikon 85 be that much better than the old one or the inexpensive Sigma to justify the investment?,
420,,ARG,,,1.0,Chevrolet,Ford,,,NONE,NONE,,True,170,"The 6th Generation of Chevrolet Camaro finally unveiled in Detroit, since 5th generation the Camaro is just getting better to rival the direct competition - Ford Mustang.",
421,,ARG,,,1.0,Pepsi,Coca-Cola,,,NONE,NONE,,True,133,"This post looks at Pepsi-Cola, a huge multinational corporation that's trying harder and harder to catch up to number one, Coca-Cola.",
422,,NONE,,,1.0,Windows Vista,Windows XP,,,ARG,ARG,,True,64,It was better than Windows Vista; it was better than Windows XP.,
424,,NONE,,,1.0,MySQL,Oracle,,,ARG,ARG,,True,25,and MySQL but not Oracle?,
425,,ARG,,,1.0,michigan,missouri,,,NONE,NONE,,True,86,"Although michigan is possible, missouri seems to fit better in that cluster of states.",
427,,ARG,,,1.0,wood,cardboard,,,NONE,NONE,,True,79,They are very nice - with solid wood backs (not the cheap cardboard back type).,
430,,ARG,,,0.8,baseball,football,,,NONE,NONE,,True,94,Its easier to create a mediocre baseball movie than and mediocre basketball or football movie.,
435,,ARG,,,1.0,Windows XP,Windows 98,,,NONE,NONE,,True,111,"Windows XP needed two service packs, but Windows 98 was even worse, needing a second edition to plug the holes.",
442,,ARG,,,1.0,BMW,Ferrari,,,NONE,NONE,,True,63,"1. BMW, 40 points / Chevrolet, 40 3. Ferrari, 27 4. Porsche, 23",
447,,NONE,,,1.0,Windows 8,Windows XP,,,ARG,ARG,,False,329,"So,for those who're looking for a better software for this , i would like to share about Best USB Antivirus Software - the Smadav 9.3  that I've personally tried on my Windows 7  & Windows 8 laptops as well as on another desktop pc running Windows XP , and found to be worth keep them active as long as a good alternative comes .",
462,,ARG,,,0.8,ps2,ds,,,NONE,NONE,,True,162,"Tomorrow, the ps2 and some WALL-E (I can not play that game on the ds anymore, cuz it is sooooo much slower, more boring, and all you can do is make/throw cubes).",
464,,ARG,,,1.0,Nikon,Sigma,,,NONE,NONE,,True,118,"For any lens that Canon or Nikon offers, there is a response from Sigma or Tamron that is as good or sometimes better.",
476,,NONE,,,1.0,milk,soda,,,ARG,ARG,,True,81,Does this imply that milk is worse than soda as far as tooth decay is concerned??,
478,,ARG,,,1.0,Java,Scala,,,NONE,NONE,,True,104,"There's no use coercing a Java program into Scala, for it will be inferior in most ways to its original.",
492,,ARG,,,0.6,Toyota,Chrysler,,,NONE,NONE,,True,199,"I have also rented many cars, American and Japanese, and with the exception of a very smooth ride in a Cadillac, I always like the Japanese cars better (Nissan and Toyota, vs. Ford, Chrysler and GM).",
492,,ARG,,,1.0,dartmouth,harvard,,,NONE,NONE,,True,180,"CAMBRIDGE, Mass - Behind solid pitching and four home runs, dartmouth swept harvard, 8-2 and 9-2, to claim back-to-back Ivy League North Division Championships on Monday afternoon.",
500,,NONE,,,0.8,Samsung,Toshiba,,,ARG,ARG,,False,134,"I decided to upgrade to the 2807, a Samsung 6768 (1080P 67 inches; yup bigger is better) and a low budget Toshiba dvd (with HDMI out).",
504,,NONE,,,1.0,halloween,thanksgiving,,,ARG,ARG,,False,116,"I spent my birthday, halloween, the Marine Corps birthday (which is worse on PI), thanksgiving, and Christmas on PI.",
508,,ARG,,,1.0,cider,juice,,,NONE,NONE,,True,100,"And, I have found that using cider vinegar instead of lemon juice is a nice twist, and keeps better.",
517,,NONE,,,0.8,harvard,cornell,,,ARG,ARG,,False,166,"Instead, they've been able to score against everyone except harvard, but Ashley Holt has had the better numbers in goal after Newell had a tough night versus cornell.",
518,,ARG,,,1.0,bread,sausage,,,NONE,NONE,,True,158,"My Brit friends Denny and Gillian are continually disgusted by my affection for ""eggy bread"" and maple syrup, or worse-sausage studded with apple and raisins.",
521,,NONE,,,1.0,Ruby,Python,,,ARG,ARG,,True,85,"Is Ruby truly better than Python (scripting/programming wise), what about speed wise?",
536,,ARG,,,1.0,missouri,virginia,,,NONE,NONE,,True,180,"For me, that list is Brian Matusz (San Diego), Aaron Crow (missouri), Tyson Ross (California) and-against my better judgment-Jacob Thompson (virginia) and Lance Lynn (Mississippi).",
544,,ARG,,,1.0,Java,PHP,,,NONE,NONE,,True,205,"I was originally going to develop my website using JSPs, but learned that my ISP did not support JSPs, only Java servlets (!), so I was forced to look at PHP as a faster, easier way of developing the site.",
547,,ARG,,,0.8,Dell,Intel,,,NONE,NONE,,True,84,"My Dell laptop E1505 works fine, my Intel and AMD destop computers are frozen solid.",
550,,ARG,,,1.0,Python,JavaScript,,,NONE,NONE,,True,81,"Python skills a plus, but not required, especially if you're solid at JavaScript.",
550,,NONE,,,0.8,Nike,Adidas,,,ARG,ARG,,True,128,"Overall, the Nike Elite sock has better padding, better compression, better fit but the Adidas SpeedCrew has better ventilation.",
561,,ARG,,,1.0,sausage,sandwich,,,NONE,NONE,,True,170,"Perhaps start your day off with a breakfast cone, which features a luscious blend of eggs, sausage, bacon and jack/cheddar cheese - like a breakfast sandwich, but better!",
562,,ARG,,,1.0,Sigma,Nikon,,,NONE,NONE,,True,120,I don't think very many people are going to buy an Sigma SD-10 when the Canon 10D and Nikon D70 are so clearly superior.,
565,,ARG,,,0.8,Toyota,Ford,,,NONE,NONE,,True,84,It's like giving up my Toyota because somebody promises that the new Ford is better.,
573,,NONE,,,1.0,Smalltalk,Java,,,ARG,ARG,,False,64,OO in Ruby or Smalltalk is very different than OO in C# or Java.,
576,,ARG,,,1.0,Microsoft,Sony,,,NONE,NONE,,True,100,It also didn't hurt my faith in Microsoft when Sony kept releasing a newer and uglier PS3 each time.,
576,,NONE,,,1.0,aluminum,steel,,,ARG,ARG,,False,56,"It's light as aluminum, but harder than steel,"" he said.",
581,,NONE,,,1.0,Python,Java,,,ARG,ARG,,False,80,"Now for some reason the more I learn Python, the faster I can do things in Java.",
582,,NONE,,,1.0,Lexus,Audi,,,ARG,ARG,,False,137,"The Lexus was too cramped in the back, the Audi new model was ""around the corner"" and the BMW too poorly specified as well as too common.",
583,,ARG,,,1.0,Siemens,Nokia,,,NONE,NONE,,True,90,"2. Horrible synchronization sotfware (Siemens, but from what I'm told Nokia is no better).",
589,,ARG,,,1.0,Ford,BMW,,,NONE,NONE,,True,195,"They had better enter it in sports car racing like Ford is doing with the new Mustang which has already won four races against BMW M3s, Porsche 911s, Nissan 350Zs, and other cars in Grand-Am Cup.",
598,,NONE,,,0.8,Chevrolet,Toyota,,,ARG,ARG,,True,205,Harvick's Chevrolet had nudged ahead of Kenseth's Toyota coming out of the fourth turn but Kenseth went to the outside nearly brushing the SAFER Barrier to make the race-winning pass at the checkered flag.,
598,,ARG,,,1.0,Java,Haskell,,,NONE,NONE,,True,236,"There is a real, major benefit of using Java over other languages, such as C or Haskell or Smalltalk, which is this: it lets you work with other mediocre programmers, and has limitations that prevents them from doing anything too crazy.",
606,,ARG,,,1.0,baseball,hockey,,,NONE,NONE,,True,99,"The NFL and professional baseball are covered to death in this country, and hockey is just cooler.""",
617,,ARG,,,1.0,IBM,Intel,,,NONE,NONE,,True,173,"Now this last system used only a 1.8GHz Opteron 144 processor as opposed to the 2.0GHz Opteron 246 of the IBM systems, so the Intel compiler is actually faster at 1093/1162.",
618,,NONE,,,1.0,Windows Vista,Windows XP,,,ARG,ARG,,False,174,"CorelDRAW Graphics Suite X4 has been designed to take advantage of the latest innovations from Windows Vista, while still offering a superior experience for Windows XP users.",
619,,ARG,,,0.6,nixon,reagan,,,NONE,NONE,,True,119,"Shouldn't nixon have surrendered to McGovern in 1972, the better to lay the groundwork for a reagan resurgence in 1976?",
620,,ARG,,,1.0,jeep,suv,,,NONE,NONE,,True,124,"If you do a lot of offroading, the jeep ""can"" be optioned better but for an everyday v6 suv, the Explorer is right up there.",
621,,NONE,,,1.0,plywood,steel,,,ARG,ARG,,True,39,A plywood boat better than a steel one?,
623,,ARG,,,0.8,Google,Sony,,,NONE,NONE,,True,63,Good better than Google Sony Xperia Z2 phone with Android 4.4.4,
623,,ARG,,,1.0,PHP,Python,,,NONE,NONE,,True,77,"Perl's still at a decent level, on par with PHP and still above Python and...",
638,,NONE,,,1.0,carolina,michigan,,,ARG,ARG,,True,115,If South carolina represents the worst performance to be expected of Devin Gardner than michigan is in solid hands.,
639,,ARG,,,1.0,nixon,reagan,,,NONE,NONE,,True,126,"Here the standouts are Eisenhower, nixon, and to a lesser extent Ronald reagan, whose views were poorly grounded in specifics.",
642,,ARG,,,0.4,steel,timber,,,NONE,NONE,,True,103,Soriano produced a steel prototype in Palo Alto that was never put into production - timber was easier.,
643,,ARG,,,1.0,Honda,BMW,,,NONE,NONE,,True,176,"They can't be bothered to trade in their old Honda Accord for a new $100,000 BMW or Mercedes because the fancy new car won't get them anywhere any faster than the existing car.",
653,,ARG,,,0.6,OpenGL,Direct3D,,,NONE,NONE,,False,296,"MrSeb writes ""In a twist that reinforces Valve's distaste for Windows 8, it turns out that the Source engine - the 3D engine that powers Half Life 2, Left 4 Dead, and Dota 2 - runs faster on Ubuntu 12.04 and OpenGL (315 fps) than Windows 7 and DirectX/Direct3D (270.6 fps); almost a 20% speed-up.",
678,,NONE,,,0.8333333333333334,Google,Microsoft,,,ARG,ARG,,True,62,Could the Google-opoly be any worse than the Microsoft Empire?,
684,,ARG,,,1.0,beer,tea,,,NONE,NONE,,True,72,The only thing better than a cold glass of beer is tea with Miss McGill.,
687,,NONE,,,1.0,Ford,Honda,,,ARG,ARG,,False,88,Why can't Ford puts better handling into the FWD Fusion if Honda can do it 10 years ago?,
688,,NONE,,,0.4,Google,Kingston,,,ARG,ARG,,True,314,"This's the first kernel I'm running on this board; it's a Gigabyte with H61 chipset; what about you? _________________ Buy from companies supporting opensource -- IBM, Dell, HP, Hitachi, Google etc... Disfavor companies supporting only Win -- Logitech, Epson, Pioneer, Kingston, WD, Yahoo, MSI, XFX, Huawei My blog",
691,,NONE,,,0.6,restaurant,cafe,,,ARG,ARG,,True,78,The restaurant would have to be better than just a simple cafe or pizza place.,
705,,ARG,,,1.0,Sony,Apple,,,NONE,NONE,,True,56,"Sony, Grass Valley, Lightworks, even the inferior Apple.",
705,,ARG,,,1.0,virginia,michigan,,,NONE,NONE,,True,83,"virginia Tech put together a solid drive, but michigan forced a 37-yard field goal.",
708,,ARG,,,1.0,Kingston,Intel,,,NONE,NONE,,True,133,"In Crysis the Kingston 40GB again takes second place to the Intel in the SSD ranks, making it a pretty decent proposition for gaming.",
725,,NONE,,,1.0,Scala,Java,,,ARG,ARG,,True,183,"Ultimately I decided on Scala as it provided an easier transition, was more mature, had greater community support, better interoperability with existing Java code, and a nicer syntax.",
746,,ARG,,,0.8,Ford,BMW,,,NONE,NONE,,True,193,"Honda is solid at #6 and 6.1% share, Ford is back above Mercedes and BMW, Mazda shines again at #8 and local manufacturer Luxgen is back inside the Top 10 at #9 with 1.104 sales and 3.2% share.",
748,,NONE,,,0.8,Windows 7,Windows 8,,,ARG,ARG,,False,100,"However, Windows 7 actually introduced a decent system image tool and Windows 8 continues to use it.",
753,,ARG,,,1.0,Integer,Floating-point,,,NONE,NONE,,True,201,"This implementation is based on Integer arithmetic, while the second-generation versions RANLXS and RANLXD described above provide Floating-point implementations which will be faster on many platforms.",
756,,NONE,,,1.0,baseball,tennis,,,ARG,ARG,,False,174,"@tanasten Bowling is WAY better, baseball is WAY better, golf is WAY better, tennis is the same and boxing is the drizzlin' poopiedoodoocacapoopledoopledoggiepoopledoops!!!!!",
761,,ARG,,,1.0,georgia,california,,,NONE,NONE,,False,113,"Host georgia Tech took the second-round lead at 12-under 548, a shot better than top-ranked california in second.",
764,,NONE,,,1.0,steel,aluminum,,,ARG,ARG,,True,38,steel is 3 times harder than aluminum.,
774,,ARG,,,0.6,Windows 8,Windows XP,,,NONE,NONE,,True,204,"Just look at the garbage being produced in Windows 8. My old Windows XP pro had better graphics and functionality in my opinion, and I'm not even going to discuss the problems I've had with Windows Vista.",
776,,NONE,,,1.0,ds,ps2,,,ARG,ARG,,False,94,"The PSP does support a few thing that ds can't, They are DLC, better sound, ps2-like Graphics.",
790,,ARG,,,0.8,missouri,carolina,,,NONE,NONE,,True,136,"missouri is a decent team and I expect them to give Florida, Tennessee, and South carolina all they can handle and win 2 of those games.",
820,,ARG,,,0.8,milk,soda,,,NONE,NONE,,True,92,Pick your beverage for better nutrition - milk for a calcium boost or juice instead of soda.,
822,,NONE,,,0.4,IBM,Google,,,ARG,ARG,,False,510,"In our panel on The Future of Code I observed that IBM was a company that had gone through a near-death experience yet had come through to the other side wiser and stronger, that Microsoft was a company undergoing a midlife crisis, and that Google was a company in serious need of adult supervision - at which point Vint Cerf piped up from the audience saying ""why do you think they hired me?"" Another highlight of these past months was my appointment to the board of trustees for the Computer History Museum .",
848,,ARG,,,1.0,soup,pizza,,,NONE,NONE,,True,101,"We enjoyed a meal at Café Baghdad (great soup, lousy pizza, reasonable prices) overlooking the Plaza.",
853,,ARG,,,0.6,michigan,carolina,,,NONE,NONE,,True,191,"States with 10 percent unemployment or worse included Nevada, 14.2; Rhode Island, 11.3; michigan 10.7; South carolina, 10.5; Oregon, 10.4; Kentucky, 10.4; Georgia, 10.4; and Mississippi 10.1.",
854,,ARG,,,1.0,Windows XP,Windows 98,,,NONE,NONE,,True,229,"Reviewed by: Lianne Reitter , send e-mail Published by: Stardock Corporation, go to the web site Requires: Works best with Windows XP, but also works with Windows 98, ME and 2000; Pentium III or faster CPU, 128MB RAM MSRP: $49.95",
862,,ARG,,,1.0,Python,Haskell,,,NONE,NONE,,True,436,"If your goal is merely to consume tools -- perhaps writing a small amount of code, you (I think) still have intention (if unseen) to be a programmer, but you might find it easier to use languages like Perl, Python, or Ruby -- which have large standard libraries, good ability to function as ""glue"" and low syntactic and semantic overhead (that is to say, they're a bit easier to write) than some languages (eg, Erlang, Haskell, R, etc.)",
876,,ARG,,,0.6,amazon,itunes,,,NONE,NONE,,True,84,"Netflix, amazon and I think the new Genius tool for itunes have much better systems.",
879,,ARG,,,0.8,Bluetooth,USB,,,NONE,NONE,,True,142,1) Laptop or netbook with Bluetooth means that I don't have to plug anything into a USB port in order to use a decent mouse with the computer.,
881,,NONE,,,1.0,missouri,virginia,,,ARG,ARG,,False,82,"Jesse James returned to missouri, while Frank went to safer territory in virginia.",
884,,ARG,,,1.0,Toyota,Ford,,,NONE,NONE,,True,68,I liked the Toyota over the Ford and it looks better than the Chevy.,
886,,NONE,,,1.0,amazon,google,,,ARG,ARG,,True,56,"In fact, amazon did poorly in google overall in general.",
892,,NONE,,,1.0,bus,truck,,,ARG,ARG,,True,84,"(By analogy, however, getting hit by a bus is no worse than getting hit by a truck!)",
894,,ARG,,,1.0,Groovy,Java,,,NONE,NONE,,True,358,"We decided to code the account switching business logic on the back-end in Groovy, instead of Java as the rest of the back-end.The reason for thiswasreallythathavingoneprograminglanguage on a project is superior to havingtwo, especiallysince the new language is much more expressive and cool than the old one.Compilation of code base in twolanguages is slow.",
895,,NONE,,,0.8,Bluetooth,Ethernet,,,ARG,ARG,,False,255,"The compact computer now gets integrated WiFi and Bluetooth, rather than just wired Ethernet connectivity, together with a built-in hard-drive of unspecified capacity; Marvell have also given it a faster CPU, in the shape of the 2GHz Armada 300 processor.",
900,,ARG,,,0.6666666666666666,Groovy,Java,,,NONE,NONE,,True,239,"No, I've had some very bad experiences with a bad language :-) And having started getting into Groovy, I might say that time spent on something like, say, closures, would be time better spent in the Java world then parametric polymorphism.",
905,,NONE,,,1.0,Sony,Apple,,,ARG,ARG,,True,156,"Even when Sony entered the market with its own streaming box, it was an inferior product with nothing to differentiate it from Apple TV, Roku, or Google TV.",
909,,ARG,,,1.0,sausage,bread,,,NONE,NONE,,True,124,"Mine was the hot dog à la maison (16), a fairly decent sausage presented on rather dry bread and topped with pickled fennel.",
912,,ARG,,,1.0,metal,concrete,,,NONE,NONE,,True,45,"metal ramps are good, but concrete is better.",
917,,ARG,,,0.6,Amazon,Sony,,,NONE,NONE,,True,171,"It does seem Amazon is using a lower quality display in new Kindle's, so you want the best looking screen maybe better to go with Kindle Keyboard, Nook STR or new Sony-T1.",
923,,ARG,,,1.0,Dell,Apple,,,NONE,NONE,,True,101,"That's a problem for Dell, and it won't get any better until it starts beating Apple at its own game.",
924,,NONE,,,1.0,Java,Scala,,,ARG,ARG,,True,68,"Still much better in Java, but the Scala plugin is catching up fast.",
947,,NONE,,,1.0,Perl,PHP,,,ARG,ARG,,True,70,I've done it before with Perl but I'm not particularly solid with PHP.,
949,,ARG,,,1.0,Swift,Objective-C,,,NONE,NONE,,True,65,"Apple's Swift Programming Language Faster, Safer Than Objective-C",
950,,ARG,,,1.0,Oracle,PostgreSQL,,,NONE,NONE,,True,150,I was also surprised at how robust the query planner and optimizers are compared to Oracle when our performance testing found PostgreSQL to be faster.,
978,,ARG,,,1.0,steel,timber,,,NONE,NONE,,True,83,A better alternative is to substitute light gauge steel Zeds for the timber joists.,
980,,ARG,,,1.0,Windows 98,Windows XP,,,NONE,NONE,,True,70,"This is why it is easier to install Windows 98 first, then Windows XP.",
986,,ARG,,,1.0,google,youtube,,,NONE,NONE,,True,41,"google Analytics for youtube, only better",
1000,,ARG,,,1.0,JavaScript,Perl,,,NONE,NONE,,True,337,"JavaScript reminds me of Perl 4 with a slightly better syntax and a couple of additional features (basic lexical scoping, higher order functions, and method dispatch, not to mention competing implementations with a lot of effort spent on optimizing away efficiencies inherent in some of the poorest misfeatures of the language's design).",
1002,,NONE,,,0.8,PHP,JavaScript,,,ARG,ARG,,False,117,"Kind of a toss up as to which is easier, depending on how good your PHP coding is compared to your JavaScript coding.",
1012,,NONE,,,1.0,carolina,georgia,,,ARG,ARG,,False,134,"Amidst a game going poorly against carolina, fans blamed Jones for drafting Carter earlier than Quincy's pedigree at georgia dictated.",
1017,,ARG,,,1.0,cornell,harvard,,,NONE,NONE,,True,100,"Docter continued her solid play in Saturday's home defeat of cornell, leading harvard with 13 kills.",
1020,,NONE,,,0.6,google,amazon,,,ARG,ARG,,True,48,Do I think google will score better than amazon?,
1030,,ARG,,,1.0,Ford,BMW,,,NONE,NONE,,True,222,"As an aside, who in their right mind would buy an inferior GM or Ford car when a very well engineered European car, like that from Mercedes Benz and BMW can be purchased for a much lower price than now when the euro falls.",
1063,,ARG,,,1.0,Dell,Intel,,,NONE,NONE,,True,116,"Also, keep in tmind that two years ago, Dell,HP,Gateway etc, never used AMD chips as Intel produced the better chip.",
1073,,ARG,,,0.8333333333333334,Intel,Dell,,,NONE,NONE,,True,227,"But, that Acer does not have a dedicated video card (it's using built in Intel Graphics instead) and it uses a slightly slower Core i7 4770 CPU (versus the slightly faster Core i7 4790 CPU in the Dell config you're looking at).",
1074,,NONE,,,1.0,BMW,Ford,,,ARG,ARG,,False,144,I think BMW new what they was doing off loading them on Ford and they have sold to tata im thinking they wll be even worse in ten years from now,
1081,,NONE,,,1.0,sandwich,sausage,,,ARG,ARG,,False,147,"The sandwich would have been perfect with a better cooked egg, but the sausage was fennelly, tasty, and totally worth the extra 100% saturated fat.",
1090,,ARG,,,1.0,Chevrolet,Toyota,,,NONE,NONE,,True,225,"ACME, Mich. - General Motors Co., facing disappointing Chevrolet Volt sales, cut the starting price of the plug-in hybrid sedan by $5,000 to compete against the less- expensive and better-selling Toyota Prius and Nissan Leaf.",
1093,,NONE,,,1.0,Ruby,PHP,,,ARG,ARG,,True,54,"To me, Ruby on Rails doesn't look any better than PHP.",
1107,,NONE,,,1.0,youtube,google,,,ARG,ARG,,False,55,Or better yet they can block youtube until google pays.,
1114,,NONE,,,1.0,Google,Intel,,,ARG,ARG,,False,169,"While Google is still expected to grow its business at a faster rate than Apple, even slow-growing Intel boasts a meaningful premium to free cash flow compared to Apple.",
1119,,ARG,,,0.6,wii,playstation,,,NONE,NONE,,True,94,"if people love the wii, they will love the nextgen graphics plus playstation Move even better.",
1129,,ARG,,,0.8333333333333334,Microsoft,Apple,,,NONE,NONE,,True,63,"Now, unlike Microsoft, Apple isn't selling an inferior product.",
