id,sentence,most_frequent_label,most_frequent_percentage,path
E635911781,"Eclipse, NetBeans and Lobo (the Java browser).",NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/conj/< and/CCONJ/cc/V
E635911781,"Eclipse, NetBeans and Lobo (the Java browser).",NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/conj/< lobo/PROPN/conj/V
J1562648909,JS is better than GWT? Scala is better for Java in the enterprise?,NONE,0.8,X/PROPN/nsubj/> be/VERB/ROOT/^ for/ADP/prep/< Y/PROPN/pobj/<
J1562648909,JS is better than GWT? Scala is better for Java in the enterprise?,NONE,0.8,X/PROPN/nsubj/> be/VERB/ROOT/^ for/ADP/prep/< Y/PROPN/pobj/< in/ADP/prep/V
N2120533556,"- Ruby, Python, PHP, Java: clients updated",NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/conj/<
N2120533556,"- Ruby, Python, PHP, Java: clients updated",NONE,1.0,X/PROPN/ROOT/^ python/PROPN/conj/V Y/PROPN/conj/<
N2120533556,"- Ruby, Python, PHP, Java: clients updated",NONE,1.0,X/PROPN/ROOT/^ client/NOUN/appos/V Y/PROPN/conj/<
L1865039878,"Of course, for better AND worse, PHP is not Ruby, but the principles of both framework looks rather similar.",NONE,1.0,X/PROPN/nsubj/> be/VERB/ROOT/^ Y/PROPN/acomp/<
N2120515907,"Ruby, Java, Magic, rs232, whatever.",NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/conj/<
N2120515907,"Ruby, Java, Magic, rs232, whatever.",NONE,1.0,X/PROPN/ROOT/^ whatev/ADJ/npadvmod/V Y/PROPN/conj/<
N2120515907,"Ruby, Java, Magic, rs232, whatever.",NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/conj/< magic/PROPN/conj/V
M1937579605,OS: Windows XP / Windows Vista / Windows 7 (Latest Service Packs) with DirectX 9.0c or better,NONE,1.0,X/PROPN/nmod/> windows/PROPN/ROOT/^ Y/PROPN/nmod/<
S3090626058,"We've been using HTML5 technologies extended by a PhoneGap/Cordova container, but are starting to look at more ""native"" app development - using Objective-C for iOS and Java for Android - for better performance, easier system integration, and better compatibility with older versions of Android out in the wild.",NONE,1.0,X/PROPN/dobj/> use/VERB/ROOT/^ Y/PROPN/conj/<
S3090626058,"We've been using HTML5 technologies extended by a PhoneGap/Cordova container, but are starting to look at more ""native"" app development - using Objective-C for iOS and Java for Android - for better performance, easier system integration, and better compatibility with older versions of Android out in the wild.",NONE,1.0,X/PROPN/dobj/> use/VERB/ROOT/^ Y/PROPN/conj/< for/ADP/prep/V
S3090626058,"We've been using HTML5 technologies extended by a PhoneGap/Cordova container, but are starting to look at more ""native"" app development - using Objective-C for iOS and Java for Android - for better performance, easier system integration, and better compatibility with older versions of Android out in the wild.",NONE,1.0,X/PROPN/dobj/> use/VERB/ROOT/^ Y/PROPN/conj/< and/CCONJ/cc/V
S3090626058,"We've been using HTML5 technologies extended by a PhoneGap/Cordova container, but are starting to look at more ""native"" app development - using Objective-C for iOS and Java for Android - for better performance, easier system integration, and better compatibility with older versions of Android out in the wild.",NONE,1.0,X/PROPN/dobj/> use/VERB/ROOT/^ Y/PROPN/conj/< compatibility/NOUN/conj/V
I1352826147,":) Is Python ""better"" than Perl?",NONE,0.6,X/PROPN/nsubj/> be/VERB/ROOT/^ good/ADJ/acomp/< than/ADP/prep/< Y/PROPN/pobj/<
B271039073,and Oracle MySQL 5.1.69,NONE,1.0,X/PROPN/compound/> Y/PROPN/ROOT/^
B271039073,and Oracle MySQL 5.1.69,NONE,1.0,X/PROPN/compound/> and/CCONJ/cc/V Y/PROPN/ROOT/^
B271039073,and Oracle MySQL 5.1.69,NONE,1.0,X/PROPN/compound/> Y/PROPN/ROOT/^ 5.1.69/NUM/nummod/V
E618802557,"Due to solid and stable growth, aligned with an exciting new corporate merger, we are seeking a highly skilled Java/Groovy/Grails developer for a contract opportunity of at least 6 months.",NONE,1.0,X/PROPN/nmod/> grails/PROPN/ROOT/^ Y/PROPN/nmod/<
E635922712,Eclipse Vs NetBeans again (on ubuntu),NONE,1.0,X/PROPN/compound/> Y/PROPN/ROOT/^
E635922712,Eclipse Vs NetBeans again (on ubuntu),NONE,1.0,X/PROPN/compound/> vs/PROPN/compound/V Y/PROPN/ROOT/^
E635922712,Eclipse Vs NetBeans again (on ubuntu),NONE,1.0,X/PROPN/compound/> Y/PROPN/ROOT/^ on/ADP/prep/V
N2120527559,"Ruby on Rails, Java) ?",NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/appos/<
N2120527559,"Ruby on Rails, Java) ?",NONE,1.0,X/PROPN/ROOT/^ on/ADP/prep/V Y/PROPN/appos/<
K1631167709,Like Ruby or Java.,NONE,1.0,X/PROPN/pobj/> like/ADP/ROOT/^ objectb/PROPN/pobj/< Y/PROPN/conj/<
K1631167709,Like Ruby or Java.,NONE,1.0,X/PROPN/pobj/> or/CCONJ/cc/V like/ADP/ROOT/^ objectb/PROPN/pobj/< Y/PROPN/conj/<
N2120534637,"Ruby, React, Backbone, core Java, PHP, Cordova.",NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/nmod/<
N2120534637,"Ruby, React, Backbone, core Java, PHP, Cordova.",NONE,1.0,X/PROPN/ROOT/^ react/PROPN/conj/V Y/PROPN/nmod/<
N2120534637,"Ruby, React, Backbone, core Java, PHP, Cordova.",NONE,1.0,X/PROPN/ROOT/^ cordova/PROPN/appos/V Y/PROPN/nmod/<
N2120534637,"Ruby, React, Backbone, core Java, PHP, Cordova.",NONE,1.0,X/PROPN/ROOT/^ core/NOUN/compound/V Y/PROPN/nmod/<
G1015632418,"I am skilled in C/C++, Java, VB, Objective C (iOS development for both iPad and iPhone), Python,Ruby also got decent experience in web developement using html, css, JavaScript, ajax, jsp and php.",NONE,1.0,X/PROPN/advmod/> get/VERB/ROOT/^ css/NOUN/intj/< Y/PROPN/conj/<
G1015632418,"I am skilled in C/C++, Java, VB, Objective C (iOS development for both iPad and iPhone), Python,Ruby also got decent experience in web developement using html, css, JavaScript, ajax, jsp and php.",NONE,1.0,X/PROPN/advmod/> get/VERB/ROOT/^ css/NOUN/intj/< Y/PROPN/conj/< ajax/NOUN/conj/V
L1810869600,"No, don't try Ruby and Java.",NONE,1.0,X/PROPN/dobj/> try/VERB/ROOT/^ objectb/PROPN/dobj/< Y/PROPN/conj/<
L1810869600,"No, don't try Ruby and Java.",NONE,1.0,X/PROPN/dobj/> and/CCONJ/cc/V try/VERB/ROOT/^ objectb/PROPN/dobj/< Y/PROPN/conj/<
E635895165,"Eclipse: 637, NetBeans: 7",NONE,1.0,X/NOUN/dep/> Y/PROPN/ROOT/^
E635895165,"Eclipse: 637, NetBeans: 7",NONE,1.0,X/NOUN/dep/> 637/NUM/appos/V Y/PROPN/ROOT/^
L1874825591,"Oh, do I like Ruby or Python better?",NONE,1.0,X/PROPN/pobj/> like/VERB/ROOT/^ objecta/PROPN/pobj/< Y/PROPN/conj/<
L1874825591,"Oh, do I like Ruby or Python better?",NONE,1.0,X/PROPN/pobj/> or/CCONJ/cc/V like/VERB/ROOT/^ objecta/PROPN/pobj/< Y/PROPN/conj/<
E635911772,"Eclipse, NetBeans) 46% Databases (e.g.",NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/npadvmod/<
E635911772,"Eclipse, NetBeans) 46% Databases (e.g.",NONE,1.0,X/PROPN/ROOT/^ e.g./ADV/advmod/V Y/PROPN/npadvmod/<
N2223379078,"Smalltalk (and Java)"".",NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/conj/<
N2223379078,"Smalltalk (and Java)"".",NONE,1.0,X/PROPN/ROOT/^ and/CCONJ/cc/V Y/PROPN/conj/<
S2972994464,Unless you are confusing Java with Smalltalk.,NONE,1.0,X/PROPN/dobj/> confuse/VERB/ROOT/^ objecta/PROPN/dobj/< with/ADP/prep/< Y/PROPN/pobj/<
N2223380970,Smalltalk/Java: imperative/object-oriented,NONE,1.0,X/PROPN/nmod/> Y/PROPN/ROOT/^
N2223380970,Smalltalk/Java: imperative/object-oriented,NONE,1.0,X/PROPN/nmod/> Y/PROPN/ROOT/^ imperative/ADJ/appos/V
N2223380970,Smalltalk/Java: imperative/object-oriented,NONE,1.0,X/PROPN/nmod/> Y/PROPN/ROOT/^ orient/VERB/conj/V
L1777202670,MySQL with Oracle.,NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/pobj/<
L1777202670,MySQL with Oracle.,NONE,1.0,X/PROPN/ROOT/^ with/ADP/prep/V Y/PROPN/pobj/<
A137916339,"Actually having used Eclipse, Intellij and NetBeans.",NONE,1.0,X/PROPN/dobj/> use/VERB/ROOT/^ objecta/PROPN/dobj/< intellij/PROPN/conj/< Y/PROPN/conj/<
E635905496,Eclipse instead of NetBeans,BETTER,0.6,X/PROPN/ROOT/^ Y/PROPN/conj/<
E635905496,Eclipse instead of NetBeans,BETTER,0.6,X/PROPN/ROOT/^ of/ADP/cc/V Y/PROPN/conj/<
F794858766,fyi - MySQL/Oracle,NONE,1.0,X/PROPN/nmod/> Y/PROPN/ROOT/^
F794858766,fyi - MySQL/Oracle,NONE,1.0,X/PROPN/nmod/> fyi/NOUN/nmod/V Y/PROPN/ROOT/^
A62740058,2. PostgreSQL can do many things faster than Oracle.,BETTER,1.0,X/PROPN/nsubj/> do/VERB/ROOT/^ faster/ADV/advmod/< than/ADP/prep/< Y/PROPN/pobj/<
M1996477634,PHP is much easier than Perl to get started in.,BETTER,0.8888888888888888,X/PROPN/nsubj/> be/VERB/ROOT/^ easy/ADJ/acomp/< start/VERB/advcl/< Y/PROPN/nsubj/<
P2447016108,The consensus seems to be that Java killed Smalltalk.,BETTER,0.8571428571428571,X/PROPN/nsubj/> kill/VERB/ROOT/^ Y/PROPN/dobj/<
P2480914915,"The fact OpenCL works better than CUDA-accel and is being adopted more and works better on AMD, for productivity this matters.",BETTER,1.0,X/PROPN/nsubj/> work/VERB/ROOT/^ better/ADV/advmod/< than/ADP/prep/< accel/NOUN/pobj/< Y/PROPN/compound/<
F737934514,"For a performance-critical Pig UDF, Java is much faster than either Python or Jython.",BETTER,1.0,X/PROPN/nsubj/> be/VERB/ROOT/^ fast/ADJ/acomp/< than/ADP/prep/< Y/PROPN/pobj/<
F737934514,"For a performance-critical Pig UDF, Java is much faster than either Python or Jython.",BETTER,1.0,X/PROPN/nsubj/> be/VERB/ROOT/^ fast/ADJ/acomp/< than/ADP/prep/< either/CCONJ/preconj/V Y/PROPN/pobj/<
F737934514,"For a performance-critical Pig UDF, Java is much faster than either Python or Jython.",BETTER,1.0,X/PROPN/nsubj/> be/VERB/ROOT/^ fast/ADJ/acomp/< than/ADP/prep/< Y/PROPN/pobj/< or/CCONJ/cc/V
F737934514,"For a performance-critical Pig UDF, Java is much faster than either Python or Jython.",BETTER,1.0,X/PROPN/nsubj/> be/VERB/ROOT/^ fast/ADJ/acomp/< than/ADP/prep/< Y/PROPN/pobj/< jython/PROPN/conj/V
A62646829,2. PHP is much faster than Java and can replace C or any shell scripting language on a command line interface.,BETTER,1.0,X/PROPN/nsubj/> be/VERB/ROOT/^ fast/ADJ/acomp/< than/ADP/prep/< Y/PROPN/pobj/<
N2221112246,@Slava: FUD! Shameless FUD! Groovy is definitely not thousands times slower than Java!,BETTER,0.5,X/PROPN/nsubj/> be/VERB/ROOT/^ slower/ADV/acomp/< than/ADP/prep/< Y/PROPN/pobj/<
I1273454584,"In my opinion, Windows 7 is far superior to Windows 8, for standard laptops and desktop PCs.",BETTER,1.0,X/PROPN/nsubj/> be/VERB/ROOT/^ superior/ADJ/acomp/< to/ADP/prep/< Y/PROPN/pobj/<
M2054183869,"Python, in my informal tests, is a bit faster than Ruby -- anywhere from 10% to 40%.",BETTER,1.0,X/PROPN/nsubj/> be/VERB/ROOT/^ faster/ADV/acomp/< than/ADP/prep/< Y/PROPN/pobj/<
M2054183869,"Python, in my informal tests, is a bit faster than Ruby -- anywhere from 10% to 40%.",BETTER,1.0,X/PROPN/nsubj/> be/VERB/ROOT/^ faster/ADV/acomp/< than/ADP/prep/< Y/PROPN/pobj/< --/PUNCT/punct/V
S3113709366,What PHP does better than Perl is packaging.,BETTER,1.0,X/PROPN/nsubj/> do/VERB/ROOT/^ good/ADJ/advmod/< packaging/NOUN/advcl/< Y/PROPN/nsubj/<
M1923909608,OpenGL is better than Direct3D.,BETTER,1.0,X/PROPN/nsubj/> be/VERB/ROOT/^ good/ADJ/acomp/< than/ADP/prep/< Y/PROPN/pobj/<
N2233321126,"So Groovy gives me a faster, dynamic version of Java, and Grails gives me a fantastic toolkit to get great stuff done quickly.",NONE,0.6,X/PROPN/nsubj/> give/VERB/ROOT/^ version/NOUN/dobj/< of/ADP/prep/< Y/PROPN/pobj/<
T3184481742,"Windows 8, slightly better than Windows 7",BETTER,1.0,X/PROPN/ROOT/^ Y/PROPN/pobj/<
T3184481742,"Windows 8, slightly better than Windows 7",BETTER,1.0,X/PROPN/ROOT/^ good/ADJ/amod/V Y/PROPN/pobj/<
T3184467227,Windows 8 generally boots more than two times faster than Windows 7.,BETTER,1.0,X/PROPN/nsubj/> boot/VERB/ROOT/^ faster/ADV/advmod/< than/ADP/prep/< Y/PROPN/pobj/<
N2137846884,"Scala makes the code less verbose, its better performance than Java.",BETTER,1.0,X/PROPN/nsubj/> make/VERB/ROOT/^ verbose/VERB/ccomp/< performance/NOUN/dobj/< than/ADP/prep/< Y/PROPN/pobj/<
T3181795388,Will IBM sponsor Eclipse or NetBeans ?,NONE,1.0,X/PROPN/dobj/> sponsor/VERB/ROOT/^ objecta/PROPN/dobj/< Y/PROPN/conj/<
T3181795388,Will IBM sponsor Eclipse or NetBeans ?,NONE,1.0,X/PROPN/dobj/> or/CCONJ/cc/V sponsor/VERB/ROOT/^ objecta/PROPN/dobj/< Y/PROPN/conj/<
T3130413022,"When it comes to extras you'll Harman Kardon speakers offering decent sound quality, then there are the latest Gigabit Ethernet, 802.11n wireless LAN, four USB ports, ExpressCard and HDMI slots and there is even Bluetooth for hooking up to your mobile phone.",NONE,1.0,X/PROPN/attr/> be/VERB/ROOT/^ be/VERB/conj/< Y/PROPN/attr/<
T3130413022,"When it comes to extras you'll Harman Kardon speakers offering decent sound quality, then there are the latest Gigabit Ethernet, 802.11n wireless LAN, four USB ports, ExpressCard and HDMI slots and there is even Bluetooth for hooking up to your mobile phone.",NONE,1.0,the/DET/det/V X/PROPN/attr/> be/VERB/ROOT/^ be/VERB/conj/< Y/PROPN/attr/<
T3130413022,"When it comes to extras you'll Harman Kardon speakers offering decent sound quality, then there are the latest Gigabit Ethernet, 802.11n wireless LAN, four USB ports, ExpressCard and HDMI slots and there is even Bluetooth for hooking up to your mobile phone.",NONE,1.0,late/ADJ/amod/V X/PROPN/attr/> be/VERB/ROOT/^ be/VERB/conj/< Y/PROPN/attr/<
T3130413022,"When it comes to extras you'll Harman Kardon speakers offering decent sound quality, then there are the latest Gigabit Ethernet, 802.11n wireless LAN, four USB ports, ExpressCard and HDMI slots and there is even Bluetooth for hooking up to your mobile phone.",NONE,1.0,gigabit/PROPN/compound/V X/PROPN/attr/> be/VERB/ROOT/^ be/VERB/conj/< Y/PROPN/attr/<
T3130413022,"When it comes to extras you'll Harman Kardon speakers offering decent sound quality, then there are the latest Gigabit Ethernet, 802.11n wireless LAN, four USB ports, ExpressCard and HDMI slots and there is even Bluetooth for hooking up to your mobile phone.",NONE,1.0,X/PROPN/attr/> lan/PROPN/appos/V be/VERB/ROOT/^ be/VERB/conj/< Y/PROPN/attr/<
T3130413022,"When it comes to extras you'll Harman Kardon speakers offering decent sound quality, then there are the latest Gigabit Ethernet, 802.11n wireless LAN, four USB ports, ExpressCard and HDMI slots and there is even Bluetooth for hooking up to your mobile phone.",NONE,1.0,X/PROPN/attr/> be/VERB/ROOT/^ be/VERB/conj/< even/ADV/advmod/V Y/PROPN/attr/<
T3130413022,"When it comes to extras you'll Harman Kardon speakers offering decent sound quality, then there are the latest Gigabit Ethernet, 802.11n wireless LAN, four USB ports, ExpressCard and HDMI slots and there is even Bluetooth for hooking up to your mobile phone.",NONE,1.0,X/PROPN/attr/> be/VERB/ROOT/^ be/VERB/conj/< Y/PROPN/attr/< for/ADP/prep/V
L1791485101,NetBeans vs. Eclipse,NONE,1.0,X/PROPN/ROOT/^ Y/PROPN/pobj/<
L1791485101,NetBeans vs. Eclipse,NONE,1.0,X/PROPN/ROOT/^ vs./ADP/prep/V Y/PROPN/pobj/<
M1996478330,"PHP is optimized for web programming, so it might be faster than Python.",BETTER,1.0,X/PROPN/nsubjpass/> optimize/VERB/ROOT/^ be/VERB/conj/< fast/ADJ/acomp/< than/ADP/prep/< Y/PROPN/pobj/<
I1337515914,"I recommend Eclipse, but others like NetBeans.",NONE,0.6,X/PROPN/dobj/> recommend/VERB/ROOT/^ other/NOUN/conj/< like/ADP/prep/< Y/PROPN/pobj/<
N2120514181,Ruby is simply a better language than JavaScript will ever become.,BETTER,1.0,X/PROPN/nsubj/> be/VERB/ROOT/^ language/NOUN/attr/< become/VERB/advcl/< Y/PROPN/nsubj/<
E617936342,"Dubbed the ""One"", we can confirm that it will have Wi-Fi connectivity, Ethernet networking, a solid-state hard drive, at least two USB ports and audio jacks.",NONE,1.0,X/PROPN/compound/> networking/NOUN/ROOT/^ port/NOUN/conj/< Y/PROPN/compound/<
F760011854,"For that testing we used Windows XP, as it's proven a faster platform than Windows Vista.",BETTER,1.0,X/PROPN/dobj/> use/VERB/ROOT/^ prove/VERB/advcl/< platform/NOUN/oprd/< than/ADP/prep/< Y/PROPN/pobj/<
F737437453,"For an awesome HTPC you could go with an Intel Core i3 or better, 6+ Gb ram, an Nvidia GTX 500 series or better, an intel SSD for the OS and 2 4TB drives in a raid array (or more if needed), Gigabit Ethernet networking, and Bluetooth for a wireless keyboard.",NONE,1.0,X/PROPN/compound/> networking/NOUN/ROOT/^ Y/PROPN/conj/<
F737437453,"For an awesome HTPC you could go with an Intel Core i3 or better, 6+ Gb ram, an Nvidia GTX 500 series or better, an intel SSD for the OS and 2 4TB drives in a raid array (or more if needed), Gigabit Ethernet networking, and Bluetooth for a wireless keyboard.",NONE,1.0,gigabit/PROPN/compound/V X/PROPN/compound/> networking/NOUN/ROOT/^ Y/PROPN/conj/<
M1926875538,"'Oracle, DB2, SQL server, MySQL",NONE,1.0,X/PROPN/nmod/> server/NOUN/ROOT/^ Y/PROPN/appos/<
B319133013,"Anyways, Windows 8 is much better than Windows 7 IMO.",BETTER,1.0,X/PROPN/nsubj/> be/VERB/ROOT/^ good/ADJ/acomp/< than/ADP/prep/< Y/PROPN/pobj/<
I1335809216,i really loved Windows 8 but i think Windows 7 is better....,WORSE,1.0,X/PROPN/dobj/> love/VERB/ROOT/^ think/VERB/conj/< be/VERB/ccomp/< Y/PROPN/nsubj/<
N2243644560,Solid experience developing web applications with PHP and MySQL and/or PostgreSQL (.,NONE,1.0,X/PROPN/conj/> php/PROPN/ROOT/^ Y/PROPN/conj/<
M2054210335,"Python with Gtk+ or Qt is a much better cross-platform environment than Java: easier to develop for, with better desktop integration, and nicer looking UIs.",BETTER,1.0,X/VERB/nsubj/> be/VERB/ROOT/^ environment/NOUN/attr/< than/ADP/prep/< Y/PROPN/pobj/<
M2054210335,"Python with Gtk+ or Qt is a much better cross-platform environment than Java: easier to develop for, with better desktop integration, and nicer looking UIs.",BETTER,1.0,X/VERB/nsubj/> with/ADP/prep/V be/VERB/ROOT/^ environment/NOUN/attr/< than/ADP/prep/< Y/PROPN/pobj/<
M2054210335,"Python with Gtk+ or Qt is a much better cross-platform environment than Java: easier to develop for, with better desktop integration, and nicer looking UIs.",BETTER,1.0,X/VERB/nsubj/> or/CCONJ/cc/V be/VERB/ROOT/^ environment/NOUN/attr/< than/ADP/prep/< Y/PROPN/pobj/<
